region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC10032,742,1478,9,45,71,347,13,64,300,1190,393,1646,16,70,49,148,98,289,163,507,556,2153,5,18,22,69,6,22,112,304,145,413,4,16,35,75,79,159,118,250,263,663,21,40,1582,4334
SSC10033,24,42,0,0,0,0,0,0,12,40,12,40,0,0,3,12,9,26,12,38,24,78,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,9,0,0,48,129
SSC10034,443,890,16,108,73,377,58,256,363,1514,510,2255,63,259,57,192,221,739,341,1190,851,3445,11,50,35,135,29,103,224,647,299,935,16,67,38,86,171,381,225,534,524,1469,32,66,1850,5870
SSC10035,30,64,0,7,3,22,3,3,20,90,26,122,3,8,3,10,3,5,9,23,35,145,0,0,3,3,3,3,3,10,9,16,0,0,3,5,3,7,6,12,15,28,0,0,80,237
SSC10036,67,138,0,0,3,12,3,9,21,76,27,97,0,3,0,0,3,8,3,11,30,108,0,0,0,0,0,0,4,8,4,8,0,3,0,0,4,6,4,9,8,17,0,0,105,263
SSC10037,20,46,0,0,3,18,0,0,5,21,8,39,0,0,4,8,3,10,7,18,15,57,0,0,0,0,0,0,6,13,6,13,0,0,4,4,0,0,4,4,10,17,0,0,45,120
SSC10038,431,859,8,42,52,247,28,133,203,796,291,1218,16,65,41,127,64,204,121,396,412,1614,3,21,16,57,14,44,79,220,112,342,6,15,24,47,53,106,83,168,195,510,8,18,1046,3001
SSC10039,950,1863,3,19,46,199,4,13,656,2400,709,2631,25,92,64,211,76,227,165,530,874,3161,0,3,8,31,7,18,104,239,119,291,10,33,46,91,87,187,143,311,262,602,58,120,2144,5746
SSC10040,109,224,5,38,32,155,4,28,84,357,125,578,18,80,20,76,56,183,94,339,219,917,0,0,3,9,0,0,13,35,16,44,3,10,7,11,11,28,21,49,37,93,5,9,370,1243
SSC10041,141,280,7,38,19,90,22,96,146,607,194,831,13,61,12,42,65,206,90,309,284,1140,3,9,4,17,3,18,26,65,36,109,5,16,3,5,24,49,32,70,68,179,4,11,497,1610
SSC10042,3,4,0,0,0,4,0,0,3,18,3,22,0,0,0,0,3,3,3,3,6,25,0,0,0,3,0,0,0,7,0,10,3,5,0,0,3,4,6,9,6,19,0,3,15,51
SSC10043,79,151,0,0,4,15,0,12,29,108,33,135,0,3,7,21,10,32,17,56,50,191,0,0,3,0,0,0,3,11,6,11,0,0,3,9,4,8,7,17,13,28,3,3,145,373
SSC10044,53,99,0,0,3,14,3,11,7,37,13,62,3,4,0,0,0,3,3,7,16,69,0,0,0,4,0,0,5,8,5,12,0,0,0,0,13,25,13,25,18,37,3,5,90,210
SSC10045,117,230,0,19,23,97,5,27,81,335,109,478,16,61,21,77,48,149,85,287,194,765,3,9,0,12,0,4,22,46,25,71,4,16,4,4,10,28,18,48,43,119,3,7,357,1121
SSC10046,182,362,4,12,13,57,6,31,73,270,96,370,14,53,9,43,39,121,62,217,158,587,3,3,3,11,0,0,34,100,40,114,0,8,4,11,30,62,34,81,74,195,0,3,414,1147
SSC10047,40,78,0,0,3,6,0,0,14,67,17,73,4,7,12,29,6,28,22,64,39,137,0,0,0,0,0,0,3,3,3,3,0,0,3,5,3,7,6,12,9,15,0,0,88,230
SSC10048,47,101,0,0,3,9,0,0,14,68,17,77,0,0,3,12,7,17,10,29,27,106,0,0,3,7,3,3,7,29,13,39,0,0,3,9,3,6,6,15,19,54,0,0,93,261
SSC10049,152,315,3,14,11,43,5,16,58,227,77,300,3,20,9,19,34,109,46,148,123,448,0,0,4,11,6,21,43,117,53,149,5,12,6,14,47,105,58,131,111,280,12,19,398,1062
SSC10050,64,122,0,7,9,29,0,0,14,65,23,101,3,6,0,0,3,14,6,20,29,121,0,0,3,5,0,5,12,29,15,39,0,0,0,0,3,8,3,8,18,47,0,3,111,293
SSC10051,100,192,0,11,10,36,0,11,48,203,58,261,0,0,0,4,16,40,16,44,74,305,0,3,0,7,0,0,5,22,5,32,0,0,0,0,7,6,7,6,12,38,3,5,189,540
SSC10052,36,72,0,3,7,24,0,0,24,106,31,133,3,3,3,4,3,3,9,10,40,143,0,0,3,4,0,0,0,3,3,7,0,0,0,0,0,3,0,3,3,10,3,7,82,232
SSC10053,2104,4139,43,273,236,1101,69,289,1151,4548,1499,6211,90,373,205,668,290,882,585,1923,2084,8134,20,91,80,280,38,143,502,1368,640,1882,22,60,105,222,241,501,368,783,1008,2665,85,172,5281,15110
SSC10054,657,1311,33,223,99,511,31,140,525,2115,688,2989,72,339,56,177,256,848,384,1364,1072,4353,8,33,24,98,11,45,95,269,138,445,8,35,47,103,160,369,215,507,353,952,48,109,2130,6725
SSC10055,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC10056,123,244,3,14,0,7,3,4,10,39,16,64,0,0,0,3,4,8,4,11,20,75,0,0,4,4,0,5,6,20,10,29,0,0,0,3,5,7,5,10,15,39,0,3,158,361
SSC10057,61,116,0,4,3,10,5,18,28,111,36,143,3,13,3,5,5,19,11,37,47,180,0,0,0,3,3,7,9,30,12,40,0,0,3,3,3,8,6,11,18,51,0,0,126,347
SSC10058,888,1759,0,5,89,372,4,23,737,2690,830,3090,38,142,97,330,101,317,236,789,1066,3879,0,4,17,55,0,3,110,268,127,330,17,45,55,132,100,206,172,383,299,713,63,134,2316,6485
SSC10059,242,483,5,25,53,241,13,44,241,965,312,1275,35,145,34,118,129,448,198,711,510,1986,4,15,10,37,3,4,25,68,42,124,4,13,5,17,67,148,76,178,118,302,18,42,888,2813
SSC10060,67,139,0,0,4,20,0,3,19,85,23,108,3,7,3,6,3,8,9,21,32,129,0,0,0,0,0,0,4,12,4,12,0,0,4,0,0,3,4,3,8,15,0,0,107,283
SSC10061,36,76,0,0,3,4,0,0,23,99,26,103,0,3,4,11,6,16,10,30,36,133,0,0,0,0,0,0,4,15,4,15,0,0,0,5,5,7,5,12,9,27,3,3,84,239
SSC10062,163,335,18,100,36,201,18,84,166,719,238,1104,19,96,15,56,98,342,132,494,370,1598,3,14,15,59,17,65,104,320,139,458,5,22,13,43,95,214,113,279,252,737,14,36,799,2706
SSC10063,2233,4528,14,72,168,742,38,158,1338,4803,1558,5775,88,366,233,771,330,1066,651,2203,2209,7978,4,17,34,115,14,33,315,787,367,952,41,127,148,324,300,647,489,1098,856,2050,209,457,5507,15013
SSC10064,111,226,3,12,14,71,0,4,43,179,60,266,4,14,5,18,16,47,25,79,85,345,0,0,3,15,0,3,23,63,26,81,0,0,3,3,8,21,11,24,37,105,3,3,236,679
SSC10065,40,81,4,9,4,5,3,11,19,91,30,116,0,15,0,6,8,18,8,39,38,155,0,5,3,5,0,3,13,31,16,44,0,3,0,3,0,3,0,9,16,53,0,0,94,289
SSC10066,324,641,13,68,27,140,13,60,213,866,266,1134,10,41,15,60,56,161,81,262,347,1396,3,3,30,109,18,86,192,562,243,760,5,12,20,43,70,154,95,209,338,969,26,50,1035,3056
SSC10067,395,786,10,52,63,279,20,92,382,1525,475,1948,35,141,75,261,121,377,231,779,706,2727,7,22,10,31,3,26,64,170,84,249,7,19,19,35,38,89,64,143,148,392,5,9,1254,3914
SSC10068,303,604,5,29,52,231,11,51,269,1056,337,1367,28,106,57,200,109,357,194,663,531,2030,3,5,11,35,3,9,33,91,50,140,14,46,16,41,57,119,87,206,137,346,17,35,988,3015
SSC10069,111,218,0,16,10,42,5,23,44,166,59,247,3,13,14,37,13,45,30,95,89,342,0,3,0,0,3,8,8,31,11,42,0,0,0,0,7,9,7,9,18,51,6,9,224,620
SSC10070,2054,4241,132,826,465,2448,148,718,2281,9341,3026,13333,228,1053,345,1211,789,2703,1362,4967,4388,18300,27,149,86,355,49,206,405,1168,567,1878,70,250,152,372,449,1041,671,1663,1238,3541,247,580,7927,26662
SSC10071,223,440,7,21,30,155,12,41,190,752,239,969,18,71,34,115,47,148,99,334,338,1303,0,0,7,30,4,15,29,70,40,115,4,19,13,24,33,57,50,100,90,215,10,19,661,1977
SSC10072,219,448,24,131,52,254,23,129,129,555,228,1069,32,142,30,108,91,304,153,554,381,1623,0,0,10,32,11,26,37,112,58,170,4,10,7,23,44,107,55,140,113,310,15,24,728,2405
SSC10073,1065,2083,19,106,157,707,27,119,811,3201,1014,4133,83,340,161,518,231,707,475,1565,1489,5698,3,15,30,100,7,24,107,256,147,395,29,78,68,154,114,241,211,473,358,868,16,35,2928,8684
SSC10074,406,792,17,80,72,334,16,58,301,1224,406,1696,40,159,57,194,92,282,189,635,595,2331,4,13,22,74,6,15,58,154,90,256,4,17,16,36,58,117,78,170,168,426,8,16,1177,3565
SSC10075,33,61,0,9,0,3,6,10,26,112,32,134,3,23,4,9,9,18,16,50,48,184,3,3,0,8,0,0,5,17,8,28,3,6,3,4,0,4,6,14,14,42,3,8,98,295
SSC10076,27,49,0,0,3,11,0,0,12,57,15,68,6,23,3,8,7,21,16,52,31,120,0,0,3,3,0,0,4,17,7,20,0,6,0,0,3,6,3,12,10,32,0,0,68,201
SSC10077,81,154,0,0,6,18,0,0,33,153,39,171,3,6,3,14,11,38,17,58,56,229,0,0,0,7,3,6,4,12,7,25,0,0,3,3,4,7,7,10,14,35,0,6,151,424
SSC10078,39,73,0,0,4,24,4,11,20,76,28,111,4,7,0,8,7,29,11,44,39,155,0,0,0,0,0,0,3,6,3,6,0,0,0,0,8,15,8,15,11,21,0,4,89,253
SSC10079,30,62,5,23,4,25,0,14,22,90,31,152,3,10,3,8,13,43,19,61,50,213,0,0,0,13,3,12,3,12,6,37,3,4,3,7,10,21,16,32,22,69,0,4,102,348
SSC10080,50,90,0,7,4,16,3,5,24,103,31,131,3,10,6,11,9,37,18,58,49,189,0,0,4,0,0,8,10,26,14,34,0,0,3,5,5,8,8,13,22,47,0,4,121,330
SSC10081,51,95,0,0,3,16,0,7,21,86,24,109,4,13,3,10,3,7,10,30,34,139,0,0,0,8,0,0,8,17,8,25,0,0,0,0,0,3,0,3,8,28,0,0,93,262
SSC10082,107,213,3,23,6,26,7,19,48,217,64,285,0,0,4,19,21,54,25,73,89,358,0,0,0,3,0,3,21,53,21,59,0,4,3,3,9,17,12,24,33,83,3,4,232,658
SSC10083,38,68,0,0,3,24,3,12,31,109,37,145,0,7,0,10,6,15,6,32,43,177,0,0,3,3,0,0,0,3,3,6,0,0,0,5,3,3,3,8,6,14,0,0,87,259
SSC10084,767,1511,7,42,76,335,13,48,681,2558,777,2983,40,141,73,249,96,303,209,693,986,3676,0,0,24,80,0,4,125,297,149,381,4,13,42,102,102,209,148,324,297,705,29,50,2079,5942
SSC10085,239,471,6,24,63,281,9,29,329,1354,407,1688,26,96,63,231,79,249,168,576,575,2264,0,0,9,17,0,0,21,61,30,78,7,18,14,31,19,41,40,90,70,168,8,15,892,2918
SSC10086,601,1194,6,44,73,318,15,75,342,1334,436,1771,56,236,72,239,166,508,294,983,730,2754,4,11,22,75,3,9,84,229,113,324,14,48,19,50,80,168,113,266,226,590,15,26,1572,4564
SSC10087,37,71,0,0,3,10,0,6,16,67,19,83,3,3,5,10,0,9,8,22,27,105,0,3,0,0,0,0,3,8,3,11,0,0,0,0,4,9,4,9,7,20,0,0,71,196
SSC10088,29,58,0,0,3,18,0,6,7,37,10,61,0,0,3,0,6,17,9,17,19,78,0,0,3,5,0,0,3,6,6,11,0,0,0,0,3,8,3,8,9,19,0,0,57,155
SSC10089,922,1848,9,50,37,183,14,58,280,1075,340,1366,15,54,35,112,83,255,133,421,473,1787,3,21,35,126,15,38,213,544,266,729,14,39,40,88,209,431,263,558,529,1287,42,78,1966,5000
SSC10090,1183,2313,7,42,46,211,5,26,699,2552,757,2831,22,96,80,248,120,354,222,698,979,3529,0,0,18,52,9,20,98,240,125,312,6,23,52,104,125,252,183,379,308,691,53,115,2523,6648
SSC10091,256,495,0,0,15,64,0,0,117,419,132,483,10,32,22,79,24,86,56,197,188,680,0,0,0,12,0,0,18,35,18,47,0,7,7,15,21,42,28,64,46,111,11,28,501,1314
SSC10092,85,169,0,0,8,40,6,25,41,167,55,232,3,14,13,34,18,57,34,105,89,337,0,8,5,10,0,5,14,38,19,61,3,3,5,10,7,19,15,32,34,93,3,4,211,603
SSC10093,49,89,3,10,3,30,5,13,25,105,36,158,3,11,3,11,8,26,14,48,50,206,0,3,0,0,0,3,9,14,9,20,0,0,0,0,0,4,0,4,9,24,0,0,108,319
SSC10094,188,367,4,17,22,99,3,15,88,356,117,487,6,27,13,34,36,117,55,178,172,665,0,0,3,16,5,9,23,68,31,93,0,4,5,7,21,38,26,49,57,142,3,10,420,1184
SSC10095,33,71,3,4,5,30,3,4,15,71,26,109,0,6,3,5,5,14,8,25,34,134,0,0,0,0,0,0,4,14,4,14,0,0,0,0,3,3,3,3,7,17,3,0,77,222
SSC10096,117,218,0,3,10,51,0,16,38,146,48,216,8,44,15,42,21,62,44,148,92,364,0,0,0,3,0,7,11,18,11,28,0,0,0,4,5,9,5,13,16,41,0,0,225,623
SSC10097,165,319,6,29,28,136,4,24,144,551,182,740,9,33,18,60,19,58,46,151,228,891,0,0,9,28,0,0,56,136,65,164,0,3,16,34,16,27,32,64,97,228,3,9,493,1447
SSC10098,48,99,0,0,3,21,0,0,29,111,32,132,0,0,3,5,7,19,10,24,42,156,0,0,0,0,0,0,3,4,3,4,0,0,0,0,3,3,3,3,6,7,0,0,96,262
SSC10099,483,968,16,98,97,420,11,63,371,1478,495,2059,73,302,85,305,261,843,419,1450,914,3509,5,6,18,68,0,4,54,145,77,223,18,50,18,37,85,196,121,283,198,506,10,25,1605,5008
SSC10100,300,619,5,30,35,170,14,69,207,812,261,1081,20,100,35,116,116,393,171,609,432,1690,4,21,3,11,5,18,40,111,52,161,4,9,16,33,77,170,97,212,149,373,15,24,896,2706
SSC10101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10102,1875,3840,82,489,348,1721,102,496,2214,8814,2746,11520,211,955,254,920,700,2332,1165,4207,3911,15727,25,118,117,425,60,233,664,1907,866,2683,67,226,181,431,567,1295,815,1952,1681,4635,179,385,7646,24587
SSC10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10104,25,49,0,3,0,5,0,9,17,62,17,79,0,6,3,3,4,8,7,17,24,96,0,0,3,4,0,6,0,6,3,16,0,0,0,0,0,3,0,3,3,19,0,0,52,164
SSC10105,56,106,3,6,6,25,0,0,16,80,25,111,3,9,5,13,4,12,12,34,37,145,0,0,0,0,0,5,7,8,7,13,0,0,0,3,4,12,4,15,11,28,3,3,107,282
SSC10106,2066,4098,19,101,163,771,66,287,746,2914,994,4073,70,306,125,393,304,939,499,1638,1493,5711,9,37,75,263,27,102,305,828,416,1230,27,84,83,194,247,525,357,803,773,2033,44,91,4376,11933
SSC10107,91,173,0,0,19,75,4,14,43,175,66,264,5,24,15,55,18,49,38,128,104,392,0,0,3,10,0,3,9,15,12,28,0,0,6,8,4,15,10,23,22,51,8,16,225,632
SSC10108,45,95,0,0,4,11,0,0,26,100,30,111,0,0,0,0,8,20,8,20,38,131,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,9,6,12,6,15,0,3,89,244
SSC10109,84,169,0,0,3,12,3,9,41,164,47,185,4,16,8,20,11,36,23,72,70,257,0,0,7,24,0,12,24,63,31,99,0,0,3,0,14,39,17,39,48,138,4,11,206,575
SSC10110,5,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,7,4,7,0,0,0,0,8,21,8,21,12,28,0,0,17,42
SSC10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10112,197,395,22,128,103,483,20,95,280,1138,425,1844,69,314,94,350,174,577,337,1241,762,3085,4,10,11,49,4,18,25,62,44,139,21,66,15,35,38,97,74,198,118,337,9,12,1086,3829
SSC10113,195,400,7,31,32,153,5,28,179,698,223,910,21,104,28,91,86,273,135,468,358,1378,3,8,3,10,3,12,18,52,27,82,3,14,9,15,39,87,51,116,78,198,11,21,642,1997
SSC10114,172,336,12,62,26,126,9,48,148,591,195,827,15,82,24,75,78,247,117,404,312,1231,4,10,6,21,8,34,20,63,38,128,7,17,3,14,47,113,57,144,95,272,6,19,585,1858
SSC10115,65,133,0,0,17,78,3,5,43,179,63,262,0,0,8,29,15,44,23,73,86,335,0,0,3,4,0,0,9,29,12,33,0,3,0,0,6,13,6,16,18,49,3,4,172,521
SSC10116,431,856,16,81,39,205,23,93,286,1180,364,1559,31,137,41,125,125,405,197,667,561,2226,3,13,15,56,7,35,62,176,87,280,9,18,6,15,56,118,71,151,158,431,7,18,1157,3531
SSC10117,230,452,0,5,21,101,0,6,72,275,93,387,3,14,14,42,21,72,38,128,131,515,0,6,3,9,4,11,24,62,31,88,0,0,7,5,14,31,21,36,52,124,5,8,418,1099
SSC10118,46,92,0,0,3,13,0,0,12,49,15,62,3,16,3,8,3,6,9,30,24,92,0,0,0,0,0,0,16,31,16,31,0,0,3,8,0,0,3,8,19,39,3,10,92,233
SSC10119,48,94,0,0,7,32,0,9,27,112,34,153,0,0,0,10,5,11,5,21,39,174,0,0,0,0,0,0,7,15,7,15,0,4,3,7,3,4,6,15,13,30,4,3,104,301
SSC10120,170,345,5,29,17,77,15,74,119,494,156,674,11,50,20,52,63,207,94,309,250,983,3,4,9,31,9,38,33,93,54,166,3,6,3,10,26,56,32,72,86,238,5,13,511,1579
