region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
1127104,8,0,0,0,0,8,81,4,0,0,0,85,0,0,0,0,0,0,3,0,0,0,0,3,84,4,0,0,0,88,0,0,0,0,0,0,92,4,0,0,0,96
1127105,5,0,3,0,0,8,29,0,0,0,0,29,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,0,37,0,3,0,0,40
1127106,72,0,0,0,0,72,93,0,0,0,0,93,10,0,3,0,0,13,5,0,0,0,0,5,108,0,3,0,0,111,7,0,0,0,0,7,187,0,3,0,0,190
1127107,55,0,0,3,6,64,59,0,3,3,0,65,9,0,0,0,0,9,3,0,0,0,0,3,71,0,3,3,0,77,3,0,3,0,0,6,129,0,6,6,6,147
1127108,19,0,0,0,0,19,71,0,0,3,0,74,4,0,0,0,0,4,3,0,0,0,0,3,78,0,0,3,0,81,6,0,0,0,0,6,103,0,0,3,0,106
1127109,31,0,0,0,0,31,67,0,0,0,0,67,8,0,0,0,0,8,3,0,0,0,0,3,78,0,0,0,0,78,3,0,0,0,0,3,112,0,0,0,0,112
1127110,28,0,0,0,0,28,65,0,0,0,0,65,5,0,0,0,0,5,6,0,0,0,0,6,76,0,0,0,0,76,3,0,0,0,0,3,107,0,0,0,0,107
1127111,44,0,0,0,0,44,97,0,0,0,0,97,6,0,0,0,0,6,3,0,0,0,0,3,106,0,0,0,0,106,12,0,0,0,0,12,162,0,0,0,0,162
1127112,19,0,0,0,0,19,90,0,0,0,0,90,15,0,0,0,0,15,6,0,0,0,0,6,111,0,0,0,0,111,9,0,0,0,0,9,139,0,0,0,0,139
1127113,3,0,0,3,0,6,47,0,0,0,0,47,3,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0,50,3,0,0,0,0,3,56,0,0,3,0,59
1127114,28,0,0,0,0,28,62,0,0,0,0,62,0,0,0,0,0,0,3,0,0,0,0,3,65,0,0,0,0,65,3,0,0,0,0,3,96,0,0,0,0,96
1127115,38,0,17,0,0,55,126,0,28,0,0,154,6,0,0,0,0,6,5,3,7,0,0,15,137,3,35,0,0,175,4,0,4,8,0,16,179,3,56,8,0,246
1127116,38,0,0,0,0,38,118,0,0,0,0,118,3,0,0,0,0,3,8,0,0,0,0,8,129,0,0,0,0,129,8,0,0,0,0,8,175,0,0,0,0,175
1127117,3,13,0,0,0,16,36,22,0,0,0,58,3,0,0,0,0,3,6,0,0,0,0,6,45,22,0,0,0,67,3,3,0,0,0,6,51,38,0,0,0,89
1127118,14,0,0,0,0,14,55,3,0,0,0,58,3,0,0,0,0,3,5,0,0,0,0,5,63,3,0,0,0,66,3,0,0,0,0,3,80,3,0,0,0,83
1127119,11,4,0,0,0,15,64,3,0,0,0,67,9,0,0,0,0,9,3,0,0,0,0,3,76,3,0,0,0,79,6,0,0,0,0,6,93,7,0,0,0,100
1127120,14,0,0,0,0,14,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49,0,0,0,0,0,0,63,0,0,0,0,63
1127121,25,0,0,0,0,25,54,0,0,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,3,0,57,4,0,0,0,0,4,83,0,0,3,0,86
1127122,19,0,0,0,0,19,122,0,0,0,0,122,17,0,0,0,0,17,0,0,0,0,0,0,139,0,0,0,0,139,3,0,0,0,0,3,161,0,0,0,0,161
1127123,24,0,0,0,0,24,95,0,0,7,0,102,4,0,0,0,0,4,4,0,0,0,0,4,103,0,0,7,0,110,3,0,0,0,0,3,130,0,0,7,0,137
1127124,25,0,0,0,0,25,71,0,0,0,0,71,3,0,0,0,0,3,6,0,0,0,0,6,80,0,0,0,0,80,4,0,0,0,0,4,109,0,0,0,0,109
1127125,25,0,3,3,0,31,57,0,3,3,0,63,8,0,0,0,0,8,0,0,0,0,0,0,65,0,3,3,0,71,0,0,3,0,0,3,90,0,9,6,0,105
1127126,56,0,6,0,0,62,67,0,4,0,0,71,6,0,0,0,0,6,7,0,0,0,0,7,80,0,4,0,0,84,11,0,0,0,0,11,147,0,10,0,0,157
1127127,30,0,24,0,0,54,106,0,7,0,0,113,4,0,0,0,0,4,5,0,3,0,0,8,115,0,10,0,0,125,6,0,4,0,0,10,151,0,38,0,0,189
1127128,44,0,0,0,0,44,74,0,0,0,0,74,3,0,0,0,0,3,6,0,0,0,0,6,83,0,0,0,0,83,3,0,0,0,0,3,130,0,0,0,0,130
1127129,25,0,0,0,0,25,125,0,0,0,0,125,12,0,0,0,0,12,4,0,0,0,0,4,141,0,0,0,0,141,3,0,0,0,0,3,169,0,0,0,0,169
1127130,48,0,0,0,0,48,102,0,0,0,0,102,6,0,0,0,0,6,4,0,0,0,0,4,112,0,0,0,0,112,3,0,0,0,0,3,163,0,0,0,0,163
1127131,29,0,0,5,0,34,45,0,0,0,0,45,5,0,0,0,0,5,5,0,0,0,0,5,55,0,0,0,0,55,0,0,0,0,0,0,84,0,0,5,0,89
1127132,18,0,0,0,0,18,77,0,0,0,0,77,3,0,0,0,0,3,4,0,0,0,0,4,84,0,0,0,0,84,5,0,0,0,0,5,107,0,0,0,0,107
1127133,3,0,0,9,0,12,14,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,18,0,0,0,6,0,6,17,0,0,19,0,36
1127134,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,9
1127135,34,0,0,0,0,34,87,0,0,0,0,87,3,0,0,0,0,3,3,0,0,0,0,3,93,0,0,0,0,93,0,0,0,0,0,0,127,0,0,0,0,127
1127136,38,0,0,0,0,38,137,0,0,0,0,137,7,0,0,0,0,7,10,0,0,0,0,10,154,0,0,0,0,154,6,0,0,0,0,6,198,0,0,0,0,198
1127137,24,0,0,0,0,24,120,0,0,0,0,120,8,0,0,0,0,8,7,0,0,0,0,7,135,0,0,0,0,135,3,0,0,0,0,3,162,0,0,0,0,162
1127138,33,0,0,0,0,33,115,0,0,0,0,115,4,0,0,0,0,4,6,0,0,0,0,6,125,0,0,0,0,125,4,0,0,0,0,4,162,0,0,0,0,162
1127139,55,0,0,0,0,55,78,0,0,0,0,78,5,0,0,0,0,5,4,0,0,0,0,4,87,0,0,0,0,87,4,0,0,0,0,4,146,0,0,0,0,146
1127140,38,3,0,0,0,41,44,0,0,0,0,44,3,0,0,0,0,3,3,0,0,0,0,3,50,0,0,0,0,50,3,0,0,0,0,3,91,3,0,0,0,94
1127141,23,0,0,0,0,23,64,0,0,0,0,64,6,0,0,0,0,6,4,0,0,0,0,4,74,0,0,0,0,74,0,0,0,0,0,0,97,0,0,0,0,97
1127142,14,0,0,0,0,14,35,0,0,0,0,35,3,0,0,0,0,3,3,0,0,0,0,3,41,0,0,0,0,41,0,0,0,0,0,0,55,0,0,0,0,55
1127201,12,0,0,0,0,12,114,0,0,0,0,114,7,0,0,0,0,7,4,0,0,0,0,4,125,0,0,0,0,125,5,0,0,0,0,5,142,0,0,0,0,142
1127202,29,5,7,0,0,41,131,27,10,0,0,168,12,3,0,0,0,15,5,3,0,0,0,8,148,33,10,0,0,191,3,3,0,0,0,6,180,41,17,0,0,238
1127203,28,12,3,0,0,43,99,7,6,0,0,112,5,4,3,0,0,12,7,0,0,0,0,7,111,11,9,0,0,131,5,0,0,0,0,5,144,23,12,0,0,179
1127204,16,17,0,0,0,33,90,6,0,0,0,96,0,4,0,0,0,4,0,0,0,0,0,0,90,10,0,0,0,100,3,3,0,0,0,6,109,30,0,0,0,139
1127205,12,0,0,11,0,23,75,4,0,8,0,87,8,0,0,3,0,11,0,0,0,0,0,0,83,4,0,11,0,98,0,0,0,0,0,0,95,4,0,22,0,121
1127206,11,0,0,0,0,11,72,0,0,0,0,72,0,0,0,0,0,0,5,0,0,0,0,5,77,0,0,0,0,77,5,0,0,0,0,5,93,0,0,0,0,93
1127207,23,0,0,0,0,23,129,0,0,0,0,129,7,0,0,0,0,7,5,0,0,0,0,5,141,0,0,0,0,141,3,0,0,0,0,3,167,0,0,0,0,167
1127208,4,0,0,0,0,4,67,0,0,0,0,67,5,0,0,0,0,5,0,0,0,0,0,0,72,0,0,0,0,72,4,0,0,0,0,4,80,0,0,0,0,80
1127209,22,0,0,0,0,22,110,0,0,0,0,110,9,0,0,0,0,9,3,0,0,0,0,3,122,0,0,0,0,122,0,0,0,0,0,0,144,0,0,0,0,144
1127210,10,0,0,0,0,10,83,0,0,0,0,83,9,0,0,0,0,9,5,0,0,0,0,5,97,0,0,0,0,97,3,0,0,0,0,3,110,0,0,0,0,110
1127211,7,0,0,0,3,10,76,0,0,0,0,76,3,0,0,0,0,3,7,0,0,0,0,7,86,0,0,0,0,86,3,0,0,0,0,3,96,0,0,0,3,99
1127212,12,6,0,0,0,18,49,30,0,0,0,79,3,0,0,0,0,3,0,0,0,0,0,0,52,30,0,0,0,82,3,0,0,0,0,3,67,36,0,0,0,103
1127213,18,0,0,0,0,18,103,0,0,0,0,103,5,0,0,0,0,5,3,0,0,0,0,3,111,0,0,0,0,111,4,0,0,0,0,4,133,0,0,0,0,133
1127214,5,0,0,0,0,5,63,0,0,0,0,63,8,0,0,0,0,8,3,0,0,0,0,3,74,0,0,0,0,74,3,0,0,0,0,3,82,0,0,0,0,82
1127215,13,0,0,0,0,13,79,0,0,0,0,79,5,0,0,0,0,5,5,0,0,0,0,5,89,0,0,0,0,89,0,0,0,0,0,0,102,0,0,0,0,102
1127216,14,0,0,0,0,14,44,0,0,0,0,44,9,0,0,0,0,9,0,0,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,67,0,0,0,0,67
1127217,34,33,0,0,0,67,105,28,0,0,0,133,7,7,0,0,0,14,7,0,0,0,0,7,119,35,0,0,0,154,7,4,0,0,0,11,160,72,0,0,0,232
1127218,12,3,5,8,0,28,47,5,3,7,0,62,3,3,3,0,0,9,0,0,3,0,0,3,50,8,9,7,0,74,3,0,0,3,0,6,65,11,14,18,0,108
1127219,111,0,0,0,3,114,63,0,0,3,0,66,11,0,0,0,0,11,0,0,0,0,0,0,74,0,0,3,0,77,3,0,0,0,0,3,188,0,0,3,3,194
1127220,20,4,0,0,0,24,72,15,0,0,0,87,0,0,0,0,0,0,3,0,0,0,0,3,75,15,0,0,0,90,3,3,3,0,0,9,98,22,3,0,0,123
1127221,8,0,0,46,0,54,35,0,0,21,0,56,3,0,0,6,0,9,0,0,0,3,0,3,38,0,0,30,0,68,3,0,0,0,0,3,49,0,0,76,0,125
1127222,48,0,0,0,0,48,121,0,0,0,0,121,6,0,0,0,0,6,5,0,0,0,0,5,132,0,0,0,0,132,6,0,0,0,0,6,186,0,0,0,0,186
1127223,49,0,0,0,0,49,105,0,0,0,0,105,14,0,0,0,0,14,7,0,0,0,0,7,126,0,0,0,0,126,8,0,0,0,0,8,183,0,0,0,0,183
1127224,37,8,25,0,0,70,87,5,29,0,0,121,5,3,7,0,0,15,3,0,3,0,0,6,95,8,39,0,0,142,3,0,4,0,0,7,135,16,68,0,0,219
1127301,3,0,0,0,0,3,18,3,0,0,0,21,3,0,0,0,0,3,3,0,0,0,0,3,24,3,0,0,0,27,0,0,0,0,0,0,27,3,0,0,0,30
1127302,56,0,3,0,0,59,82,0,5,0,0,87,9,0,0,0,0,9,3,0,3,0,0,6,94,0,8,0,0,102,5,0,0,0,0,5,155,0,11,0,0,166
1127303,49,0,3,0,0,52,71,0,0,0,0,71,8,0,0,0,0,8,3,0,0,0,0,3,82,0,0,0,0,82,11,0,0,0,0,11,142,0,3,0,0,145
1127304,32,0,0,0,0,32,69,0,0,0,0,69,6,0,0,0,0,6,3,0,0,0,0,3,78,0,0,0,0,78,0,0,0,0,0,0,110,0,0,0,0,110
1127305,29,0,0,0,0,29,108,0,0,0,0,108,5,0,0,0,0,5,3,0,0,0,0,3,116,0,0,0,0,116,3,0,0,0,0,3,148,0,0,0,0,148
1127306,29,0,0,0,0,29,93,0,6,0,0,99,11,0,0,0,0,11,3,0,0,0,0,3,107,0,6,0,0,113,0,0,0,0,0,0,136,0,6,0,0,142
1127307,45,0,0,0,0,45,106,0,0,0,0,106,12,0,0,0,0,12,6,0,0,0,0,6,124,0,0,0,0,124,3,0,0,0,0,3,172,0,0,0,0,172
1127308,26,0,0,0,0,26,117,0,0,0,0,117,0,0,0,0,0,0,8,0,0,0,0,8,125,0,0,0,0,125,10,0,0,0,0,10,161,0,0,0,0,161
1127309,17,0,0,0,0,17,29,0,0,0,0,29,4,0,0,0,0,4,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,50,0,0,0,0,50
1127310,42,0,0,0,0,42,72,0,0,0,0,72,6,0,0,0,0,6,7,0,0,0,0,7,85,0,0,0,0,85,5,0,0,0,0,5,132,0,0,0,0,132
1127311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127312,11,0,0,0,0,11,28,0,0,0,0,28,3,0,0,0,0,3,3,0,0,0,0,3,34,0,0,0,0,34,0,0,0,0,0,0,45,0,0,0,0,45
1127401,31,0,0,0,0,31,64,0,0,0,0,64,4,0,0,0,0,4,3,0,0,0,0,3,71,0,0,0,0,71,4,0,0,0,0,4,106,0,0,0,0,106
1127402,16,0,0,0,0,16,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,11,0,0,0,0,0,0,27,0,0,0,0,27
1127403,37,3,0,0,0,40,69,0,0,3,0,72,3,3,0,0,0,6,3,0,0,0,0,3,75,3,0,3,0,81,4,0,0,0,0,4,116,6,0,3,0,125
1127404,22,0,0,0,0,22,86,0,0,0,0,86,10,0,0,0,0,10,6,0,0,0,0,6,102,0,0,0,0,102,0,0,0,0,0,0,124,0,0,0,0,124
1127405,19,0,0,0,0,19,59,3,0,0,0,62,0,0,0,0,0,0,6,0,0,0,0,6,65,3,0,0,0,68,5,0,0,0,0,5,89,3,0,0,0,92
1127406,36,7,3,0,0,46,56,22,5,3,0,86,7,0,0,0,0,7,0,3,3,3,0,9,63,25,8,6,0,102,6,0,0,0,0,6,105,32,11,6,0,154
1127407,41,0,0,0,0,41,92,0,0,0,0,92,9,0,0,0,0,9,3,0,0,0,0,3,104,0,0,0,0,104,3,0,0,0,0,3,148,0,0,0,0,148
1127408,69,0,0,0,0,69,116,0,0,0,0,116,11,0,0,0,0,11,4,0,0,0,0,4,131,0,0,0,0,131,6,0,0,0,0,6,206,0,0,0,0,206
1127409,23,0,0,6,0,29,51,4,0,10,0,65,3,0,0,0,0,3,0,0,0,0,0,0,54,4,0,10,0,68,0,0,0,0,0,0,77,4,0,16,0,97
1127410,49,3,7,0,0,59,57,3,4,0,0,64,5,3,0,0,0,8,3,0,3,0,0,6,65,6,7,0,0,78,4,0,0,0,0,4,118,9,14,0,0,141
1127411,33,0,0,5,0,38,83,0,3,3,0,89,9,0,0,0,0,9,4,0,0,0,0,4,96,0,3,3,0,102,6,0,0,0,0,6,135,0,3,8,0,146
1127412,37,0,3,0,0,40,70,3,3,0,0,76,3,0,3,0,0,6,3,0,0,0,0,3,76,3,6,0,0,85,4,0,0,0,0,4,117,3,9,0,0,129
