UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL114011,12,30,18,6,9,0,0,82,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,4,19,45,42,24,20,0,0,159,0,3,4,0,0,0,0,14,4,4,0,4,5,0,0,11,5,9,4,6,5,0,0,26,27,52,46,29,24,0,0,186,55,49,20,12,13,4,0,145,0,0,0,0,0,0,0,4,82,104,63,42,37,4,0,334
UCL114012,9,6,0,0,6,0,0,23,6,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,37,46,20,21,24,8,4,153,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,38,46,22,20,24,8,4,159,6,6,3,0,0,0,4,15,0,0,0,0,0,0,0,0,46,54,28,20,19,3,4,175
UCL114013,24,36,23,10,12,0,0,111,7,8,0,0,0,0,0,24,0,0,9,0,0,0,0,11,57,95,76,35,31,3,0,300,3,5,0,5,0,0,0,12,6,8,3,0,0,0,0,17,5,11,3,5,0,0,0,25,73,109,77,33,31,3,0,327,57,65,27,28,10,0,0,190,3,0,0,0,0,0,0,8,124,173,113,67,40,3,0,523
UCL114014,4,19,19,6,18,0,3,68,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,11,24,40,24,46,11,4,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,38,24,46,11,4,160,6,4,8,5,9,0,0,34,0,0,0,0,0,0,0,0,17,32,46,28,53,11,5,188
UCL114015,35,58,35,29,24,4,0,192,8,3,4,3,0,0,0,18,3,4,0,0,0,0,0,8,60,99,67,48,59,16,3,344,7,16,10,4,3,0,0,43,4,4,3,0,3,0,0,15,10,21,16,8,11,0,0,56,64,119,83,63,64,16,3,401,114,86,50,26,25,0,0,296,0,3,7,0,4,0,0,14,184,211,129,81,89,12,3,717
UCL114016,23,38,26,7,20,0,0,114,8,0,0,0,0,0,0,11,3,6,0,0,0,0,0,11,38,77,52,28,45,7,0,240,0,5,3,0,0,0,0,18,8,11,7,0,0,0,0,24,8,14,9,5,4,0,0,35,41,90,63,35,45,3,0,274,53,41,32,22,13,4,0,159,4,0,0,0,0,0,0,7,102,135,90,57,62,9,0,443
UCL114017,6,29,24,16,10,7,0,89,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,47,43,27,31,14,0,190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,11,17,51,48,27,31,12,0,198,16,13,12,11,10,0,0,63,0,0,0,0,0,0,0,0,38,64,57,38,44,19,3,260
UCL114018,12,37,25,15,25,3,0,108,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,21,51,49,31,43,9,4,201,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,10,24,50,46,31,48,9,4,208,10,13,12,4,13,0,0,50,0,0,0,0,0,0,0,3,30,67,59,34,58,7,4,263
UCL114019,23,18,10,7,11,0,0,70,8,4,4,4,6,0,0,23,0,0,3,0,0,0,0,4,43,48,47,25,22,3,0,189,0,11,3,0,0,0,0,16,0,0,0,0,0,0,0,3,3,11,10,0,0,0,0,23,45,58,54,28,24,3,0,212,80,48,32,25,5,0,0,187,10,8,6,0,0,0,0,24,134,114,88,54,33,6,0,423
UCL114020,14,31,22,20,16,0,0,104,0,4,6,5,0,0,0,15,0,0,4,5,4,0,0,6,24,57,39,46,54,15,6,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24,60,45,45,54,15,6,247,34,28,29,12,15,0,3,119,0,0,0,0,0,0,0,0,55,89,70,53,71,19,9,363
UCL114021,25,62,29,39,32,9,0,201,7,12,0,3,0,0,0,22,0,0,0,7,0,0,0,11,45,96,66,66,78,16,5,371,4,5,6,0,3,0,0,15,5,4,6,3,0,0,0,13,5,10,7,5,3,0,0,35,50,104,73,72,85,16,5,403,40,65,38,41,21,4,0,203,7,4,3,0,0,0,0,15,97,167,119,112,99,18,4,618
UCL114022,18,24,22,19,16,0,0,99,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,5,27,52,39,29,33,3,0,178,5,5,0,3,3,0,0,19,4,0,0,0,0,0,0,3,8,10,0,4,3,0,0,22,33,59,40,31,34,3,0,202,50,49,27,25,22,6,0,179,4,0,0,3,0,0,0,11,89,107,71,60,55,9,0,393
UCL114023,6,33,14,16,8,0,0,78,4,5,3,0,0,0,0,10,0,0,0,5,0,0,0,5,19,68,37,28,22,0,0,174,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,9,5,8,0,5,0,0,0,12,18,71,38,33,22,0,0,191,47,30,26,16,10,0,0,138,0,4,0,0,0,0,0,7,72,112,65,50,37,4,0,331
UCL114024,30,68,34,38,22,4,0,187,5,4,3,0,5,0,0,13,0,0,0,0,0,0,0,3,64,118,70,58,64,7,4,391,0,7,9,6,0,0,0,19,4,5,0,3,4,0,0,19,8,15,4,7,0,0,0,36,69,135,81,69,70,7,4,427,82,59,39,25,21,4,0,223,6,0,0,6,0,0,0,10,151,190,122,99,89,10,4,661
UCL114025,15,27,24,21,13,3,0,110,3,3,5,0,6,0,0,11,4,0,0,0,0,0,0,10,26,49,54,32,52,8,5,227,0,4,0,0,0,0,0,5,0,4,4,3,0,0,0,10,0,8,3,4,0,0,0,18,24,58,62,37,53,8,5,244,28,32,15,9,8,4,0,93,0,0,0,0,0,0,0,0,54,90,80,43,63,10,5,342
UCL114026,9,16,18,7,10,4,6,67,7,9,0,0,0,4,0,22,0,0,0,0,0,0,0,0,22,51,38,22,28,14,9,192,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,4,26,55,38,22,36,14,9,196,29,23,12,5,5,0,0,77,0,0,4,0,0,0,0,3,46,77,54,29,39,16,13,276
UCL114027,0,13,15,11,16,3,0,73,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,8,29,29,21,23,7,5,115,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,6,3,0,0,0,0,0,10,10,31,29,24,23,7,5,123,18,15,9,9,8,4,5,66,3,3,0,0,0,0,0,6,27,44,37,36,38,8,7,194
UCL114028,12,26,14,17,7,3,0,78,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,14,46,31,24,26,11,0,157,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,7,4,0,3,0,0,0,0,7,21,50,39,24,27,11,0,166,26,24,13,8,7,0,0,75,0,0,0,0,0,0,0,0,49,77,47,33,36,11,0,246
UCL114029,8,4,3,9,12,4,0,34,8,6,4,0,3,0,0,22,0,0,0,0,0,0,0,0,14,21,18,16,23,3,6,106,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,0,0,0,0,0,9,20,30,17,16,23,3,6,109,21,15,19,6,0,0,0,64,0,0,0,0,0,0,0,3,44,41,29,22,28,5,6,175
UCL114030,3,15,17,6,15,0,0,49,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,19,22,33,12,28,6,0,112,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,3,0,0,0,0,4,19,22,30,12,28,6,0,116,39,22,15,7,3,0,0,75,0,0,0,0,0,0,0,0,50,49,42,15,31,6,0,193
UCL114031,18,23,21,10,20,5,0,97,6,3,7,7,0,0,0,19,0,0,0,0,0,0,0,0,33,43,42,30,29,7,3,190,0,0,0,0,0,0,0,6,5,10,0,0,0,0,0,15,5,12,0,0,0,0,0,17,42,54,39,30,29,7,6,212,33,39,23,9,6,3,0,115,0,0,0,0,0,0,0,0,72,97,69,40,37,9,6,328
UCL114032,24,25,14,9,10,3,0,82,3,4,6,4,0,0,0,19,0,0,0,0,0,0,0,0,33,57,32,26,25,6,3,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,35,58,41,30,24,6,3,192,37,36,23,16,11,0,0,127,0,0,0,0,0,0,0,3,76,99,58,47,33,7,5,318
UCL114033,17,26,24,18,11,0,0,92,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,34,45,47,37,37,5,0,218,0,0,0,0,0,0,0,8,0,13,5,0,4,0,0,19,0,13,3,0,0,0,0,22,38,62,53,39,39,5,0,241,52,39,18,11,4,5,0,131,0,0,0,4,0,0,0,9,87,106,75,55,49,11,0,378
UCL114034,29,46,42,29,27,8,0,180,6,7,0,0,0,0,0,16,0,3,0,0,0,0,0,12,47,83,69,48,47,7,0,302,0,5,0,0,0,0,0,10,4,9,0,0,0,0,0,15,7,19,0,0,0,0,0,26,55,95,69,54,42,8,0,321,76,64,35,25,22,9,0,233,4,3,5,3,0,0,0,8,129,168,104,76,68,15,0,569
UCL114035,14,20,12,9,5,4,0,66,8,7,0,0,0,0,0,11,0,6,0,0,0,0,0,3,28,43,30,19,21,8,0,147,0,0,0,0,0,0,0,7,3,4,3,0,0,0,0,20,3,6,8,3,0,0,0,23,33,44,39,21,23,8,0,169,19,17,16,10,6,0,0,68,0,4,0,3,0,0,0,12,51,70,57,32,28,7,0,249
UCL114036,13,16,16,12,11,0,0,72,3,0,0,4,3,0,0,17,0,0,0,0,0,0,0,0,19,32,38,21,29,3,0,143,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,33,38,21,29,3,0,142,19,23,9,11,4,0,0,70,0,0,0,0,0,0,0,0,39,59,42,34,33,3,0,213
UCL114037,16,17,16,7,10,0,3,76,0,4,0,0,0,0,0,6,0,3,0,0,0,0,0,4,28,48,31,28,45,4,5,186,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,48,35,28,42,4,5,187,20,29,18,9,0,0,0,84,0,0,0,0,0,0,0,0,50,76,50,35,48,6,6,273
UCL114038,28,46,31,32,25,4,0,166,4,3,0,0,0,0,0,8,0,0,0,0,3,0,0,5,47,82,58,55,53,10,0,298,0,3,4,0,5,0,0,17,0,7,3,0,0,0,0,19,0,19,10,3,7,0,0,39,51,91,64,59,55,10,0,333,59,67,43,14,17,0,0,196,5,3,0,0,0,0,0,6,114,164,108,73,78,10,0,539
UCL115001,4,5,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,16,9,9,6,0,0,47,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,12,16,13,12,11,0,0,53,5,3,3,0,0,0,0,23,0,0,0,0,0,0,0,0,18,18,18,15,10,0,0,80
UCL115002,13,9,5,5,7,3,5,55,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,19,18,26,22,29,6,4,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,20,23,25,23,29,6,4,133,10,21,10,7,9,0,0,52,0,0,0,0,0,0,0,0,28,43,34,31,40,10,5,185
UCL115003,9,4,5,0,4,0,0,24,7,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,17,18,19,11,13,8,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,19,11,13,8,3,80,9,13,5,3,5,0,0,29,0,0,0,0,0,0,0,0,26,32,22,9,15,8,3,108
UCL115004,0,11,9,10,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,13,12,10,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,20,12,10,0,0,57,5,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,22,21,17,10,0,0,75
UCL115005,0,8,5,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,5,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,5,5,0,0,32,6,9,4,6,3,0,0,26,0,0,0,0,0,0,0,0,13,16,9,13,10,0,0,57
UCL115006,8,6,4,10,4,5,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,13,15,15,9,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,14,9,3,0,65,7,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,9,24,13,20,14,3,0,82
UCL115007,5,12,11,4,5,0,0,35,0,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,18,29,22,13,25,3,3,103,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,18,34,22,10,25,3,3,107,11,9,13,0,9,0,0,45,0,0,0,0,0,0,0,3,32,44,25,16,29,3,3,156
UCL115008,6,3,3,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,11,8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,11,8,0,0,28,8,8,3,0,3,0,0,25,0,0,0,0,0,0,0,0,7,16,14,9,5,0,0,55
UCL115009,0,10,4,5,11,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,5,17,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,5,17,0,0,46,4,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,15,9,8,6,12,3,0,58
UCL115010,3,0,4,0,3,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,5,6,4,8,0,0,29,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,4,5,13,4,8,0,0,30,6,3,3,4,0,0,0,18,0,0,0,0,0,0,0,0,9,13,11,8,7,0,0,48
UCL115011,4,7,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,4,6,0,0,41,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,7,0,7,0,0,0,0,0,6,7,21,3,9,12,0,0,46,4,10,5,9,6,0,0,33,0,0,0,0,0,0,0,0,18,29,12,12,16,0,0,80
UCL115012,0,0,3,0,0,0,0,11,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,3,4,5,0,0,32,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,5,12,4,5,0,0,34,11,8,3,4,0,0,0,30,0,0,0,0,0,0,0,0,16,15,19,8,5,0,0,65
UCL115013,16,29,29,8,16,4,0,98,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,18,47,45,26,28,4,0,171,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,20,56,42,25,26,3,0,174,26,36,15,15,14,0,0,107,0,0,8,0,0,0,0,10,48,90,65,39,38,4,0,293
UCL115014,6,27,18,25,24,3,4,101,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,47,33,35,51,4,3,176,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,52,33,35,50,4,3,184,17,20,20,5,12,0,0,74,0,0,0,0,0,0,0,3,23,68,55,43,60,4,3,252
UCL115015,0,0,9,5,3,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,11,5,9,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,9,0,0,34,3,8,3,0,7,0,0,22,0,0,0,0,0,0,0,0,11,18,11,6,11,0,0,54
UCL115016,3,6,0,0,4,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,5,3,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,4,7,7,5,9,8,0,0,23,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,7,9,10,9,12,0,0,36
UCL115017,0,8,7,0,3,0,0,27,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,11,13,4,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,7,3,0,0,40,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,14,13,7,6,0,4,51
UCL115018,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,12,5,5,0,0,0,22,7,4,0,3,4,0,0,21,0,0,0,0,6,0,0,3,7,15,10,3,6,3,0,49
UCL115019,5,14,12,17,12,0,0,59,0,5,0,3,3,0,0,14,0,0,0,0,0,0,0,0,8,33,31,24,28,7,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,34,24,28,7,0,136,9,12,15,5,5,3,0,47,0,0,0,0,0,0,0,0,12,50,46,32,33,10,0,185
UCL115020,6,8,12,3,12,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,26,19,23,6,0,107,0,3,0,0,0,0,0,8,6,4,5,0,0,0,0,12,7,9,6,0,3,0,0,19,16,34,28,23,29,6,0,129,22,26,14,7,9,0,0,67,0,0,0,0,0,0,0,0,36,60,43,28,32,6,0,201
UCL115021,0,5,6,4,3,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,10,10,4,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,4,4,14,10,10,4,0,0,39,5,0,0,4,6,0,0,17,0,0,0,0,0,0,0,0,11,17,16,14,10,0,0,49
UCL115022,5,14,8,3,3,0,0,39,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,14,14,4,16,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,15,17,4,16,0,0,60,4,4,7,0,3,0,0,29,0,0,0,0,0,0,0,0,8,15,29,6,24,0,0,89
UCL115023,0,0,0,9,0,0,0,17,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,4,6,6,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,6,4,0,25,16,13,4,5,0,0,0,40,0,0,0,0,0,0,0,0,22,18,10,8,6,4,0,63
UCL115024,0,3,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,5,7,0,0,31,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,4,12,15,5,7,0,0,38,16,26,12,11,4,0,0,64,0,0,0,0,0,0,0,5,24,32,22,18,11,0,0,100
UCL115025,0,0,6,0,4,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,7,10,10,8,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,10,8,0,47,4,5,7,0,0,0,0,13,0,0,0,0,0,0,0,0,4,12,13,10,10,8,5,61
UCL115026,3,10,4,3,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,6,7,9,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,18,8,4,10,0,0,46,6,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,26,11,8,8,0,0,61
UCL115027,10,17,8,4,6,0,0,46,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,49,17,18,19,9,0,126,0,0,0,0,5,0,0,6,3,0,0,0,4,0,0,9,3,0,0,0,3,0,0,10,16,47,26,17,19,9,0,132,14,10,0,0,8,0,0,35,0,0,0,0,0,0,0,0,35,51,27,23,28,9,0,170
UCL115028,3,3,9,9,8,0,0,37,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,12,16,18,24,16,0,87,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,18,27,10,0,92,0,6,0,0,7,0,0,10,0,0,0,0,0,0,0,0,3,14,18,20,25,15,0,104
UCL115029,5,7,8,9,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,11,17,0,0,53,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,19,7,11,17,0,0,55,0,0,0,0,4,0,0,10,0,4,0,0,0,0,0,4,4,19,9,12,17,5,0,71
UCL115030,5,10,9,4,5,0,0,31,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,13,13,10,15,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,13,10,15,0,0,53,8,11,3,10,4,4,0,35,0,0,0,0,0,0,0,0,12,26,16,20,12,4,0,90
UCL115031,5,9,10,4,7,0,0,37,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,6,9,17,17,11,16,7,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,17,11,16,7,0,74,8,3,0,0,4,0,0,13,0,0,0,0,0,0,0,0,10,23,19,11,17,7,0,89
UCL115032,0,7,3,0,0,0,0,14,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,21,12,8,11,5,0,45,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,5,18,13,8,6,3,0,55,0,5,3,4,10,0,0,21,0,0,0,0,0,0,0,0,6,28,15,11,20,8,0,82
UCL115033,4,6,3,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,37,13,12,11,0,0,97,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,17,37,19,20,11,0,0,100,9,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,26,37,21,16,11,0,0,118
UCL115034,6,4,0,4,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,15,8,14,8,0,0,47,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,14,6,12,9,0,0,55,4,11,0,0,3,0,0,28,0,0,0,6,0,0,0,6,14,27,9,18,15,4,6,87
UCL115035,15,30,10,7,11,0,0,74,3,0,4,0,0,0,0,10,0,0,3,0,0,0,0,3,23,55,24,14,30,0,0,163,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,23,63,31,14,32,0,0,168,13,19,12,5,13,0,0,59,0,0,0,0,0,0,0,0,41,80,40,21,40,0,0,233
UCL115036,3,13,7,7,5,0,0,46,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,12,27,11,18,13,0,0,82,4,0,4,0,0,0,0,7,0,0,0,3,0,0,0,3,4,0,4,0,0,0,0,13,14,27,17,17,13,0,0,91,11,10,3,3,3,0,0,35,0,0,0,0,0,0,0,0,27,34,21,23,18,0,3,128
UCL115037,3,3,6,4,6,3,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,3,5,6,4,4,0,31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,14,8,4,4,0,38,6,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,13,10,13,11,4,4,0,49
UCL115038,4,8,5,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,8,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,5,8,14,3,3,8,0,0,30,6,10,11,6,9,0,0,38,0,0,0,0,0,0,0,8,13,24,17,14,11,0,0,72
UCL115039,9,11,7,4,0,0,0,30,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,18,36,14,13,10,0,0,94,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,36,14,13,9,0,0,96,20,20,7,0,3,0,0,61,0,0,0,0,0,0,0,3,33,64,28,16,13,0,0,158
