UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL112002,8,5,18,8,66,4,101,6,0,18,14,161,0,205,22,11,87,59,428,15,619,10,0,19,26,72,6,123,11,5,45,56,722,20,859,0,0,4,8,93,3,103,19,3,75,44,182,15,330,10,0,55,27,128,13,232,10,0,23,28,173,9,239,5,0,23,7,27,0,69,10,0,29,20,20,0,87,0,0,23,13,24,0,54,41,10,88,29,65,3,241,8,3,14,14,73,0,115,36,33,164,133,268,15,647,120,52,198,30,74,0,476,82,22,151,74,152,12,488,8,0,16,8,22,3,59,10,0,26,16,190,0,243,6,0,19,20,112,30,195,410,148,1104,634,3047,148,5490,0,0,11,11,19,0,42,0,0,0,0,5,0,12,15,0,32,35,96,6,183,5,0,13,11,14,0,41,8,0,18,31,51,7,118,0,0,3,12,21,5,36,11,8,69,66,245,19,416,17,0,47,41
UCL112003,6,0,5,4,16,0,38,4,0,4,5,19,5,31,16,5,46,29,176,0,278,11,5,23,20,39,0,84,13,6,64,54,434,10,587,8,0,22,22,70,0,130,18,3,58,49,119,11,261,16,0,76,55,116,10,270,13,0,44,29,133,3,229,15,0,38,18,16,3,93,20,6,37,21,13,3,103,0,0,22,7,37,0,63,106,23,233,63,59,7,494,16,6,29,20,80,3,140,66,38,139,93,169,8,505,212,50,201,63,56,8,590,99,31,191,84,91,3,507,34,8,36,23,29,0,140,16,0,32,18,115,0,185,12,7,32,30,94,17,185,686,195,1336,704,1893,93,4913,3,0,6,0,9,0,28,0,0,0,0,0,0,4,13,3,27,19,32,3,88,3,0,4,4,4,0,18,8,3,18,27,32,4,86,4,0,10,15,12,3,47,16,6,89,83,117,9,326,21,10,71,62
UCL112004,0,0,13,8,29,3,67,4,0,5,4,36,0,45,31,3,72,44,166,6,324,0,0,10,4,20,0,36,13,0,54,55,461,18,596,18,0,38,21,67,0,148,24,4,53,30,85,11,209,23,0,77,47,74,8,231,14,3,32,43,68,8,168,9,0,25,9,3,0,52,28,12,65,23,15,0,154,7,4,27,16,25,7,86,83,27,221,61,45,3,434,12,4,22,20,71,7,135,28,15,64,51,49,5,211,84,23,100,22,34,0,267,82,19,127,47,41,4,322,5,0,17,13,21,3,63,9,5,26,21,86,0,141,22,4,40,27,47,13,155,485,130,1082,569,1458,118,3844,3,0,14,0,17,0,32,0,0,0,0,0,0,0,14,0,32,17,27,6,92,7,0,3,0,0,0,12,4,5,30,21,39,7,98,8,0,18,11,21,0,61,21,5,83,68,107,16,302,6,5,63,40
UCL112005,0,0,5,3,19,0,27,4,0,11,29,418,3,470,3,0,26,34,170,3,246,0,0,8,10,45,0,61,0,0,12,12,284,8,320,0,0,3,12,72,9,98,3,0,13,19,94,0,133,8,0,22,21,111,8,167,0,0,8,15,113,5,134,0,0,7,5,3,0,17,0,0,6,3,7,0,25,0,0,7,10,23,0,36,9,8,16,10,29,0,75,0,3,3,17,81,4,106,3,7,19,30,123,14,189,16,4,38,5,19,0,78,5,0,29,24,73,3,144,0,0,4,3,20,0,31,0,3,3,4,132,0,154,6,0,10,12,68,12,105,62,19,247,276,1924,86,2613,0,0,0,4,13,3,16,0,0,8,4,26,3,45,4,0,12,25,62,0,101,0,0,0,0,7,0,6,0,0,6,14,35,0,46,0,0,0,5,16,0,26,0,3,20,31,164,10,227,4,0,29,35
UCL112006,6,0,34,22,78,3,146,6,0,15,14,142,7,183,37,4,58,38,288,12,437,8,0,19,25,65,5,124,8,4,50,53,784,15,916,0,6,22,18,122,10,175,60,10,68,38,225,17,426,32,5,79,38,112,18,283,13,0,25,31,169,14,257,0,4,12,6,21,0,45,7,5,40,29,19,3,111,0,5,22,11,33,3,72,45,24,136,34,50,9,290,6,5,15,18,82,9,136,51,23,158,131,253,9,628,52,33,137,40,96,10,365,158,30,279,108,175,27,777,6,0,10,10,54,3,88,12,0,24,18,215,12,284,19,4,32,17,121,33,223,549,141,1217,699,3114,222,5951,3,4,14,10,24,0,57,0,0,5,0,3,0,14,18,0,52,10,39,8,131,0,0,8,0,13,3,31,0,3,28,25,67,0,134,3,0,15,9,42,0,74,61,0,70,60,223,19,434,35,3,64,51
UCL112007,0,0,17,3,26,0,50,0,0,0,0,5,0,5,5,0,16,8,76,4,102,0,0,3,0,15,0,10,3,0,15,11,202,7,224,0,0,5,3,16,0,27,3,0,12,4,23,3,36,0,0,10,16,44,0,76,0,0,0,3,18,0,23,0,0,0,0,0,0,8,0,0,3,3,3,0,14,0,0,6,0,9,0,9,0,0,20,11,5,0,41,0,0,0,4,10,0,20,3,6,16,24,36,3,77,6,7,27,8,4,0,46,20,0,17,9,9,3,65,0,0,9,4,10,0,19,0,0,3,5,22,0,22,0,0,0,7,20,7,37,46,15,171,108,549,31,918,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,9,9,12,0,31,0,0,0,5,0,0,8,0,0,7,4,10,0,20,0,0,0,7,6,0,11,0,0,17,10,22,5,57,0,0,13,20
UCL112008,0,0,4,3,32,0,42,0,0,4,0,14,0,25,0,0,3,9,70,7,84,5,0,5,7,17,0,31,3,0,15,23,360,16,413,0,0,0,3,10,3,22,5,5,21,19,101,5,149,6,0,25,45,105,14,197,0,0,5,6,46,6,66,0,0,5,0,13,0,15,3,0,11,15,7,0,41,0,0,9,9,21,0,39,6,7,49,28,21,0,109,0,0,6,10,42,0,62,7,5,31,40,56,5,145,13,12,62,6,25,0,124,29,16,81,42,102,13,283,0,0,3,8,19,0,35,3,0,6,7,77,0,101,3,0,6,12,50,12,84,88,53,340,284,1193,95,2060,0,0,0,4,5,0,18,0,0,0,0,0,0,0,0,0,4,9,17,6,34,0,0,0,3,12,0,19,0,0,5,15,14,0,42,0,0,3,3,4,0,7,7,4,29,44,116,20,221,3,0,28,35
UCL112009,3,0,7,9,52,5,78,0,0,8,7,63,0,79,4,0,32,31,194,13,279,4,0,0,13,52,0,73,0,0,29,48,517,19,618,0,0,8,13,41,8,72,11,0,25,38,129,5,216,8,0,33,21,66,9,146,6,0,6,17,154,9,188,0,0,4,5,8,0,24,4,0,5,7,7,5,25,0,0,8,5,27,0,40,9,13,52,16,35,3,140,4,0,6,7,60,4,81,31,40,85,110,233,17,508,32,24,70,25,27,4,178,36,6,96,54,86,3,290,3,0,7,0,20,0,33,10,0,12,16,134,3,174,5,0,0,19,94,21,134,184,96,501,466,2006,121,3361,4,0,10,8,10,0,29,0,0,5,3,0,0,5,5,0,17,13,45,10,84,0,0,0,3,3,0,5,0,4,14,15,36,3,73,0,0,4,5,13,3,25,6,0,30,49,171,5,268,6,0,20,33
UCL112010,29,3,85,59,160,19,349,0,0,0,0,5,0,5,41,5,122,84,365,40,660,0,0,12,17,53,0,93,4,0,26,18,397,13,457,4,0,19,14,83,3,118,8,5,32,15,107,6,172,8,3,14,19,44,3,94,5,0,15,12,58,5,100,0,0,4,0,7,0,17,0,0,6,3,4,5,21,0,0,3,6,21,0,25,22,0,63,23,15,6,130,3,0,8,8,37,8,63,14,3,44,44,59,5,165,16,9,81,7,16,0,133,27,9,71,30,40,4,185,0,0,3,0,16,0,22,3,0,12,18,119,0,154,7,0,25,15,85,35,167,196,41,642,388,1698,160,3129,8,0,51,25,30,9,124,0,0,0,0,0,0,0,28,0,105,54,103,28,325,3,3,6,0,7,0,27,0,0,8,3,25,3,40,0,0,14,13,25,3,47,13,5,30,44,127,12,230,4,0,26,24
UCL112011,0,0,0,4,16,3,23,3,5,6,20,330,11,369,3,0,20,18,278,4,321,0,0,5,18,42,0,57,0,4,16,20,401,10,454,0,0,0,4,88,3,102,3,0,15,20,90,0,126,0,3,3,17,65,3,85,0,0,7,14,96,10,129,0,0,0,5,7,0,10,0,0,0,7,14,0,23,0,0,3,3,25,0,33,3,0,26,17,57,0,105,0,3,10,12,77,5,105,0,0,26,32,87,9,147,19,3,36,13,19,0,84,13,3,35,34,77,5,166,0,0,0,0,8,0,9,0,0,0,8,143,0,163,0,0,8,3,104,21,139,45,25,213,261,2019,85,2647,0,0,0,0,14,0,15,0,0,11,9,30,0,55,0,0,9,16,48,3,76,0,0,4,0,6,0,14,0,0,15,15,42,0,77,0,0,0,6,21,0,32,5,0,28,35,171,7,244,0,0,11,26
