UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL113018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,322,669,15,23,38,7,0,7,0,0,0,4,0,10,4,0,0,17,13,32,399,363,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,47,68,31,65,95,8,11,14,462,479,940
UCL114001,4,0,4,7,10,17,0,0,0,0,0,0,0,0,0,641,624,1265,44,49,91,3,0,8,3,0,3,4,0,9,3,3,3,17,22,38,729,709,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,10,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,117,190,305,115,196,315,4,12,13,977,1108,2083
UCL114002,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,726,744,1468,30,43,70,28,0,31,6,0,6,4,0,10,9,0,10,42,44,83,842,838,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,96,145,238,84,148,230,11,7,12,1029,1149,2175
UCL114003,0,0,0,5,4,5,4,0,4,0,0,0,4,0,10,1219,1103,2320,112,99,213,43,0,40,21,0,26,21,3,29,3,8,5,50,50,101,1490,1273,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,20,19,9,19,0,0,0,0,0,0,0,0,0,0,0,0,58,121,183,173,261,440,22,12,36,1767,1681,3448
UCL114004,0,0,0,15,0,13,0,0,0,0,0,0,5,5,12,955,858,1811,95,92,182,17,0,17,16,0,16,14,0,10,5,3,13,98,92,196,1218,1058,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,5,15,9,24,16,7,30,0,0,0,0,0,0,0,0,0,0,0,0,122,129,248,125,176,300,9,9,19,1495,1380,2875
UCL114005,0,0,0,21,5,30,0,0,0,0,0,0,0,0,0,672,629,1309,53,54,115,11,0,16,6,0,6,8,0,9,0,0,0,48,56,100,826,757,1580,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,8,5,14,0,0,0,0,0,0,0,0,0,0,0,0,34,60,97,86,120,206,20,12,34,977,957,1931
UCL114006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,756,1645,57,47,107,11,0,11,8,0,8,12,4,17,9,3,10,37,63,97,1022,873,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,45,87,134,85,155,245,13,8,21,1173,1127,2301
UCL114007,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,1232,1031,2266,111,79,188,45,3,46,11,0,11,4,0,10,11,3,14,79,76,154,1497,1201,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,55,105,161,91,199,289,12,6,18,1668,1516,3178
UCL114008,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,970,996,1964,67,60,132,24,0,22,7,0,15,20,3,21,11,0,11,50,69,123,1148,1148,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,21,15,11,24,0,0,0,0,0,0,0,0,0,0,0,0,65,74,140,79,149,227,23,8,29,1319,1393,2716
UCL114009,0,0,0,5,11,12,0,0,0,0,0,0,0,0,0,1371,1307,2680,77,88,168,14,0,14,7,0,7,5,6,11,3,6,7,10,9,26,1494,1432,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,14,7,24,21,5,25,0,0,0,0,0,0,0,0,0,0,0,4,93,190,286,118,302,415,5,7,13,1729,1942,3672
UCL114010,0,0,0,12,5,15,0,0,0,0,0,0,5,3,5,1114,934,2053,78,94,170,20,0,26,7,3,11,11,3,15,9,0,8,59,60,116,1325,1101,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19,15,0,16,0,0,0,0,0,0,0,0,0,0,3,3,66,122,179,84,158,241,12,15,32,1501,1403,2900
UCL114011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,543,561,1100,50,66,121,33,0,30,11,5,14,10,0,10,3,0,3,63,55,118,712,687,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,47,77,122,62,108,175,13,15,24,843,893,1738
UCL114012,0,0,0,9,12,21,0,0,0,0,0,0,0,0,0,1398,1151,2549,39,102,138,14,0,14,21,0,21,3,0,5,8,0,9,15,20,40,1506,1291,2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,4,0,0,0,8,3,11,14,0,14,18,12,29,0,0,0,0,0,0,0,0,0,0,0,0,160,220,382,138,264,396,11,4,13,1835,1791,3621
UCL114013,0,0,0,89,19,103,0,0,0,0,0,0,3,4,10,1190,1135,2326,134,108,244,31,0,31,10,0,11,8,0,11,11,3,13,47,60,105,1523,1338,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,6,0,8,8,3,15,14,9,22,0,0,0,0,0,0,0,0,0,0,0,0,71,151,216,195,226,421,11,7,19,1823,1723,3543
UCL114014,42,20,59,0,0,0,0,0,0,0,0,0,0,0,0,870,579,1449,37,27,66,33,0,33,3,0,3,0,4,5,7,9,14,29,29,57,1018,681,1702,4,3,11,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,15,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,3,10,21,12,33,0,0,0,0,0,0,0,0,0,0,0,0,464,627,1093,213,320,530,4,0,4,1720,1643,3362
UCL114015,0,0,0,3,3,8,0,0,0,0,0,0,3,10,8,1296,1155,2452,134,150,285,33,0,33,30,3,32,3,0,6,10,4,12,64,89,153,1575,1418,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,14,11,7,21,0,0,0,0,0,0,0,0,0,0,0,0,75,149,224,142,210,352,15,11,19,1819,1801,3614
UCL114016,3,0,6,0,0,0,0,0,0,0,0,0,3,0,4,1260,1112,2379,101,142,246,18,0,18,6,0,7,21,0,21,8,4,10,66,55,118,1497,1319,2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,31,22,13,34,0,0,0,0,0,0,0,0,4,0,0,4,61,84,147,92,160,257,12,5,23,1686,1585,3274
UCL114017,5,6,6,7,7,13,0,0,0,0,0,0,0,0,0,1189,1058,2243,53,64,116,24,0,22,6,0,8,23,15,38,6,4,11,42,47,86,1342,1199,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,8,9,18,14,11,24,0,0,0,0,0,0,0,0,0,0,0,0,351,456,801,223,310,529,0,4,8,1939,1975,3913
UCL114018,0,0,0,6,3,9,0,0,0,0,0,0,0,6,5,1125,1031,2160,62,93,152,20,0,27,7,0,11,14,0,10,18,8,23,56,69,125,1312,1218,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,14,11,5,14,0,0,0,0,0,0,0,0,0,0,0,0,184,241,426,150,239,394,10,7,26,1664,1717,3383
UCL114019,0,0,0,5,4,14,0,0,0,0,0,0,3,4,9,1049,961,2012,84,110,193,39,0,37,6,0,5,10,3,10,3,4,12,58,54,113,1266,1143,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,10,6,19,12,9,21,0,0,0,0,0,0,0,0,0,0,0,0,46,102,155,73,121,192,20,17,32,1414,1388,2807
UCL114020,13,8,19,13,8,27,0,0,0,0,0,0,3,6,7,1333,1153,2487,97,106,204,46,3,48,7,5,8,8,3,6,13,4,16,56,56,112,1577,1348,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,12,5,18,18,17,35,0,3,3,0,0,0,0,0,0,0,3,3,289,342,633,164,268,436,23,14,33,2071,1986,4066
UCL114021,0,0,0,10,3,14,0,0,0,0,0,0,5,3,6,1329,1258,2589,79,95,171,46,4,47,21,3,22,17,7,23,9,3,14,65,75,135,1580,1448,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,21,18,7,25,0,0,0,0,0,0,0,0,3,0,0,3,159,233,390,162,289,447,8,11,23,1931,1986,3911
UCL114022,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,634,662,1297,62,44,102,20,0,20,3,0,4,3,0,0,6,6,9,32,38,65,754,758,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,75,88,161,79,128,209,24,17,37,935,999,1929
UCL114023,0,0,0,30,20,54,0,0,0,0,0,0,0,0,0,903,799,1701,81,68,147,23,0,25,0,0,4,11,4,19,6,0,12,34,46,79,1089,945,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,7,0,8,9,0,9,13,4,23,0,0,0,0,0,0,0,0,0,0,0,0,68,96,162,117,130,245,6,7,16,1293,1186,2482
UCL114024,0,0,0,9,9,11,0,0,3,0,0,0,16,9,17,1546,1399,2944,148,126,274,30,0,25,24,3,24,10,0,15,17,3,19,73,93,169,1858,1645,3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,20,12,10,24,0,0,0,0,0,0,0,4,3,4,4,4,112,196,303,175,208,380,9,3,18,2164,2068,4233
UCL114025,0,0,0,10,4,10,0,0,0,0,0,0,0,0,0,947,903,1847,47,50,95,21,0,23,12,0,10,10,17,26,12,5,19,21,26,47,1073,1004,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,10,17,15,10,18,0,0,0,0,0,0,3,0,3,3,0,3,197,303,502,141,248,390,9,9,16,1439,1577,3010
UCL114026,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,736,580,1311,33,53,80,10,4,13,9,0,9,0,0,0,0,4,5,10,11,23,814,652,1467,0,0,4,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,15,19,3,18,0,0,0,0,0,0,0,0,0,0,0,0,252,389,637,129,226,359,7,8,8,1220,1276,2493
UCL114027,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,581,470,1055,29,36,64,17,0,20,3,0,3,5,0,12,9,7,16,19,7,29,674,523,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,203,244,447,165,206,375,6,4,9,1056,986,2043
UCL114028,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,905,730,1630,70,81,146,18,0,18,12,0,13,24,3,21,8,4,14,29,54,78,1061,872,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,12,15,4,13,0,0,0,0,0,0,0,0,0,0,0,0,60,121,178,118,145,258,10,10,14,1258,1145,2400
UCL114029,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,952,573,1525,45,30,76,83,6,85,0,0,0,0,0,0,3,12,10,13,15,22,1106,627,1735,0,0,0,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,10,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,13,5,21,0,0,5,0,0,0,0,0,0,0,0,5,196,458,655,174,224,405,3,7,9,1500,1325,2823
UCL114030,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,568,540,1107,41,50,88,18,0,18,11,0,11,6,7,13,6,0,10,35,46,84,686,656,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,86,127,217,87,139,225,3,7,10,873,928,1797
UCL114031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,675,1597,50,36,84,38,4,40,3,0,3,4,0,4,7,4,8,10,9,23,1028,734,1767,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,15,10,23,0,0,0,0,0,0,0,0,0,0,0,0,174,345,523,159,240,401,3,9,8,1383,1331,2712
UCL114032,16,7,25,0,0,0,0,0,0,0,0,0,0,0,0,759,537,1299,49,33,80,33,0,33,10,0,10,3,0,3,10,3,11,17,24,38,894,611,1503,4,0,4,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,4,12,20,3,24,0,0,0,0,0,0,0,0,0,0,0,0,128,271,404,129,202,335,0,7,4,1174,1097,2271
UCL114033,0,0,0,8,3,14,0,0,0,0,0,0,0,0,4,1068,897,1964,89,92,178,20,0,20,11,0,11,5,0,4,5,6,10,58,56,114,1263,1055,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,24,17,9,27,0,0,0,0,0,0,0,0,0,0,0,0,51,84,137,97,203,298,10,0,15,1446,1357,2801
UCL114034,0,0,0,6,10,9,0,0,0,0,0,0,0,4,0,1098,1065,2166,72,65,144,46,0,45,19,0,23,4,0,4,8,6,8,36,42,71,1283,1187,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,6,10,5,13,12,8,17,0,0,0,0,0,0,0,0,0,0,0,0,72,138,209,110,237,347,13,5,17,1485,1585,3068
UCL114035,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,848,693,1543,72,103,176,30,0,39,4,6,9,10,0,16,9,3,11,39,41,78,1022,858,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,16,8,8,18,0,0,0,0,0,0,0,0,0,0,0,0,78,120,198,82,161,246,8,10,18,1199,1161,2368
UCL114036,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,658,656,1309,40,50,92,6,0,9,10,0,10,25,16,42,8,4,11,64,74,134,812,809,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,13,8,9,12,0,0,0,0,0,0,0,0,0,0,0,0,125,174,300,101,165,264,6,7,19,1055,1160,2217
UCL114037,0,0,0,14,16,28,0,0,0,0,0,0,0,0,0,949,821,1767,57,62,117,35,0,35,3,4,3,10,0,7,7,6,15,56,58,113,1129,961,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,0,0,0,0,8,10,12,13,22,11,12,29,0,0,0,0,0,0,0,0,0,0,0,3,114,175,284,102,185,278,10,7,14,1362,1342,2706
UCL114038,0,0,0,4,5,6,3,0,3,0,0,0,4,5,8,1093,1034,2127,123,100,221,26,0,23,7,3,13,6,0,6,13,3,15,69,69,137,1349,1213,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,13,10,5,20,0,0,0,0,0,0,0,0,0,0,0,0,57,100,153,86,176,265,11,6,18,1520,1498,3018
UCL115001,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,333,274,607,14,16,27,3,0,3,0,0,0,0,0,0,4,0,5,10,10,15,369,308,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,13,24,38,55,63,120,4,0,3,445,398,843
UCL115002,0,0,0,7,7,9,0,0,0,0,0,0,0,0,0,617,477,1093,40,39,77,19,0,21,6,0,6,3,0,0,5,4,7,19,12,29,697,541,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,4,14,0,0,0,0,0,0,0,0,0,0,0,0,160,210,371,145,217,359,0,5,3,1011,986,1995
UCL115003,0,5,6,6,0,4,0,0,0,0,0,0,0,0,0,426,288,711,22,15,33,30,0,30,0,0,0,0,0,0,6,3,7,7,14,19,490,317,810,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,9,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,14,3,18,0,0,0,0,0,0,0,0,0,0,0,0,128,228,363,99,114,208,0,4,6,739,665,1405
UCL115004,0,0,0,23,38,61,0,0,0,0,0,0,0,0,3,204,233,436,22,31,52,5,0,5,4,0,0,5,9,11,0,0,0,10,11,17,264,316,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,44,50,87,31,43,77,3,0,3,343,411,753
UCL115005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,123,290,14,10,24,4,0,4,0,0,0,3,0,4,0,0,3,19,29,45,206,169,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,9,12,19,16,20,37,0,0,0,235,202,437
UCL115006,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,259,259,519,10,13,26,4,0,8,4,0,5,0,0,0,0,3,3,19,24,38,303,302,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,183,326,48,70,118,0,4,8,498,560,1055
UCL115007,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,526,379,902,39,26,63,30,0,30,7,0,7,0,0,0,0,0,0,13,7,21,628,410,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,90,184,276,88,119,213,6,4,10,818,721,1538
UCL115008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,122,251,7,4,17,0,0,0,5,0,5,3,0,3,0,0,0,16,27,44,166,151,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,16,28,23,31,49,0,4,5,204,203,404
UCL115009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,265,555,23,20,49,10,0,10,0,0,0,0,0,0,0,0,0,0,13,15,335,298,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,25,28,55,37,65,98,0,5,9,404,396,795
UCL115010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,167,3,3,8,5,0,5,0,0,0,0,0,0,0,0,0,16,20,41,109,113,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,14,26,14,13,30,5,0,0,145,143,288
UCL115011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,211,440,9,13,25,8,0,8,0,0,0,0,0,0,0,0,0,5,3,10,261,229,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,61,45,48,93,0,0,0,327,314,642
UCL115012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,122,266,14,7,23,3,0,3,0,0,0,0,0,0,6,0,4,9,11,26,174,146,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,11,17,20,21,35,0,0,0,201,180,379
UCL115013,0,0,0,0,4,7,0,0,0,0,0,0,5,0,6,554,533,1085,51,49,93,11,0,11,4,0,5,10,5,11,7,3,3,69,89,155,701,680,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,13,4,18,0,0,0,0,0,0,0,0,5,0,0,5,49,83,130,77,117,200,6,3,15,850,891,1740
UCL115014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,373,687,23,34,50,9,0,9,0,0,8,6,4,9,0,0,0,38,59,98,392,471,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,108,142,246,64,113,174,4,4,8,571,731,1303
UCL115015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,172,357,17,9,28,6,0,6,3,0,3,6,4,10,5,0,4,21,33,48,236,213,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,59,94,29,41,66,7,9,16,309,329,638
