UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL122127,16,4,15,41,68,31,24,65,23,253
UCL122128,3,0,5,22,35,19,28,36,14,166
UCL122129,0,0,10,35,81,44,32,42,14,252
UCL122130,0,0,3,27,55,23,18,32,21,168
UCL122131,0,0,5,71,83,15,5,69,118,363
UCL122132,9,0,13,52,72,34,40,147,38,380
UCL122133,5,0,5,32,39,22,21,71,49,247
UCL122134,0,0,6,70,98,53,32,52,24,316
UCL122135,0,0,3,47,29,23,12,66,27,208
UCL122136,0,0,0,21,14,18,18,57,9,138
UCL122137,11,5,29,32,41,28,31,65,43,234
UCL122138,9,0,16,38,70,35,24,91,28,290
UCL122139,0,0,0,38,61,33,23,56,8,220
UCL122140,0,12,16,17,24,16,17,44,43,168
UCL122141,0,0,6,60,96,49,17,66,20,309
UCL122142,0,0,0,34,43,23,16,41,13,172
UCL122143,0,5,4,25,46,28,16,27,35,177
UCL122144,19,0,28,53,92,34,48,109,20,363
UCL122145,3,0,3,28,48,26,36,43,23,205
UCL122146,4,0,11,37,58,30,18,73,18,230
UCL122147,10,0,10,27,33,21,27,66,21,188
UCL122148,0,0,5,19,42,25,27,49,29,192
UCL122149,0,0,0,53,60,31,26,78,38,281
UCL122150,0,0,4,62,119,54,40,66,24,362
UCL122151,3,0,8,36,48,34,24,59,41,250
UCL122152,3,0,3,40,47,41,47,84,26,285
UCL122153,3,0,7,57,108,53,44,51,17,327
UCL122154,0,0,9,75,132,59,23,39,20,347
UCL122155,7,0,13,77,111,58,44,92,47,415
UCL122156,0,0,5,66,91,39,31,101,15,345
UCL122157,0,0,0,91,92,62,30,65,12,351
UCL122158,19,3,22,30,45,21,22,69,3,188
UCL131001,3337,1114,8221,85047,127993,70757,57770,86886,44501,472950
UCL179997,0,0,0,0,0,0,0,0,0,0
UCL199994,23,19,49,1561,1512,614,402,2643,3376,10112
