UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL112002,12,69,752,4452,4605,850,175,125,11033,0,135,661,370,52,3,3,24,1261,6,93,97,126,34,0,0,13,367,3,228,750,497,89,5,3,44,1626,20,142,417,72,10,0,4,20,677,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,0,5,19,20,149,421,70,9,0,4,17,704,0,7,11,4,0,4,0,3,34,0,4,4,7,4,0,6,5,25,35,458,1937,5036,4712,858,182,192,13419
UCL112003,27,239,1802,5277,2911,755,156,96,11269,4,56,111,108,15,0,0,5,298,0,21,66,135,10,0,4,5,235,5,76,175,245,22,0,4,10,532,18,164,176,35,7,4,0,7,417,4,33,96,22,0,0,4,0,163,0,4,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,26,14,9,3,0,0,57,19,207,310,72,13,11,6,14,657,5,9,14,10,0,0,0,0,31,4,7,3,0,0,0,0,20,45,63,536,2311,5602,2957,760,167,131,12534
UCL112004,9,98,613,2955,3469,764,180,72,8156,3,61,365,183,24,0,6,16,651,0,6,103,187,20,0,0,0,315,3,64,467,366,41,0,6,16,965,7,64,156,28,5,0,0,7,267,0,3,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,8,5,0,0,34,7,77,169,35,17,6,5,11,316,3,15,6,9,0,0,0,0,41,0,3,6,8,6,0,0,3,29,21,257,1262,3372,3531,768,185,105,9506
UCL112005,0,77,990,3558,1940,261,50,93,6973,0,96,455,289,13,0,0,15,874,0,49,39,17,8,0,0,4,119,0,148,491,306,20,0,0,27,995,3,56,47,9,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,16,3,61,53,11,3,0,0,0,138,3,24,17,3,0,0,0,0,42,0,0,10,6,0,0,0,0,19,7,312,1565,3887,1958,267,54,119,8172
UCL112006,11,80,719,4870,4860,637,103,167,11443,3,76,873,263,53,3,0,42,1313,0,7,37,13,0,0,0,0,60,3,85,912,281,52,5,0,46,1375,21,278,662,72,11,0,4,31,1078,0,5,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,4,0,0,0,18,21,292,676,76,20,0,4,28,1106,8,16,19,8,4,0,0,0,54,0,11,4,4,4,0,0,11,42,40,477,2321,5236,4942,641,109,253,14014
UCL112007,0,13,216,960,850,94,13,39,2182,0,15,232,35,5,0,0,11,285,0,0,6,8,0,0,0,0,17,0,15,235,40,3,0,0,11,304,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,10,20,5,0,0,0,0,30,0,0,0,0,3,0,0,0,11,0,32,476,1009,858,95,13,49,2527
UCL112008,6,66,590,2805,1766,293,47,84,5650,3,60,510,799,30,0,0,21,1417,0,37,88,86,9,0,0,5,230,3,96,601,884,34,0,0,25,1643,15,194,504,133,4,0,4,27,887,4,42,288,47,0,0,0,11,393,0,20,272,67,5,0,0,5,371,0,3,32,41,0,0,0,0,75,0,0,7,0,0,0,0,0,3,17,267,1095,290,9,3,4,48,1728,13,54,83,20,0,0,0,8,181,0,5,13,10,0,0,0,4,36,39,490,2373,4001,1818,297,50,162,9238
UCL112009,0,111,856,3727,2540,382,86,97,7804,10,131,342,313,46,0,0,16,862,0,3,109,45,12,0,0,0,171,10,137,450,358,54,5,0,20,1027,0,73,175,15,6,0,0,8,279,0,29,34,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,13,0,106,218,20,4,0,0,9,359,9,29,18,4,3,0,0,7,71,0,6,6,9,0,0,0,10,23,23,382,1548,4120,2593,385,91,138,9283
UCL112010,0,41,428,2732,2214,290,43,112,5859,0,42,138,153,10,0,0,8,348,0,30,17,8,0,0,0,6,64,0,71,155,162,10,0,0,10,404,5,126,516,179,8,4,0,27,862,0,4,18,3,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,10,5,133,535,180,14,3,0,27,899,4,33,14,13,5,0,3,9,83,0,0,4,3,4,0,0,5,32,11,280,1140,3096,2245,295,42,161,7272
UCL112011,15,95,872,3128,2122,280,45,81,6646,0,39,196,144,8,0,0,5,390,0,28,69,34,0,0,0,0,131,0,63,264,176,8,0,0,5,523,0,39,57,9,0,0,0,8,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,0,0,0,0,27,0,44,72,16,3,0,0,8,144,0,4,7,0,0,0,0,0,5,0,0,0,3,9,0,0,3,12,21,211,1217,3316,2147,287,48,94,7332
UCL112012,21,89,870,4489,2489,464,94,103,8617,14,147,710,246,22,0,0,20,1161,7,60,225,169,15,7,3,14,503,14,207,943,419,30,5,3,37,1661,15,127,347,116,28,0,4,10,645,0,6,64,3,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,11,15,137,407,121,27,0,4,14,732,39,105,44,6,0,0,0,10,206,0,5,8,6,0,0,0,3,28,96,537,2279,5039,2556,475,105,162,11242
UCL112013,0,0,41,401,280,29,8,12,770,0,7,23,3,4,0,0,0,38,0,0,4,0,0,0,0,0,0,0,11,23,3,4,0,0,0,42,0,3,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,19,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,4,5,15,81,404,285,29,8,14,834
UCL112014,22,157,1001,2666,2901,518,107,85,7457,0,30,297,208,7,0,0,19,558,0,0,49,84,23,0,0,10,168,0,34,342,291,32,0,3,22,725,0,36,75,20,7,0,0,0,141,0,0,10,0,0,0,0,0,6,0,0,17,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,13,3,5,0,0,0,23,0,42,108,27,16,3,0,0,198,0,4,6,0,0,0,0,0,14,0,5,10,0,3,0,0,0,17,25,238,1474,2992,2947,522,112,107,8415
UCL112015,11,131,869,4683,3961,616,108,144,10519,0,137,708,278,28,0,5,33,1179,0,72,115,56,3,0,0,3,256,0,207,824,331,34,4,5,43,1437,5,103,147,58,5,0,0,11,325,0,0,10,13,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,4,4,0,0,33,5,107,170,78,8,3,0,14,379,3,26,41,5,0,0,0,6,79,0,4,7,0,3,0,0,17,28,17,478,1903,5097,4004,619,109,223,12453
UCL112016,16,114,927,5842,4857,774,123,187,12843,9,189,770,309,30,0,5,37,1355,0,83,64,46,3,0,0,8,204,9,267,840,359,30,0,5,46,1556,3,131,277,63,16,0,4,18,507,0,3,27,3,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,4,0,0,0,16,3,141,307,70,17,0,0,17,553,0,20,7,4,5,0,0,4,49,3,10,10,12,7,4,0,7,49,38,548,2091,6287,4922,776,129,258,15047
UCL112017,14,129,1109,5900,4604,989,160,159,13052,5,155,1339,940,62,5,3,63,2576,3,42,273,547,75,8,0,13,966,11,201,1606,1491,134,17,3,80,3541,6,337,670,243,14,0,0,37,1300,0,28,450,85,6,0,0,11,575,14,139,548,246,7,0,0,20,972,0,8,69,52,0,0,0,0,134,0,0,0,4,3,0,0,0,11,17,519,1728,634,24,3,0,68,3000,6,29,36,13,3,0,0,5,88,0,3,18,9,4,0,0,9,47,45,874,4497,8037,4770,1008,166,323,19725
UCL112018,17,100,1009,5592,3685,525,112,188,11229,17,253,1034,304,14,3,0,43,1666,3,74,203,55,8,0,0,8,347,17,323,1227,359,25,3,0,47,2014,9,81,177,30,3,0,0,10,306,0,0,21,0,0,0,0,0,22,0,0,17,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,9,80,215,32,3,0,0,10,356,0,12,11,5,0,0,0,4,39,0,27,20,16,6,0,3,16,87,49,546,2492,6012,3710,528,120,258,13712
UCL112019,13,78,1290,7346,5785,1086,171,203,15976,4,85,538,121,11,5,0,15,787,0,8,112,83,5,0,0,0,211,7,97,650,207,19,4,0,20,996,3,244,1479,176,15,6,3,57,1976,0,40,50,16,0,0,0,0,113,0,10,21,16,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,5,6,6,4,0,0,0,17,8,297,1551,216,20,6,3,57,2152,4,13,21,12,8,0,10,3,73,0,8,6,10,0,4,0,4,31,32,490,3522,7797,5825,1096,187,284,19226
UCL113001,5,53,691,2219,1323,219,33,66,4608,5,57,626,551,33,0,0,32,1309,3,107,453,482,43,4,0,18,1112,3,168,1080,1036,78,5,0,49,2424,0,68,254,59,0,0,0,10,399,0,4,102,43,0,0,0,3,147,0,10,25,37,0,0,0,0,67,0,0,12,3,0,0,0,0,18,0,4,4,0,0,0,0,0,12,0,85,393,151,6,0,0,18,645,6,78,158,36,6,0,0,33,320,6,25,12,3,0,0,0,3,51,21,408,2332,3435,1411,229,29,170,8043
UCL113002,3,38,358,1720,1177,222,62,56,3640,0,15,170,154,4,0,0,12,355,0,26,126,122,15,3,0,13,308,0,46,292,279,15,0,0,27,664,0,71,367,178,13,9,0,9,651,0,0,21,3,0,0,0,0,26,0,0,19,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,71,411,194,13,9,0,7,711,7,27,29,4,3,0,0,0,69,0,4,9,3,3,0,0,4,17,12,173,1093,2208,1219,233,61,95,5104
UCL113003,16,133,1271,3891,1184,205,38,128,6862,0,50,67,17,8,0,0,8,158,0,3,6,10,0,0,0,0,17,0,58,77,25,8,0,0,8,177,0,89,72,4,0,0,0,9,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,72,4,0,0,0,9,186,0,0,0,0,0,0,0,0,8,0,4,3,5,0,0,3,0,19,17,293,1432,3929,1194,204,40,149,7255
UCL113004,20,117,224,935,770,170,51,36,2322,0,28,147,148,12,0,0,4,338,5,45,173,376,45,7,0,17,658,5,68,320,522,61,7,0,21,997,3,82,83,66,3,0,0,10,249,0,3,6,18,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,0,0,5,0,0,34,9,100,96,88,6,5,0,11,318,30,65,32,13,3,0,0,6,150,3,10,13,5,3,5,3,8,38,68,356,688,1558,845,179,53,76,3821
UCL113005,10,51,771,2870,1378,292,54,94,5517,5,108,107,59,5,0,0,8,296,0,29,103,90,15,0,0,3,243,10,133,214,143,19,3,0,19,540,3,101,330,114,11,0,4,11,590,0,0,13,0,0,0,0,0,14,0,5,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,113,355,114,11,0,4,12,619,11,33,15,36,13,4,0,3,114,0,7,9,0,0,0,0,8,24,37,340,1355,3163,1429,297,60,133,6817
UCL113006,6,49,482,1795,714,127,30,85,3290,0,0,24,6,3,0,0,0,44,0,4,41,0,0,0,0,0,48,0,4,67,7,3,0,0,0,90,9,88,168,12,0,0,0,11,280,0,3,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,96,174,12,0,0,0,8,300,9,12,8,6,3,0,0,13,50,0,0,5,0,0,0,0,6,19,23,160,736,1826,726,133,37,115,3746
UCL113007,3,19,208,1574,1694,399,71,19,3984,0,4,116,112,12,4,0,3,246,0,18,197,423,48,3,0,4,697,0,23,308,534,55,7,0,8,941,9,20,102,49,11,0,0,6,193,0,6,78,49,0,0,0,0,142,0,70,163,59,6,0,5,9,310,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,24,10,104,349,166,22,0,5,15,663,0,7,11,6,4,0,0,0,36,0,0,3,0,0,0,0,0,7,16,155,880,2280,1769,407,76,46,5632
UCL113008,4,52,804,2065,898,133,40,94,4098,12,52,261,151,3,0,0,29,508,0,20,34,29,0,0,0,0,84,12,75,293,180,3,0,0,30,595,0,34,47,16,0,0,0,0,106,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,34,56,19,3,0,0,8,121,4,3,6,8,0,5,0,0,23,0,10,0,0,5,0,0,0,11,22,177,1153,2282,913,136,42,131,4850
