UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL112002,..,212,105,31,45,52,40,6,0,486,..,112,204,109,232,394,442,428,211,2134,33,82,52,25,28,27,37,22,10,309,3172,2102,2314,1994,2065,1984,1650,980,367,16630,..,68,1419,2023,2092,2098,1916,975,206,10807,..,545,1212,637,442,327,124,38,3,3328,..,73,330,469,517,248,114,83,45,1877,6450,..,..,..,..,..,..,..,..,6450,..,1441,..,..,..,..,..,..,..,1441,..,1095,448,155,105,82,8,0,0,1901,..,187,128,29,60,95,109,60,35,705,..,127,110,35,42,22,9,3,0,352,..,410,266,88,102,113,88,20,4,1093,..,220,464,342,514,748,721,599,270,3880,78,154,113,59,66,58,47,32,17,623,6524,4317,4490,3846,3933,3787,3146,1813,586,32458
UCL112003,..,46,72,40,49,78,76,32,9,403,..,29,67,125,257,526,736,493,152,2386,46,40,44,33,31,38,25,17,8,273,2248,1289,1321,1791,2160,2334,2235,1086,297,14766,..,25,790,1670,2082,2276,2201,948,163,10141,..,213,678,675,655,525,357,81,14,3193,..,21,98,304,427,242,154,76,57,1383,4442,..,..,..,..,..,..,..,..,4442,..,1301,..,..,..,..,..,..,..,1301,..,802,446,194,97,62,21,0,0,1625,..,78,46,33,36,88,102,72,29,485,..,69,75,44,30,27,15,4,0,261,..,125,175,95,116,149,158,81,13,898,..,53,173,291,535,894,1193,687,215,4033,83,68,87,65,58,74,47,26,16,522,4527,2747,2569,3364,4036,4333,4245,1969,496,28296
UCL112004,..,32,39,27,30,37,39,16,0,218,..,15,44,56,118,288,555,535,253,1854,29,42,19,19,24,29,21,13,20,217,1767,940,926,1153,1472,1586,1951,1467,466,11722,..,27,758,1438,1666,1797,2196,1664,342,9887,..,86,335,283,320,237,223,75,12,1566,..,19,50,137,270,154,75,73,69,851,3514,..,..,..,..,..,..,..,..,3514,..,924,..,..,..,..,..,..,..,924,..,627,297,125,116,81,18,0,0,1259,..,69,58,21,32,56,68,74,36,414,..,48,94,22,21,8,13,4,0,206,..,55,108,57,55,67,79,35,6,466,..,24,89,121,230,456,736,712,339,2712,45,67,47,31,36,40,39,22,25,355,3566,1952,1843,2226,2742,2892,3444,2660,834,22165
UCL112005,..,27,38,22,33,35,34,8,3,204,..,32,102,71,120,241,310,257,144,1275,57,50,36,16,19,26,17,13,9,241,1969,1252,1386,1240,1236,1302,1156,622,241,10409,..,51,731,1035,1142,1232,1261,564,112,6128,..,289,660,381,302,224,87,25,0,1972,..,86,317,396,343,219,99,76,38,1576,3925,..,..,..,..,..,..,..,..,3925,..,766,..,..,..,..,..,..,..,766,..,885,393,150,104,64,12,0,0,1602,..,112,78,31,63,111,94,51,31,566,..,93,68,50,38,20,17,3,0,287,..,65,115,58,73,80,71,17,4,490,..,64,218,199,285,475,538,379,190,2342,114,86,70,39,39,52,26,19,5,461,4035,2493,2651,2340,2400,2476,2205,1128,382,20120
UCL112006,..,160,205,47,62,59,33,9,3,585,..,114,230,162,226,441,473,482,215,2342,54,64,52,26,36,40,26,22,6,331,3795,2054,3073,2211,1955,2030,1594,1083,356,18143,..,87,2145,2426,1895,2067,1696,997,200,11509,..,596,1357,543,431,316,136,42,5,3433,..,108,434,467,463,236,117,79,48,1952,7467,..,..,..,..,..,..,..,..,7467,..,1158,..,..,..,..,..,..,..,1158,..,1050,449,164,131,63,21,0,0,1884,..,251,174,35,97,138,119,62,29,909,..,163,212,55,31,22,11,6,0,499,..,293,495,107,113,112,69,22,12,1222,..,201,505,369,484,741,747,644,281,3968,118,151,112,77,77,64,49,36,9,688,7586,4052,5890,4247,3715,3762,2958,1895,584,34698
UCL112007,..,7,9,5,4,13,8,4,3,53,..,5,22,10,18,60,98,107,57,383,5,7,7,7,5,8,5,3,0,48,543,261,297,345,375,409,500,308,90,3117,..,0,203,426,465,479,650,397,56,2689,..,35,174,96,108,90,65,18,5,582,..,0,24,48,60,26,13,12,7,182,1060,..,..,..,..,..,..,..,..,1060,..,242,..,..,..,..,..,..,..,242,..,170,55,20,19,8,0,0,0,269,..,14,10,0,5,15,20,15,7,87,..,20,8,3,10,0,0,6,0,37,..,11,27,5,4,18,23,9,4,105,..,13,49,30,39,119,166,142,80,639,10,18,14,3,6,13,15,11,0,95,1074,531,562,636,715,761,956,602,147,5990
UCL112008,..,45,47,23,33,57,48,32,6,288,..,29,72,45,134,319,525,548,341,2007,26,24,19,11,16,27,23,19,12,186,1154,732,726,812,1035,1518,1978,1387,570,9906,..,13,304,754,863,1430,2248,1521,331,7460,..,139,330,240,275,274,231,91,14,1582,..,34,134,201,241,160,90,68,70,988,2274,..,..,..,..,..,..,..,..,2274,..,495,..,..,..,..,..,..,..,495,..,497,220,116,109,98,24,0,0,1065,..,76,42,16,25,63,87,53,44,405,..,62,38,31,16,22,14,0,0,180,..,73,96,64,71,104,103,64,9,579,..,50,140,134,293,585,922,783,493,3404,52,54,50,27,43,38,49,37,20,365,2327,1475,1339,1572,1947,2780,3762,2620,979,18793
UCL112009,..,33,64,30,38,36,32,17,8,250,..,48,131,89,168,333,447,364,165,1749,35,32,26,16,16,30,24,10,8,198,2004,1129,1511,1297,1355,1391,1290,805,290,11067,..,40,988,1328,1268,1459,1264,699,166,7218,..,329,751,381,318,188,107,33,3,2115,..,52,214,292,300,166,88,76,40,1226,4043,..,..,..,..,..,..,..,..,4043,..,700,..,..,..,..,..,..,..,700,..,815,320,132,101,59,10,0,0,1441,..,96,74,36,59,64,83,46,16,476,..,67,68,33,15,18,5,3,0,199,..,98,148,64,70,82,68,31,14,583,..,100,268,206,385,620,717,541,232,3070,61,60,71,45,37,45,51,28,15,415,4100,2369,2915,2521,2552,2707,2389,1453,478,21485
UCL112010,..,33,117,27,18,15,12,0,0,222,..,34,103,65,108,148,224,238,172,1093,24,26,28,23,11,9,16,12,7,160,1845,1094,1551,1245,1190,1086,849,565,253,9681,..,59,1190,1536,1406,1359,1021,586,131,7287,..,170,547,260,214,145,49,13,8,1406,..,38,153,193,217,132,58,41,27,863,3717,..,..,..,..,..,..,..,..,3717,..,754,..,..,..,..,..,..,..,754,..,810,373,115,71,36,11,0,0,1415,..,155,95,51,60,73,63,24,19,534,..,54,134,57,53,41,3,0,0,345,..,88,275,94,63,57,26,4,4,612,..,78,231,182,239,297,330,313,208,1887,47,49,69,36,31,31,26,18,8,314,3760,2251,3064,2524,2350,2175,1590,1005,410,19130
UCL112011,..,35,33,24,34,41,27,10,0,202,..,44,85,39,90,187,232,147,85,912,47,44,26,18,15,21,16,7,6,206,2027,1136,1589,1149,1123,1125,928,414,155,9656,..,43,988,1096,1069,1125,1018,415,80,5831,..,337,928,412,335,175,86,21,3,2300,..,65,280,310,289,167,103,43,34,1297,3974,..,..,..,..,..,..,..,..,3974,..,656,..,..,..,..,..,..,..,656,..,838,365,145,124,44,13,0,0,1532,..,126,69,26,47,93,96,54,15,529,..,75,60,23,25,24,16,3,0,238,..,71,85,35,60,89,54,13,0,410,..,68,211,155,244,370,404,235,111,1799,90,76,65,43,37,37,25,9,8,393,4060,2364,3054,2241,2234,2134,1806,799,253,18943
UCL112012,..,105,119,50,70,95,73,28,0,539,..,44,118,105,254,490,546,423,234,2226,33,62,36,30,31,36,30,11,9,291,2141,1465,1611,1623,1698,1824,1568,946,374,13251,..,37,822,1276,1233,1471,1401,796,191,7227,..,303,863,550,460,319,150,41,4,2693,..,48,239,454,512,297,135,79,65,1825,4360,..,..,..,..,..,..,..,..,4360,..,993,..,..,..,..,..,..,..,993,..,936,379,196,146,87,17,0,0,1763,..,144,82,41,62,109,108,56,23,628,..,123,115,55,43,38,18,3,0,393,..,231,317,125,163,222,143,49,3,1251,..,105,267,283,543,887,908,591,297,3876,86,127,76,63,74,67,52,19,14,574,4450,3047,3158,3039,3234,3493,2935,1636,591,25580
UCL112013,..,0,0,0,0,4,6,0,0,11,..,5,11,7,6,18,25,11,4,84,3,5,0,0,0,6,3,0,0,20,233,115,154,128,138,148,112,46,12,1086,..,3,120,160,174,183,156,78,14,882,..,22,97,39,34,33,7,0,0,230,..,5,9,19,18,14,3,3,0,79,476,..,..,..,..,..,..,..,..,476,..,97,..,..,..,..,..,..,..,97,..,78,24,8,8,0,0,0,0,119,..,16,3,3,4,4,6,4,4,41,..,10,0,0,0,0,0,0,0,17,..,0,4,0,3,10,0,0,0,20,..,11,14,23,22,36,37,19,10,173,5,6,6,3,6,7,10,0,0,46,484,246,280,259,270,288,220,103,27,2181
UCL112014,..,30,37,13,25,55,42,30,4,237,..,27,51,34,94,227,309,362,231,1329,34,66,19,15,12,16,24,17,6,204,1851,1146,1275,1113,1169,1385,1334,1029,386,10689,..,53,907,1248,1254,1483,1572,1140,248,7908,..,275,597,326,271,222,118,52,11,1869,..,45,192,240,285,159,78,57,45,1095,3684,..,..,..,..,..,..,..,..,3684,..,804,..,..,..,..,..,..,..,804,..,732,328,138,104,59,16,0,0,1380,..,101,56,26,47,64,77,66,34,480,..,91,64,42,31,23,24,5,4,283,..,71,92,38,63,115,103,59,9,551,..,45,133,106,219,423,506,488,311,2230,58,111,51,32,29,43,49,23,12,398,3740,2326,2430,2196,2295,2594,2541,1890,668,20679
UCL112015,..,86,89,47,58,70,53,32,6,438,..,55,120,104,217,395,503,406,207,2010,57,47,37,16,36,33,23,14,6,272,2942,1676,2090,1819,1762,1835,1805,1072,375,15373,..,57,1274,1720,1550,1787,1883,1123,242,9639,..,507,1140,552,444,309,170,57,12,3182,..,78,350,453,460,248,127,81,51,1854,5831,..,..,..,..,..,..,..,..,5831,..,1063,..,..,..,..,..,..,..,1063,..,975,456,196,148,67,19,0,0,1867,..,206,113,44,64,124,154,60,40,806,..,114,114,53,36,23,15,3,0,361,..,167,223,104,106,171,118,62,11,951,..,104,322,263,472,744,831,623,305,3666,120,110,93,53,77,47,53,29,9,597,5960,3383,4088,3442,3345,3517,3368,2043,673,29816
UCL112016,..,136,185,37,50,48,41,20,0,515,..,110,263,209,270,483,595,522,245,2690,68,65,56,34,34,23,28,31,12,353,3886,2089,2784,2511,2240,2082,1882,1150,423,19048,..,104,1892,2646,2369,2119,1995,1070,246,12438,..,557,1333,675,487,306,134,31,7,3541,..,99,347,501,467,246,109,76,76,1921,8031,..,..,..,..,..,..,..,..,8031,..,1402,..,..,..,..,..,..,..,1402,..,1188,397,165,136,83,22,5,0,1993,..,180,127,60,77,113,119,56,26,756,..,117,106,40,36,19,7,3,0,334,..,275,389,103,119,120,96,38,3,1142,..,177,523,448,546,841,902,722,337,4498,132,119,128,89,64,51,53,40,22,694,8159,4209,5253,4727,4304,3898,3437,2048,713,36742
UCL112017,..,244,153,42,56,98,86,34,13,718,..,106,202,146,316,676,913,985,580,3923,52,98,45,31,36,55,58,30,15,422,3454,2298,2161,2493,2947,3219,3362,2441,951,23327,..,42,1163,2625,2980,3207,3801,2560,595,16972,..,463,1056,728,666,538,385,148,37,4016,..,63,284,500,669,351,181,125,94,2268,7045,..,..,..,..,..,..,..,..,7045,..,1829,..,..,..,..,..,..,..,1829,..,1165,525,234,193,126,34,5,0,2283,..,174,99,37,75,138,145,119,67,853,..,152,126,50,53,34,19,8,0,449,..,393,392,115,149,214,163,89,22,1529,..,171,382,351,603,1150,1427,1354,790,6237,108,165,110,95,81,99,103,49,25,833,7155,4616,4138,4737,5465,5860,6259,4459,1632,44310
