UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL114035,..,0,103,181,141,165,239,130,39,996,..,17,45,33,43,26,27,8,3,210,..,0,0,17,17,11,10,0,4,58,438,..,..,..,..,..,..,..,..,438,..,93,..,..,..,..,..,..,..,93,..,106,55,15,18,10,0,0,0,210,..,10,19,5,8,14,17,3,0,70,..,18,28,14,4,9,7,0,0,82,..,15,41,26,16,33,15,3,0,155,..,3,16,24,21,66,81,48,21,265,3,7,11,3,3,4,6,5,0,39,436,272,315,312,275,333,403,195,67,2607,..,8,137,174,150,169,232,104,27,1000,..,15,74,37,39,41,19,5,0,227,..,8,34,45,53,26,12,17,11,206,418,..,..,..,..,..,..,..,..,418,..,85,..,..,..,..,..,..,..,85,..,55,29,6,8,15,5,0,0,114,..,3,9,4,3,19,21,11,8,73,..,8,35,4,8,0,0,0,0,56
UCL114036,..,0,42,125,135,219,338,258,56,1171,..,25,63,57,37,49,56,23,4,307,..,0,4,7,13,8,3,5,0,41,376,..,..,..,..,..,..,..,..,376,..,60,..,..,..,..,..,..,..,60,..,78,43,18,16,27,0,0,0,181,..,9,7,4,0,3,6,8,8,48,..,10,14,3,6,5,5,0,0,33,..,19,17,10,10,9,17,3,0,93,..,0,18,23,27,76,107,71,26,347,7,4,14,0,3,9,4,11,0,55,381,205,218,251,256,397,537,379,97,2718,..,0,65,146,154,266,323,206,28,1191,..,34,72,54,52,48,45,17,5,328,..,3,27,51,48,36,18,21,23,228,368,..,..,..,..,..,..,..,..,368,..,76,..,..,..,..,..,..,..,76,..,53,27,4,7,12,5,0,0,111,..,12,5,0,6,8,13,12,4,61,..,12,3,0,0,0,4,0,0,22
UCL114037,..,4,94,187,166,187,180,92,26,932,..,32,88,66,42,42,17,3,0,290,..,0,0,13,25,16,12,0,0,57,560,..,..,..,..,..,..,..,..,560,..,97,..,..,..,..,..,..,..,97,..,130,54,17,15,5,0,0,0,225,..,12,6,7,0,10,8,0,0,39,..,7,6,0,0,0,7,0,0,21,..,11,15,7,9,7,3,0,0,50,..,7,31,25,38,51,41,36,10,236,6,7,3,12,7,8,7,7,3,55,565,300,304,330,305,314,272,143,39,2572,..,3,123,204,187,175,170,74,15,948,..,30,111,58,51,26,15,8,0,297,..,6,39,49,55,23,21,6,3,214,526,..,..,..,..,..,..,..,..,526,..,94,..,..,..,..,..,..,..,94,..,74,31,18,4,0,7,0,0,133,..,15,4,3,5,9,8,9,3,54,..,10,0,0,0,0,0,0,0,10
UCL114038,..,7,95,173,162,200,218,164,41,1065,..,50,125,60,51,33,17,8,0,349,..,0,10,20,25,4,7,0,0,69,715,..,..,..,..,..,..,..,..,715,..,128,..,..,..,..,..,..,..,128,..,136,59,26,11,15,0,0,0,248,..,30,10,6,8,10,16,6,0,84,..,16,19,6,3,6,0,0,0,51,..,22,23,11,13,19,9,4,0,94,..,20,52,45,71,92,97,54,34,455,9,7,11,8,7,6,8,0,4,70,726,420,404,352,349,380,370,244,85,3327,..,14,124,194,173,206,235,124,16,1085,..,76,119,68,40,32,10,3,0,350,..,21,92,94,93,45,13,17,19,391,703,..,..,..,..,..,..,..,..,703,..,121,..,..,..,..,..,..,..,121,..,117,25,9,10,6,7,0,0,170,..,11,3,3,7,12,21,15,11,89,..,11,4,4,4,0,0,0,0,23
UCL115001,..,3,25,58,51,72,61,33,12,304,..,13,36,19,17,12,10,5,0,115,..,0,0,3,8,4,4,0,0,20,172,..,..,..,..,..,..,..,..,172,..,36,..,..,..,..,..,..,..,36,..,41,6,5,6,5,0,0,0,61,..,0,0,3,0,0,3,0,0,11,..,3,3,0,0,4,0,0,0,9,..,0,0,3,8,5,4,0,0,19,..,0,13,16,28,28,23,10,0,121,0,3,0,5,3,0,0,0,0,19,172,111,89,108,122,123,100,48,13,899,..,0,38,66,55,73,57,24,8,317,..,17,41,20,21,11,8,0,0,112,..,0,13,16,12,5,3,4,3,53,157,..,..,..,..,..,..,..,..,157,..,35,..,..,..,..,..,..,..,35,..,25,6,0,0,3,0,0,0,34,..,9,0,0,0,0,5,7,0,18,..,4,0,0,0,0,0,0,0,3
UCL115002,..,0,50,114,158,191,171,75,15,777,..,10,55,36,41,56,9,0,0,203,..,0,0,16,21,10,4,3,0,46,378,..,..,..,..,..,..,..,..,378,..,107,..,..,..,..,..,..,..,107,..,122,48,7,14,7,0,0,0,194,..,12,0,6,0,4,5,5,0,31,..,8,4,0,3,0,0,4,0,16,..,3,8,6,8,9,7,0,0,50,..,5,5,11,29,39,44,21,12,159,8,9,4,5,5,8,8,6,0,36,384,272,174,202,274,319,242,107,29,1999,..,4,75,127,183,198,159,51,10,803,..,9,54,51,41,37,6,0,0,205,..,4,16,24,52,23,8,6,8,142,357,..,..,..,..,..,..,..,..,357,..,91,..,..,..,..,..,..,..,91,..,55,20,3,0,6,0,0,0,83,..,6,0,0,0,8,9,11,6,43,..,4,3,0,0,0,0,0,0,11
UCL115003,..,0,95,161,104,79,64,22,3,528,..,14,44,41,22,12,5,0,0,130,..,0,0,12,4,0,0,0,0,18,424,..,..,..,..,..,..,..,..,424,..,57,..,..,..,..,..,..,..,57,..,83,31,8,8,4,0,0,0,132,..,5,0,0,0,3,4,0,0,20,..,0,0,3,0,0,0,0,0,8,..,0,3,0,3,0,9,0,0,16,..,0,8,13,13,11,8,4,0,59,8,0,0,0,0,0,0,0,0,20,435,167,180,242,153,112,89,31,4,1417,..,0,122,164,114,78,45,14,4,544,..,17,51,31,23,12,3,0,0,133,..,7,12,30,18,15,4,9,0,93,363,..,..,..,..,..,..,..,..,363,..,73,..,..,..,..,..,..,..,73,..,37,13,0,3,0,0,0,0,58,..,0,0,0,0,9,10,11,7,33,..,0,7,0,0,0,0,0,0,3
UCL115004,..,0,11,38,45,72,96,52,10,323,..,5,10,18,11,14,24,6,0,83,..,0,0,0,5,3,0,0,5,22,130,..,..,..,..,..,..,..,..,130,..,18,..,..,..,..,..,..,..,18,..,25,14,3,0,6,0,0,0,55,..,3,10,6,0,0,3,3,0,20,..,5,11,0,0,0,3,0,0,19,..,10,19,7,7,8,7,0,0,55,..,6,3,0,7,25,31,26,9,97,0,3,4,3,4,0,3,0,0,17,130,74,81,81,79,128,158,86,24,839,..,0,15,54,54,67,96,37,4,331,..,10,15,16,16,17,11,7,0,82,..,0,11,15,17,10,0,7,0,58,109,..,..,..,..,..,..,..,..,109,..,24,..,..,..,..,..,..,..,24,..,13,7,6,4,0,0,0,0,30,..,4,10,4,6,8,10,4,0,38,..,0,15,8,3,0,0,0,0,28
UCL115005,..,3,13,10,30,40,41,12,8,157,..,3,13,0,13,5,9,0,0,41,..,0,0,4,0,5,0,0,0,8,79,..,..,..,..,..,..,..,..,79,..,11,..,..,..,..,..,..,..,11,..,16,0,8,0,7,0,0,0,30,..,0,0,0,0,0,0,0,0,3,..,3,3,0,4,0,0,0,0,10,..,0,3,4,3,0,0,0,0,16,..,5,5,0,12,16,12,5,7,64,9,5,4,0,0,5,0,0,0,20,84,45,43,37,59,77,67,22,11,439,..,0,17,20,34,46,28,16,4,159,..,3,9,6,5,8,3,0,0,38,..,0,3,8,6,4,0,7,4,34,79,..,..,..,..,..,..,..,..,79,..,7,..,..,..,..,..,..,..,7,..,6,7,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4
UCL115006,..,0,24,97,96,74,44,20,5,351,..,3,19,38,24,19,11,11,0,126,..,0,0,0,8,6,3,0,0,13,236,..,..,..,..,..,..,..,..,236,..,34,..,..,..,..,..,..,..,34,..,27,15,6,4,0,0,0,0,54,..,0,7,0,3,4,4,0,0,11,..,0,5,0,0,0,0,0,0,8,..,0,11,4,5,5,13,0,0,40,..,0,4,5,0,12,10,5,0,43,0,0,5,5,3,0,3,0,0,15,236,73,89,148,136,122,81,38,9,926,..,0,32,107,100,57,42,15,4,348,..,10,36,35,32,17,9,0,0,134,..,0,7,26,35,8,9,0,0,76,261,..,..,..,..,..,..,..,..,261,..,47,..,..,..,..,..,..,..,47,..,27,5,4,0,0,0,0,0,34,..,0,0,3,0,6,11,0,0,20,..,0,8,8,0,0,0,0,0,17
UCL115007,..,5,49,104,129,118,109,73,16,602,..,20,49,27,30,25,0,4,3,153,..,0,3,6,8,6,5,0,3,35,334,..,..,..,..,..,..,..,..,334,..,57,..,..,..,..,..,..,..,57,..,108,40,9,15,5,0,0,0,179,..,3,10,5,10,10,11,3,0,41,..,4,7,3,0,0,5,4,0,13,..,0,0,0,5,6,0,0,0,15,..,0,17,7,34,15,26,17,7,129,0,4,0,0,0,0,0,0,0,8,338,202,171,171,221,182,158,95,32,1575,..,3,73,130,126,126,108,51,8,620,..,22,51,29,28,23,8,0,0,158,..,0,18,28,27,14,9,4,0,113,304,..,..,..,..,..,..,..,..,304,..,85,..,..,..,..,..,..,..,85,..,53,27,11,3,3,0,0,0,94,..,5,0,0,0,0,6,9,4,30,..,8,0,0,4,0,0,0,0,12
UCL115008,..,0,3,11,23,40,54,41,16,188,..,0,10,4,4,10,9,0,0,51,..,0,0,5,4,0,0,0,0,9,65,..,..,..,..,..,..,..,..,65,..,10,..,..,..,..,..,..,..,10,..,16,9,0,0,0,5,0,0,26,..,4,4,0,0,0,0,0,0,7,..,3,0,0,0,0,0,0,0,6,..,0,0,3,4,0,0,0,0,13,..,5,7,0,5,17,30,18,12,89,4,6,0,3,0,5,0,0,0,15,66,38,37,25,43,73,102,59,26,474,..,0,11,12,25,60,49,34,5,192,..,4,15,3,6,15,6,0,0,55,..,0,3,8,5,3,4,0,7,30,54,..,..,..,..,..,..,..,..,54,..,14,..,..,..,..,..,..,..,14,..,3,0,0,3,0,0,0,0,8,..,0,0,0,0,0,4,0,4,12,..,0,0,0,0,0,0,0,0,0
UCL115009,..,0,20,43,62,61,99,36,14,330,..,11,24,17,16,15,5,9,0,95,..,0,0,6,6,3,0,0,0,13,123,..,..,..,..,..,..,..,..,123,..,31,..,..,..,..,..,..,..,31,..,29,20,4,8,0,0,0,0,55,..,0,3,0,0,0,5,0,0,13,..,0,0,0,0,0,0,0,0,9,..,9,0,0,0,0,5,0,0,19,..,3,5,12,11,15,33,16,11,97,3,3,0,4,0,0,7,0,0,18,133,83,85,77,101,92,143,64,22,797,..,0,27,53,57,77,83,31,0,333,..,11,26,15,8,8,10,0,0,95,..,0,10,14,13,4,0,5,0,51,131,..,..,..,..,..,..,..,..,131,..,35,..,..,..,..,..,..,..,35,..,19,5,0,0,4,0,0,0,28,..,0,3,0,0,0,4,0,0,15,..,0,0,0,0,0,0,0,0,0
UCL115010,..,0,7,12,14,33,50,36,7,161,..,0,5,0,6,3,3,0,0,27,..,0,0,0,3,3,0,0,0,8,55,..,..,..,..,..,..,..,..,55,..,8,..,..,..,..,..,..,..,8,..,9,7,0,8,0,0,0,0,24,..,5,0,0,0,11,0,0,0,17,..,0,0,4,0,0,0,0,0,4,..,0,3,0,5,5,9,0,0,19,..,3,6,4,23,31,26,18,4,111,0,4,0,0,0,0,0,0,0,10,56,34,30,25,50,88,90,54,15,442,..,0,14,10,15,39,52,26,0,157,..,4,10,5,0,6,4,0,0,27,..,0,3,13,12,11,3,4,0,46,53,..,..,..,..,..,..,..,..,53,..,5,..,..,..,..,..,..,..,5,..,14,4,0,0,0,0,0,0,16,..,0,0,0,0,5,3,3,0,16,..,0,0,0,0,0,0,0,0,0
UCL115011,..,0,16,33,42,63,58,37,12,268,..,3,33,14,14,16,7,5,0,91,..,0,0,4,9,0,0,0,0,14,133,..,..,..,..,..,..,..,..,133,..,29,..,..,..,..,..,..,..,29,..,35,20,3,7,0,0,0,0,63,..,0,0,0,0,0,0,0,0,3,..,0,0,3,0,0,0,5,0,14,..,0,6,0,4,3,6,7,0,24,..,0,3,6,8,26,19,9,0,74,0,4,3,4,3,4,0,0,0,17,134,69,73,69,95,111,84,63,10,724,..,0,26,34,46,59,64,27,5,271,..,18,25,11,13,9,7,4,0,90,..,0,14,11,13,7,4,0,0,59,110,..,..,..,..,..,..,..,..,110,..,31,..,..,..,..,..,..,..,31,..,13,3,4,0,0,0,0,0,20,..,0,0,0,0,3,4,0,0,15,..,4,0,0,0,0,0,0,7,10
UCL115012,..,0,6,14,27,33,42,20,6,152,..,6,10,12,15,11,8,0,0,55,..,0,0,0,3,4,0,0,0,12,72,..,..,..,..,..,..,..,..,72,..,17,..,..,..,..,..,..,..,17,..,25,8,6,5,0,0,0,0,41,..,4,4,0,0,5,0,0,0,12,..,0,0,4,3,0,0,0,0,9,..,0,4,0,0,0,5,3,0,14,..,0,3,5,18,19,14,12,8,81,0,0,4,3,5,4,3,0,0,14,72,52,35,45,68,77,73,42,16,478,..,0,11,21,22,30,44,17,0,149,..,4,15,16,16,8,5,0,0,56,..,4,8,9,9,6,5,0,0,38,67,..,..,..,..,..,..,..,..,67,..,11,..,..,..,..,..,..,..,11,..,6,5,0,0,0,0,0,0,10,..,0,0,0,0,4,7,0,0,10,..,0,3,0,0,0,0,0,0,4
UCL115013,..,4,67,74,72,113,115,106,29,576,..,19,68,51,35,21,16,6,0,230,..,0,7,14,15,15,3,3,4,57,379,..,..,..,..,..,..,..,..,379,..,62,..,..,..,..,..,..,..,62,..,85,33,14,14,9,0,0,0,153,..,8,9,0,11,3,3,0,0,31,..,6,0,8,3,0,0,0,0,17,..,10,19,9,11,10,7,9,0,80,..,5,26,25,46,58,42,39,15,258,7,10,4,5,0,3,3,0,0,31,386,211,226,197,204,239,193,161,54,1872,..,10,79,93,87,111,130,77,14,587,..,38,65,57,36,26,9,4,0,235,..,14,39,65,48,34,15,10,9,228,354,..,..,..,..,..,..,..,..,354,..,62,..,..,..,..,..,..,..,62,..,52,17,6,8,10,3,0,0,93,..,4,7,0,4,9,7,9,0,42,..,6,3,0,0,0,0,0,0,13
UCL115014,..,0,20,69,80,81,87,52,8,383,..,9,32,30,36,17,27,5,0,157,..,0,3,3,18,11,4,0,0,41,298,..,..,..,..,..,..,..,..,298,..,69,..,..,..,..,..,..,..,69,..,42,20,12,7,3,0,0,0,85,..,6,0,4,3,4,4,0,0,16,..,9,7,8,0,3,0,0,0,25,..,4,13,3,8,13,14,3,0,60,..,0,8,6,19,32,40,13,11,139,11,8,5,5,3,0,3,0,0,33,307,150,104,141,170,158,175,76,21,1313,..,0,29,74,86,94,75,38,7,400,..,12,32,46,38,31,15,5,0,183,..,5,19,55,67,20,3,10,7,181,281,..,..,..,..,..,..,..,..,281,..,88,..,..,..,..,..,..,..,88,..,39,5,0,7,3,0,0,0,65,..,10,0,0,0,8,16,6,4,42,..,4,10,0,0,0,0,0,0,18
UCL115015,..,0,14,23,29,72,103,53,15,305,..,0,19,11,15,20,26,9,0,103,..,0,0,3,4,3,4,0,0,20,99,..,..,..,..,..,..,..,..,99,..,25,..,..,..,..,..,..,..,25,..,20,10,7,4,0,0,0,0,37,..,3,3,0,0,0,5,6,0,15,..,0,0,0,0,4,0,0,0,3,..,5,7,0,0,5,3,0,0,24,..,0,6,8,6,25,40,16,11,106,0,0,3,0,0,7,7,4,0,21,99,57,55,52,67,136,184,81,28,759,..,0,19,28,43,84,91,38,10,308,..,8,17,20,20,18,24,3,0,110,..,0,4,10,9,8,0,4,3,41,105,..,..,..,..,..,..,..,..,105,..,17,..,..,..,..,..,..,..,17,..,9,4,0,0,3,0,0,0,23,..,0,6,0,0,4,3,5,7,24,..,3,4,4,0,0,0,0,0,13
UCL115016,..,0,9,23,33,35,25,11,5,160,..,5,15,12,8,6,6,3,0,50,..,0,0,0,0,4,0,0,0,6,76,..,..,..,..,..,..,..,..,76,..,14,..,..,..,..,..,..,..,14,..,25,9,0,3,4,0,0,0,44,..,0,0,0,0,3,0,0,0,9,..,3,0,0,0,0,0,0,0,7,..,0,5,3,0,0,4,0,0,13,..,0,0,6,11,20,19,10,7,76,0,0,4,4,0,0,0,0,0,9,77,49,49,54,65,72,59,26,12,460,..,0,22,28,36,39,29,11,0,161,..,7,16,9,10,8,4,0,0,55,..,0,3,10,15,10,3,0,5,37,75,..,..,..,..,..,..,..,..,75,..,21,..,..,..,..,..,..,..,21,..,15,0,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,0,..,5,0,0,0,0,0,0,0,3
UCL115017,..,0,27,78,63,97,142,117,33,561,..,5,13,17,9,23,8,5,0,72,..,0,0,0,5,0,0,4,0,15,179,..,..,..,..,..,..,..,..,179,..,34,..,..,..,..,..,..,..,34,..,22,12,3,7,0,3,0,0,46,..,4,0,4,0,0,0,0,4,13,..,3,3,0,5,0,0,0,0,15,..,0,0,0,0,0,0,0,5,11,..,3,11,6,5,15,20,15,14,72,0,0,3,0,0,0,0,0,0,8,179,74,68,113,88,137,176,138,47,1024,..,0,41,85,68,111,137,111,12,559,..,0,22,10,16,16,15,4,0,88,..,0,6,7,17,12,0,4,10,54,163,..,..,..,..,..,..,..,..,163,..,41,..,..,..,..,..,..,..,41,..,18,15,0,6,0,0,0,0,37,..,0,0,0,0,0,4,0,3,11,..,3,0,0,0,0,0,0,0,6
UCL115018,..,0,3,6,11,40,57,43,10,177,..,5,10,3,3,4,5,4,0,28,..,0,0,3,3,0,0,0,0,10,43,..,..,..,..,..,..,..,..,43,..,10,..,..,..,..,..,..,..,10,..,12,9,3,9,7,0,0,0,36,..,0,0,0,0,0,0,6,0,7,..,0,3,0,0,0,0,0,0,4,..,3,0,0,0,5,3,4,0,16,..,0,3,8,12,16,26,15,4,78,0,5,0,0,0,0,5,3,0,13,43,29,23,27,39,75,92,70,18,422,..,0,5,12,24,36,60,31,7,179,..,11,0,3,4,3,4,0,0,32,..,0,8,7,11,3,4,6,6,54,62,..,..,..,..,..,..,..,..,62,..,15,..,..,..,..,..,..,..,15,..,11,7,0,5,3,0,0,0,24,..,0,0,0,0,0,9,5,4,15,..,0,0,0,0,0,0,0,0,0
UCL115019,..,0,29,81,102,167,181,100,27,695,..,8,51,63,61,61,44,19,0,307,..,0,4,10,11,11,9,3,0,48,283,..,..,..,..,..,..,..,..,283,..,71,..,..,..,..,..,..,..,71,..,34,31,19,15,4,0,0,0,110,..,5,9,4,8,0,5,0,0,26,..,0,0,0,0,5,0,0,0,13,..,4,20,8,4,17,24,7,0,77,..,0,12,21,41,86,80,43,8,294,4,6,3,7,0,11,8,4,0,42,288,129,164,221,247,363,341,176,35,1968,..,0,45,105,124,176,151,82,12,699,..,10,59,63,51,50,35,10,0,267,..,0,13,30,71,37,19,16,8,190,276,..,..,..,..,..,..,..,..,276,..,64,..,..,..,..,..,..,..,64,..,39,21,9,8,10,3,0,0,87,..,0,0,0,4,0,18,3,7,38,..,0,0,0,0,5,0,0,0,5
UCL115020,..,6,57,67,73,103,85,56,12,456,..,28,44,33,17,16,15,0,0,147,..,0,0,8,14,8,5,0,0,31,303,..,..,..,..,..,..,..,..,303,..,58,..,..,..,..,..,..,..,58,..,72,21,0,13,10,0,0,0,118,..,4,7,7,0,6,3,3,0,33,..,5,9,0,0,0,0,0,0,11,..,6,10,0,3,8,3,3,0,27,..,3,22,16,19,38,32,19,8,160,4,3,3,0,0,3,4,0,0,23,306,183,175,137,140,186,144,83,18,1371,..,6,79,71,90,102,73,35,10,463,..,33,64,24,23,12,11,0,0,163,..,6,30,33,37,13,4,9,4,131,298,..,..,..,..,..,..,..,..,298,..,52,..,..,..,..,..,..,..,52,..,44,18,0,4,0,0,0,0,63,..,9,5,4,4,0,4,0,0,30,..,4,4,0,0,0,0,0,0,12
UCL115021,..,0,9,16,20,40,44,30,3,166,..,5,24,15,10,11,0,0,0,62,..,0,3,0,0,0,3,3,0,13,102,..,..,..,..,..,..,..,..,102,..,9,..,..,..,..,..,..,..,9,..,12,7,3,5,7,0,0,0,34,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,6,3,5,4,5,0,0,21,..,4,13,13,10,14,24,14,0,91,4,6,8,0,0,3,0,0,0,17,105,44,66,51,59,63,75,43,4,514,..,0,13,27,27,35,44,24,0,167,..,12,19,20,12,8,0,0,0,66,..,3,6,8,9,3,0,4,0,39,81,..,..,..,..,..,..,..,..,81,..,16,..,..,..,..,..,..,..,16,..,11,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
UCL115022,..,0,21,74,111,120,147,98,21,591,..,7,18,25,23,23,10,4,0,119,..,0,0,0,11,4,0,0,0,24,194,..,..,..,..,..,..,..,..,194,..,65,..,..,..,..,..,..,..,65,..,72,20,10,12,6,0,0,0,121,..,3,3,0,4,0,5,0,0,14,..,3,3,0,0,0,0,0,0,11,..,0,4,0,5,10,3,0,6,29,..,0,4,0,10,21,30,17,0,86,0,3,6,0,0,3,3,0,0,24,192,161,75,123,181,190,204,122,26,1276,..,3,29,76,126,145,129,84,11,597,..,13,24,31,27,23,12,5,0,131,..,0,3,14,25,16,5,4,4,84,192,..,..,..,..,..,..,..,..,192,..,69,..,..,..,..,..,..,..,69,..,34,5,9,5,0,3,0,0,62,..,0,0,0,0,0,4,11,7,25,..,3,8,0,0,0,0,0,0,14
UCL115023,..,0,15,28,31,40,65,35,9,224,..,13,14,5,13,6,0,0,0,51,..,0,0,0,0,0,3,0,0,10,115,..,..,..,..,..,..,..,..,115,..,16,..,..,..,..,..,..,..,16,..,21,8,4,6,6,0,0,0,39,..,0,0,0,5,0,3,0,0,10,..,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,3,0,0,5,..,3,6,8,17,20,21,19,6,99,0,0,7,0,5,0,0,0,0,7,115,63,53,41,78,77,99,59,14,600,..,0,21,29,38,51,57,29,4,231,..,18,18,9,10,5,0,0,0,54,..,0,11,13,5,5,0,0,4,43,78,..,..,..,..,..,..,..,..,78,..,14,..,..,..,..,..,..,..,14,..,11,8,0,0,5,0,0,0,17,..,5,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0
UCL115024,..,3,31,15,30,26,20,11,4,145,..,11,22,24,9,10,6,0,0,78,..,0,5,0,5,7,3,0,0,15,144,..,..,..,..,..,..,..,..,144,..,18,..,..,..,..,..,..,..,18,..,12,13,5,4,0,0,0,0,38,..,13,0,7,0,4,7,0,0,29,..,0,3,0,6,0,0,0,0,3,..,4,6,6,5,0,0,0,0,14,..,5,3,10,21,15,15,4,0,77,0,3,3,0,3,5,7,3,0,22,151,69,82,71,75,64,51,19,7,587,..,0,39,22,25,29,21,8,3,145,..,12,29,16,5,15,0,0,0,89,..,7,11,13,18,6,3,4,3,72,135,..,..,..,..,..,..,..,..,135,..,22,..,..,..,..,..,..,..,22,..,15,10,6,3,3,0,0,0,34,..,5,0,3,6,4,10,0,0,29,..,0,0,0,0,0,0,0,0,0
