UCL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL112013,7,0,0,0,12,5,0,0,0,5,0,0,0,0,4,0,0,3,0,7,8,0,6,0,11,5,3,9,0,14,37,0,0,0,42,16,7,14,0,40,12,9,6,0,29,21,9,7,3,47,14,19,3,0,36,16,22,0,0,36,39,51,6,0,98,26,45,0,0,69,20,33,3,0,47,5,18,0,0,30,32,36,0,0,64,22,37,9,0,62,3,0,0,0,9,285,287,80,5,661
UCL112014,45,0,17,0,61,26,0,4,0,31,12,9,10,0,29,13,0,17,0,32,76,11,45,4,135,59,14,85,3,165,392,31,111,4,539,243,56,135,13,446,306,77,127,10,518,282,126,125,4,534,117,145,73,12,350,145,150,64,5,372,309,397,82,9,800,204,323,43,6,572,142,262,26,3,429,58,166,11,0,236,129,305,16,0,459,92,188,74,0,345,46,13,19,0,80,2682,2274,1095,74,6131
UCL112015,52,10,19,4,83,21,7,4,0,28,25,7,22,0,54,19,4,38,0,57,91,10,105,3,207,67,17,172,11,271,532,65,199,16,806,300,77,266,26,668,316,165,234,25,740,399,266,212,13,897,194,223,116,7,548,220,276,102,12,605,403,550,118,18,1084,244,421,55,9,728,166,269,27,7,462,64,176,12,0,256,121,285,19,0,432,130,238,103,6,475,69,23,34,0,132,3424,3093,1854,158,8532
UCL112016,50,6,24,0,75,21,0,9,0,36,11,0,21,5,43,15,11,50,0,76,94,8,70,6,175,56,19,158,9,236,378,54,185,8,623,281,56,209,23,574,299,113,223,18,651,325,199,192,21,741,233,228,147,11,623,252,239,110,14,620,510,652,188,18,1364,355,635,68,10,1074,274,518,52,3,850,189,339,16,8,558,325,807,38,6,1181,159,320,103,10,596,63,32,38,10,134,3899,4240,1921,165,10217
UCL112017,85,3,25,3,121,47,9,10,0,62,40,0,20,0,65,22,9,43,0,79,165,6,108,5,288,94,15,188,3,297,921,53,206,11,1187,594,104,289,20,1004,645,154,316,26,1139,745,290,259,22,1314,363,248,151,9,766,399,261,144,9,811,692,650,205,23,1563,424,607,53,10,1098,280,492,27,3,804,155,308,14,0,479,350,779,39,0,1168,210,313,136,9,671,85,25,27,5,148,6314,4321,2265,160,13067
UCL112018,46,7,32,6,95,24,0,11,0,34,17,0,33,3,51,13,0,55,0,70,85,13,122,3,225,55,11,190,8,260,446,38,232,13,732,293,73,255,24,633,286,143,301,17,747,381,220,223,22,846,197,228,126,14,569,269,273,102,16,668,533,606,152,14,1308,271,434,51,17,775,203,300,19,3,525,71,166,6,5,237,192,333,25,0,546,146,230,114,7,494,57,29,50,13,136,3576,3106,2086,186,8949
UCL112019,60,7,33,3,105,25,7,11,3,39,31,0,43,0,80,15,5,67,0,91,105,29,142,6,287,84,24,239,4,347,480,64,227,7,770,297,92,282,24,688,400,197,288,29,914,511,301,247,34,1086,313,250,169,15,751,354,354,165,16,897,744,776,207,27,1756,474,662,89,14,1234,334,575,46,14,972,156,395,24,0,576,325,884,45,3,1262,242,425,154,7,828,76,33,53,9,171,5022,5108,2525,208,12863
UCL113001,33,0,10,0,44,26,0,7,0,32,8,0,13,0,28,6,0,11,0,20,73,4,45,0,117,39,4,67,0,115,352,21,87,7,471,247,32,140,12,431,256,62,149,13,484,257,104,106,6,471,142,100,72,5,317,158,98,57,10,317,312,241,72,5,626,166,185,31,3,384,85,153,12,3,254,62,92,4,0,158,113,184,12,0,311,83,83,76,3,248,57,18,15,0,85,2478,1384,980,74,4913
UCL113002,32,7,14,0,46,18,0,5,0,23,7,0,11,0,24,6,0,16,0,24,56,0,36,0,96,41,7,56,0,107,288,20,66,11,383,185,27,77,3,296,171,59,85,6,327,233,92,73,4,397,114,67,42,0,218,96,59,30,3,192,165,153,48,4,366,87,104,11,5,200,56,62,7,0,121,21,43,5,0,65,61,50,11,0,124,72,81,38,3,189,36,11,15,0,63,1743,829,645,45,3269
UCL113003,35,6,23,3,60,8,0,6,0,18,6,3,14,0,26,3,0,36,0,45,56,6,60,0,126,41,9,84,6,141,284,17,101,8,405,166,26,127,13,341,174,58,120,11,363,166,93,99,4,373,86,67,57,7,220,105,79,60,5,253,189,204,89,3,483,157,173,27,12,366,114,152,21,0,289,63,122,12,0,195,86,204,7,3,301,117,156,72,4,354,55,12,29,0,99,1925,1397,1062,89,4465
UCL113004,19,6,8,0,29,4,0,3,0,6,4,3,4,0,10,3,0,8,0,13,28,5,22,0,49,14,12,34,0,58,70,8,29,0,105,41,18,36,4,97,67,24,38,7,133,116,39,27,4,184,59,42,35,3,141,71,54,21,0,150,154,106,36,5,299,86,110,12,0,202,66,70,6,0,145,36,55,0,0,97,150,188,15,4,357,59,77,33,3,169,9,0,3,0,18,1065,814,365,25,2272
UCL113005,17,5,11,4,40,16,0,9,0,22,14,7,13,0,25,9,0,43,0,48,31,5,70,5,110,23,7,106,3,145,309,29,123,12,470,178,40,141,20,386,198,98,172,13,481,210,123,102,12,443,100,126,66,3,289,102,112,50,6,273,179,245,72,3,505,99,181,21,0,301,68,100,11,4,184,23,73,3,0,101,71,90,8,0,170,66,124,72,3,272,33,11,35,6,79,1758,1369,1141,95,4357
UCL113006,11,3,10,3,26,10,0,3,0,14,4,4,6,0,14,0,5,32,0,33,28,0,64,4,98,25,10,80,4,116,200,19,92,10,314,106,25,99,11,240,88,56,102,6,251,111,62,89,13,276,51,50,48,0,152,69,62,28,4,160,78,132,42,3,256,34,84,16,3,142,21,63,11,0,95,8,23,0,0,32,23,47,5,0,76,39,62,52,11,153,23,10,38,0,69,926,708,816,74,2528
UCL113007,39,0,5,0,50,14,0,4,0,19,13,0,3,0,17,16,5,8,0,25,49,3,13,0,68,32,5,31,4,72,208,13,30,0,253,173,17,38,9,226,201,37,58,3,299,235,67,54,4,359,132,63,31,3,231,137,67,42,0,244,277,195,55,7,533,164,216,28,3,404,104,221,18,0,345,68,163,3,0,233,192,453,18,0,669,58,133,42,0,231,23,5,7,0,40,2124,1661,482,42,4313
UCL113008,20,0,7,0,29,15,6,3,0,23,3,3,8,0,19,8,0,26,0,32,51,6,41,3,99,21,5,62,0,85,201,23,75,3,303,113,25,106,15,259,124,46,71,6,248,121,64,76,3,266,68,48,42,7,157,56,70,26,0,149,122,145,41,9,307,75,113,18,4,205,51,79,12,0,147,27,57,0,0,84,66,137,8,0,213,51,67,34,5,161,29,7,13,4,52,1210,898,669,52,2836
UCL113009,22,4,0,0,27,10,0,3,0,11,6,0,4,0,9,4,0,9,0,15,28,0,10,0,40,22,0,36,0,62,92,8,26,0,125,64,17,51,7,140,109,33,51,0,190,81,68,45,0,198,69,72,39,0,183,69,86,28,0,188,152,230,34,3,417,99,214,27,0,336,74,196,9,0,287,36,121,4,0,159,65,215,8,0,288,43,122,27,0,201,16,12,8,0,40,1062,1401,430,14,2917
UCL113010,11,0,4,0,18,5,0,4,0,11,4,0,3,0,7,3,0,20,0,21,25,3,15,0,44,19,5,46,0,72,129,13,60,0,206,79,24,70,5,175,77,25,64,6,167,107,55,48,6,217,75,57,49,5,191,59,78,26,4,166,169,217,57,7,451,103,179,21,3,313,98,150,22,3,270,43,75,0,0,128,122,220,11,0,354,55,95,26,4,185,20,12,5,0,32,1211,1223,549,43,3029
UCL113011,19,7,5,0,33,14,0,4,0,17,11,6,9,0,24,5,5,19,0,27,32,7,37,0,78,18,6,67,0,96,136,12,58,0,211,66,14,85,7,168,60,40,78,7,188,89,51,40,5,182,54,72,31,0,157,52,72,28,3,157,127,156,52,4,342,82,149,15,0,242,86,137,14,0,237,38,73,10,0,119,98,198,10,3,315,59,120,32,0,209,19,9,20,0,43,1062,1131,604,39,2836
UCL113012,53,0,6,0,69,17,0,5,0,23,14,0,11,0,26,9,7,7,0,21,60,9,21,0,94,32,8,59,0,96,259,14,64,0,337,211,15,89,3,317,216,57,78,6,360,234,75,71,9,381,137,72,49,7,265,130,77,40,0,255,280,204,52,0,537,126,167,13,0,311,86,130,6,0,225,49,92,8,0,141,158,231,15,0,395,92,129,57,0,275,41,8,8,0,57,2211,1288,651,35,4185
UCL113013,26,4,16,0,40,4,0,3,0,15,5,9,12,0,22,6,0,39,0,44,33,9,49,3,94,22,6,92,0,126,179,37,118,4,338,92,42,133,6,272,125,81,136,13,348,160,115,100,6,380,80,108,57,9,251,79,109,41,7,229,164,229,61,12,466,111,185,28,0,331,53,123,23,0,195,31,75,3,0,105,43,103,10,0,159,45,126,67,3,247,24,7,25,5,56,1293,1346,1013,69,3720
UCL113014,27,0,13,0,43,10,0,0,0,11,10,0,7,3,22,7,0,18,0,28,28,3,41,0,79,29,8,50,0,87,125,14,71,6,210,78,14,69,5,173,90,43,81,5,218,119,73,61,14,259,56,75,49,7,188,68,91,39,3,201,170,261,74,9,509,134,227,30,0,395,115,200,23,3,341,78,143,0,0,225,147,366,20,3,533,85,148,33,0,267,13,14,9,0,40,1391,1678,695,55,3818
UCL113015,42,8,5,5,51,12,0,4,0,15,14,0,14,0,26,11,5,12,0,24,44,6,31,5,83,48,8,61,3,117,342,17,61,0,420,183,16,86,9,285,157,55,94,9,307,170,90,62,5,333,83,103,48,6,233,81,92,29,0,206,121,151,37,4,317,72,114,19,0,201,41,65,12,0,117,20,42,4,0,66,48,63,4,0,110,61,81,37,0,184,37,9,13,5,58,1580,914,631,42,3167
UCL113016,25,10,18,0,44,16,0,4,3,24,13,0,18,4,31,11,0,37,0,46,58,11,75,7,148,37,11,123,4,177,401,41,129,10,585,208,51,178,10,447,193,94,184,4,477,223,145,108,8,486,108,93,55,10,268,104,124,54,11,292,196,239,54,10,497,85,159,29,3,273,54,114,6,0,170,25,55,0,0,84,48,70,4,0,126,73,101,75,3,256,59,17,38,11,120,1935,1330,1202,87,4555
UCL113017,45,0,7,0,54,25,0,0,0,25,18,0,4,0,31,11,0,12,0,24,91,9,30,5,133,56,5,63,0,126,362,17,70,0,452,226,19,96,9,347,242,66,105,11,426,255,97,69,4,437,113,101,57,0,276,122,88,38,0,255,196,238,46,10,489,118,164,14,0,302,54,115,5,0,173,33,57,6,0,90,99,106,9,0,218,65,106,48,4,222,46,5,15,0,64,2185,1220,696,42,4141
UCL113018,8,0,0,0,11,5,0,0,0,5,7,0,0,0,7,0,0,0,0,0,15,0,4,0,14,15,0,6,0,20,62,4,7,0,72,37,4,8,0,50,35,0,12,0,53,30,13,0,0,47,17,24,3,0,44,17,12,10,0,37,48,38,6,0,93,16,30,0,0,51,15,27,0,0,43,3,14,0,0,12,12,9,0,0,25,21,19,3,0,46,13,3,0,0,22,374,201,68,3,647
UCL114001,5,0,0,0,8,5,0,0,0,5,8,0,0,0,4,0,0,4,0,9,18,0,11,0,32,7,0,22,0,30,106,3,18,0,122,76,11,26,0,109,80,16,39,5,140,90,43,32,5,170,48,40,24,0,107,46,40,21,3,102,95,86,27,0,212,37,66,10,0,118,24,37,5,0,66,11,23,5,0,39,25,58,0,0,84,21,39,13,0,68,4,3,13,0,25,695,463,263,20,1438
UCL114002,25,0,0,0,33,13,0,0,0,19,10,3,0,0,11,10,0,7,0,25,63,0,11,0,76,48,0,29,0,80,352,12,36,5,404,211,12,48,5,269,197,31,43,0,267,221,45,31,3,295,88,24,9,0,128,76,41,12,5,131,97,78,20,0,200,46,68,7,0,118,39,29,0,0,70,10,30,0,0,39,26,27,0,0,53,50,44,28,0,125,28,0,3,0,31,1611,461,289,16,2378
UCL114003,10,0,5,0,19,14,0,8,0,27,5,0,8,0,10,6,3,19,0,31,29,6,37,0,77,30,7,72,3,109,214,16,67,0,300,113,29,107,13,263,126,62,89,9,285,117,83,51,10,262,64,83,58,3,203,70,70,26,0,165,102,137,32,5,270,48,82,17,0,146,26,54,0,0,78,5,33,5,0,45,7,37,4,0,50,41,54,36,0,134,26,6,13,0,44,1054,753,643,56,2511
