UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL112006,8,74,4,78,..,30,11,46,0,46,..,0,0,0,0,0,..,43,14,55,0,56,..,519,47,563,18,576,..,3412,355,3764,52,3816,..,148,15,158,3153,3318,31642,3557,370,3925,3212,38783
UCL112007,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,9,0,17,0,17,..,43,3,43,0,49,..,188,22,209,6,214,..,8,0,12,386,399,6039,200,20,221,390,6654
UCL112008,0,0,0,0,..,25,6,33,0,33,..,0,0,0,0,0,..,22,0,26,0,28,..,104,8,112,5,118,..,656,77,735,14,751,..,99,20,117,1141,1260,18541,762,99,852,1153,20554
UCL112009,0,10,0,10,..,25,12,42,0,42,..,12,0,13,0,13,..,23,4,23,0,27,..,220,41,257,4,261,..,1352,213,1564,29,1597,..,88,17,99,1768,1874,20496,1437,227,1668,1796,23963
UCL112010,0,40,0,39,..,19,9,24,0,24,..,52,48,94,0,98,..,12,0,9,0,9,..,665,116,780,18,801,..,4355,1163,5516,63,5581,..,92,23,111,1297,1410,13808,4444,1184,5631,1366,20799
UCL112011,0,9,0,9,..,21,3,28,0,28,..,0,0,0,0,0,..,3,12,13,0,16,..,76,14,96,5,98,..,438,62,499,7,506,..,51,4,59,901,955,18545,489,64,555,909,20015
UCL112012,0,6,0,6,..,35,12,43,0,43,..,5,0,5,0,5,..,48,16,68,3,64,..,305,42,350,6,353,..,1430,157,1590,19,1610,..,73,6,76,1770,1850,24459,1502,163,1667,1790,27916
UCL112013,0,5,0,5,..,11,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,20,3,25,0,28,..,103,17,122,0,118,..,6,0,5,180,189,2096,104,20,122,186,2400
UCL112014,0,12,0,12,..,29,5,31,0,31,..,0,0,0,0,0,..,10,0,7,0,7,..,272,34,304,4,304,..,994,98,1089,6,1094,..,54,17,63,866,933,20116,1044,110,1152,878,22150
UCL112015,0,31,0,31,..,60,20,85,0,85,..,7,0,10,0,10,..,37,10,42,0,42,..,295,57,354,12,365,..,1895,273,2171,26,2195,..,114,12,130,3007,3140,28242,2016,280,2297,3039,33583
UCL112016,3,53,0,53,..,44,31,72,0,72,..,21,4,26,0,26,..,40,16,55,0,56,..,456,57,522,23,538,..,2671,353,3024,53,3072,..,111,22,135,2121,2256,34799,2785,372,3152,2168,40127
UCL112017,8,41,3,44,..,66,12,78,0,78,..,15,3,22,0,22,..,67,17,80,0,80,..,405,61,463,11,473,..,2197,246,2439,29,2467,..,132,8,137,2073,2208,43115,2328,249,2576,2104,47793
UCL112018,0,21,0,21,..,34,13,44,0,46,..,3,0,3,0,3,..,202,145,340,0,341,..,450,72,519,22,539,..,2371,543,2912,53,2965,..,129,11,138,2727,2869,29579,2499,554,3051,2778,35415
UCL112019,6,83,0,83,..,51,17,67,0,66,..,0,0,0,0,0,..,52,14,66,0,66,..,1386,577,1963,20,1982,..,3814,874,4691,54,4744,..,172,21,193,2405,2598,42351,3985,900,4882,2454,49686
UCL113001,0,3,0,3,..,59,7,62,0,62,..,0,0,0,0,0,..,18,8,23,0,23,..,125,19,137,7,148,..,795,87,882,18,898,..,57,4,56,1195,1251,16385,849,90,937,1211,18532
UCL113002,0,0,0,0,..,12,3,16,0,16,..,4,0,4,0,4,..,17,0,18,0,20,..,127,20,146,0,146,..,596,84,681,3,689,..,23,6,31,915,945,10630,624,85,714,921,12263
UCL113003,4,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,12,0,12,0,12,..,120,15,130,0,134,..,527,60,591,5,597,..,45,0,48,1458,1507,15360,575,65,641,1461,17456
UCL113004,0,0,0,0,..,32,3,34,0,34,..,3,0,3,0,5,..,11,3,14,0,14,..,200,7,206,4,208,..,1373,82,1451,12,1464,..,41,4,40,850,889,8185,1412,80,1493,864,10538
UCL113005,0,3,0,3,..,11,3,14,0,13,..,0,0,0,0,0,..,12,4,18,0,23,..,143,13,154,0,154,..,479,66,544,5,552,..,54,9,63,1059,1128,15482,537,75,608,1068,17155
UCL113006,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,104,3,104,13,120,..,320,29,344,16,358,..,42,0,43,1705,1752,8964,362,26,386,1720,11073
UCL113007,0,4,0,4,..,25,0,30,0,30,..,3,0,8,0,8,..,13,6,19,0,19,..,128,14,142,0,145,..,649,71,728,3,733,..,27,0,27,659,688,13351,679,71,751,662,14761
UCL113008,0,11,0,7,..,22,4,31,0,31,..,5,0,5,0,5,..,19,4,24,0,24,..,99,5,105,3,110,..,506,74,585,5,592,..,36,7,44,698,740,9861,544,83,625,710,11197
UCL113009,0,3,0,3,..,15,3,16,0,16,..,0,0,0,0,0,..,5,4,12,0,12,..,76,17,90,4,91,..,307,46,348,7,356,..,23,0,27,234,255,9402,328,43,375,244,10019
UCL113010,0,4,0,4,..,19,0,21,0,21,..,0,0,0,0,0,..,14,4,16,0,16,..,80,23,98,4,101,..,455,60,517,5,527,..,44,0,44,622,669,10369,498,64,565,635,11563
UCL113011,5,12,0,16,..,31,4,28,0,28,..,0,0,0,0,0,..,6,0,6,0,6,..,89,11,101,6,100,..,478,46,521,3,534,..,33,0,35,679,716,9658,514,48,556,683,10901
UCL113012,0,3,0,3,..,40,13,56,0,56,..,16,3,21,0,21,..,14,5,22,0,22,..,110,16,125,0,125,..,889,108,997,9,998,..,52,3,55,659,721,12876,942,110,1054,670,14593
UCL113013,0,0,0,0,..,20,5,26,0,26,..,0,0,0,0,0,..,25,5,23,0,23,..,113,14,126,0,126,..,486,63,543,0,552,..,36,4,43,815,856,12678,522,66,589,814,14081
UCL113014,0,3,0,3,..,30,11,44,0,40,..,0,0,0,0,0,..,24,11,38,0,42,..,87,17,97,0,97,..,540,88,626,5,632,..,44,0,48,642,688,12909,583,91,672,650,14229
UCL113015,0,0,0,0,..,7,3,8,0,8,..,0,3,4,0,4,..,5,4,6,0,6,..,87,14,103,9,108,..,463,74,537,16,550,..,30,0,34,622,659,9795,491,74,568,637,11000
UCL113016,0,10,0,10,..,19,7,23,0,23,..,5,0,5,0,5,..,21,7,30,0,30,..,95,20,113,4,121,..,735,74,815,5,820,..,64,8,72,1425,1501,15789,807,82,883,1435,18110
UCL113017,0,0,0,0,..,28,8,32,0,32,..,0,0,0,0,0,..,17,6,21,0,27,..,111,3,116,0,117,..,583,56,644,9,646,..,36,3,34,765,804,12946,619,62,677,773,14396
UCL113018,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,9,0,10,..,26,6,30,0,33,..,10,0,10,190,199,2166,38,6,37,189,2389
UCL114001,0,0,0,0,..,14,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,38,3,46,0,46,..,170,13,185,0,185,..,12,0,7,212,222,4773,181,14,196,213,5182
UCL114002,0,0,0,0,..,7,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,23,0,23,..,134,15,159,0,154,..,20,0,20,346,363,7513,159,21,174,346,8037
UCL114003,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,75,17,88,0,87,..,216,31,243,10,248,..,50,9,52,945,994,8724,262,30,293,949,9968
UCL114004,0,3,0,3,..,19,4,27,0,27,..,0,0,0,0,0,..,9,0,10,0,10,..,87,6,91,0,91,..,523,62,587,8,599,..,16,6,16,513,528,5318,537,69,606,525,6447
UCL114005,0,0,0,0,..,3,5,10,0,10,..,0,0,0,0,0,..,5,3,7,0,7,..,32,3,40,0,40,..,140,15,156,3,161,..,15,0,14,307,324,5249,158,16,171,306,5732
UCL114006,0,0,0,0,..,7,3,10,0,10,..,0,0,6,0,6,..,4,0,6,0,6,..,21,3,22,0,25,..,123,23,144,5,147,..,9,4,14,281,293,5001,137,24,164,285,5444
UCL114007,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,6,0,5,0,5,..,122,27,148,5,148,..,310,59,367,7,376,..,30,4,36,505,542,7340,339,57,405,512,8254
UCL114008,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,5,0,5,..,27,3,32,5,42,..,187,22,209,4,214,..,9,0,14,617,629,5584,197,25,226,620,6431
UCL114009,0,29,0,24,..,10,0,10,0,10,..,0,0,0,0,0,..,10,0,12,0,12,..,127,18,139,6,151,..,879,107,982,20,1003,..,8,4,16,292,306,5466,886,115,999,313,6782
UCL114010,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,19,0,18,0,21,..,147,18,163,4,168,..,7,0,7,588,602,6069,156,18,173,594,6837
UCL114011,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,30,3,33,0,33,..,147,9,157,0,157,..,28,3,28,500,531,4496,176,10,187,500,5184
UCL114012,0,25,0,21,..,8,0,8,0,8,..,11,0,7,0,7,..,17,3,19,0,19,..,115,13,127,4,135,..,1028,82,1108,18,1126,..,16,0,16,205,214,4879,1040,83,1125,225,6224
UCL114013,0,5,0,5,..,6,0,9,0,9,..,4,0,4,0,5,..,5,5,11,0,11,..,77,11,84,3,90,..,289,42,337,9,344,..,28,3,32,746,777,7222,316,42,361,750,8338
UCL114014,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,7,0,6,..,63,6,73,0,73,..,242,24,264,5,270,..,20,0,18,114,135,5899,261,23,281,119,6304
UCL114015,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,16,4,25,0,25,..,136,12,155,0,158,..,442,80,521,8,537,..,30,7,32,845,877,8242,474,81,555,856,9654
UCL114016,0,5,0,5,..,8,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,101,18,124,8,134,..,640,189,832,14,848,..,18,5,28,530,560,6030,667,199,865,540,7437
UCL114017,0,0,0,0,..,17,4,24,0,24,..,3,0,3,5,11,..,0,0,0,0,0,..,71,11,82,0,79,..,373,29,406,7,418,..,19,0,24,335,359,6710,394,32,428,346,7483
UCL114018,0,0,0,0,..,26,6,32,0,32,..,0,0,0,0,0,..,9,0,4,0,4,..,57,3,65,0,65,..,340,26,366,0,364,..,18,0,26,399,424,7433,357,28,389,400,8220
UCL114019,0,11,0,11,..,18,5,18,0,18,..,0,0,0,0,0,..,6,4,8,0,8,..,71,0,71,0,71,..,317,30,340,0,342,..,24,5,27,1345,1376,5351,337,34,367,1352,7070
UCL114020,0,0,0,0,..,31,6,41,0,41,..,9,0,11,0,11,..,10,4,12,0,12,..,77,3,80,0,85,..,682,75,761,4,764,..,31,8,36,334,371,7639,709,81,794,340,8774
UCL114021,0,3,0,3,..,17,0,19,0,19,..,0,0,0,0,0,..,5,5,7,0,7,..,84,6,89,4,88,..,424,47,471,5,477,..,44,0,44,692,736,8602,463,47,508,699,9812
UCL114022,0,0,0,0,..,5,0,4,0,4,..,0,0,0,0,0,..,0,3,5,0,5,..,51,8,63,3,69,..,188,36,224,5,229,..,21,0,27,550,575,5867,209,32,245,557,6668
UCL114023,0,9,0,9,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,33,8,43,3,44,..,172,24,202,0,203,..,10,0,10,449,457,4839,182,24,211,450,5499
UCL114024,0,0,0,0,..,5,3,12,0,8,..,5,0,5,0,5,..,10,5,13,0,13,..,74,11,85,0,86,..,376,43,416,8,421,..,23,4,20,607,630,8780,391,45,437,615,9832
UCL114025,0,3,0,3,..,16,5,16,0,16,..,0,0,0,0,0,..,9,0,10,0,10,..,52,3,61,0,55,..,259,18,281,5,279,..,26,0,28,344,374,6557,283,20,304,351,7209
UCL114026,0,0,0,0,..,18,0,19,0,19,..,0,0,0,0,0,..,4,5,10,0,10,..,62,8,72,4,73,..,341,41,382,8,390,..,12,0,12,188,201,4883,353,41,398,195,5467
UCL114027,0,0,0,0,..,9,5,10,0,10,..,0,0,0,0,0,..,0,0,11,0,11,..,30,5,32,0,36,..,204,24,230,3,233,..,18,0,18,249,270,5105,226,21,246,254,5605
UCL114028,3,9,0,9,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,70,13,87,0,89,..,279,96,373,3,381,..,10,3,12,244,256,4376,287,103,384,242,5013
UCL114029,0,0,0,0,..,8,3,13,0,13,..,5,0,5,0,5,..,0,0,4,0,4,..,115,8,121,0,121,..,354,36,388,0,390,..,10,0,11,152,164,4806,364,38,400,155,5364
UCL114030,0,0,0,0,..,15,3,16,0,16,..,0,0,0,0,0,..,0,0,3,0,3,..,26,7,27,0,27,..,141,13,150,0,149,..,14,0,14,315,331,4961,151,13,169,321,5443
UCL114031,0,0,0,0,..,0,0,0,0,0,..,0,3,4,0,4,..,4,0,4,0,4,..,58,7,65,0,65,..,214,28,241,3,244,..,17,3,28,279,304,5944,238,25,270,281,6492
UCL114032,0,0,0,0,..,5,0,12,0,12,..,6,0,6,0,6,..,0,0,0,0,0,..,54,10,62,0,62,..,237,42,284,0,280,..,8,0,11,204,211,4520,248,43,290,206,5014
UCL114033,0,11,0,11,..,5,0,11,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,74,6,77,3,86,..,320,25,346,6,347,..,23,0,29,409,433,5728,350,24,372,414,6518
UCL114034,0,0,0,0,..,10,0,7,0,7,..,0,0,0,0,0,..,0,0,7,0,7,..,45,10,53,3,63,..,158,19,181,5,185,..,12,0,18,427,446,7353,173,23,194,434,7982
UCL114035,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,0,0,0,..,48,16,59,0,62,..,1022,284,1308,13,1321,..,22,0,28,318,347,4125,1041,291,1335,340,5797
UCL114036,0,0,0,0,..,16,5,23,0,23,..,3,0,3,0,3,..,0,0,0,0,0,..,36,0,43,0,42,..,188,17,212,3,215,..,13,0,13,369,383,5745,206,21,228,369,6342
UCL114037,0,0,0,0,..,4,4,6,0,6,..,0,0,0,0,0,..,11,0,11,0,11,..,41,6,51,0,51,..,223,26,254,5,256,..,23,0,25,284,310,5269,246,28,271,291,5837
UCL114038,0,0,0,0,..,4,3,3,0,3,..,0,0,0,0,0,..,7,3,10,0,10,..,46,11,52,0,59,..,428,97,532,8,535,..,27,0,27,442,469,6709,459,97,559,446,7712
UCL115001,4,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,5,10,0,10,..,37,9,49,0,49,..,0,0,0,70,80,1744,40,9,53,70,1872
UCL115002,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,9,0,9,..,24,4,25,0,25,..,120,9,132,0,132,..,12,0,12,174,187,3931,132,9,143,174,4241
UCL115003,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,29,5,27,0,27,..,147,18,162,0,162,..,7,0,7,78,89,2618,155,17,174,80,2869
UCL115004,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,7,7,0,10,..,81,5,86,3,92,..,150,31,179,3,186,..,6,0,6,69,82,1554,157,31,192,78,1820
UCL115005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,7,8,0,8,..,11,0,9,0,9,..,60,24,81,0,81,..,3,0,3,133,135,844,63,24,90,133,1063
UCL115006,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,33,3,34,0,34,..,115,7,124,4,124,..,48,0,48,178,227,1904,162,10,171,185,2260
UCL115007,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,6,7,0,7,..,30,3,30,4,35,..,149,11,157,3,164,..,12,0,12,125,132,3016,157,14,174,128,3314
UCL115008,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,33,4,36,0,36,..,0,0,0,51,52,1048,32,4,36,51,1134
UCL115009,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,65,12,77,0,77,..,3,0,3,98,105,1573,76,12,82,98,1752
UCL115010,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,4,6,0,6,..,29,4,36,0,36,..,0,0,0,87,94,915,27,4,35,87,1035
UCL115011,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,13,0,13,..,50,4,52,0,54,..,7,0,7,74,80,1448,55,4,57,76,1583
UCL115012,0,0,0,0,..,9,8,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,21,4,24,0,24,..,61,24,90,0,90,..,6,0,9,77,87,845,72,22,98,77,1022
UCL115013,0,4,0,4,..,16,9,19,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,30,0,35,0,35,..,176,14,201,0,198,..,15,0,15,377,391,3775,195,16,213,377,4368
UCL115014,0,0,0,0,..,6,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,45,3,45,0,50,..,146,6,160,0,161,..,9,0,9,239,246,2791,154,6,165,241,3201
UCL115015,0,0,0,0,..,4,0,3,0,3,..,4,0,4,0,4,..,4,0,6,0,6,..,10,4,12,0,12,..,54,14,66,6,72,..,3,0,3,155,160,1564,57,14,75,159,1798
UCL115016,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,40,0,42,0,43,..,3,0,3,89,88,899,39,0,42,85,1030
UCL115017,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,4,26,0,26,..,57,3,67,0,66,..,6,0,8,93,98,2301,66,9,73,94,2467
UCL115018,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,11,0,13,0,13,..,6,0,3,55,59,958,14,0,15,55,1028
UCL115019,0,0,0,0,..,18,3,16,0,16,..,0,0,3,0,3,..,4,0,4,0,4,..,55,3,61,0,63,..,269,34,298,6,302,..,14,0,19,231,246,3928,285,35,316,236,4479
UCL115020,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,3,0,3,..,4,0,6,0,6,..,30,10,39,0,41,..,3,0,3,89,91,2863,39,10,44,86,2997
UCL115021,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,0,0,0,..,8,0,8,0,8,..,34,0,34,0,34,..,0,0,0,89,95,1006,40,0,39,89,1136
UCL115022,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,30,0,27,0,27,..,74,4,83,0,83,..,5,0,6,73,72,2668,80,6,85,73,2825
UCL115023,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,30,5,34,0,34,..,7,0,7,181,188,1178,44,5,43,181,1402
UCL115024,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,26,0,26,..,80,0,83,0,86,..,13,0,13,255,264,1182,94,0,93,259,1535
UCL115025,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,22,0,22,..,54,9,59,0,59,..,4,0,4,53,54,1386,59,9,65,53,1498
UCL115026,0,0,0,0,..,0,6,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,16,3,18,0,19,..,62,10,66,0,65,..,5,0,5,136,144,1203,62,10,75,135,1414
UCL115027,0,0,0,0,..,10,0,6,0,6,..,5,0,5,0,5,..,10,17,30,0,30,..,10,4,13,0,13,..,79,29,106,3,107,..,3,0,3,124,126,2643,82,29,107,121,2878
UCL115028,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,5,14,0,14,..,65,6,71,5,72,..,6,0,6,117,122,2311,64,6,74,119,2502
UCL115029,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,19,0,20,..,78,7,88,3,87,..,3,0,3,111,118,1485,85,7,93,110,1686
UCL115030,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,28,3,30,0,30,..,0,0,0,72,75,1054,29,3,35,72,1163
UCL115031,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,18,0,19,0,19,..,111,13,123,0,123,..,6,0,8,76,84,2437,117,12,131,76,2642
UCL115032,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,4,9,0,9,..,24,7,29,0,25,..,130,13,143,4,143,..,9,3,6,86,95,1863,132,14,152,86,2103
UCL115033,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,24,0,23,..,116,7,124,4,126,..,8,0,8,124,131,3674,125,7,129,129,3935
UCL115034,0,0,0,0,..,0,4,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,37,8,43,0,43,..,3,0,3,64,65,1634,44,8,47,64,1741
UCL115035,0,0,0,0,..,0,3,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,37,0,39,0,38,..,149,24,172,0,171,..,12,6,13,173,185,3567,163,24,192,174,3930
UCL115036,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,3,..,25,0,25,0,25,..,152,21,169,5,171,..,9,0,8,110,125,2774,163,19,185,117,3076
UCL115037,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,51,8,52,0,52,..,8,0,8,42,50,1105,55,8,61,42,1211
UCL115038,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,9,0,9,..,51,7,55,8,63,..,4,0,4,143,149,1242,59,7,60,147,1451
