SA2_MAINCODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
107041549,4,66,0,8,16,3,0,0,0,98,6,15,0,0,0,0,0,0,0,25,86,505,17,87,134,34,3,13,9,888,0,0,0,0,0,0,0,0,0,3,19,53,4,44,32,9,0,6,0,168,30,47,14,77,74,9,0,7,3,268,32,40,50,141,146,43,5,25,4,484,0,3,0,3,16,12,0,6,0,50,10,5,6,19,31,15,0,6,0,94,0,7,3,0,8,3,0,0,0,21,8,9,5,8,3,12,0,0,9,54,231,972,102,404,503,154,12,74,29,2478,0,13,0,3,0,0,0,0,0,12,9,138,6,0,3,0,0,0,0,156,85,285,20,37,44,31,7,15,6,533,0,12,0,0,0,0,0,0,0,21,17,113,3,11,15,3,0,3,0,158,11,27,0,0,0,0,0,0,0,37,208,965,70,123,181,89,26,58,15,1752,0,0,0,3,0,0,0,0,0,4
108011151,3,5,0,3,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,3,16,64,3,10,16,0,0,3,0,112,0,0,0,0,0,0,0,0,0,0,7,12,0,5,3,4,0,3,0,32,9,10,6,15,21,3,0,0,0,68,13,14,28,45,29,12,0,16,0,162,0,3,0,4,3,0,0,4,0,12,6,0,0,11,14,4,0,5,0,42,3,0,0,0,0,0,0,0,0,6,3,3,3,6,3,5,0,3,0,25,70,120,45,105,101,30,0,32,3,506,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,7,0,18,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,8,5,0,3,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,8,24,86,7,15,24,3,0,3,0,160,0,0,0,0,0,0,0,0,0,0
108011152,3,33,0,14,4,0,0,0,0,53,0,10,0,0,0,0,0,0,0,10,33,256,4,26,22,11,0,0,7,357,0,0,0,0,0,0,0,0,0,0,15,34,3,25,36,17,0,0,0,135,8,32,9,64,33,16,3,5,3,164,27,45,47,141,115,74,4,36,3,483,12,9,3,8,16,18,0,6,0,69,5,6,4,30,24,17,0,6,0,103,3,5,0,7,13,0,0,0,0,21,3,10,0,12,9,17,0,7,3,70,113,480,74,331,281,172,6,68,13,1530,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,15,16,69,0,0,7,0,3,0,0,97,0,5,0,0,0,0,0,0,0,5,4,47,3,10,4,0,0,0,0,74,3,12,0,3,0,0,0,0,0,14,63,408,18,41,32,25,3,6,9,606,0,0,0,0,0,0,0,0,0,4
108011153,0,19,0,0,3,0,0,0,0,21,0,3,0,0,0,0,0,0,0,4,9,80,3,12,14,9,0,4,3,134,0,0,0,0,0,0,0,0,0,0,11,16,0,16,12,5,0,4,0,59,8,8,6,24,14,5,0,0,0,77,8,13,37,51,50,22,0,13,5,199,0,0,3,4,9,7,0,0,0,23,3,0,5,10,14,5,0,4,0,33,0,0,0,0,0,0,0,0,0,4,10,5,3,0,5,4,0,5,0,36,62,180,55,121,125,58,4,30,8,637,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,13,7,36,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,19,0,0,3,0,0,0,0,25,0,3,0,0,0,0,0,0,0,5,31,119,8,16,24,10,3,3,0,213,0,0,0,0,0,0,0,0,0,0
108011154,0,7,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,7,3,67,0,9,5,4,0,0,0,92,0,0,0,0,0,0,0,0,0,0,4,13,3,6,7,0,0,4,0,44,13,15,3,25,7,6,0,3,0,75,9,25,28,64,30,27,3,7,0,195,0,3,3,3,6,3,0,3,0,25,3,6,3,9,6,3,0,4,0,32,0,0,0,0,0,3,0,3,0,11,0,6,0,4,5,10,0,4,0,35,37,150,40,128,80,55,3,31,6,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,7,13,105,9,12,8,5,0,6,0,148,0,0,0,0,0,0,0,0,0,0
108021155,3,21,0,4,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,18,24,192,4,26,24,4,0,8,0,277,0,0,0,0,0,0,0,0,0,3,14,28,3,21,13,3,0,0,0,84,7,43,4,55,37,13,0,5,4,170,38,44,35,208,123,42,12,34,6,537,5,5,3,14,24,16,3,6,0,70,3,3,3,35,24,17,0,4,0,101,0,3,0,0,3,0,0,0,0,11,0,5,9,12,16,10,0,5,5,69,100,389,69,385,269,102,17,67,13,1409,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,39,0,0,4,0,0,0,0,59,0,7,0,0,3,0,0,0,0,4,3,31,0,4,0,0,0,0,0,44,3,13,0,0,0,0,0,0,0,15,50,270,10,38,29,8,9,13,0,416,0,0,0,0,0,0,0,0,0,4
108021156,0,22,0,0,0,0,0,0,0,33,3,5,0,0,0,0,0,0,0,11,15,190,3,15,30,7,0,5,3,257,0,0,0,0,0,0,0,0,0,0,15,34,0,22,9,4,0,6,0,96,16,28,9,35,42,11,0,7,3,137,23,33,41,108,69,29,0,19,3,327,3,0,4,6,11,8,0,0,3,40,4,3,4,16,22,5,0,3,0,62,3,0,0,3,0,0,0,0,0,10,11,12,3,11,10,0,0,11,3,59,106,364,62,221,194,66,0,52,17,1081,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,15,41,0,8,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,4,3,27,0,0,0,0,0,0,0,43,3,5,0,0,0,0,0,0,0,6,44,280,4,23,32,9,3,11,0,396,3,0,0,0,0,0,0,0,0,6
108021157,4,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,10,82,3,12,9,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,7,9,0,8,0,3,0,3,0,34,9,15,7,19,17,3,0,6,0,71,5,17,19,53,35,15,3,9,3,165,6,0,0,3,9,3,0,3,0,21,4,0,0,11,11,3,0,0,0,35,3,0,0,4,0,0,0,0,0,6,4,3,0,4,3,0,0,6,5,26,47,155,30,118,99,27,3,26,10,515,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,17,0,3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,23,3,4,0,0,0,0,0,0,0,10,19,133,9,15,9,7,0,3,0,189,0,0,0,0,0,0,0,0,0,0
108021158,0,17,0,3,0,0,0,0,0,23,0,5,0,0,0,0,0,0,0,8,9,73,6,9,3,3,0,0,3,106,0,0,0,0,0,0,0,0,0,4,10,13,0,13,6,3,0,0,0,43,8,12,3,40,16,0,0,0,0,83,15,19,18,83,36,17,0,15,4,212,0,0,0,0,10,3,0,6,0,25,4,0,0,10,8,7,0,3,0,33,3,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,0,4,3,34,59,159,32,160,86,41,5,35,10,589,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,18,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,3,24,0,3,0,0,0,0,0,37,0,7,0,0,0,0,0,0,0,6,17,119,9,15,7,7,0,4,3,177,0,0,0,0,0,0,0,0,0,4
108021159,7,25,0,5,3,0,0,0,0,38,0,5,0,0,0,0,0,0,0,6,26,148,6,7,28,3,0,4,3,227,0,0,0,3,0,0,0,0,0,5,16,24,6,26,9,3,0,3,0,83,12,12,0,34,25,7,0,7,0,99,27,14,36,95,55,27,3,16,0,272,0,0,0,10,12,5,0,4,0,35,4,0,8,15,19,7,0,4,0,61,5,5,0,0,3,0,0,0,0,11,3,0,3,12,8,6,0,6,0,45,106,270,59,208,160,68,3,40,7,922,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,13,35,0,0,0,0,0,0,0,51,0,3,0,0,0,0,0,0,0,8,9,34,0,5,3,0,0,0,0,51,3,5,3,0,0,0,0,0,0,11,67,230,11,24,30,5,0,6,7,381,0,0,0,3,0,0,0,0,0,3
108021160,3,11,0,3,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,6,13,73,3,14,13,3,0,3,0,119,0,0,0,0,0,0,0,0,0,0,12,15,0,10,7,0,0,0,3,45,9,12,0,16,16,4,0,3,0,62,19,19,21,46,41,26,3,11,4,182,4,3,0,0,3,0,0,4,0,14,3,3,5,8,15,5,0,6,0,43,0,0,0,0,5,5,0,0,0,10,8,0,3,0,3,3,0,3,0,23,65,149,33,96,99,47,3,31,9,538,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,17,0,3,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,6,28,113,7,15,11,0,3,6,5,188,0,0,0,0,0,0,0,0,0,0
108031161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,3,3,0,0,0,3,3,0,0,6,5,0,0,3,0,19,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,15,8,0,15,17,7,0,5,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,3,3,3,0,6,3,37,0,0,0,0,0,0,0,0,0,0
108041162,3,40,0,4,3,0,0,0,0,53,3,11,0,0,0,0,0,0,0,16,36,314,11,38,35,9,0,3,9,449,0,0,0,0,0,0,0,0,0,3,11,59,4,19,31,15,0,3,0,144,21,30,9,67,37,22,0,10,3,198,36,43,86,172,118,70,7,36,11,569,3,4,7,10,19,12,0,10,0,68,7,3,5,35,31,12,0,8,0,108,3,10,0,0,9,0,0,0,0,25,5,15,3,19,12,9,4,3,6,77,138,587,131,370,303,155,10,70,31,1788,0,7,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,14,24,71,3,3,4,3,0,3,0,113,0,8,0,0,0,0,0,0,0,10,7,54,0,5,3,0,0,0,0,78,5,12,0,0,0,0,0,0,0,19,78,473,29,64,40,15,3,9,12,706,0,0,0,0,0,0,0,0,0,8
108041163,8,103,0,15,9,3,0,0,0,147,6,28,0,0,7,0,0,0,0,44,103,816,21,80,114,29,0,14,10,1185,0,0,0,0,0,0,0,0,0,5,49,119,9,64,94,19,0,6,3,366,59,84,17,152,133,48,0,19,3,510,72,84,138,275,292,110,8,56,3,1028,3,9,5,24,45,33,3,8,0,128,20,16,6,51,74,38,0,11,0,215,3,9,3,6,25,6,0,3,0,54,6,13,3,15,21,21,0,19,9,105,366,1490,209,695,830,299,11,135,28,4059,0,9,0,0,0,0,0,0,0,18,9,66,0,0,4,0,0,0,0,73,87,284,7,16,24,4,0,4,3,436,0,12,0,0,0,0,0,0,0,16,24,159,4,20,9,3,3,0,3,225,12,38,3,7,7,0,0,0,0,70,228,1461,50,126,154,54,14,25,16,2130,0,3,0,0,0,0,0,0,0,9
108041164,3,24,0,4,5,4,0,0,0,40,0,13,0,0,0,0,0,0,0,20,32,342,10,43,44,15,0,4,3,491,3,0,0,6,0,0,0,0,0,4,16,51,3,34,54,12,0,3,0,175,31,46,10,95,83,29,3,8,6,302,46,46,72,178,187,73,3,40,4,650,4,3,4,17,18,21,3,13,0,72,15,4,4,31,40,15,0,8,0,125,0,0,3,0,11,5,0,0,0,22,3,7,3,24,10,16,0,8,3,80,155,615,108,441,453,183,11,88,14,2076,0,6,0,0,0,0,0,0,0,6,4,25,0,0,0,0,0,0,0,26,22,101,3,13,3,3,0,0,0,142,0,3,0,0,0,0,0,0,0,3,4,41,4,4,5,4,0,0,0,60,0,24,0,0,0,0,0,0,0,29,90,522,25,65,64,20,3,9,10,805,3,0,0,6,0,0,0,0,0,9
108041165,0,9,0,0,3,0,0,0,0,26,0,0,0,0,3,0,0,0,0,10,25,107,0,14,28,3,0,0,5,178,0,0,0,0,0,0,0,0,0,3,3,16,3,12,18,0,0,0,0,63,10,17,0,17,18,7,0,9,7,87,21,21,16,65,58,20,0,10,0,217,3,0,0,6,9,6,0,6,0,38,11,4,0,3,8,4,0,5,0,34,0,0,0,0,3,0,0,0,0,9,8,4,0,6,4,3,0,3,3,26,83,211,35,125,158,47,0,40,16,717,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,13,12,30,3,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,7,3,17,3,0,3,0,0,0,0,36,0,6,0,0,3,0,0,0,0,7,43,157,4,14,32,9,0,5,5,272,0,0,0,0,0,0,0,0,0,3
108041166,3,15,0,5,4,0,0,0,0,39,0,10,0,0,3,0,0,0,0,10,14,224,3,19,43,8,0,4,3,327,0,0,0,4,3,0,0,0,0,9,11,37,3,25,27,7,0,0,0,112,16,21,6,59,44,14,3,6,0,172,30,36,50,137,111,62,3,24,3,472,4,3,0,7,21,10,0,4,0,57,3,3,3,24,25,14,4,7,0,86,3,0,0,0,7,0,0,0,0,8,0,7,8,10,15,8,0,10,3,56,101,397,77,306,319,120,12,59,13,1405,0,6,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,5,16,49,0,7,3,0,0,0,0,74,0,0,0,0,0,0,0,0,0,3,3,29,0,12,4,0,0,0,0,54,3,13,0,0,3,0,0,0,0,22,53,330,7,34,47,8,0,8,4,497,0,0,0,4,3,0,0,0,0,9
108051167,4,7,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,24,79,0,9,16,5,0,3,0,139,0,0,0,0,0,0,0,0,0,0,12,14,0,12,6,0,0,0,0,49,3,10,0,15,13,4,0,7,0,54,13,5,14,43,19,12,3,14,3,127,5,0,0,5,6,3,0,4,0,22,3,3,3,13,11,0,0,3,0,33,3,3,0,0,3,3,0,0,0,12,4,0,0,0,3,7,0,7,0,18,73,137,23,99,81,41,3,34,6,496,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,8,12,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,5,15,0,4,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,54,127,4,10,18,3,0,9,0,229,0,0,0,0,0,0,0,0,0,3
108051168,9,39,0,3,3,0,0,0,0,50,0,8,0,0,0,0,0,0,0,13,24,266,4,25,27,8,0,5,0,362,0,0,0,0,0,0,0,0,0,3,16,53,3,17,22,4,3,3,0,117,12,32,8,58,46,11,0,7,3,182,24,36,51,92,104,45,4,18,3,370,3,3,3,3,19,5,0,3,0,35,9,7,3,12,40,20,0,8,0,95,0,3,0,0,4,6,0,0,0,11,0,7,3,8,20,10,0,8,0,63,102,523,71,222,294,111,6,46,9,1386,0,7,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,15,19,78,4,4,8,0,0,0,0,108,0,8,0,0,0,0,0,0,0,4,11,53,0,3,3,3,0,0,0,78,3,10,0,0,0,0,0,0,0,17,50,416,16,46,40,17,4,11,0,603,0,0,0,0,0,0,0,0,0,3
108051169,4,29,0,9,4,0,0,0,0,51,0,20,0,0,0,0,0,0,0,23,23,306,6,27,22,13,0,6,0,403,0,0,0,0,0,0,0,0,0,5,20,53,5,36,29,10,0,12,0,163,19,58,11,111,54,27,6,13,4,298,50,58,74,241,143,95,7,49,9,732,5,0,8,13,23,25,4,15,0,91,11,11,3,36,34,22,0,13,3,134,0,4,0,8,10,4,0,3,0,29,3,9,0,21,13,20,0,12,6,90,154,596,109,510,351,221,19,114,18,2092,0,3,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,21,15,62,0,8,6,3,0,0,0,104,3,4,0,0,0,0,0,0,0,4,5,53,0,9,7,0,0,0,0,72,3,22,0,0,4,0,0,0,0,30,54,483,12,35,40,18,4,12,3,664,0,0,0,0,0,0,0,0,0,9
108051170,7,31,0,3,3,0,0,0,0,45,5,6,0,3,0,0,0,0,0,13,44,186,8,22,23,7,0,9,0,297,0,3,0,0,0,0,0,0,0,6,20,62,4,28,18,3,0,7,0,143,22,29,10,59,34,13,0,7,0,169,23,40,46,144,85,48,3,21,4,408,13,4,3,17,20,10,0,9,0,74,6,8,5,20,24,4,0,4,0,72,4,3,0,5,3,0,0,0,0,16,8,14,3,23,12,10,4,13,0,81,149,426,74,315,227,90,7,66,9,1369,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,15,11,48,0,0,0,3,0,3,0,69,0,0,0,0,0,0,0,0,0,0,8,37,0,3,3,0,0,0,0,53,4,9,0,3,3,0,0,0,0,22,85,272,11,24,40,10,7,8,0,453,0,4,0,0,0,0,0,0,0,6
108051171,0,15,0,3,3,3,0,0,0,16,0,3,0,0,0,0,0,0,0,3,10,82,0,3,3,3,0,0,0,107,0,0,0,0,0,0,0,0,0,3,0,21,0,7,3,0,0,4,0,38,7,10,0,32,12,3,0,3,0,74,17,17,26,68,43,27,3,16,0,220,0,0,4,5,6,9,0,0,0,25,3,0,0,15,8,5,0,0,0,33,0,4,0,0,3,0,0,0,0,8,4,7,3,9,6,6,0,4,0,29,55,169,34,145,87,48,4,32,4,584,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,5,19,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,3,0,0,0,19,0,3,0,0,0,0,0,0,0,4,21,116,0,7,3,6,0,3,0,166,0,0,0,0,0,0,0,0,0,3
109011172,12,70,0,12,13,0,0,0,0,101,10,20,0,0,3,0,0,0,0,39,73,572,9,77,93,22,0,4,5,857,0,0,0,4,0,0,0,0,0,6,18,51,10,37,35,8,0,3,0,166,38,48,15,97,91,28,0,13,0,334,47,32,84,159,193,67,8,38,4,630,10,3,3,24,34,12,0,5,3,92,10,8,3,20,39,14,0,8,0,95,0,3,3,4,9,0,0,0,3,23,3,14,0,11,10,4,0,13,4,53,234,934,137,457,529,159,13,81,19,2570,0,4,0,0,0,0,0,0,0,5,6,50,0,0,0,0,0,0,0,59,42,148,3,12,12,3,0,3,0,228,7,10,0,0,3,0,0,0,0,19,21,97,3,16,18,0,0,0,0,162,11,33,0,6,6,0,0,0,0,54,172,871,42,107,126,33,11,16,13,1403,0,0,3,4,0,3,0,0,0,13
109011173,5,30,0,9,8,0,0,0,0,61,0,10,0,0,0,0,0,0,0,12,27,243,9,36,31,12,0,4,0,364,0,0,0,0,0,0,0,0,0,3,4,27,3,25,21,3,0,0,0,89,12,39,10,60,48,12,0,7,0,195,23,25,34,119,101,43,9,29,3,390,0,0,3,10,16,6,0,8,0,47,4,9,0,21,30,12,0,0,0,78,0,3,0,0,0,0,0,0,0,5,3,0,3,5,6,7,0,6,3,42,101,433,68,289,278,103,18,60,10,1362,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,17,20,54,3,3,6,4,0,0,0,96,3,4,0,0,0,0,0,0,0,6,8,54,6,13,13,0,0,0,0,85,3,12,0,0,0,0,0,0,0,19,71,352,15,49,43,19,9,9,0,570,0,0,0,0,0,0,0,0,0,4
109011174,5,64,0,8,13,0,0,0,0,93,0,18,0,0,0,0,0,0,0,14,72,377,14,46,61,22,0,8,3,609,0,0,0,3,0,0,0,0,0,5,20,55,3,19,37,4,0,0,0,142,27,42,5,53,35,17,0,4,0,183,36,26,46,80,87,38,4,16,7,345,4,0,3,3,14,0,0,3,0,26,3,3,3,16,29,7,0,7,0,61,0,3,0,4,8,0,0,0,0,21,0,15,0,6,11,8,0,8,6,47,198,714,78,250,304,97,9,54,19,1715,3,10,0,0,0,0,0,0,0,8,5,47,0,0,3,0,0,0,0,61,58,140,3,10,17,3,3,4,0,237,0,14,0,0,0,0,0,0,0,16,17,107,3,14,16,3,0,3,0,156,0,19,0,0,0,0,0,0,0,20,173,615,39,67,82,38,10,18,8,1048,0,0,0,3,0,0,0,0,0,9
