SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
102011039,5305,5666,10968,2492,1459,3955,722,1572,2299,148,172,321,187,164,350,3556,3367,6924,1516,2048,3565,5.3,4.9,5.1,67,59.4,63.1,63.4,56.5,59.9,289,236,526,91,174,263,891,1111,2005,525,716,1237,1289,595,1887,38,95,130,98,181,285,1427,867,2301,4999,5154,10156,1019,1098,2115,3055,3217,6271,2798,2901,5701
102011040,9306,10428,19735,3409,1913,5322,1029,2276,3304,269,286,553,398,383,775,5103,4850,9954,3573,4832,8412,7.8,7.9,7.8,54.8,46.5,50.4,50.6,42.9,46.5,224,269,495,82,155,237,706,1025,1724,638,1100,1737,2603,1292,3898,96,178,277,198,346,536,2901,1814,4717,8598,9362,17965,1597,1733,3329,5676,6131,11810,4115,4623,8735
102011041,3715,3939,7656,1768,899,2659,506,1229,1732,112,165,279,102,94,198,2484,2389,4872,1042,1379,2418,4.1,3.9,4.1,66.9,60.6,63.6,64.2,58.2,61,149,152,304,63,114,179,576,731,1305,356,534,894,1091,406,1500,29,39,70,73,141,210,1189,587,1777,3801,3907,7706,626,661,1287,2573,2645,5219,1698,1769,3469
102011042,5544,6255,11801,1948,1169,3119,606,1236,1838,150,186,339,248,226,474,2955,2809,5767,2233,3000,5233,8.4,8,8.2,53.3,44.9,48.9,48.8,41.4,44.9,151,171,321,53,106,162,465,623,1087,358,619,980,1410,734,2148,51,122,173,92,193,284,1552,1051,2600,5128,5611,10743,884,992,1874,3378,3622,6998,2389,2750,5143
102011043,4385,4967,9346,1800,1010,2810,504,1116,1620,113,143,262,211,171,382,2623,2453,5074,1470,2174,3646,8,7,7.5,59.8,49.4,54.3,55.1,45.7,50.2,102,107,210,43,76,116,368,577,944,347,571,918,1167,633,1801,54,94,150,76,137,209,1294,858,2158,4284,4699,8989,665,786,1458,2867,3177,6044,1877,2122,3998
102021044,8247,9606,17856,3547,1918,5464,965,2367,3335,226,304,529,310,322,631,5051,4907,9958,2686,3994,6681,6.1,6.6,6.3,61.2,51.1,55.8,57.5,47.8,52.2,133,145,278,60,126,182,569,1028,1594,589,952,1541,2552,1314,3863,71,178,253,184,279,462,2803,1771,4577,8178,9081,17265,1317,1465,2780,5630,6154,11786,3409,3940,7358
102021045,4008,4453,8461,1762,914,2674,468,1145,1610,122,146,274,226,236,468,2575,2439,5020,1238,1800,3043,8.8,9.7,9.3,64.2,54.8,59.3,58.7,49.5,53.9,25,20,42,15,24,44,117,247,365,182,384,568,1164,833,2002,53,93,147,69,127,190,1279,1057,2338,4190,4393,8585,740,828,1570,2714,2873,5581,1919,2147,4070
102021046,3764,4013,7779,1383,670,2061,394,894,1289,114,127,238,183,168,344,2071,1858,3932,1461,1903,3366,8.8,9,8.7,55,46.3,50.5,50.2,42.1,46.1,36,37,75,17,41,64,159,286,452,194,412,607,1231,623,1852,36,85,127,65,128,198,1332,839,2178,3595,3704,7299,591,607,1198,2488,2538,5029,1531,1646,3171
102021047,5878,6432,12316,2816,1557,4376,774,1740,2511,163,200,361,231,227,455,3986,3721,7707,1651,2444,4097,5.8,6.1,5.9,67.8,57.9,62.6,63.8,54.4,58.9,105,127,230,57,100,157,391,721,1111,442,727,1172,1923,959,2888,57,121,176,134,223,364,2114,1307,3422,6035,6407,12444,838,930,1764,4166,4376,8545,2466,2719,5185
102021048,8560,9575,18128,3173,1739,4916,917,1959,2879,228,273,501,412,405,820,4737,4370,9106,3156,4384,7540,8.7,9.3,9,55.3,45.6,50.2,50.4,41.5,45.8,68,97,169,28,104,132,323,649,972,430,815,1250,2474,1330,3799,90,185,269,142,297,435,2702,1807,4507,8163,8670,16828,1349,1578,2931,5456,5771,11233,3617,4057,7669
102021049,1358,1365,2722,636,316,952,182,410,597,42,58,105,24,32,58,886,820,1699,356,432,782,2.7,3.9,3.4,65.2,60.1,62.4,63.3,57.4,60.8,41,44,84,14,30,44,149,180,325,102,184,287,398,139,534,6,21,25,27,63,92,432,217,651,1332,1314,2650,187,171,360,900,890,1790,548,546,1091
102021050,4339,4700,9043,1531,780,2310,407,1022,1431,114,101,222,188,138,321,2238,2039,4277,1856,2381,4235,8.4,6.8,7.5,51.6,43.4,47.3,47.3,40.5,43.8,36,41,80,21,42,63,170,333,500,233,425,653,1451,651,2097,44,105,141,78,149,222,1565,898,2467,4164,4431,8592,587,633,1217,2903,3041,5940,1735,1850,3585
102021051,1903,1987,3891,964,551,1512,245,579,819,55,75,129,75,59,133,1333,1260,2598,492,661,1154,5.6,4.7,5.1,70,63.4,66.8,66.4,60.6,63.2,58,77,134,24,40,64,221,332,554,187,250,433,528,276,803,16,34,52,26,62,84,564,373,943,1974,1979,3954,271,294,567,1379,1386,2763,798,833,1632
102021052,2354,2374,4728,959,477,1433,236,564,807,44,65,109,109,95,203,1347,1198,2550,903,1085,1985,8.1,7.9,8,57.2,50.5,53.9,52.6,46.6,49.7,27,22,52,17,22,40,92,179,274,127,218,345,888,368,1255,22,42,66,54,81,133,961,490,1451,2308,2270,4579,360,388,746,1525,1472,2998,1080,1115,2196
102021053,5974,6608,12582,2126,1211,3337,715,1448,2159,146,187,332,273,250,519,3254,3088,6343,2253,3001,5257,8.4,8.1,8.2,54.5,46.7,50.4,50,43.1,46.3,105,121,224,58,94,154,423,629,1055,414,614,1036,1631,817,2450,60,117,176,131,199,327,1815,1138,2949,5236,5625,10857,1186,1285,2470,3052,3322,6374,3115,3363,6476
102021054,3975,4287,8258,1304,650,1953,416,882,1295,106,99,207,148,154,302,1974,1783,3758,1651,2090,3747,7.5,8.6,8,49.7,41.6,45.5,45.9,38,41.8,49,41,95,33,56,85,200,341,539,255,373,628,1172,584,1757,34,71,101,79,109,190,1285,770,2052,3545,3652,7197,697,753,1447,2273,2315,4583,1777,1927,3705
102021055,1996,2183,4182,954,567,1521,229,553,780,47,58,108,84,75,164,1312,1258,2576,529,781,1310,6.4,6,6.4,65.7,57.6,61.6,61.6,54,57.6,49,50,98,12,35,46,178,294,470,166,208,378,534,304,841,26,46,66,38,65,100,595,412,1006,1935,2081,4021,385,389,772,1234,1302,2538,977,1084,2059
102021056,5430,5985,11416,2703,1489,4194,606,1549,2153,153,194,346,207,226,429,3660,3463,7126,1519,2250,3767,5.7,6.5,6,67.4,57.9,62.4,63.8,54,58.6,97,123,216,37,80,118,354,581,938,452,671,1116,1585,921,2507,60,114,171,96,192,287,1745,1224,2970,5670,5993,11660,1153,1322,2473,3362,3461,6826,3097,3487,6577
102021057,3467,3667,7133,1267,697,1967,409,775,1176,85,95,183,202,168,370,1962,1727,3696,1240,1674,2914,10.3,9.7,10,56.6,47.1,51.8,50.8,42.7,46.6,52,34,85,21,36,60,204,271,482,203,336,543,878,547,1423,48,74,118,48,126,168,969,737,1707,3288,3456,6743,583,581,1164,2100,2161,4257,1609,1730,3339
103011058,9593,9924,19517,3948,2411,6360,1060,2417,3469,274,336,607,408,315,723,5684,5485,11168,3259,3679,6937,7.2,5.7,6.5,59.3,55.3,57.2,55.1,52,53.5,310,336,641,126,240,371,901,1467,2368,573,943,1517,2398,1158,3550,105,205,307,145,318,467,2644,1684,4323,8178,8657,16834,1946,2079,4022,5105,5341,10449,4566,5006,9572
103011059,4119,4353,8478,1954,1137,3098,441,1091,1528,110,169,286,169,139,307,2677,2541,5217,1175,1561,2741,6.3,5.5,5.9,65,58.4,61.5,60.8,55.1,57.9,82,89,171,56,102,152,299,580,874,274,427,700,1264,609,1871,45,99,139,64,138,208,1371,849,2217,4198,4273,8470,811,868,1680,2636,2632,5273,2102,2224,4326
103011060,3012,2676,5691,1197,692,1893,321,711,1026,96,108,203,77,63,144,1692,1571,3271,1027,862,1880,4.6,4,4.4,56.2,58.7,57.5,53.6,56.5,54.9,77,83,155,56,88,145,187,386,575,191,302,494,878,321,1191,24,53,79,53,103,156,958,472,1430,2786,2686,5470,239,235,476,2039,1958,4002,852,871,1725
103011061,2021,1847,3866,845,382,1229,164,425,591,63,53,114,67,57,124,1135,916,2055,669,732,1398,5.9,6.2,6,56.2,49.6,53.2,53,46.6,50,18,27,47,9,20,35,95,155,244,89,148,243,529,177,707,21,49,76,40,65,104,593,293,883,1717,1666,3383,291,278,568,1216,1180,2397,694,658,1351
103021062,2600,2611,5209,1155,537,1689,211,562,770,97,110,212,102,88,184,1566,1292,2852,720,1044,1768,6.5,6.8,6.5,60.2,49.5,54.8,56.3,46.3,51.3,18,18,34,7,47,58,88,246,341,95,203,290,515,255,768,32,61,96,38,55,99,591,372,961,2512,2498,5017,334,357,688,1850,1793,3646,799,879,1678
103021063,3593,3929,7519,1315,673,1986,361,842,1207,87,101,187,138,125,264,1902,1738,3639,1398,1860,3255,7.3,7.2,7.3,52.9,44.2,48.4,49.1,41.1,45,33,35,67,23,58,77,176,327,497,136,309,447,926,474,1396,28,89,116,51,116,169,1007,674,1684,3438,3642,7081,523,594,1115,2430,2492,4924,1323,1538,2859
103021064,2275,2190,4467,928,431,1361,227,532,757,73,71,148,71,61,131,1297,1099,2394,803,937,1745,5.5,5.6,5.5,57,50.2,53.6,54,47.2,50.7,20,23,50,12,34,45,126,256,378,128,217,346,598,248,851,29,38,71,40,67,98,664,354,1020,2239,2156,4397,250,262,513,1660,1561,3214,748,759,1507
