SA2_MAINCODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101061543,11,38,366,1582,1114,224,43,91,3472,0,30,104,49,0,0,0,8,194,0,0,3,3,0,0,0,0,3,0,30,111,51,0,0,0,8,199,3,18,176,47,0,0,0,13,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,176,47,0,0,0,13,260,3,3,0,4,0,0,0,0,12,0,0,3,0,0,0,0,0,10,15,91,654,1685,1116,223,44,114,3944
101061544,18,57,402,1186,708,176,49,90,2687,0,8,46,43,7,3,0,10,118,0,0,0,0,0,0,0,0,0,0,8,46,43,7,3,0,10,118,0,23,15,4,0,0,3,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,4,0,0,3,3,47,3,12,4,12,5,0,5,0,40,3,0,13,12,6,0,0,8,40,23,95,477,1253,725,180,58,107,2925
102011028,0,30,152,754,856,274,48,31,2145,0,0,7,21,0,0,0,0,27,0,4,10,60,13,4,0,3,95,0,4,17,78,13,4,0,3,121,0,5,24,29,0,0,0,3,64,0,0,3,9,0,0,0,0,17,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,39,48,0,3,0,3,93,0,17,62,9,0,0,0,4,95,0,4,4,0,0,0,0,0,8,0,55,267,889,873,279,48,39,2457
102011029,5,81,566,1311,1318,346,69,54,3745,0,0,15,15,6,0,0,3,38,0,0,20,19,16,0,0,0,55,0,0,31,35,23,0,0,3,96,0,4,51,14,0,0,0,3,71,0,3,16,3,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,12,3,0,0,4,93,0,6,0,8,0,0,0,0,12,0,0,5,4,4,0,0,0,17,5,88,664,1370,1343,346,69,70,3965
102011030,9,78,288,527,401,114,51,42,1512,0,0,3,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12,0,19,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,20,4,12,12,4,0,0,0,4,40,0,0,5,4,0,0,0,7,16,17,108,319,544,404,116,54,50,1607
102011031,3,82,702,1237,1573,425,112,106,4239,0,9,316,165,11,3,0,24,531,0,37,61,72,9,0,0,4,187,0,53,382,240,16,4,0,26,719,0,15,46,91,3,0,0,5,159,0,0,47,5,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,94,88,7,0,0,7,212,0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,0,4,20,3,150,1181,1572,1594,429,117,143,5190
102011032,10,38,350,1721,967,248,52,84,3467,4,19,120,80,6,0,3,10,246,13,124,304,597,24,0,0,34,1095,12,146,430,676,27,0,3,48,1343,34,188,787,267,8,0,0,67,1350,4,39,453,147,5,0,0,23,672,0,61,540,245,8,0,0,16,874,0,3,0,0,0,0,0,0,3,37,292,1783,661,19,0,3,107,2899,0,3,0,0,0,0,0,0,4,9,16,17,5,4,0,0,11,56,64,495,2579,3071,1025,254,56,238,7778
102011033,0,6,35,817,737,175,26,25,1819,0,0,4,112,6,0,0,4,128,0,0,0,8,12,0,0,0,19,0,0,7,124,12,0,0,4,144,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,8,47,944,750,181,26,25,1977
102011034,4,11,75,897,677,166,39,25,1895,0,45,482,109,6,0,0,31,683,0,22,172,51,3,0,0,10,266,0,63,659,158,10,0,0,46,946,0,0,15,13,0,0,0,0,28,0,6,9,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,13,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,90,757,1070,690,169,41,75,2892
102011035,0,12,59,921,772,170,36,29,1999,0,0,63,121,4,0,0,8,201,0,0,17,27,3,0,0,0,48,0,0,79,147,8,0,0,7,247,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,15,144,1073,780,171,35,35,2256
102011036,4,12,57,804,942,264,57,21,2161,0,25,39,95,0,0,0,4,160,0,4,11,123,7,0,0,0,150,0,25,48,220,10,0,0,4,310,0,6,24,5,0,0,0,7,40,0,5,44,18,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,17,67,21,0,0,0,10,113,0,0,7,30,27,3,0,3,72,0,0,0,0,3,5,0,0,15,4,61,186,1078,983,267,57,35,2669
102011037,0,18,235,934,695,131,24,35,2072,0,3,47,22,4,0,0,0,77,0,0,34,29,0,0,0,3,61,0,5,76,45,6,0,0,7,143,9,39,21,34,4,3,0,4,126,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,42,25,40,4,3,0,4,134,0,0,7,0,0,0,0,0,9,0,0,0,0,3,0,0,13,16,16,66,345,1023,708,132,24,51,2373
102011038,0,30,238,992,710,161,24,37,2200,0,9,76,57,0,0,0,7,151,0,0,3,18,3,0,0,0,23,0,9,82,74,3,0,0,6,180,0,13,59,33,0,0,0,7,117,0,0,26,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,84,37,0,0,0,9,148,0,0,5,0,0,0,0,0,7,0,0,0,3,0,0,0,0,3,0,63,413,1103,718,164,24,50,2543
102011039,8,75,352,1141,1525,422,65,69,3649,0,4,32,27,3,0,0,3,61,0,0,45,208,20,0,0,0,279,0,7,73,236,20,0,0,5,339,0,15,151,380,79,8,7,8,646,0,0,51,82,7,3,0,7,145,0,0,3,6,3,0,0,0,14,0,0,3,0,0,0,0,0,3,0,22,204,466,86,6,7,16,811,0,0,0,0,0,0,0,0,0,0,3,6,3,8,0,0,5,27,8,105,630,1844,1635,429,70,94,4828
102011040,22,169,1317,2996,1572,371,60,150,6648,0,32,455,850,15,3,0,53,1405,3,19,124,316,35,0,0,16,517,3,49,581,1163,52,7,0,66,1919,20,116,254,98,13,0,3,34,534,0,0,3,13,0,0,0,0,17,0,0,11,15,0,0,0,0,28,3,0,7,0,0,0,0,0,9,19,120,279,124,13,0,3,35,590,16,120,118,41,3,0,0,6,301,0,18,22,4,0,0,0,6,54,62,475,2310,4329,1639,375,64,265,9516
102011041,0,31,195,962,1070,373,91,55,2768,0,14,119,73,0,0,0,9,219,0,0,6,53,21,0,0,0,85,0,14,130,126,21,0,0,7,301,0,3,67,60,6,0,0,3,147,0,0,3,3,0,0,0,0,8,0,3,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,7,78,63,11,0,0,8,171,0,0,3,4,0,0,0,0,10,0,0,0,0,7,0,0,0,8,0,60,402,1159,1102,373,93,70,3258
102011042,6,78,736,1835,825,185,39,99,3800,0,48,425,531,12,0,0,44,1066,0,24,103,189,5,0,0,13,337,5,74,531,721,11,0,0,57,1400,5,136,155,61,0,0,0,30,394,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,138,175,61,0,0,0,31,412,3,30,33,18,0,0,0,3,94,3,5,11,0,4,0,0,11,27,24,334,1478,2634,840,191,37,202,5730
102011043,3,23,164,1729,938,186,54,58,3145,3,34,467,125,3,0,0,36,671,0,35,35,129,11,0,0,3,214,3,68,502,251,13,0,0,43,880,0,12,44,22,0,0,0,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,12,46,18,0,0,0,3,78,5,13,8,13,7,0,0,4,37,0,0,0,0,0,0,0,3,4,11,105,723,2019,955,186,55,112,4153
