SA2_MAINCODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
101041017,0,0,0,4,15,0,21,0,0,0,0,0,0,0,0,0,0,3,40,3,46,0,0,0,0,9,3,13,0,0,3,6,171,8,193,0,0,0,3,13,0,12,0,0,8,5,50,3,70,0,0,4,7,45,11,69,0,0,0,0,25,3,30,0,0,0,0,5,0,6,0,0,0,4,4,0,8,0,0,3,0,3,0,11,0,0,12,13,7,4,36,0,0,3,0,9,3,21,3,3,8,18,40,6,76,3,5,13,3,7,3,32,9,5,10,5,22,0,52,0,0,3,0,9,0,8,3,0,3,4,42,3,50,0,0,5,0,30,6,46,18,22,72,81,553,57,803,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,3,0,7,0,3,15,21,52,11,98,0,0,8,15
101041018,0,0,3,3,9,0,11,0,0,0,0,4,0,5,0,0,0,7,44,3,53,0,0,3,6,12,3,25,0,0,0,9,158,4,166,0,0,3,3,18,0,19,3,0,10,10,66,10,96,0,0,4,4,34,3,53,0,0,4,0,26,3,28,0,0,3,0,10,0,11,0,0,0,7,3,0,13,0,0,3,4,10,0,19,3,3,19,6,12,0,38,0,0,9,4,27,3,40,4,3,17,18,31,0,80,11,8,33,8,10,0,68,8,3,21,10,23,0,68,0,0,3,3,6,3,20,0,0,3,0,38,0,45,0,0,3,9,20,16,38,38,24,140,104,552,46,915,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,3,4,11,0,19,0,0,3,0,3,0,7,0,3,17,12,55,5,89,0,0,9,14
101041019,0,3,10,3,25,6,53,0,0,0,0,0,0,0,0,0,15,16,114,0,142,0,0,0,7,39,0,40,0,0,4,8,173,4,196,0,0,3,3,7,0,13,3,0,5,3,50,6,66,0,0,10,3,38,4,57,0,0,0,0,18,0,22,0,3,3,0,3,0,12,0,0,0,3,3,0,9,0,0,3,3,9,0,17,6,6,25,12,13,0,65,0,0,3,6,16,3,26,10,4,22,21,27,3,93,13,14,31,5,9,0,64,20,3,47,21,36,4,127,0,0,8,3,10,0,18,0,0,4,3,46,3,58,0,0,0,0,18,5,23,56,23,194,126,652,52,1105,0,3,4,4,4,3,14,0,0,0,0,0,0,0,3,0,9,12,45,8,71,0,0,0,0,0,0,3,0,0,0,3,8,0,12,0,0,0,0,3,0,10,0,0,15,15,46,8,77,0,0,13,15
101041020,3,5,26,27,135,12,215,0,0,3,0,3,0,5,0,3,7,15,103,4,132,0,0,0,3,8,0,19,0,0,13,8,193,13,226,0,3,3,7,26,4,36,0,0,5,10,43,8,65,0,3,6,5,22,3,33,0,0,3,6,36,3,56,0,0,3,0,4,0,10,0,0,3,3,3,0,11,0,0,0,0,3,3,4,4,0,27,11,16,3,63,0,0,4,4,18,0,27,8,3,14,22,33,3,82,12,6,24,8,17,0,62,3,4,25,26,29,0,92,0,0,3,0,12,0,17,0,0,0,0,45,0,52,0,0,3,4,45,11,69,42,36,188,152,786,71,1276,3,3,31,20,46,7,116,0,0,0,0,0,0,0,0,0,11,5,20,5,46,0,0,0,0,4,0,4,0,0,5,3,14,3,23,0,0,3,3,4,3,14,3,0,16,12,52,6,84,0,0,8,10
101041021,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,3,10,0,12,0,0,4,11,90,0,106,0,0,0,0,3,0,3,0,0,10,3,19,0,35,0,0,8,3,22,0,33,0,0,0,4,8,0,16,0,0,0,0,3,0,6,0,0,4,0,0,0,3,0,0,0,0,4,0,4,3,4,10,4,4,0,25,0,0,0,3,8,0,13,8,0,4,15,22,0,50,3,5,22,0,0,0,33,4,3,13,6,9,0,35,0,0,0,0,3,0,10,0,0,0,0,11,0,11,0,0,0,3,13,0,18,18,13,79,56,247,8,434,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,4,0,4,0,0,3,3,3,0,14,0,0,0,0,0,0,3,0,0,5,3,14,9,32,0,0,0,6
101041022,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,5,28,3,43,0,0,0,0,0,3,3,0,0,0,3,26,0,32,0,0,0,0,7,0,3,0,0,0,0,44,0,44,0,0,0,0,11,0,17,0,0,0,3,21,3,23,0,0,3,3,21,6,27,0,0,4,3,17,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,10,0,0,0,0,7,0,4,0,0,0,3,7,4,15,0,8,8,0,0,0,10,3,0,8,4,7,0,19,0,0,0,0,3,0,3,0,0,0,0,25,0,23,0,0,0,0,13,9,25,3,7,31,33,228,35,338,0,0,4,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,13,19,8,44,0,0,0,14
101041024,0,0,6,12,22,0,44,0,0,3,0,3,0,7,0,0,0,4,21,0,22,0,0,0,0,8,0,9,0,0,0,7,100,3,113,0,0,0,7,9,0,10,0,0,3,4,17,5,26,0,0,5,3,16,4,23,0,0,0,7,17,0,27,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,3,3,0,20,0,0,3,0,21,0,19,4,0,12,8,18,0,49,0,0,10,0,3,0,13,0,0,7,5,11,0,25,0,0,3,0,7,3,13,0,0,0,0,22,0,24,0,0,0,0,12,3,20,10,3,67,67,312,27,481,0,0,3,13,10,4,25,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,4,5,20,3,29,0,0,8,9
101041025,3,0,7,10,37,0,53,0,0,0,0,3,0,10,0,4,14,9,97,3,127,0,0,4,0,12,0,20,0,0,8,7,252,10,275,0,0,0,3,19,0,22,3,0,7,15,64,3,98,4,0,15,34,100,12,163,0,0,0,10,33,3,44,0,0,0,0,11,0,11,0,0,7,13,6,0,23,0,0,3,8,13,0,19,5,3,30,10,8,10,62,0,0,3,7,30,5,48,4,7,21,24,36,8,96,8,15,32,7,13,0,77,12,4,43,11,22,0,94,0,3,7,4,16,0,25,0,0,4,0,49,6,61,0,0,0,6,27,3,34,49,37,206,159,839,71,1363,0,0,5,0,6,0,14,0,0,0,0,0,0,0,0,0,11,3,14,3,39,0,0,0,0,0,0,0,0,0,3,12,10,3,18,0,0,7,4,6,0,14,0,3,21,17,71,12,129,0,4,21,13
101041026,3,0,4,5,19,0,24,0,0,0,0,4,0,6,0,0,0,3,27,3,42,0,0,0,3,29,0,32,0,0,3,11,182,9,202,0,0,0,0,9,0,12,0,0,4,6,58,9,75,0,3,4,8,44,7,62,0,0,0,4,27,3,40,0,0,0,3,7,0,4,0,0,0,0,0,0,0,0,0,0,3,8,0,9,4,7,23,11,13,0,52,0,0,4,7,14,0,28,7,3,22,20,65,0,119,11,13,30,7,13,0,61,6,3,28,18,29,4,87,0,0,3,3,8,0,13,0,0,3,3,34,0,38,3,0,3,0,19,5,42,41,25,137,112,609,38,963,0,3,3,3,4,0,10,0,0,0,0,0,0,0,0,0,4,3,5,0,13,0,0,0,0,3,0,5,0,0,4,0,10,0,18,0,0,0,0,3,0,3,0,3,6,13,45,9,72,0,0,4,15
101041027,0,0,8,6,27,4,43,0,0,0,0,3,0,3,0,0,0,0,46,0,45,0,0,0,0,16,0,18,0,0,6,15,187,10,214,0,0,3,0,10,0,20,0,0,14,7,57,0,76,0,0,8,17,65,10,97,0,0,0,4,27,0,32,0,0,3,0,3,0,12,0,0,3,0,0,0,8,0,0,5,7,0,0,15,14,0,25,5,10,3,61,0,0,0,5,20,3,28,0,3,14,22,20,3,64,10,6,30,14,14,0,70,12,3,12,12,24,3,65,0,0,5,3,8,0,17,3,0,3,0,43,3,47,0,0,3,6,19,3,34,38,18,145,115,606,47,981,0,0,5,0,3,3,7,0,0,0,0,0,0,0,0,0,3,3,11,3,17,0,0,0,0,0,0,3,0,0,0,3,7,3,17,0,0,3,0,0,0,7,4,0,14,23,60,15,117,0,3,22,16
