SA2_MAINCODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
101041017,0,0,8,6,6,10,3,6,0,41,0,0,0,0,0,0,0,0,0,0,4,6,3,3,15,14,14,13,3,69,0,0,0,3,6,4,0,0,0,14,14,10,20,20,42,91,37,37,3,266,0,0,0,0,14,9,3,4,0,26,3,24,20,21,43,18,11,24,4,170,3,44,23,14,27,14,7,19,3,151,5,7,13,3,12,14,3,16,0,65,0,0,0,0,0,0,0,0,0,11,3,4,0,0,0,3,3,4,0,13,0,0,0,4,0,0,0,3,0,10,3,4,3,3,7,8,3,11,0,41,0,11,6,11,0,3,3,4,3,38,4,7,6,9,33,19,20,4,0,104,3,0,4,10,7,5,4,5,0,34,5,5,8,16,20,8,0,4,0,66,0,3,0,4,7,3,0,0,0,18,0,5,3,7,15,11,5,21,3,74,7,10,7,10,11,14,6,11,11,86
101041018,0,3,3,0,0,4,3,10,0,27,0,0,0,0,0,0,0,7,0,8,0,4,0,3,24,17,10,8,0,73,0,3,3,0,9,7,0,3,0,31,7,14,9,28,34,65,20,36,4,234,0,3,3,7,3,3,4,4,0,30,5,32,20,23,41,17,20,36,5,194,4,33,16,20,16,10,9,19,4,126,5,4,8,8,8,10,4,27,0,80,0,0,0,0,9,3,3,3,0,22,0,3,0,0,3,3,3,3,0,17,0,3,3,3,3,4,3,3,0,20,0,4,6,3,0,9,4,16,0,46,3,22,10,15,8,11,6,3,0,68,3,8,3,3,39,10,18,9,0,95,3,11,6,3,8,17,3,17,3,72,4,8,10,20,19,12,7,9,0,90,0,3,0,7,8,0,5,0,0,29,0,5,0,3,4,20,9,12,0,63,3,8,3,3,13,13,3,9,16,69
101041019,11,7,0,9,17,19,10,27,0,95,0,0,0,0,0,0,0,0,0,0,14,14,16,20,70,70,43,30,0,263,0,0,0,0,21,14,11,10,0,52,5,11,13,26,45,82,29,45,3,268,0,0,4,3,10,9,6,8,0,37,3,30,19,17,32,17,20,22,0,151,7,34,7,22,9,15,10,23,6,135,0,4,3,6,4,18,10,25,0,71,0,0,3,0,4,3,3,3,0,12,0,0,3,0,0,0,0,4,0,7,0,3,0,3,3,4,0,7,0,22,3,11,4,11,5,19,8,13,0,76,3,8,3,4,0,7,6,3,0,41,12,4,6,8,62,21,18,11,0,136,7,8,8,3,15,17,10,17,0,84,10,9,18,19,36,28,8,21,0,142,3,3,6,4,4,7,0,6,0,33,0,3,0,0,19,15,5,15,3,65,0,0,5,6,0,5,3,13,15,52
101041020,16,39,20,39,39,53,36,169,9,411,4,0,0,0,0,0,0,3,0,9,6,4,8,10,49,33,38,39,3,188,0,0,0,0,7,10,3,0,0,23,17,19,18,32,39,85,40,53,4,305,3,3,3,5,14,6,9,8,0,55,4,21,17,16,19,14,9,31,0,138,5,21,6,7,7,5,7,10,3,69,6,12,11,8,8,17,10,23,0,103,0,0,0,0,0,3,3,0,0,10,0,0,0,3,3,3,0,0,0,11,0,0,0,0,0,5,3,3,0,13,7,17,5,8,3,5,3,16,0,74,4,7,11,4,5,0,3,4,0,44,8,3,0,3,52,18,14,9,0,109,0,14,9,13,7,7,4,14,0,69,14,7,19,21,21,10,8,7,3,110,3,8,3,0,10,4,0,0,0,31,0,3,6,4,14,19,6,11,0,63,5,13,8,3,17,16,9,16,23,102
101041021,0,0,0,3,0,0,0,5,0,13,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,6,0,3,0,14,0,0,0,0,4,0,3,0,0,10,3,9,3,13,32,40,16,14,0,133,0,0,0,0,0,9,0,0,0,9,0,13,7,12,10,12,0,9,0,61,0,9,4,10,5,7,7,11,0,51,0,3,6,5,3,7,3,6,0,29,0,0,0,0,3,0,0,3,0,11,0,0,0,0,4,3,0,3,0,9,0,0,0,0,0,0,0,0,0,10,0,0,3,3,3,5,3,3,0,27,0,3,4,3,3,11,0,5,0,24,0,0,0,0,20,12,13,7,0,58,3,5,4,3,6,9,3,5,0,40,0,0,8,9,11,9,3,8,0,40,0,3,3,0,6,3,3,0,0,19,0,0,0,3,0,6,0,11,0,20,0,0,0,4,3,9,0,5,6,27
101041022,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,3,0,3,0,7,10,3,38,0,70,0,0,0,0,0,0,0,3,0,5,0,3,4,3,18,10,11,9,3,66,0,0,0,0,3,4,0,3,0,9,3,9,0,3,11,24,10,14,0,65,0,3,3,0,3,4,3,8,0,29,0,6,5,3,22,3,0,3,0,55,0,13,5,11,12,4,0,10,0,53,0,3,3,3,3,8,4,19,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,3,4,3,0,15,0,3,0,3,5,3,0,0,0,16,0,0,0,3,13,6,3,3,0,31,0,3,0,3,0,7,0,0,0,13,0,0,0,6,0,4,3,6,0,21,0,0,0,3,0,4,0,3,0,7,0,7,0,0,4,3,3,12,0,32,0,5,0,0,9,8,7,5,11,48
101041024,0,4,3,9,9,11,5,28,0,75,0,0,0,0,0,0,0,7,0,11,0,0,4,3,8,12,3,3,0,38,0,3,0,3,3,0,4,0,0,15,0,10,12,9,29,41,20,19,4,143,0,0,0,0,8,4,0,0,0,15,3,4,9,10,12,13,3,9,0,60,7,8,7,13,6,3,0,9,0,48,0,5,0,3,4,4,5,11,0,34,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,3,5,6,8,0,25,6,8,3,0,3,3,0,3,0,26,4,5,5,3,26,7,9,7,0,60,0,0,4,3,0,5,0,5,0,16,3,3,8,9,3,9,0,4,0,32,0,6,3,3,0,3,0,0,0,15,0,3,3,3,3,9,0,3,0,28,0,3,4,4,3,7,3,0,6,28
101041025,0,11,7,9,11,10,8,34,0,86,0,0,0,0,0,0,0,3,0,10,3,5,8,10,42,43,32,37,4,178,0,0,0,0,10,11,0,3,0,27,12,15,23,26,63,122,35,61,0,355,0,3,3,0,15,5,10,11,0,46,9,34,22,29,36,18,26,37,3,217,13,57,26,42,55,34,20,49,4,310,7,9,11,9,13,3,7,21,0,90,0,3,0,0,7,6,0,4,0,26,0,0,0,0,4,4,4,7,0,25,0,3,3,0,0,3,0,10,0,27,3,3,9,8,9,15,14,14,0,82,8,12,8,7,4,10,4,4,0,70,16,10,4,7,56,16,11,12,3,128,0,9,4,10,14,24,11,13,0,83,5,13,5,23,26,17,10,12,0,110,5,4,3,3,3,11,3,7,0,38,8,7,7,4,16,18,6,15,0,81,4,3,6,8,16,11,3,14,10,66
101041026,0,3,3,8,7,11,3,10,0,50,3,0,0,0,0,3,0,3,0,8,0,3,6,7,21,13,7,3,0,65,0,3,3,0,14,12,3,0,0,44,20,11,23,33,55,74,29,50,5,293,0,0,3,0,3,3,4,3,0,20,9,35,12,23,32,13,6,31,4,171,11,17,12,11,14,15,8,24,0,106,4,10,4,17,8,21,14,21,0,91,0,0,3,0,7,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,0,12,0,13,0,13,3,12,3,12,0,64,0,13,3,8,3,3,0,4,0,39,12,10,10,7,58,21,20,12,0,145,3,13,11,10,7,8,13,7,3,68,3,9,14,20,26,9,4,17,3,94,3,3,3,3,7,5,3,4,0,24,0,5,6,3,13,11,3,8,0,49,0,7,4,13,10,16,0,10,18,76
101041027,6,8,10,5,7,14,6,26,0,74,3,0,0,0,0,0,0,3,0,10,0,9,4,5,17,20,9,8,0,78,0,0,0,3,10,5,3,0,0,20,4,26,18,34,39,74,33,46,10,285,0,3,3,6,8,3,6,0,0,29,6,25,9,24,25,13,11,26,0,133,3,22,27,28,23,16,9,30,3,161,4,7,6,5,3,11,6,21,0,66,0,3,0,0,4,4,0,0,0,10,0,0,3,3,0,0,0,0,0,8,0,3,0,8,0,4,0,3,0,20,4,11,8,7,4,16,3,12,3,69,0,21,6,7,6,3,4,3,0,61,7,3,4,9,39,11,14,9,0,97,8,15,9,7,13,8,6,12,0,74,4,9,17,16,13,8,0,12,0,75,0,3,7,3,6,6,3,6,0,24,0,13,3,10,10,16,5,9,0,69,6,4,5,3,5,5,3,0,20,57
