SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
101061542,18,32,49,1192,1245,2435,0,0,0,56,66,125,0,0,0,1451,1398,2848,0,0,0,27,26,49,3,7,11,0,0,0,40,59,95,0,0,0,17,25,40,42,34,83,117,128,247,8,20,30,9,13,21,231,267,506,111,128,232,4,7,13,3304,3423,6729,3,6,13,9,17,24,0,8,4,0,3,3,0,0,0,24,18,46,23,23,50,1831,1698,3527,22,19,36,3,6,16,1855,1729,3579,543,516,1061,5764,5742,11505
101061543,11,22,38,1187,1309,2501,0,0,0,44,56,102,49,53,102,1715,1999,3715,0,0,0,10,22,27,17,25,41,4,0,3,11,17,28,0,0,0,10,4,15,8,12,15,179,193,373,16,21,29,20,20,37,195,216,413,84,83,165,0,3,3,3546,4041,7581,12,6,20,112,128,237,0,0,0,0,0,0,10,3,8,21,13,30,24,11,40,942,851,1791,10,7,13,3,3,8,952,852,1808,445,438,880,5110,5493,10601
101061544,8,21,34,1051,1098,2146,0,0,0,29,28,57,0,0,0,1231,1264,2494,0,0,0,17,15,31,10,7,17,0,0,0,11,12,29,0,0,0,4,3,12,8,9,22,119,110,229,16,21,36,6,3,7,174,195,372,52,50,97,3,3,6,2739,2820,5565,8,6,10,18,14,33,3,0,3,0,0,0,0,0,0,7,9,14,7,10,18,577,457,1035,0,0,3,3,9,14,582,470,1050,323,292,621,3690,3634,7323
102011028,31,36,69,658,754,1411,0,0,0,59,43,109,0,0,0,820,819,1639,15,12,26,15,22,35,11,15,31,0,0,3,8,11,24,0,0,0,48,58,100,42,41,83,56,72,136,0,0,5,26,12,34,103,128,232,92,98,192,0,3,8,1956,2100,4055,9,9,20,3,3,10,9,12,17,3,0,3,0,0,4,4,4,9,4,7,9,1358,1202,2556,13,11,17,5,8,15,1368,1216,2585,292,257,547,3674,3639,7312
102011029,36,58,92,1132,1310,2444,0,0,0,79,73,148,0,0,0,1328,1397,2723,6,21,29,23,29,57,38,49,82,3,8,11,14,19,35,0,4,3,31,35,67,23,36,64,135,126,263,9,6,16,3,12,16,164,218,385,105,145,253,5,9,15,3107,3491,6595,12,6,19,7,19,29,9,21,23,0,3,3,0,0,0,11,9,17,11,14,22,1619,1438,3055,23,20,42,14,18,29,1652,1477,3127,392,378,768,5230,5464,10689
102011030,23,23,46,457,442,901,0,0,0,42,43,93,0,0,0,503,487,995,0,4,3,62,57,115,7,3,10,7,6,10,7,11,20,0,0,0,20,25,42,11,9,23,51,54,106,3,0,3,14,10,30,71,64,133,41,45,86,4,0,4,1304,1268,2573,0,0,4,19,13,35,4,0,3,0,0,0,3,6,7,9,14,16,7,18,25,775,633,1414,4,3,10,5,6,9,790,647,1434,316,269,580,2466,2237,4705
102011031,58,87,139,1301,1747,3044,0,0,0,154,154,310,0,0,0,1542,1796,3341,13,20,31,50,42,89,18,28,52,7,11,16,17,29,44,3,4,12,91,133,223,93,119,212,182,246,433,36,44,83,50,61,109,246,322,572,166,175,346,14,19,35,3999,4955,8953,21,19,42,18,21,37,14,22,36,0,0,0,9,5,12,10,15,21,19,19,41,1760,1614,3375,25,12,32,8,18,27,1793,1646,3438,581,690,1270,6498,7453,13953
102011032,140,181,320,1392,1715,3102,0,3,7,169,172,343,10,17,24,1921,2308,4230,22,28,44,62,65,124,15,27,38,24,24,46,22,33,57,25,20,46,121,114,239,125,172,300,206,271,480,20,22,43,61,72,132,267,353,621,231,278,511,20,27,43,4709,5715,10427,134,117,253,67,53,117,12,19,30,0,0,0,23,27,55,34,45,77,55,74,126,2975,2605,5576,38,24,55,17,19,41,3030,2645,5671,957,902,1859,9111,9692,18803
102011033,43,43,84,605,688,1294,0,0,0,73,83,156,12,16,24,652,703,1352,0,0,0,26,21,49,14,16,31,14,8,27,9,9,19,0,0,0,20,24,40,26,32,56,76,92,168,3,4,7,32,34,59,108,107,216,78,82,161,10,7,18,1748,1924,3671,23,26,45,12,21,31,3,3,6,0,0,3,4,3,3,6,6,14,6,12,20,1046,900,1949,13,13,22,0,3,5,1059,915,1976,344,195,542,3239,3143,6385
102011034,22,39,60,734,1016,1749,0,0,0,63,80,145,0,0,0,807,1021,1831,11,11,23,11,10,18,18,20,35,3,5,10,5,12,15,0,0,0,48,68,113,30,36,64,95,136,228,3,13,18,15,11,26,127,174,305,77,88,170,3,4,5,2049,2714,4767,13,15,27,14,6,23,3,11,14,3,3,3,5,3,4,3,6,4,9,12,17,1021,906,1923,7,12,22,4,16,19,1031,932,1966,204,229,433,3350,3961,7313
102011035,16,31,55,632,761,1399,0,0,0,78,95,173,15,24,35,667,707,1375,15,18,34,18,21,38,10,12,19,7,3,11,12,11,23,5,0,6,29,42,69,67,80,147,72,98,169,7,10,22,21,19,39,112,134,244,109,113,226,6,10,16,1886,2161,4046,11,12,23,13,17,34,0,3,3,0,0,0,0,0,0,9,13,20,10,13,24,1043,937,1976,9,5,12,20,6,26,1068,950,2024,225,212,441,3236,3399,6642
102011036,31,50,77,852,866,1721,0,0,0,120,149,262,28,27,54,724,853,1579,6,8,16,25,25,54,21,27,44,24,27,51,17,25,44,5,0,3,37,44,77,58,75,129,86,96,188,3,7,16,33,42,75,141,191,328,104,133,241,11,4,10,2284,2600,4887,13,9,17,10,3,11,3,3,3,0,0,0,4,0,9,3,9,15,9,14,24,1290,1105,2400,15,15,35,10,8,20,1317,1132,2449,295,262,562,3955,4067,8029
102011037,36,57,90,530,651,1184,0,0,5,55,58,111,0,0,3,680,781,1467,6,3,5,26,21,49,7,8,17,10,12,22,15,3,20,5,0,4,43,44,85,37,37,70,96,125,220,4,3,6,13,12,26,97,124,220,67,82,154,4,7,10,1690,1974,3666,18,12,29,6,7,17,4,10,9,0,0,5,0,0,0,12,10,19,9,11,21,1009,912,1925,12,16,26,12,12,19,1033,936,1972,213,190,403,3017,3189,6206
102011038,17,30,42,837,949,1785,0,0,0,71,86,153,0,0,0,752,866,1621,8,0,12,21,8,31,9,16,24,3,0,3,3,10,12,0,0,0,53,69,120,31,37,74,93,90,186,4,3,10,3,7,9,109,157,261,101,97,196,3,3,7,2113,2390,4500,5,7,7,7,10,17,8,0,6,0,0,0,0,0,0,3,6,7,3,6,7,965,907,1870,7,4,11,14,10,24,986,920,1906,256,234,489,3385,3596,6984
102011039,56,72,129,1188,1387,2570,0,0,0,76,75,153,0,0,0,1631,1825,3448,9,15,16,41,41,86,32,30,60,19,20,39,20,15,32,3,3,9,109,100,217,68,100,165,152,173,326,5,5,15,50,51,102,204,268,469,142,159,302,11,7,16,3747,4281,8030,29,28,55,27,30,60,6,21,30,0,0,0,3,3,5,15,18,31,18,25,39,2142,1827,3966,23,20,44,7,25,28,2178,1873,4043,478,483,956,6541,6803,13347
102011040,102,191,293,2464,2997,5462,0,0,0,126,156,280,0,0,0,2766,3148,5905,8,15,19,94,103,199,17,26,38,13,26,41,29,41,72,3,0,3,81,67,153,91,106,203,295,298,592,22,39,63,15,23,36,301,430,732,173,203,380,3,6,9,6492,7699,14194,24,31,54,31,22,50,7,10,18,4,3,4,4,3,7,27,48,70,40,50,86,3515,3146,6663,35,37,74,12,31,46,3565,3213,6781,1029,1088,2113,11290,12304,23590
102011041,35,65,99,888,1037,1919,0,0,0,50,55,106,0,0,0,1177,1286,2464,5,9,16,54,40,97,18,23,44,3,0,4,9,11,19,5,14,17,106,100,197,42,41,78,126,128,258,3,6,11,34,45,77,137,175,312,108,123,227,0,0,5,2759,3093,5856,7,7,17,17,5,23,10,5,14,0,0,0,0,0,0,8,13,20,5,13,17,1615,1372,2989,21,16,39,5,8,17,1640,1401,3038,350,346,694,4821,4936,9757
102011042,58,129,186,1412,1631,3048,0,0,0,70,92,155,0,0,0,1582,1922,3503,9,5,18,34,51,84,14,32,51,14,19,31,10,19,25,0,0,0,25,33,58,61,79,144,184,226,409,17,30,55,8,11,16,165,216,381,131,168,295,6,4,16,3748,4547,8288,20,31,57,7,10,12,8,10,17,0,0,4,11,10,15,19,24,44,32,31,61,2129,1868,3988,31,24,55,9,15,21,2164,1898,4065,601,641,1239,6635,7287,13924
102011043,61,84,145,1005,1222,2226,0,0,0,102,125,230,22,31,54,1095,1269,2363,10,22,29,39,39,76,19,20,42,9,21,31,12,21,31,7,9,9,52,51,103,70,80,153,160,193,352,12,18,35,18,26,45,202,269,474,143,180,327,3,11,13,2977,3606,6583,19,24,45,41,32,70,4,5,11,0,3,4,10,3,9,10,28,42,22,34,52,1732,1550,3283,28,22,49,11,16,30,1772,1590,3361,550,609,1157,5445,5992,11436
102021044,52,86,135,2405,2880,5284,6,8,11,154,173,327,0,0,0,2760,3228,5994,10,14,27,65,58,122,26,50,77,19,21,37,15,19,30,6,3,9,100,93,193,88,104,186,251,305,557,14,28,47,45,47,94,291,409,701,184,260,449,3,6,9,6445,7708,14152,15,12,29,12,12,29,4,6,8,3,0,3,0,0,0,16,28,40,21,25,45,3022,2775,5798,18,26,43,21,21,40,3059,2817,5882,799,927,1727,10409,11600,22008
102021045,27,40,68,1366,1541,2906,0,0,0,89,101,189,0,0,0,1270,1500,2766,5,6,12,21,17,36,22,35,56,24,23,50,13,7,20,0,0,0,15,14,32,36,35,71,124,141,262,16,32,46,20,19,34,113,140,255,93,112,210,7,12,16,3230,3736,6963,3,3,7,21,9,35,3,7,7,4,0,9,0,0,0,16,25,45,24,32,49,1669,1485,3161,23,13,28,9,18,25,1703,1512,3216,343,356,695,5348,5700,11046
102021046,38,39,81,1161,1378,2540,0,0,0,69,79,142,0,0,3,1200,1281,2473,0,0,0,19,20,37,16,30,49,8,19,25,3,11,12,0,0,0,14,23,42,24,34,56,123,149,267,17,18,41,8,14,19,113,143,254,68,77,142,3,3,5,2852,3268,6122,3,3,6,9,9,17,5,3,7,0,0,0,0,0,0,21,9,31,18,9,29,1312,1055,2360,7,6,20,5,3,9,1322,1066,2388,391,371,756,4640,4770,9409
102021047,37,68,104,1736,2021,3755,0,0,0,94,123,221,0,0,0,1866,2145,4010,8,15,17,51,40,88,40,41,76,12,16,29,9,12,24,8,3,11,82,93,173,70,86,149,171,208,379,13,11,20,26,29,59,210,263,474,158,186,340,3,7,14,4561,5290,9851,15,16,33,9,13,21,7,13,21,0,0,3,0,0,0,12,19,29,8,21,32,2221,1944,4162,22,9,37,13,18,34,2252,1975,4226,535,528,1063,7432,7924,15355
102021048,76,100,174,2543,2923,5467,0,0,0,183,229,415,3,0,3,2453,2817,5271,6,4,14,77,65,142,50,77,129,36,30,70,13,17,33,5,4,16,61,88,146,114,134,254,257,308,566,32,46,75,28,39,65,266,341,608,160,210,374,13,4,24,6318,7347,13672,28,27,57,49,33,77,6,6,17,3,4,4,4,3,4,24,43,70,28,49,80,3079,2767,5848,19,19,43,14,24,37,3112,2812,5923,1025,1089,2112,10642,11471,22109
102021049,8,11,21,354,430,781,0,0,0,78,79,155,0,0,0,380,382,766,0,0,0,13,6,22,10,6,13,0,0,0,0,3,5,0,0,0,25,22,41,8,14,24,45,25,69,8,11,21,5,11,17,45,45,84,47,40,87,4,3,14,1030,1074,2106,0,0,0,5,0,6,0,0,4,0,0,0,0,0,0,0,4,7,0,8,5,436,385,823,4,7,6,0,3,3,446,395,834,191,181,375,1687,1669,3358
