SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
124031457,62,25,140,2804,3430,1473,1183,2680,791,12357
124031458,54,23,124,4231,4932,2105,1784,3861,1218,18124
124031459,145,30,263,2576,3120,1483,1165,2247,810,11401
124031460,53,13,104,4048,4666,1929,1469,3264,763,16143
124031461,127,27,236,3036,3728,1627,1324,3014,984,13711
124031462,179,24,277,3391,3778,1557,1376,3971,1217,15293
124031463,32,13,81,1710,2019,895,763,1506,568,7460
124031464,270,57,458,2420,2714,1037,881,2949,1109,11110
124031465,20,4,31,906,1125,532,470,777,252,4052
124041466,229,101,459,2610,2935,1227,1112,2500,1038,11425
124041467,99,26,182,2916,3131,1426,1184,2642,831,12120
124041468,26,8,49,1061,1178,650,578,1164,1444,6070
124051469,15,5,30,1332,1372,570,451,1219,241,5195
124051470,47,17,106,3658,4073,1693,1437,3881,1005,15749
124051580,48,15,101,1808,2138,884,861,2675,799,9168
124051581,113,107,304,2458,2736,1122,1096,3765,1569,12753
125011473,28,7,54,3704,3566,1170,890,3118,3320,15778
125011475,0,0,0,0,0,0,0,0,0,0
125011582,148,41,230,2462,2290,958,1051,5938,1121,13821
125011583,39,10,68,1637,1487,625,639,4060,913,9367
125011584,110,32,181,1253,1152,540,545,2646,512,6641
125011585,67,19,123,1531,1410,591,640,2718,409,7304
125011586,152,25,261,3869,3249,1355,1279,6006,1277,17037
125011587,29,10,76,872,809,397,349,1394,248,4069
125021476,224,116,607,5198,5598,2855,2337,5236,1013,22239
125021477,223,56,421,3816,4235,1870,1525,4664,1084,17191
125021478,110,40,260,3390,3493,1555,1287,3749,949,14423
125031479,254,40,477,2690,2690,1291,1272,4988,1573,14505
125031480,331,53,473,2155,1959,927,995,4980,1248,12267
125031481,108,8,180,3294,3064,1307,1350,6094,1554,16664
125031482,164,94,378,4467,4982,2348,2051,5435,1313,20597
125031483,172,57,318,2705,2516,1166,1446,6222,1774,15823
125031484,232,82,443,3196,3167,1363,1364,5820,1302,16206
125031485,216,60,440,4400,4397,1951,1969,8040,1678,22441
125031486,0,0,0,0,3,0,0,6,0,8
125031487,0,0,0,0,0,0,0,11,0,11
125041489,273,72,458,4316,4316,1540,1306,5089,1948,18517
125041490,87,4,152,1460,1772,864,710,1232,216,6253
125041491,213,83,430,3436,4195,1814,1404,3879,1348,16079
125041492,126,55,231,4908,5096,1960,1717,8008,2513,24205
125041493,282,70,554,3735,4453,2081,1752,4607,1129,17762
125041494,108,16,187,1911,2356,1199,902,1790,245,8394
125041588,187,73,336,1848,2194,1084,951,3062,840,9974
125041589,141,33,255,2459,2813,1300,1186,3734,844,12333
126011495,247,69,583,5536,5826,2814,2006,5330,856,22364
126011496,273,59,565,4116,4842,2400,1607,2969,628,16561
126021497,193,46,508,4897,5102,2598,1886,5455,998,20931
126021498,201,31,398,3181,3268,1437,901,2281,762,11834
126021499,455,60,645,2027,2103,959,615,2089,532,8327
126021500,396,152,746,4724,4544,1683,1122,5672,1210,18948
126021501,165,50,390,2446,2693,1262,832,2365,476,10062
126021503,123,25,259,4095,4354,1741,1268,4026,779,16260
126021590,35,17,99,832,987,429,283,660,140,3335
126021591,330,127,732,5523,5611,2348,1741,5861,1512,22595
127011504,98,35,192,2200,2027,867,1171,4969,1910,13142
127011505,146,29,220,1467,1465,721,734,2068,808,7261
127011506,44,24,122,3171,3510,1427,1341,2903,1294,13639
127011592,3,0,3,6,10,5,3,20,5,52
127011593,15,0,31,1278,1193,504,469,1817,313,5578
127011594,63,14,104,2005,1898,835,817,3689,619,9875
127011595,38,3,61,2061,2008,816,772,3348,501,9501
127011596,29,0,42,1933,1956,784,685,2753,501,8596
127011597,30,0,49,2670,2450,1078,956,3312,681,11152
127021509,157,17,212,2672,2436,1124,1098,4857,696,12883
127021510,204,29,295,3220,3073,1459,1314,5549,877,15498
127021511,415,52,573,3744,3246,1576,1455,8712,1530,20280
127021512,124,29,251,2689,2523,1121,1218,4980,1107,13630
127021513,250,42,418,3219,2997,1418,1272,6755,1164,16822
127021514,73,4,101,1650,1496,700,681,3084,395,8008
127021515,159,35,293,2348,2340,959,1053,6549,1068,14319
127021516,149,19,279,2684,2652,1256,1250,6256,1110,15205
127021517,72,7,109,1289,1322,588,614,2581,358,6758
127021518,36,33,103,747,738,424,397,949,412,3665
127021519,184,45,322,2790,2807,1297,1290,5335,1056,14573
127021520,167,25,233,1878,1641,725,780,3493,506,9022
127021521,0,0,0,10,3,4,0,13,0,35
127031522,120,50,237,2631,2693,1148,1047,3698,1076,12297
127031523,154,24,253,3232,3594,1631,1505,3823,827,14597
127031524,194,29,283,3952,4342,1847,1380,3639,851,16013
127031598,208,65,377,3567,3603,1525,1624,7918,3219,21448
127031599,60,28,147,1425,1462,709,816,3432,1093,8937
127031600,124,22,179,2860,3036,1272,1177,3936,774,13051
127031601,32,15,69,821,794,318,361,1624,823,4740
128011529,159,40,367,3681,4029,1848,1215,2572,647,13992
128011530,423,100,813,3572,3858,1716,1216,3561,992,14914
128011531,483,120,883,2904,3220,1537,1207,3428,863,13156
128011602,178,57,382,2462,2648,960,734,2103,673,9573
128011603,105,39,337,2367,2634,1397,961,1781,470,9611
128011604,235,76,538,5578,5637,2097,1378,3641,1731,20062
128011605,23,5,60,650,711,350,256,458,93,2516
128011606,67,19,194,1644,1761,786,543,1139,318,6198
128021533,181,22,279,1209,1485,758,524,1046,210,5238
128021534,102,4,162,2195,2343,1109,796,1916,286,8650
128021535,206,28,328,4430,4756,2256,1399,3461,736,17032
128021536,218,36,454,4098,4950,2293,1654,2866,683,16559
128021537,0,0,0,9,7,0,0,0,6,26
128021538,466,83,764,4405,4929,1871,1321,3546,1068,17146
128021607,153,25,281,2999,3871,1911,1318,2392,501,12998
128021608,36,14,99,1301,1814,872,561,968,184,5701
128021609,13,3,17,815,842,415,289,509,94,2965
197979799,5,0,10,23,36,19,40,163,93,374
199999499,41,26,78,1976,1606,620,412,3500,3428,11545
