SA2_MAINCODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
101041017,7,10,6,5,0,0,0,34,12,11,4,7,10,3,0,44,9,6,7,10,7,0,0,36,214,255,135,78,84,17,3,786,0,3,0,0,0,0,0,5,241,284,155,101,96,20,4,903,0,0,4,3,3,0,0,14,0,4,4,6,10,0,0,27,3,3,3,4,0,0,0,12,80,128,64,43,41,8,0,363,0,3,3,0,0,0,0,10,86,150,78,52,53,10,3,422,332,433,234,157,146,27,9,1326
101041018,9,16,4,3,3,0,0,42,14,19,12,3,18,0,0,65,16,18,6,9,12,3,0,64,183,214,128,75,90,23,0,715,3,3,0,0,0,0,0,8,226,270,160,90,121,27,0,895,0,0,6,0,3,0,0,9,4,17,11,4,9,0,0,43,3,3,9,0,8,3,0,22,76,92,60,47,57,8,0,341,8,8,0,0,3,0,0,21,84,116,92,58,73,13,0,438,315,388,248,147,199,40,0,1328
101041019,9,17,14,9,9,0,0,54,17,22,9,9,14,0,0,71,36,19,20,3,11,0,0,85,280,346,191,105,139,21,6,1078,3,4,0,0,0,0,0,9,341,399,227,125,169,21,4,1292,4,0,6,0,6,0,0,14,0,6,7,3,4,0,0,14,7,0,4,8,0,0,0,22,63,96,57,48,68,15,0,341,4,3,0,0,0,0,0,11,76,102,67,61,80,12,0,395,414,505,301,182,246,34,7,1692
101041020,4,8,10,3,7,3,0,34,12,34,17,14,17,0,0,109,17,22,6,14,11,0,0,75,259,314,200,155,188,24,0,1143,3,5,0,0,0,0,0,3,297,383,235,186,225,23,3,1363,0,6,5,3,0,0,0,11,3,3,3,8,10,0,0,23,0,3,5,6,3,0,0,15,36,69,38,35,32,9,4,218,0,0,3,0,4,0,0,3,39,74,51,52,47,5,4,274,334,460,291,237,275,34,3,1636
101041021,0,3,0,0,3,0,0,10,3,12,4,5,7,0,0,34,10,8,3,0,6,3,0,21,81,105,62,45,63,8,0,372,0,0,0,0,0,0,0,0,95,125,68,52,79,10,0,431,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,17,0,6,0,0,0,0,0,10,16,39,27,13,21,4,0,120,0,0,0,0,0,0,0,0,13,41,31,20,22,7,0,142,111,170,97,76,100,15,4,573
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,9,3,0,0,0,0,0,14,12,0,3,0,0,0,0,18,10,4,0,0,3,0,0,14,81,84,55,37,44,4,0,305,0,0,0,0,0,0,0,0,102,92,56,38,49,4,0,343,0,0,0,0,0,0,0,4,0,3,0,3,4,0,0,12,0,0,3,0,3,0,0,6,35,56,30,18,23,6,0,169,3,3,3,0,0,0,0,11,45,63,38,28,29,6,0,202,145,160,88,62,79,9,3,546
101041024,0,0,0,3,8,0,0,10,0,5,3,7,6,3,0,30,3,3,0,0,4,4,0,10,94,94,75,46,54,11,4,374,0,0,0,0,0,0,0,0,92,106,80,52,72,17,4,430,0,0,0,0,4,0,0,4,0,8,3,0,0,0,0,7,0,0,0,3,3,0,0,9,20,33,23,15,17,6,0,114,0,3,0,0,0,0,0,4,17,44,24,22,23,6,0,141,117,152,108,78,95,18,4,568
101041025,15,17,8,8,14,3,0,57,6,23,17,16,16,3,0,76,35,34,9,7,11,3,0,110,240,289,165,116,135,23,5,980,0,3,3,3,4,0,0,12,296,369,205,153,183,34,5,1242,0,3,8,4,3,5,0,18,5,6,4,9,4,0,0,33,3,10,7,4,7,0,0,22,50,106,70,45,53,7,0,337,3,3,3,0,0,0,0,16,66,130,93,59,68,17,0,427,358,497,295,209,251,43,10,1667
101041026,13,6,8,8,11,0,0,44,10,9,11,3,9,4,0,47,15,18,14,4,16,0,0,69,161,207,132,89,104,13,0,713,0,4,5,0,0,0,0,5,201,244,165,104,132,19,0,870,0,0,0,0,0,0,0,0,4,4,4,4,3,0,0,17,0,10,0,3,0,0,0,18,52,94,44,38,53,8,0,288,3,0,3,3,6,0,0,17,63,108,56,47,64,9,3,337,262,355,214,150,197,27,3,1208
101041027,7,4,5,3,8,0,0,30,15,17,7,4,7,0,0,53,18,14,10,3,9,0,0,54,191,230,149,82,85,13,3,747,0,0,3,3,3,0,0,7,226,266,175,96,113,15,3,890,0,0,0,3,0,3,0,11,3,8,3,4,5,0,0,22,3,3,3,3,3,0,0,19,70,83,54,30,43,3,0,281,6,0,0,0,0,0,0,12,81,101,57,42,58,10,0,349,307,359,236,136,166,27,3,1237
101051539,88,67,24,20,34,9,3,248,38,45,34,28,24,3,3,177,52,72,27,22,12,3,3,192,813,818,441,248,354,60,25,2764,11,3,3,0,3,0,0,21,1008,1001,529,323,431,83,33,3403,4,8,3,4,8,0,0,32,14,23,3,14,11,0,3,64,6,13,3,3,3,0,0,30,266,302,182,115,172,19,9,1071,12,9,9,4,0,0,0,38,299,355,205,137,195,22,14,1231,1309,1352,738,462,632,107,39,4632
101051540,16,28,15,3,14,3,3,75,19,27,17,12,9,0,0,79,31,27,23,14,10,3,0,114,430,483,374,200,246,38,15,1786,0,8,3,0,0,0,0,13,497,565,422,225,291,50,18,2063,0,7,6,0,3,0,0,14,3,4,6,0,7,0,0,16,3,3,5,5,3,0,0,21,71,104,67,49,52,4,0,342,6,3,3,0,0,0,0,15,76,125,87,56,64,9,5,409,572,687,509,281,349,56,22,2473
101061541,15,17,9,3,8,3,0,55,21,25,14,6,9,3,0,75,23,21,8,3,3,0,0,56,290,306,143,98,111,31,12,982,0,0,3,0,0,0,0,6,349,367,177,113,124,39,7,1173,3,3,0,0,0,0,0,4,3,7,3,3,6,0,0,25,0,3,3,4,10,0,0,17,53,58,46,35,34,5,5,237,0,0,0,0,0,0,0,3,62,67,56,44,50,6,3,287,406,442,226,152,174,47,19,1464
101061542,14,22,16,10,19,3,0,87,39,39,38,24,28,4,0,177,30,47,31,28,26,10,5,169,508,592,381,227,299,83,30,2122,5,5,3,0,3,0,0,14,597,708,461,282,381,101,39,2568,0,0,0,0,4,3,0,12,5,8,11,8,10,3,0,44,4,4,4,0,0,0,0,19,43,53,40,26,36,9,3,203,3,0,0,0,3,0,0,4,58,73,54,34,50,9,3,283,656,779,515,321,431,107,43,2849
101061543,20,20,17,6,7,0,0,73,17,17,18,9,10,3,0,66,31,26,16,10,12,0,0,96,406,474,234,157,195,20,6,1505,4,9,3,4,0,0,0,15,474,554,288,185,222,26,6,1756,4,4,5,0,4,3,0,21,8,14,11,5,10,0,0,49,3,7,4,3,3,0,0,21,124,181,103,77,97,13,0,601,6,10,5,0,0,0,0,26,149,217,125,91,115,20,0,712,623,768,415,275,336,48,9,2466
101061544,3,6,3,3,4,0,0,25,10,7,3,3,3,0,0,26,16,12,0,3,4,0,0,37,251,294,193,85,137,33,5,1005,3,0,0,0,0,0,0,3,281,323,198,97,147,33,5,1092,0,0,0,3,4,0,0,7,3,3,4,0,3,0,0,18,3,3,0,0,0,0,0,9,52,81,49,33,34,11,0,253,8,5,3,0,0,0,0,16,62,92,62,39,44,11,0,307,349,416,260,136,196,40,8,1395
102011028,49,76,45,26,30,15,0,241,53,54,52,27,40,6,3,234,43,59,28,16,22,7,3,181,199,262,158,95,154,64,22,953,3,3,0,0,0,0,0,7,354,452,282,164,240,93,27,1615,0,3,10,7,5,0,0,30,6,13,10,7,8,0,0,45,3,0,3,3,5,0,0,14,32,53,42,33,46,13,4,217,4,3,3,0,3,0,0,10,46,68,62,47,69,18,4,321,397,522,349,212,308,108,33,1942
102011029,29,52,24,10,30,8,3,153,45,64,32,22,23,9,6,205,45,48,40,17,17,12,6,179,323,379,229,142,213,80,48,1413,0,0,0,0,0,0,0,0,446,538,322,195,279,111,62,1953,0,0,3,3,3,4,0,13,14,15,10,7,10,5,0,63,3,4,3,4,13,0,0,33,49,66,31,34,58,12,8,259,0,0,0,0,0,0,0,4,68,85,55,52,89,24,8,376,511,628,373,253,365,127,73,2329
102011030,15,13,5,4,6,3,0,48,19,12,5,12,7,8,3,58,16,16,13,7,13,4,3,71,109,152,99,70,96,27,13,564,0,0,0,0,0,0,0,7,158,193,118,93,118,45,18,750,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,12,0,0,0,0,3,0,0,8,23,31,23,21,12,3,3,114,0,0,0,0,0,0,0,6,22,34,33,23,20,4,3,139,186,230,149,119,136,46,23,885
102011031,55,109,66,36,53,28,9,361,68,62,32,22,51,26,8,269,55,43,30,19,25,20,14,207,363,390,285,176,210,76,45,1546,0,0,0,0,0,0,0,7,544,604,417,263,342,150,76,2383,0,6,11,6,10,14,3,52,12,11,12,7,17,4,3,63,8,12,9,3,17,0,3,46,39,71,57,46,44,21,8,291,7,0,3,3,0,0,0,12,63,99,93,70,89,43,20,465,601,702,501,329,425,189,89,2850
102011032,206,145,89,36,57,28,11,582,88,79,49,26,27,9,4,285,83,55,38,25,17,10,0,234,454,427,234,129,198,70,34,1538,6,8,3,0,0,0,0,24,838,718,411,219,304,116,53,2656,11,26,12,16,30,4,8,101,23,36,17,14,24,14,3,120,6,19,19,13,10,5,3,76,137,166,98,70,103,32,16,621,4,8,4,0,4,0,0,17,186,243,150,109,161,62,30,938,1027,962,558,328,461,177,83,3601
102011033,48,48,18,22,21,16,12,184,42,56,25,8,16,9,11,163,41,34,31,14,19,6,3,149,254,251,152,97,146,51,17,972,0,3,3,0,3,0,0,13,380,402,231,138,213,82,37,1478,0,0,3,0,3,3,3,15,0,5,4,8,7,0,0,28,4,6,5,5,5,0,0,25,41,59,40,25,40,16,5,233,0,3,0,0,0,0,0,6,51,80,60,40,52,18,7,300,427,479,288,182,262,101,50,1784
102011034,20,32,17,7,17,9,4,111,20,33,28,14,20,4,0,123,31,40,20,12,15,3,0,117,223,232,130,70,110,44,23,832,0,0,4,0,0,0,0,10,289,339,195,102,160,67,28,1190,0,7,3,3,8,4,0,22,7,11,10,8,10,0,3,38,4,14,7,3,11,0,0,38,47,70,39,44,43,5,3,243,3,5,3,0,0,0,0,15,57,94,61,55,62,13,6,354,346,437,258,160,222,75,38,1545
102011035,39,39,19,17,21,19,13,170,29,43,15,11,19,9,3,123,35,32,13,8,11,9,0,119,237,238,134,80,108,41,26,861,0,0,3,0,0,0,0,6,338,355,188,120,168,71,39,1282,0,8,4,9,3,0,3,31,3,6,9,3,10,3,0,37,3,4,4,6,3,3,3,24,64,64,45,26,29,6,4,233,0,3,0,0,4,0,0,8,72,81,60,39,47,14,12,331,413,434,248,162,214,90,54,1612
102011036,41,47,25,30,36,14,5,197,41,42,31,13,29,20,12,184,24,36,24,13,15,7,5,130,301,340,211,122,172,55,23,1224,0,0,0,0,0,0,0,3,414,470,283,179,252,94,46,1741,3,4,4,0,3,0,0,15,6,5,11,3,9,3,0,37,7,0,10,0,5,0,0,29,40,66,60,21,44,17,8,252,0,0,0,0,0,0,0,4,55,83,87,34,65,16,7,342,463,551,371,207,318,116,56,2080
102011037,38,48,19,29,14,11,4,159,30,44,26,12,19,6,3,132,35,44,23,9,14,14,3,139,198,185,115,71,91,37,15,703,0,0,0,0,0,0,0,0,299,316,184,113,134,64,23,1137,3,0,3,0,0,3,0,22,7,13,5,9,7,0,0,37,4,11,8,6,4,0,0,26,24,46,21,8,41,12,9,150,0,3,0,0,0,0,0,7,34,68,37,27,57,15,8,240,335,380,216,138,190,79,36,1380
102011038,29,19,10,7,16,4,0,84,46,40,32,21,19,3,0,160,19,30,15,9,12,6,3,87,294,291,144,87,116,50,19,1004,4,6,3,0,0,0,0,14,389,383,207,122,163,61,22,1352,0,3,0,0,3,0,0,6,8,7,7,0,4,3,0,30,3,9,3,0,3,3,0,19,40,56,38,21,40,7,3,209,0,0,0,0,0,0,0,0,50,71,51,25,52,15,10,271,443,454,256,146,213,79,30,1619
102011039,77,91,56,36,54,28,13,347,65,82,52,27,31,18,9,291,69,71,39,17,34,18,6,257,430,387,250,154,222,99,48,1595,0,0,0,0,3,0,0,7,634,637,399,240,350,164,74,2493,0,9,11,3,9,4,0,38,6,17,5,8,8,3,0,47,5,11,3,6,10,12,3,57,37,92,52,52,65,23,8,335,7,4,3,0,0,0,0,16,60,135,74,76,93,41,15,490,699,770,474,313,442,198,90,2990
102011040,98,89,60,24,28,13,8,320,115,125,56,29,34,15,8,375,101,80,40,23,30,4,3,283,659,597,309,196,277,77,53,2162,8,14,4,5,3,0,0,36,989,902,466,271,369,111,73,3174,6,13,17,6,12,3,4,64,23,43,35,19,27,11,3,158,17,28,13,12,17,3,3,88,187,248,165,98,152,30,20,909,9,9,4,7,8,0,0,30,245,350,240,133,211,43,24,1246,1234,1254,697,407,575,157,97,4423
102011041,37,35,18,18,20,14,3,157,42,54,30,22,21,19,10,202,51,65,32,20,22,10,3,201,391,476,260,173,207,84,38,1629,3,0,0,0,0,0,0,9,522,628,343,237,277,130,56,2197,0,3,3,3,3,0,0,19,10,7,4,3,4,4,3,43,3,5,7,3,3,0,0,22,36,70,41,22,53,14,9,254,0,0,0,0,3,0,0,4,53,96,57,36,62,18,16,330,573,723,401,278,338,147,64,2530
102011042,54,56,19,19,30,10,8,200,37,50,22,19,24,10,3,168,73,54,22,11,17,9,6,185,374,326,205,119,164,45,17,1247,3,3,3,0,3,0,0,17,549,490,268,169,231,69,29,1806,7,7,0,3,8,3,0,26,22,10,10,13,5,0,0,60,4,21,9,7,10,3,3,60,103,145,77,60,61,17,7,471,3,5,0,0,6,0,0,18,135,196,96,87,85,29,10,634,684,686,364,253,314,96,46,2441
102011043,67,84,35,25,29,15,13,261,57,65,30,18,22,12,6,216,51,35,13,13,15,15,5,147,355,342,184,97,149,42,22,1188,0,4,8,0,0,0,0,16,531,525,271,160,224,76,43,1824,4,11,7,7,4,0,0,37,4,12,6,6,7,4,3,51,8,10,3,5,10,0,0,30,85,125,78,71,87,25,16,493,11,5,11,3,0,0,0,29,108,160,102,103,112,34,22,641,641,691,376,255,330,114,60,2471
102021044,33,34,34,18,33,10,7,169,105,92,46,28,36,9,5,320,65,77,41,27,35,10,3,249,840,816,417,246,356,117,51,2856,4,8,3,3,4,0,0,22,1055,1028,537,313,466,155,69,3621,0,9,7,8,13,0,0,36,21,50,42,11,20,11,6,153,16,22,6,13,11,3,0,72,221,293,169,109,131,34,17,986,12,11,6,7,3,0,0,32,268,374,234,142,180,47,27,1277,1325,1407,771,455,639,205,95,4892
102021045,20,18,20,17,25,5,3,106,36,39,26,18,26,0,0,146,38,37,25,4,22,0,0,125,466,453,284,164,202,45,10,1627,0,11,12,10,4,0,0,30,558,559,363,212,272,54,12,2032,3,9,3,3,5,0,0,21,23,23,19,10,14,4,0,86,3,11,6,5,9,3,0,42,192,245,137,67,108,29,11,790,4,5,8,0,3,5,0,19,227,296,170,83,133,39,16,958,779,848,534,298,410,94,26,2989
102021046,7,11,9,3,4,3,0,42,19,30,13,8,3,4,3,88,19,21,10,3,6,3,3,66,342,291,167,100,117,42,14,1072,5,0,0,0,0,0,0,5,396,359,198,111,130,53,19,1276,0,3,3,3,3,0,0,7,10,11,5,4,3,3,0,33,4,7,6,3,3,0,0,29,92,118,86,47,50,17,3,419,0,10,8,3,4,0,0,19,107,141,111,67,60,18,7,512,506,504,308,178,197,75,23,1790
102021047,30,39,31,21,22,8,12,157,70,87,51,25,42,14,4,301,40,68,32,29,28,11,10,218,590,655,362,225,287,113,45,2273,4,5,0,0,3,0,0,10,735,848,480,302,384,142,70,2958,0,4,4,3,4,0,0,19,8,17,8,11,20,11,0,66,11,12,9,6,7,0,3,46,103,148,88,63,100,28,8,539,7,3,0,0,0,0,0,12,127,184,110,76,130,38,8,681,859,1036,595,378,511,179,79,3644
102021048,59,51,22,23,24,14,5,192,64,54,38,19,31,8,10,224,53,59,29,19,25,6,7,200,646,654,420,265,310,85,49,2422,3,6,6,0,0,0,0,18,829,819,509,324,388,107,69,3053,4,10,5,12,12,3,3,43,24,35,19,13,18,3,3,120,6,27,23,4,14,0,0,83,271,337,224,158,170,41,11,1209,21,10,7,0,9,0,0,53,328,416,283,192,219,48,22,1511,1152,1237,795,515,611,159,92,4562
102021049,5,11,3,3,3,3,3,35,14,17,12,3,10,3,0,68,7,11,9,9,12,4,3,61,111,114,92,77,97,42,17,549,0,0,0,0,0,0,0,0,135,158,117,98,130,55,22,713,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,20,19,4,12,12,3,3,70,0,0,0,0,0,0,0,5,20,26,11,12,16,4,3,81,157,187,128,105,145,56,25,797
