SA2_MAINCODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101061543,2699,2886,5582,833,960,1791,612,695,1303,22,30,48,67,49,117,13,12,25,10,15,21,3,0,4,9,7,14,49,51,99,0,0,0,775,855,1631,41,48,86,26,16,39,1671,1872,3544,386,392,786,4760,5153,9912
101061544,2251,2165,4413,309,326,637,492,497,987,19,26,39,47,57,107,6,4,10,3,9,13,3,6,7,6,3,8,57,58,112,0,0,0,624,661,1285,21,30,57,15,16,34,972,1033,2006,264,262,527,3491,3462,6949
102011028,1953,1945,3899,302,297,598,827,820,1641,14,11,25,27,27,47,5,3,9,8,9,22,3,3,6,14,15,24,7,4,11,0,0,0,895,893,1789,108,111,223,21,13,32,1327,1315,2645,175,163,342,3457,3432,6885
102011029,2982,3077,6058,348,354,698,1201,1274,2474,16,17,36,32,41,77,0,5,10,10,9,20,0,3,4,0,6,5,8,3,14,3,3,6,1273,1365,2640,84,94,174,26,22,47,1722,1827,3557,245,285,534,4955,5194,10146
102011030,1455,1303,2755,109,103,218,474,434,913,3,7,7,13,15,24,5,0,4,3,3,9,0,0,0,0,3,4,4,4,8,0,0,0,504,465,966,27,41,71,8,8,13,645,623,1262,252,224,482,2356,2149,4506
102011031,3522,4036,7559,295,357,649,1638,1871,3511,16,26,44,36,51,93,8,6,18,18,28,40,0,8,5,0,0,0,19,12,28,0,0,0,1741,2004,3740,158,174,331,39,39,81,2230,2569,4803,392,556,944,6144,7160,13310
102011032,3926,4328,8255,706,769,1471,2559,2689,5245,56,55,118,90,94,182,7,10,17,25,25,48,8,19,28,10,6,20,13,23,33,0,0,0,2777,2925,5696,367,415,780,68,38,105,3912,4145,8056,656,705,1358,8489,9176,17667
102011033,1868,1904,3765,221,213,437,557,578,1133,5,7,10,18,9,20,8,4,11,5,3,12,0,0,3,3,0,7,0,4,5,0,0,0,597,608,1205,44,43,88,15,17,30,879,884,1759,273,140,419,3019,2926,5941
102011034,1795,2151,3951,164,196,358,925,1072,1996,7,18,24,17,23,39,0,0,3,11,14,29,3,0,5,0,0,3,4,5,12,0,0,0,976,1143,2112,63,51,112,19,19,39,1215,1411,2628,157,207,363,3175,3765,6941
102011035,1924,2018,3943,107,128,239,768,802,1574,15,9,20,16,11,30,5,3,5,4,11,13,4,3,9,3,3,3,0,0,0,0,0,0,807,847,1653,42,46,86,17,9,30,974,1030,2004,126,134,262,3030,3184,6209
102011036,2329,2377,4705,174,170,346,908,952,1863,7,15,19,27,26,57,0,4,6,8,5,9,0,3,3,5,9,11,5,8,18,0,0,0,955,1028,1980,53,67,120,21,15,37,1205,1278,2485,178,179,358,3713,3826,7543
102011037,1747,1787,3537,139,148,288,715,802,1516,13,16,31,19,19,39,3,3,3,3,3,6,3,3,3,0,0,0,3,3,10,0,0,0,771,843,1611,51,78,129,11,19,24,969,1080,2052,134,138,275,2845,3009,5855
102011038,1852,2000,3854,248,242,488,786,860,1642,5,7,12,23,29,55,0,4,3,10,4,14,0,0,0,0,0,0,4,8,11,0,0,0,828,914,1742,35,51,86,6,6,13,1120,1214,2333,171,165,340,3145,3379,6523
102011039,3055,3217,6271,526,538,1068,1842,1933,3777,31,37,72,67,67,134,10,9,19,19,12,31,12,8,17,8,4,8,8,9,25,0,0,0,1997,2088,4082,247,244,490,24,33,60,2798,2901,5701,301,330,630,6159,6441,12601
102011040,5676,6131,11810,1269,1411,2686,2361,2693,5047,44,34,79,105,108,215,13,16,31,23,31,51,11,12,29,19,12,33,7,19,25,0,0,0,2584,2923,5504,197,246,444,59,40,104,4115,4623,8735,797,926,1725,10588,11680,22273
102011041,2573,2645,5219,253,239,491,1230,1340,2570,18,20,41,34,39,76,4,4,8,16,12,21,4,3,6,7,8,13,3,0,9,0,0,0,1316,1427,2739,110,90,192,22,14,41,1698,1769,3469,220,216,443,4495,4635,9127
102011042,3378,3622,6998,453,524,978,1612,1857,3468,15,23,39,64,59,126,15,13,22,13,12,25,0,0,6,10,5,14,21,14,36,0,0,0,1745,1989,3738,147,200,344,47,35,79,2389,2750,5143,497,564,1061,6261,6934,13195
102011043,2867,3177,6044,286,319,602,1334,1475,2806,13,17,25,45,45,93,8,6,14,7,6,17,3,0,5,3,0,3,3,3,6,0,0,0,1413,1564,2974,92,104,199,85,131,221,1877,2122,3998,342,365,706,5089,5664,10752
102021044,5630,6154,11786,814,939,1753,2261,2610,4867,26,35,59,67,76,145,23,22,43,19,19,43,3,3,9,8,4,13,13,18,27,0,0,0,2411,2789,5198,122,144,269,62,74,132,3409,3940,7358,656,817,1472,9697,10914,20613
102021045,2714,2873,5581,396,486,879,1354,1490,2848,12,12,31,57,54,105,4,3,9,15,16,30,0,3,3,10,8,17,6,6,13,0,0,0,1464,1595,3053,30,41,67,39,29,68,1919,2147,4070,268,286,558,4904,5303,10209
102021046,2488,2538,5029,334,348,681,1076,1156,2231,8,14,18,27,46,76,3,0,3,12,18,32,3,10,8,0,0,4,6,6,12,0,0,0,1143,1249,2388,30,28,58,23,17,45,1531,1646,3171,315,339,655,4335,4524,8858
102021047,4166,4376,8545,548,585,1136,1679,1895,3575,31,27,58,49,48,96,11,13,18,17,19,34,6,3,13,3,4,5,4,0,3,0,0,0,1794,2003,3802,69,90,161,47,39,89,2466,2719,5185,334,362,699,6963,7461,14423
102021048,5456,5771,11233,761,884,1643,2496,2773,5271,26,21,40,107,109,213,9,9,16,24,25,42,9,4,14,6,7,11,10,24,38,0,0,0,2684,2966,5651,109,135,236,73,69,140,3617,4057,7669,930,1032,1956,10003,10859,20858
102021049,900,890,1790,31,40,71,472,480,949,4,0,5,5,7,18,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,489,494,979,15,18,30,15,4,17,548,546,1091,147,145,291,1592,1589,3176
102021050,2903,3041,5940,365,381,750,1197,1299,2495,16,16,24,52,47,103,9,17,20,24,24,50,3,5,13,3,3,4,11,6,13,0,0,0,1315,1414,2728,36,39,72,23,21,40,1735,1850,3585,316,350,669,4953,5244,10196
102021051,1379,1386,2763,77,84,161,612,661,1273,3,3,3,19,23,43,9,6,15,4,5,14,5,0,5,3,3,9,0,3,4,0,0,0,657,714,1368,57,27,88,6,8,13,798,833,1632,101,107,206,2272,2326,4599
102021052,1525,1472,2998,259,273,531,732,756,1487,5,9,16,25,28,58,0,4,4,3,5,10,0,0,0,0,0,0,0,3,4,0,0,0,774,805,1582,20,19,43,19,19,45,1080,1115,2196,138,127,267,2745,2719,5464
102021053,3052,3322,6374,708,757,1468,2056,2247,4301,20,15,39,77,95,177,6,9,18,11,18,29,11,5,16,5,9,12,17,15,30,0,0,0,2205,2419,4617,141,148,291,53,47,100,3115,3363,6476,617,666,1285,6783,7355,14132
102021054,2273,2315,4583,385,395,773,1237,1346,2580,6,9,24,40,51,98,7,6,14,8,10,18,0,0,0,5,3,8,7,3,11,0,0,0,1312,1433,2747,57,43,101,27,59,81,1777,1927,3705,437,503,939,4483,4740,9226
102021055,1234,1302,2538,119,143,257,766,832,1601,4,11,17,19,19,37,0,0,6,4,3,7,0,0,0,0,3,3,4,3,8,0,0,0,796,875,1674,47,59,107,16,10,20,977,1084,2059,188,157,347,2401,2543,4943
102021056,3362,3461,6826,517,605,1123,2275,2551,4829,22,19,39,83,76,160,7,16,19,13,17,30,4,3,6,8,11,16,9,5,17,0,0,0,2415,2703,5123,112,135,250,49,40,83,3097,3487,6577,354,347,701,6802,7298,14103
102021057,2100,2161,4257,250,277,529,1171,1265,2437,18,11,27,36,29,62,9,9,16,3,7,16,0,0,0,0,3,3,0,5,6,0,0,0,1241,1325,2569,78,94,175,36,36,71,1609,1730,3339,325,353,677,4035,4248,8279
103011058,5105,5341,10449,1731,1934,3659,2313,2509,4820,39,43,81,105,120,223,14,20,32,28,22,51,13,10,23,14,11,27,23,30,58,0,3,4,2551,2766,5316,212,243,454,74,61,135,4566,5006,9572,1409,979,2391,11080,11330,22411
103011059,2636,2632,5273,527,552,1077,1369,1478,2848,19,22,37,45,52,98,6,12,17,16,10,24,5,3,8,4,7,6,14,6,23,0,0,0,1475,1588,3065,63,66,127,31,21,55,2102,2224,4326,358,379,743,5104,5231,10337
103011060,2039,1958,4002,111,111,221,676,713,1392,3,3,3,19,19,36,3,3,3,5,3,10,0,0,4,3,3,4,8,3,12,0,0,0,719,746,1463,13,13,22,9,6,16,852,871,1725,588,297,884,3477,3125,6608
103011061,1216,1180,2397,292,278,568,339,323,661,8,6,21,22,21,42,4,0,6,8,8,11,0,0,0,0,0,0,0,3,4,0,0,0,382,360,742,14,9,28,3,3,10,694,658,1351,391,255,648,2300,2094,4393
103021062,1850,1793,3646,394,438,827,274,295,566,20,12,33,46,53,96,3,7,14,3,11,11,3,0,3,9,8,15,3,11,10,0,0,0,366,391,756,28,34,61,16,10,28,799,879,1678,420,372,791,3071,3049,6119
103021063,2430,2492,4924,644,710,1350,554,671,1230,13,17,32,45,47,88,7,0,5,4,10,9,0,3,3,0,6,4,28,21,43,0,0,0,651,774,1427,13,32,48,18,14,36,1323,1538,2859,392,443,830,4144,4471,8617
103021064,1660,1561,3214,214,217,435,474,467,946,9,9,18,21,18,33,3,7,14,4,0,10,0,0,3,0,0,0,8,9,21,0,0,0,515,514,1037,3,14,22,14,11,25,748,759,1507,247,233,480,2654,2552,5207
103021065,2807,2720,5532,803,802,1607,509,569,1075,18,16,27,62,53,117,3,3,9,9,16,19,3,5,7,3,5,13,22,22,41,0,0,0,625,689,1315,31,31,61,24,19,47,1486,1537,3025,498,473,966,4788,4731,9524
103021066,1129,1075,2203,201,219,417,177,184,363,3,12,14,20,21,43,0,0,0,7,6,8,0,0,0,3,3,5,19,19,32,0,0,0,226,241,469,7,13,21,5,5,12,447,475,921,168,178,348,1741,1726,3468
103021067,2752,2916,5668,853,961,1811,577,650,1225,16,28,46,75,71,149,12,9,30,22,15,36,9,0,8,4,4,13,6,14,20,0,0,0,726,801,1527,69,69,134,27,27,57,1681,1854,3532,478,543,1025,4916,5315,10231
103021068,1075,969,2041,100,104,205,245,237,487,6,3,5,15,13,28,5,8,12,3,0,10,0,0,0,6,3,7,0,0,0,0,0,0,276,270,543,7,17,23,3,4,7,392,391,780,196,188,390,1659,1550,3211
103021069,1741,1688,3429,342,351,694,234,241,474,16,16,40,37,32,68,9,7,13,15,8,24,4,3,6,6,3,10,14,20,32,0,0,0,324,330,658,28,39,66,0,3,4,694,728,1420,347,370,722,2790,2790,5572
103031070,3352,3359,6714,794,902,1692,825,953,1779,8,15,23,30,38,61,13,6,16,7,10,15,3,4,3,0,0,0,8,13,20,0,0,0,894,1027,1915,60,56,118,29,29,58,1777,2008,3787,952,598,1549,6082,5969,12055
103031071,2468,2304,4771,258,265,525,670,685,1357,10,9,21,29,25,50,0,3,4,7,0,3,0,0,0,0,3,3,0,0,4,0,0,0,711,726,1439,20,26,47,13,16,30,1010,1040,2049,531,498,1025,4005,3841,7847
103031072,2358,2496,4852,941,1001,1938,1129,1148,2279,14,11,26,121,121,240,15,11,28,13,8,23,6,7,11,0,4,6,5,10,13,0,0,0,1311,1321,2630,69,82,151,22,27,55,2346,2429,4775,546,594,1140,5244,5517,10761
103031073,968,904,1873,183,186,372,254,261,514,8,0,7,22,16,40,0,3,3,3,0,5,0,0,3,0,3,8,0,0,0,0,0,0,283,286,573,4,7,13,5,4,14,482,485,968,230,205,434,1676,1593,3277
103031074,2885,2602,5481,456,476,937,834,856,1688,11,16,28,48,57,103,7,8,16,17,13,26,3,6,9,7,7,13,3,3,6,0,0,0,935,955,1893,33,31,58,23,19,42,1445,1486,2928,685,637,1322,5017,4719,9734
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,2016,1990,4009,451,466,917,535,601,1136,13,16,29,20,34,61,0,0,5,8,7,20,7,3,6,6,7,10,4,9,12,0,0,0,598,681,1274,23,30,56,6,14,21,1082,1196,2270,284,257,541,3382,3440,6821
103041077,4462,4833,9296,935,1037,1971,1826,2145,3964,47,34,86,85,106,193,23,12,41,23,28,59,7,15,18,5,7,11,15,33,47,0,0,0,2036,2382,4417,170,200,371,51,47,99,3191,3666,6860,789,847,1638,8449,9346,17792
103041078,4164,4316,8477,1070,1160,2224,2476,2641,5113,60,49,112,120,124,245,17,19,38,52,55,100,10,15,26,11,9,16,22,24,48,0,0,0,2771,2937,5704,220,251,473,63,51,112,4121,4397,8516,535,518,1049,8816,9226,18040
103041079,3467,3305,6772,425,475,897,965,982,1948,21,31,51,50,63,113,3,0,6,8,14,21,3,5,8,3,3,7,6,8,13,0,0,0,1072,1100,2171,57,54,112,19,15,29,1567,1647,3212,442,421,864,5477,5373,10851
104011080,4543,4979,9517,1440,1662,3105,1135,1234,2365,43,46,95,201,240,438,11,12,16,35,32,63,4,6,12,20,25,53,15,13,23,0,0,0,1460,1606,3065,69,83,147,58,47,107,3025,3398,6420,920,693,1614,8486,9069,17559
104011081,4716,4396,9109,461,438,899,1150,1211,2364,39,47,90,213,213,429,13,16,25,35,31,64,3,4,8,23,14,37,8,5,15,0,0,0,1486,1538,3029,42,60,100,30,33,67,2020,2080,4095,744,672,1414,7478,7145,14629
104011082,4288,4420,8714,1028,1161,2181,868,923,1794,54,64,124,504,521,1022,16,8,28,43,32,74,16,14,34,27,21,51,12,16,29,3,0,3,1552,1605,3153,96,100,202,51,48,94,2724,2915,5631,631,656,1294,7647,7991,15638
104021083,1431,1546,2971,326,399,724,401,462,867,49,53,97,85,66,148,8,14,14,17,17,37,3,0,3,13,12,25,4,8,18,0,0,0,581,629,1206,45,50,97,18,30,48,965,1111,2077,202,216,411,2594,2870,5463
104021084,3889,4183,8067,798,871,1666,1772,1941,3711,90,111,200,201,205,401,24,19,46,38,50,88,22,21,43,15,23,33,22,18,38,0,0,0,2174,2384,4558,270,325,600,70,98,169,3311,3682,6991,676,711,1382,7874,8574,16447
104021085,1959,2227,4187,339,360,697,1246,1467,2715,58,53,105,127,143,269,13,16,28,29,26,55,12,16,23,10,15,20,13,11,21,0,0,0,1508,1740,3249,189,279,471,63,90,150,2096,2468,4564,465,568,1031,4518,5265,9781
104021086,1112,1033,2148,50,64,113,386,372,754,14,18,30,46,42,89,3,5,10,21,31,59,0,3,3,0,3,7,9,8,20,0,0,0,484,482,965,10,30,39,10,5,13,551,581,1134,166,153,320,1828,1772,3603
104021087,968,915,1880,156,169,323,179,216,394,12,15,19,47,44,90,3,0,3,9,6,13,0,0,0,5,7,9,0,3,3,0,0,0,251,289,535,3,17,21,10,21,26,423,493,917,159,139,297,1548,1551,3094
104021088,1998,2029,4025,285,321,607,1022,1121,2144,69,93,158,156,164,323,22,16,43,29,31,57,20,23,40,23,18,39,8,11,23,0,0,0,1349,1477,2826,96,94,193,25,24,46,1760,1921,3675,229,258,494,3988,4209,8195
104021089,5036,5272,10313,1154,1308,2460,1504,1698,3199,81,99,182,255,242,496,19,15,29,28,39,66,11,12,19,23,17,39,27,29,55,0,0,0,1944,2149,4093,131,176,304,64,40,107,3291,3680,6971,590,605,1190,8912,9553,18467
104021090,1269,1245,2514,184,213,396,468,503,973,14,13,31,59,46,99,5,13,14,11,5,13,4,0,5,3,6,9,4,6,8,0,0,0,564,594,1156,16,14,33,15,10,30,774,833,1613,180,194,368,2219,2270,4491
104021091,3117,3150,6274,676,735,1412,857,931,1791,84,92,173,203,168,371,24,12,36,28,39,65,15,11,26,7,10,15,13,16,25,0,0,0,1223,1276,2497,239,236,473,42,38,81,2177,2291,4466,527,523,1053,5827,5969,11792
105011092,1016,990,2004,177,204,384,220,232,452,12,8,21,14,13,32,4,0,3,9,3,11,0,0,0,7,4,8,0,0,3,0,0,0,268,271,535,11,20,30,12,9,18,461,500,964,373,332,703,1852,1821,3676
105011093,1160,1061,2225,306,301,608,256,255,510,22,23,45,60,64,116,15,21,38,17,11,32,11,18,36,3,0,3,0,0,0,3,0,3,395,388,781,35,45,89,14,9,25,754,748,1500,298,264,557,2214,2069,4280
105011094,1103,1067,2171,253,252,500,183,215,394,3,7,8,22,29,47,3,5,7,4,0,6,0,0,0,3,4,4,0,0,0,0,0,0,219,250,475,8,24,33,4,3,9,482,531,1019,303,317,623,1890,1919,3812
105011095,1446,1389,2829,265,281,545,246,252,495,10,10,17,40,37,72,0,3,3,4,9,8,3,6,7,3,8,6,8,5,10,0,0,0,309,317,623,20,33,56,3,6,10,598,639,1235,276,279,548,2317,2302,4621
105011096,1924,1633,3560,291,343,629,373,349,713,19,11,31,42,64,108,6,3,9,10,10,15,6,4,10,6,6,11,0,3,3,0,0,0,462,443,905,19,35,56,22,19,33,792,834,1628,438,367,805,3149,2837,5990
