SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
108021156,2390,32,21,27,54,2520,754,24,12,13,10,813,101,7,3,0,5,114,3237,62,33,37,76,3448
108021157,1214,34,31,42,5,1331,359,17,46,34,0,452,61,3,3,3,0,70,1629,54,79,80,12,1851
108021158,1564,104,207,126,10,2006,499,81,150,110,4,856,62,6,24,13,0,106,2126,192,382,250,11,2968
108021159,2162,31,3,25,11,2231,517,12,3,14,3,548,82,0,0,0,0,85,2763,41,5,38,17,2864
108021160,1397,99,121,12,12,1643,352,82,57,16,3,505,42,3,7,0,0,54,1795,181,186,27,13,2200
108031161,118,0,0,0,0,118,10,0,0,0,0,10,9,0,0,0,0,9,132,0,0,0,0,132
108041162,4415,374,146,205,34,5167,875,245,114,171,6,1421,158,23,14,22,5,224,5455,650,277,403,44,6814
108041163,6730,1194,1111,25,28,9100,853,371,435,15,3,1672,162,59,75,0,6,306,7747,1624,1620,41,39,11078
108041164,3380,1016,792,118,32,5329,677,419,420,92,5,1617,98,65,50,19,6,236,4156,1500,1260,221,43,7181
108041165,1387,4,3,7,28,1423,323,0,3,9,19,348,48,0,0,0,6,54,1749,5,8,15,53,1825
108041166,2819,153,58,19,14,3061,645,87,62,9,0,810,77,3,5,0,0,91,3545,248,125,29,9,3957
108051167,1364,9,22,17,10,1424,478,15,34,16,0,545,54,0,3,6,0,60,1893,25,59,38,10,2029
108051168,2818,357,125,74,39,3409,458,100,51,34,7,655,66,15,0,8,3,88,3342,476,181,113,46,4160
108051169,4948,401,317,36,38,5734,1356,324,287,20,17,1998,196,37,38,10,13,287,6497,762,632,73,58,8027
108051170,3409,116,6,74,18,3625,953,46,7,49,3,1060,106,5,0,6,4,120,4467,172,20,135,27,4810
108051171,1358,38,30,7,3,1439,475,57,24,3,4,557,47,10,0,0,0,54,1879,99,57,14,9,2059
109011172,4140,395,48,12,14,4606,455,102,15,3,3,587,86,24,9,0,0,117,4681,523,76,18,14,5304
