SA2_MAINCODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
101041017,46,138,127,148,261,248,120,196,26,1306,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,3,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,0,0,0,0,27,0,5,4,0,3,0,0,0,0,16,14,63,37,38,47,17,11,12,0,243,16,54,26,34,24,15,7,13,3,184,0,0,0,3,5,0,0,7,0,13,0,0,0,0,3,7,0,0,0,6,0,0,4,0,5,0,0,0,0,13,0,3,4,4,12,3,3,0,0,31,0,3,9,3,15,3,3,4,0,45,3,13,3,13,11,3,0,7,0,59,6,3,14,15,20,14,11,5,0,84,4,21,16,20,18,13,9,12,0,117,18,24,60,72,38,31,5,17,3,270,0,3,3,0,0,0,0,0,0,10,0,13,8,11,6,8,0,3,0,54
101041018,50,180,114,165,255,234,126,230,33,1383,0,3,3,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,4,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,10,0,6,0,31,0,0,3,4,0,3,0,0,0,10,9,72,40,49,36,10,12,17,7,242,10,70,37,34,14,12,0,13,0,179,0,4,0,0,3,3,0,0,0,16,4,3,0,0,4,3,0,0,0,13,0,0,3,3,5,3,0,3,0,22,3,0,0,3,8,8,3,3,0,38,3,3,5,8,15,12,4,6,0,57,0,19,8,10,16,3,0,0,0,61,6,3,8,18,36,13,5,9,0,107,6,28,28,21,21,20,15,26,0,166,20,39,72,73,68,40,17,17,3,352,0,8,4,3,4,0,0,0,0,22,4,16,14,9,3,8,3,3,3,62
101041019,71,160,127,161,354,361,191,293,34,1755,3,3,3,3,0,8,0,3,0,28,0,0,0,0,0,0,0,0,0,0,9,11,17,19,38,35,13,13,0,146,0,0,0,0,0,0,0,0,0,6,0,8,7,4,3,3,0,0,0,22,0,5,0,0,3,0,0,0,0,9,14,57,44,43,30,18,19,16,3,246,8,52,25,22,19,11,0,20,3,164,0,10,3,5,3,3,0,0,0,32,0,3,0,0,3,0,0,0,0,17,5,3,8,3,8,3,4,3,0,31,0,0,5,3,9,5,3,0,0,24,12,18,14,13,20,9,3,6,0,91,5,11,17,6,12,8,0,0,0,61,3,3,4,23,28,10,4,0,0,73,8,39,31,41,33,22,8,18,0,208,23,45,73,116,102,61,22,20,3,459,0,4,3,4,0,0,0,3,0,19,0,9,8,8,10,3,0,4,4,46
101041020,95,184,150,184,324,318,204,422,52,1935,8,25,18,35,7,22,4,44,4,173,0,0,0,0,0,0,0,0,0,0,3,14,10,10,15,19,13,12,0,97,0,0,3,0,0,0,0,0,0,8,0,7,5,3,6,3,0,4,0,38,0,3,0,6,5,0,3,3,0,22,14,54,31,48,26,17,9,7,3,213,8,66,24,25,14,6,9,15,3,164,3,3,6,6,3,3,0,0,0,32,0,3,0,3,5,0,0,0,0,10,0,0,5,3,13,3,3,0,0,29,0,6,4,0,4,3,0,0,0,22,9,12,13,13,15,6,3,7,0,74,3,17,15,11,10,4,0,3,0,59,3,5,8,9,23,12,8,6,3,91,6,43,26,38,18,24,11,31,5,204,16,51,74,113,62,38,26,20,0,399,0,9,9,5,0,4,0,0,0,30,0,15,11,10,13,5,3,3,0,50
101041021,19,56,51,67,113,141,64,101,12,614,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,14,0,0,0,3,0,0,0,0,0,4,0,4,3,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,18,14,12,15,5,4,3,0,84,3,28,11,9,5,4,3,9,0,77,0,0,3,0,0,0,0,0,0,11,0,0,3,0,5,0,0,0,0,12,0,0,0,3,3,0,0,0,0,3,0,0,3,0,3,4,0,0,0,12,0,8,6,4,4,3,0,3,0,25,0,8,7,7,3,0,0,0,0,21,5,3,3,6,22,7,3,0,0,49,0,15,10,11,21,11,8,14,0,91,7,22,33,36,30,19,5,3,0,153,0,3,3,0,0,0,0,0,0,9,0,8,3,4,5,0,0,0,0,23
101041022,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,17,52,46,59,106,102,63,143,17,599,3,3,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,3,3,3,0,0,0,13,4,25,17,20,16,3,3,6,0,94,4,37,9,12,8,0,3,12,0,89,0,3,0,5,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,8,0,4,3,7,3,7,3,0,0,25,3,17,6,7,4,0,0,0,0,39,3,0,0,4,3,3,0,0,0,18,4,6,9,19,12,3,4,5,0,60,8,7,13,25,11,11,3,8,0,94,0,3,0,3,3,0,0,0,0,11,0,3,4,3,4,0,3,0,0,23
101041024,27,71,62,84,123,140,54,114,14,696,0,7,5,5,3,7,5,9,0,43,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,3,3,0,20,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,27,16,17,14,9,7,3,0,93,7,33,18,16,8,11,3,8,0,91,0,0,5,3,0,0,0,3,0,10,0,0,0,0,5,0,0,0,0,6,3,3,0,0,0,3,0,3,0,12,0,4,0,0,0,0,0,0,0,5,3,5,7,3,8,0,3,3,0,36,0,7,6,11,3,0,0,0,0,31,5,3,10,5,23,6,4,9,0,58,8,24,7,19,8,4,4,10,0,78,3,20,40,30,15,15,3,6,0,140,0,0,0,0,0,6,0,3,0,12,0,3,4,10,4,3,0,3,0,30
101041025,85,210,144,198,398,380,224,374,37,2055,3,5,4,4,4,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,3,11,16,5,9,12,3,8,0,71,0,0,0,0,0,0,0,0,0,0,4,10,3,10,9,3,3,5,0,40,0,3,4,4,4,0,3,0,0,24,19,90,50,61,43,21,20,8,0,319,16,83,52,61,35,17,16,40,6,327,3,8,8,10,3,3,0,0,0,35,0,7,0,0,11,3,0,4,0,23,5,7,5,11,12,11,0,3,0,54,4,3,7,11,14,4,0,4,0,51,3,21,7,10,21,7,3,6,0,87,4,13,16,14,13,7,0,11,0,70,9,5,6,17,31,6,7,4,3,90,14,26,33,32,39,22,16,24,0,201,20,66,96,124,68,52,15,29,7,475,4,11,7,10,3,3,0,0,0,39,4,14,14,12,10,8,0,3,0,74
101041026,72,161,116,166,289,242,115,233,43,1445,0,3,3,0,3,5,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,6,7,3,3,4,0,3,0,19,0,0,0,4,0,0,0,0,0,10,0,8,3,3,3,8,0,4,0,25,0,5,0,0,3,0,0,0,0,10,8,56,39,38,18,13,13,7,4,198,4,59,20,15,8,9,5,15,0,129,0,9,3,3,5,6,3,4,0,27,0,3,3,10,18,3,0,0,0,36,0,0,4,7,0,6,0,0,0,31,0,3,3,5,7,9,0,0,0,25,3,15,7,21,17,6,0,7,0,72,4,21,10,9,4,5,0,4,3,65,4,7,23,21,40,12,8,4,3,118,6,33,24,23,26,17,16,19,3,167,26,46,81,91,70,31,8,17,4,367,0,3,7,0,0,0,3,3,0,17,0,10,3,4,8,3,0,3,0,40
101041027,55,189,144,177,233,238,124,232,39,1420,0,3,3,3,0,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,3,14,3,5,3,10,0,0,0,42,0,0,0,0,0,3,0,0,0,3,3,8,7,4,3,3,5,3,0,39,0,3,0,3,0,0,0,0,0,9,11,50,43,44,34,17,17,14,3,230,11,64,39,31,24,9,6,22,0,209,4,6,12,3,3,4,0,0,0,33,0,5,3,3,0,0,0,0,0,15,0,4,5,8,5,3,0,0,0,24,0,3,3,11,3,5,0,0,0,26,3,10,14,10,20,12,7,3,0,71,7,19,6,7,3,3,0,3,0,57,0,9,8,10,11,3,3,3,3,58,8,30,31,35,20,21,14,22,0,178,17,40,55,76,45,28,7,24,7,296,3,10,12,8,5,7,0,0,0,42,0,9,8,10,3,3,0,12,0,40
