SA2_MAINCODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
104021086,430,257,82,14,1969
104021087,397,262,120,44,1504
104021088,1017,659,225,58,4669
104021089,1828,1229,580,269,9263
104021090,569,386,233,62,2397
104021091,1280,825,396,120,5893
105011092,240,118,63,25,1650
105011093,302,121,77,19,1960
105011094,278,202,87,35,1687
105011095,297,208,134,44,1973
105011096,480,359,164,22,2506
105021097,1384,897,489,305,7572
105021098,184,111,34,10,1039
105031099,697,554,251,94,3427
105031100,809,404,143,55,4634
105031101,1161,639,444,228,8018
105031102,469,370,203,35,3755
105031103,598,310,98,24,2749
105031104,307,205,133,54,1776
105031105,461,339,174,55,2673
105031106,694,533,264,98,4200
106011107,770,514,124,29,4670
106011108,1373,990,517,220,9363
106011109,836,539,165,45,3946
106011110,876,562,270,91,4296
106011111,1121,727,350,128,6972
106011112,954,459,242,92,7005
106011113,481,301,114,23,2404
106021114,422,212,123,76,3036
106021115,2015,1290,665,216,12601
106021116,676,384,164,78,3805
106021117,1182,822,372,161,9488
106021118,702,303,103,15,4345
106031119,576,474,226,44,2938
106031120,667,615,227,66,3111
106031121,2002,2198,1218,564,11127
106031122,970,623,256,96,5580
106031123,552,293,95,16,2711
106031124,549,803,400,118,2694
106031125,1003,743,293,60,6538
106041126,676,360,163,62,4907
106041127,256,166,76,23,1704
106041128,397,249,143,97,2650
106041129,662,420,204,73,3651
107011131,1569,1212,667,236,10129
107011132,581,261,143,50,3955
107011133,3,0,0,0,9
107011134,1323,737,367,293,7680
107011545,853,394,312,94,5320
107011546,617,335,204,97,3836
107011547,352,281,194,53,1955
107021135,0,7,0,0,7
107031136,1007,492,236,149,6476
107031137,502,337,191,153,3136
107031138,872,768,405,177,4359
107031139,710,425,175,60,3256
107031140,1000,694,306,141,4522
107031141,1183,739,276,68,7921
107031142,859,451,240,84,4553
107031143,1409,1076,546,199,8526
107041144,1610,1125,671,258,10665
107041145,1191,702,373,164,7348
107041146,1617,1130,616,200,10799
107041147,779,393,162,58,4649
107041148,1364,771,289,107,6531
107041150,1671,1015,481,207,10046
107041548,1132,984,563,223,8824
107041549,1023,637,307,122,8560
108011151,441,341,138,36,2074
108011152,1276,1344,820,415,6863
108011153,705,624,234,50,3052
108011154,585,637,441,199,2915
108021155,1151,807,455,271,6568
108021156,1160,683,251,78,4369
108021157,456,372,167,99,2218
108021158,683,622,372,207,3163
108021159,931,566,227,45,3686
108021160,542,529,287,65,2443
108031161,44,19,12,4,223
108041162,1707,1743,980,351,8399
108041163,2654,2154,1220,563,14425
108041164,1313,1389,887,447,8237
108041165,678,433,135,14,2752
108041166,966,694,347,130,5079
108051167,448,463,219,69,2266
108051168,1267,1097,419,155,5471
108051169,1594,1245,808,423,8789
108051170,1553,1202,417,104,6068
108051171,452,312,182,68,2249
109011172,1070,641,332,106,7416
109011173,705,452,235,90,4568
109011174,1022,675,357,198,5540
109011175,1072,664,264,111,5233
109011176,1084,723,420,126,6342
109021177,199,150,89,25,1206
109021178,453,336,147,61,2602
109021179,272,148,85,23,1418
109031180,446,369,237,110,2457
109031181,536,501,260,91,2934
109031182,624,420,242,106,3330
109031183,619,388,184,68,2867
109031184,409,378,228,73,2591
109031185,818,659,353,141,4296
110011186,1903,1289,685,256,11820
110011187,388,283,87,28,1970
110011188,654,473,163,43,3057
110011189,285,264,100,51,1492
110021190,759,643,306,129,3998
110021191,777,678,344,120,4821
110021192,483,292,135,38,2200
110021193,444,364,190,71,2470
110021194,728,568,231,90,3039
110031195,529,377,236,55,3548
110031196,350,171,54,15,2178
110031197,521,284,178,65,3046
110031198,354,211,87,39,1935
110041199,578,377,256,97,3842
110041200,323,197,81,17,1764
110041201,597,427,225,66,3151
110041202,1509,1056,528,172,9083
110041203,1173,775,480,236,7405
110041204,294,149,71,14,1994
110041205,1681,1191,513,144,8522
111011206,1462,1042,639,315,8522
111011207,480,365,162,76,2542
111011208,1839,1213,719,228,11926
111011209,1832,1222,568,256,11211
111011210,547,408,261,115,3567
111011211,364,237,118,93,1788
111011212,1096,872,463,176,5580
111011213,1329,969,361,117,6449
111011214,1196,908,483,145,6712
111021215,693,559,311,168,3942
111021216,778,676,350,87,4301
111021217,692,467,207,153,6075
111021218,1283,1047,796,482,7481
111021219,1244,1059,520,325,6571
111021220,1042,854,288,68,4648
111021221,503,267,90,22,2773
111031222,1142,757,484,173,8017
111031223,486,388,195,51,3107
111031224,1032,649,264,158,6420
111031225,1360,811,363,204,8451
111031226,774,389,113,29,5909
111031227,1120,597,330,218,7616
111031228,1352,751,384,196,7866
111031229,1138,694,287,90,7109
111031230,3,4,0,0,7
111031231,454,290,218,182,4745
111031232,846,635,339,151,4032
111031233,1419,1066,605,386,9404
111031234,832,434,362,430,6248
111031235,671,339,122,47,4640
112011236,1691,1393,881,588,8751
112011237,1857,1288,583,205,8711
112011238,724,411,118,62,3248
112011239,1038,586,205,94,4605
112011240,1156,658,210,103,5874
112011241,518,380,191,52,2438
112011242,908,548,186,57,4247
112011243,1104,630,166,75,4434
112021244,759,608,363,129,4622
112021245,684,419,154,43,2985
112021246,1087,750,407,220,6285
112021247,863,508,192,72,3318
112021248,1410,770,347,188,7406
112021249,2085,1112,315,88,8088
112031250,1249,895,439,222,6712
112031251,776,577,330,214,4152
112031252,1351,705,252,65,5032
112031253,1263,781,372,171,6404
112031254,1793,1469,931,496,9593
112031550,1177,1107,765,315,7104
112031551,316,163,67,20,1558
112031552,551,601,511,240,3585
113011256,1113,661,439,283,7988
113011257,852,437,193,57,5104
113011258,707,448,254,96,4155
113011259,444,355,178,93,2522
113021260,314,235,88,37,1597
113021261,454,317,219,124,2749
113021262,447,304,131,48,2126
113031263,637,512,323,102,3307
113031264,267,177,93,32,1454
113031265,502,309,117,35,3186
113031266,506,371,200,50,2712
113031267,1360,900,384,107,7852
113031268,222,117,88,54,2086
113031269,1496,762,396,178,9417
113031270,824,561,319,154,5893
113031271,1212,728,327,108,6732
114011272,1121,1024,543,199,5027
114011273,414,360,139,51,1864
114011274,494,423,241,78,2444
114011275,12,13,0,0,39
114011276,563,475,169,90,2431
114011277,1537,1071,560,233,7881
114011278,1277,1044,576,279,9484
114011279,1151,1137,635,218,6260
114011280,444,481,261,94,2089
114011281,441,271,77,14,1823
114011282,1527,1419,813,335,7504
114011283,744,560,208,47,2756
114021284,1307,1613,1006,348,7292
114021285,461,272,120,16,2679
114021286,861,761,437,163,4708
114021287,837,741,347,116,4757
114021288,425,379,111,19,1979
114021289,801,827,339,124,3774
115011290,1507,1199,609,278,12201
115011291,1886,1132,350,80,10811
115011294,664,445,308,122,3370
115011296,1628,897,239,72,7125
115011553,603,460,187,40,4135
115011554,477,307,390,643,3281
115011555,1215,815,302,96,6379
115011556,876,624,199,48,5167
115011557,498,252,55,18,2726
115011558,2043,1164,473,262,10564
115011559,1699,822,272,44,11531
115021297,1945,1443,538,170,10787
115021298,526,382,191,105,2803
115031299,284,254,87,12,1509
115031300,2023,1119,356,107,10956
115041301,746,484,182,44,4847
115041302,1352,664,195,42,10831
116011303,763,432,220,124,8247
116011304,975,647,259,95,7705
116011306,1538,743,205,58,10086
116011307,1775,1011,477,212,11720
116011308,1509,945,323,77,11043
116011560,661,347,202,43,5314
116011561,857,422,279,136,7035
116021309,1033,483,129,17,7757
116021310,1594,685,191,37,16521
116021312,838,495,173,43,8002
116021562,237,106,13,12,1879
116021563,1378,636,139,37,10908
116031313,800,541,221,29,5759
116031314,405,165,61,55,3477
116031315,1270,408,111,41,8465
116031316,754,586,297,49,7197
116031317,997,557,284,65,8576
116031318,3,4,0,0,26
116031319,1372,618,199,104,9036
117011320,3,3,0,0,9
117011321,640,306,183,120,5425
117011322,1168,595,357,88,12544
117011323,714,485,241,97,5539
117011324,0,0,0,0,0
117011325,0,3,5,0,50
117021326,1435,728,375,199,14784
117021327,1327,715,255,66,13021
117021328,470,172,77,27,4396
117031329,885,516,158,37,8833
117031330,908,352,110,31,11557
117031331,1493,983,322,120,13402
117031332,1307,583,199,53,16435
117031333,1680,1059,466,319,16746
117031334,1109,710,220,48,14658
117031335,1165,649,330,86,15376
117031336,948,465,255,101,12228
117031337,1265,816,298,104,19241
117031338,1373,860,435,99,20915
118011339,1180,831,383,150,12180
118011340,1142,727,338,160,13843
118011341,1172,873,579,396,10942
118011342,0,0,0,0,0
118011343,2254,2030,950,480,16255
118011344,982,645,274,151,6393
118011345,1157,913,346,116,10631
118011346,1087,852,419,192,6661
118011347,696,678,351,175,5194
118021348,1922,1151,501,194,16155
118021350,1850,1309,639,339,12895
118021564,608,450,237,116,8127
118021565,781,431,192,91,8673
118021566,741,451,257,154,5558
118021567,754,515,286,115,5973
118021568,628,379,182,66,5545
118021569,1116,726,372,289,10831
118021570,880,492,239,175,8480
119011354,1039,757,402,243,8039
119011355,38,12,3,0,474
119011356,476,286,137,57,4154
119011357,1042,610,361,188,9334
119011358,1152,628,423,274,7685
119011359,1853,1076,484,184,11909
119011360,1062,509,324,205,7225
119011361,1006,535,309,168,7624
119011571,658,390,180,92,6778
119011572,697,337,163,71,6113
119021362,896,533,312,100,7941
119021363,1330,620,336,158,13602
119021364,1448,845,463,214,10946
119021366,755,394,211,78,7439
119021367,700,394,227,96,5720
119021573,574,277,159,110,6717
119021574,338,175,64,19,4273
119031368,1171,601,367,173,11757
119031369,1719,902,438,206,12517
119031370,849,491,315,198,6275
119031371,1239,745,282,143,6830
119031372,1350,1024,641,323,8685
119031373,681,394,271,96,4961
119031374,1634,1035,500,239,12254
119041375,864,466,221,99,11833
119041376,1544,814,563,458,12734
119041377,758,514,265,106,5801
119041378,570,314,198,92,6243
119041379,1070,590,253,95,8170
119041380,878,614,359,138,7094
119041381,880,532,337,322,10758
119041382,1288,913,478,220,8044
120011383,1890,1273,544,212,11722
120011384,1296,612,243,91,14987
120011385,1575,1065,434,283,10727
120011386,1636,1008,454,232,11369
120021387,1639,1202,352,81,10217
120021388,2018,1112,362,128,15978
120021389,1178,665,166,46,8532
120031390,1580,861,493,280,14510
120031391,1486,752,390,198,13281
120031392,751,390,158,41,5524
120031393,1141,657,362,201,8590
120031394,1206,561,243,92,9945
120031395,1096,552,214,133,7653
120031396,692,285,158,44,9393
120031575,1620,980,549,299,14222
120031576,266,140,52,14,1806
121011398,1745,1112,608,340,16726
121011399,1545,976,458,232,12943
121011400,2398,1675,781,366,16065
121011401,714,411,147,49,7142
121011402,2372,1485,700,358,14153
121021403,1805,978,382,125,9870
121021404,1077,722,250,66,6267
121021406,1686,1166,629,189,10178
121021577,658,353,179,76,6845
121021578,908,608,300,135,6045
121021579,605,438,352,211,5740
121031407,2044,1368,750,514,12459
121031408,2198,1533,791,374,13361
121031409,1531,1065,473,219,9207
121031410,1839,1472,944,370,11560
121031411,1719,1414,1081,756,11209
121031412,1811,1233,723,418,10342
121041413,1795,1431,559,163,12810
121041414,1416,1018,444,138,12804
121041415,2832,2278,1060,550,17816
121041416,1556,1200,585,298,12854
121041417,1057,803,287,64,7912
122011418,1796,1152,522,209,11287
122011419,1762,1306,572,308,14571
122021420,1525,1144,496,186,6983
122021421,1179,946,525,272,6087
122021422,1552,1054,428,110,7489
122021423,2078,1514,848,443,13014
122031424,1060,656,414,172,6878
122031425,569,465,239,105,3820
122031426,1664,920,465,159,14153
122031427,937,664,534,197,6504
122031428,1899,1664,966,411,13129
122031429,1504,810,288,146,12230
122031430,1193,776,450,316,9068
122031431,1956,1382,849,778,13970
122031432,348,246,115,48,1929
123011433,1024,734,417,384,6485
123011434,1213,635,244,50,9284
123011435,1348,646,186,40,12165
123021436,952,741,245,56,7316
123021437,1124,780,375,139,8155
123021438,1359,557,156,41,8157
123021439,0,0,0,0,0
123021440,1426,700,216,87,9277
123021441,1108,889,279,60,7174
123021442,1392,776,387,243,10435
123021443,1229,542,141,55,8102
123021444,1506,816,262,105,8635
123031445,431,257,144,35,2527
123031446,699,410,161,61,4639
123031447,1283,746,378,175,7827
123031448,808,413,140,30,4231
124011449,698,606,236,53,3237
124011450,2044,1369,514,126,10443
124011451,4,0,0,0,10
124011452,1745,1348,557,184,7809
124011453,1310,775,264,73,6139
124011454,2313,1487,660,333,11637
124011455,771,703,326,113,3536
124021456,0,3,0,0,4
124031457,1046,589,162,43,6384
124031458,1303,548,210,39,10188
124031459,1034,805,315,79,6690
124031460,1300,504,180,28,9142
124031461,1089,787,297,80,7465
124031462,971,604,242,129,8530
124031463,606,388,143,35,4399
124031464,753,542,314,192,6257
124031465,376,170,65,6,2245
124041466,918,665,425,178,6434
124041467,907,450,227,68,6548
124041468,434,251,78,13,3701
124051469,457,149,26,8,2785
124051470,1550,590,130,34,8262
124051580,572,348,132,24,4317
124051581,835,499,297,144,6462
125011473,955,425,96,21,12117
125011475,0,0,0,0,0
125011582,528,247,143,78,6275
125011583,304,128,79,20,4640
125011584,332,184,84,54,2943
125011585,421,219,114,35,3441
125011586,1103,460,211,101,9280
125011587,271,129,69,27,1947
125021476,2361,1468,869,327,14628
125021477,1359,752,353,160,10167
125021478,1331,733,401,120,9108
125031479,879,483,291,147,6908
125031480,650,404,255,231,5338
125031481,865,422,174,52,8684
125031482,1430,1108,452,128,11599
125031483,820,434,224,96,7348
125031484,951,468,295,199,8022
125031485,1248,703,304,136,11831
125031486,0,0,0,0,7
125031487,0,0,0,0,4
125041489,1252,636,270,165,12559
125041490,716,565,204,60,4202
125041491,973,685,359,229,12031
125041492,885,486,210,88,17741
125041493,1498,907,585,233,10774
125041494,724,648,281,75,5362
125041588,630,349,190,110,6066
125041589,832,385,234,113,8211
126011495,2508,1381,745,315,15761
126011496,2074,1454,777,397,11883
126021497,2185,1272,566,228,13850
126021498,1190,805,359,160,8166
126021499,944,768,389,454,5733
126021500,1241,767,506,444,13295
126021501,1015,544,375,147,6533
126021503,1233,662,303,87,11586
126021590,417,237,84,50,2244
126021591,1712,1062,590,356,15054
127011504,723,392,307,67,5323
127011505,486,378,138,64,3512
127011506,874,538,196,48,8190
127011592,0,0,3,3,25
127011593,421,172,46,4,2870
127011594,612,237,87,17,4272
127011595,604,222,64,9,4681
127011596,478,194,42,17,4523
127011597,600,228,76,11,6146
127021509,718,351,99,19,5119
127021510,1267,647,247,55,7242
127021511,824,517,284,184,7054
127021512,639,410,212,56,5417
127021513,666,400,203,101,6005
127021514,543,234,74,10,3495
127021515,766,382,194,77,5650
127021516,720,489,243,56,5921
127021517,456,258,100,20,2839
127021518,281,164,99,58,1936
127021519,975,573,319,78,6559
127021520,566,361,113,31,3718
127021521,3,0,0,0,11
127031522,918,447,222,83,6706
127031523,1074,817,222,83,8328
127031524,1184,530,206,100,9898
127031598,1321,770,370,118,11607
127031599,511,334,195,46,3959
127031600,824,304,118,100,7261
127031601,300,157,88,25,2691
128011529,1513,955,500,160,9241
128011530,1322,838,643,390,9337
128011531,1159,978,753,493,8042
128011602,748,501,252,170,6090
128011603,1175,699,407,153,6231
128011604,2336,1484,625,262,13889
128011605,357,194,105,35,1715
128011606,770,438,205,92,4141
128021533,530,352,221,130,3295
128021534,1385,562,152,61,5464
128021535,2169,965,278,136,10670
128021536,1868,1259,462,223,11131
128021537,0,0,0,0,22
128021538,1418,991,612,419,11529
128021607,1095,1010,415,157,8301
128021608,622,391,171,40,3679
128021609,451,149,40,11,1938
197979799,43,60,25,3,212
199999499,1142,722,150,41,7741
