SUA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1010,685,610,1290,1887,1833,3717,571,577,1141,392,377,774,2851,2788,5636,1319,1276,2598,457,414,869,419,407,828,2196,2104,4296,86,155,240,73,195,264,217,166,383,237,463,696,6,6,12,614,982,1601,192,318,518,101,219,325,47,97,149,192,408,605,3,5,4,540,1051,1594,66,69,131,96,198,293,3,10,13,161,276,439,2577,2839,5414,9622,10646,20270
1011,414,408,822,1016,902,1920,452,490,945,228,174,399,1698,1571,3268,625,598,1227,339,367,712,157,172,329,1121,1140,2259,46,81,127,24,74,98,153,114,266,149,265,418,0,3,6,382,538,917,82,127,206,43,91,135,19,65,77,127,237,363,4,0,5,273,519,795,25,35,54,46,83,131,0,3,3,71,121,189,1337,1433,2774,5289,5725,11020
1012,141,150,288,444,438,880,103,127,233,16,12,29,564,583,1145,425,396,823,54,53,110,28,23,45,507,466,978,20,27,48,20,45,72,58,37,95,36,111,150,4,3,4,141,230,372,20,32,55,13,23,34,3,11,12,30,58,95,3,0,3,68,128,195,4,14,19,11,35,44,0,6,8,15,48,65,846,981,1826,2283,2586,4866
1013,202,214,415,746,653,1395,190,188,371,16,20,41,952,855,1806,514,458,969,155,140,290,23,23,43,685,616,1306,15,33,50,16,20,39,118,67,186,60,143,207,3,5,6,212,273,483,60,80,136,46,66,110,15,35,50,60,144,206,3,4,7,185,320,507,16,18,32,26,67,97,0,0,0,42,83,124,1396,910,2307,3682,3277,6956
1014,168,164,332,662,550,1211,96,114,209,67,67,135,830,730,1555,443,402,845,115,86,197,48,41,89,606,537,1134,41,36,75,25,58,82,58,58,113,46,131,177,7,0,7,171,286,456,14,33,50,23,34,50,5,21,33,43,87,132,0,0,0,85,180,265,14,16,35,19,33,54,0,0,0,32,55,88,907,732,1645,2804,2676,5482
1015,197,167,363,588,594,1185,218,192,408,3,15,17,808,799,1607,376,348,726,203,199,403,15,16,33,594,569,1165,12,19,30,15,30,42,61,42,96,82,107,191,0,0,5,172,200,371,43,60,106,24,28,47,10,18,29,42,70,116,0,0,0,120,180,299,11,22,33,27,49,77,0,3,5,39,71,114,984,1043,2025,2922,3020,5945
1016,166,129,292,429,433,860,116,126,242,95,58,146,636,614,1251,280,267,550,133,111,247,59,50,107,471,437,901,15,18,36,9,28,41,31,35,69,31,80,107,3,0,3,88,161,247,17,34,57,7,25,37,4,11,15,23,58,83,0,0,0,55,135,191,3,9,10,10,34,43,3,3,3,18,45,61,1260,943,2202,2688,2457,5148
1017,256,254,505,753,718,1476,259,254,514,151,148,298,1163,1122,2282,536,560,1097,269,301,572,66,61,126,873,921,1792,40,65,105,45,93,133,97,80,180,98,160,264,0,3,6,284,397,681,211,267,476,164,188,355,53,74,122,137,284,426,0,3,3,568,820,1386,15,19,37,35,75,107,3,3,4,53,98,148,1146,1203,2344,4338,4814,9147
1018,100,90,184,331,310,643,99,105,198,17,11,33,449,426,875,244,216,464,83,89,176,24,21,45,359,323,676,19,28,42,16,23,35,61,40,96,40,70,109,5,3,12,136,162,292,20,40,61,17,25,37,4,14,24,31,61,96,0,0,0,71,146,216,6,8,19,23,26,44,0,0,0,24,37,67,995,632,1624,2125,1811,3932
1019,185,166,355,533,547,1080,117,91,207,246,253,506,895,893,1793,407,374,779,94,76,174,260,236,500,755,691,1450,23,38,64,10,37,45,79,48,125,71,119,184,4,0,4,187,242,425,181,226,402,75,95,171,15,36,52,64,140,198,0,4,6,333,500,830,20,30,46,32,75,114,3,0,3,53,105,160,665,670,1334,3086,3262,6339
1020,108,110,214,403,350,749,162,169,331,6,0,3,571,517,1091,239,244,483,76,64,143,8,0,9,320,311,628,10,15,28,3,10,16,48,48,91,47,90,140,3,0,3,112,160,271,9,29,41,12,23,35,9,12,16,34,70,106,0,0,0,70,135,205,0,3,5,14,18,30,0,0,0,12,21,39,532,567,1099,1714,1831,3551
1021,151,127,279,443,435,884,121,108,226,37,44,79,602,583,1185,228,232,459,115,97,219,21,25,42,366,354,719,18,27,43,10,17,19,54,46,99,40,69,104,0,0,0,112,161,268,3,36,35,8,26,40,4,12,16,31,52,90,0,0,0,55,129,182,6,6,13,11,25,44,0,0,3,22,37,51,667,408,1077,1969,1803,3766
1022,214,169,382,683,631,1311,140,140,281,165,139,308,982,907,1897,578,514,1083,44,79,127,204,173,380,827,762,1591,22,31,55,10,28,36,78,62,139,71,115,182,0,0,7,183,238,420,95,130,227,29,71,96,18,36,52,55,117,172,0,3,3,191,354,544,7,9,21,27,64,88,5,5,5,43,76,119,1070,1196,2267,3504,3708,7214
1023,4808,4315,9124,14435,13687,28127,3574,3310,6883,1760,1662,3427,19775,18656,38432,9727,9429,19159,2686,2607,5298,2000,1829,3833,14414,13873,28291,667,805,1463,426,710,1134,1756,1173,2934,1497,2422,3919,42,40,81,4394,5141,9530,4756,5722,10479,1895,2349,4235,711,927,1640,2043,3390,5434,27,28,60,9439,12413,21846,254,369,624,586,1202,1787,26,33,56,864,1604,2467,13785,13986,27770,67487,69984,137469
1024,380,372,755,1139,1121,2257,210,193,403,152,172,331,1502,1485,2986,731,706,1440,167,198,365,158,154,309,1054,1058,2112,43,45,90,30,73,106,133,87,219,84,178,266,3,4,9,301,389,689,96,175,273,61,119,179,21,43,65,115,212,327,0,0,4,297,551,843,23,26,53,40,88,132,3,0,3,66,120,188,2155,1569,3726,5750,5542,11291
1025,381,353,736,1227,1123,2349,374,357,735,280,232,513,1880,1713,3596,683,615,1295,296,354,653,271,281,553,1252,1247,2502,42,73,119,32,57,96,184,118,300,214,303,520,3,3,4,481,563,1044,155,235,395,96,147,243,24,56,77,155,333,482,0,3,3,434,772,1201,25,21,41,48,100,148,0,4,5,72,120,201,1386,1438,2823,5890,6209,12094
1026,107,97,205,363,364,722,123,112,232,33,33,63,511,511,1018,234,230,467,109,104,214,32,25,62,379,366,746,14,10,22,3,7,10,42,49,97,26,74,102,0,3,3,81,144,229,19,37,57,5,21,29,10,15,29,28,45,77,0,0,3,65,121,188,0,4,4,12,26,33,0,0,0,12,31,36,495,578,1074,1658,1852,3508
1027,435,381,815,985,868,1853,596,601,1198,271,238,511,1844,1710,3558,445,443,887,728,731,1458,232,230,457,1402,1408,2808,42,60,105,28,86,120,131,125,257,134,271,410,3,3,9,350,550,898,110,252,358,85,138,226,28,40,67,160,292,456,5,0,3,384,725,1104,16,31,48,59,133,186,4,0,3,81,168,241,1457,1598,3059,5946,6543,12487
1028,176,170,347,513,524,1037,182,199,377,34,27,54,725,746,1464,376,358,730,148,154,298,65,50,112,584,557,1144,13,24,39,8,22,29,70,38,113,57,123,179,0,0,0,145,206,353,58,66,128,17,31,49,16,29,48,49,97,147,0,0,0,138,229,371,40,11,51,15,50,70,0,0,0,58,56,120,516,536,1054,2345,2505,4849
1029,152,141,295,631,581,1214,31,15,46,31,43,73,692,642,1337,374,375,747,61,79,145,54,34,85,484,494,978,19,26,41,9,10,23,61,31,92,36,94,129,4,0,3,126,167,294,22,44,68,12,42,59,7,8,16,30,78,101,0,0,3,71,179,251,14,21,29,18,46,60,0,0,0,28,68,95,667,711,1380,2217,2398,4621
1030,39982,36441,76422,125432,117419,242854,36420,35980,72404,22822,21501,44325,184673,174901,359579,75624,74053,149677,38615,36972,75591,27872,26619,54488,142112,137639,279752,7295,7425,14720,7206,11812,19017,12792,6020,18813,12545,19702,32251,405,409,815,40246,45370,85613,74224,83267,157488,26382,28069,54452,8631,9422,18051,21147,29946,51088,557,676,1230,130942,151377,282316,8851,11085,19934,10097,17387,27487,257,369,621,19203,28840,48041,145623,143438,289059,702782,718008,1420788
1031,405,429,839,1245,1113,2359,415,426,841,177,166,351,1845,1702,3546,878,743,1618,247,317,565,231,335,566,1358,1394,2753,46,59,104,38,64,102,134,132,267,150,244,399,8,6,7,376,503,878,65,127,193,32,86,115,28,71,95,132,248,377,3,3,11,263,528,794,14,26,43,53,90,151,7,0,3,76,119,194,1766,1767,3528,6083,6448,12532
1032,242,220,466,758,686,1445,170,168,343,124,133,256,1057,986,2043,560,588,1149,156,131,292,81,99,178,799,818,1616,36,49,82,39,75,114,65,74,146,61,159,215,5,5,8,201,364,569,26,68,93,16,53,69,9,27,32,37,103,133,0,0,0,85,248,330,12,25,41,19,54,72,4,0,3,34,79,116,999,1141,2137,3418,3859,7278
1033,155,123,279,473,427,908,37,54,90,17,22,37,533,501,1038,387,391,782,17,31,49,11,6,19,419,429,847,6,15,21,12,23,32,38,39,78,32,74,101,3,3,6,102,139,239,15,23,41,15,31,45,4,5,11,33,73,109,0,0,0,66,135,202,5,8,14,16,38,53,0,0,0,21,48,67,561,699,1264,1857,2085,3940
1034,563,465,1027,1457,1362,2820,727,743,1473,286,223,510,2472,2330,4801,988,913,1894,562,613,1177,295,294,594,1842,1821,3666,79,80,154,67,102,161,266,182,446,195,352,550,9,4,14,617,717,1329,414,916,1333,181,288,470,62,136,202,258,497,755,0,6,6,920,1848,2770,91,49,135,74,129,201,6,3,9,169,175,343,1686,1697,3388,8269,9050,17321
1035,3049,2760,5811,8804,8319,17121,2292,2369,4656,922,830,1747,12015,11516,23529,5927,5706,11630,2393,2555,4951,926,831,1759,9248,9087,18335,395,458,854,317,537,852,1268,615,1887,787,1255,2037,40,31,68,2801,2899,5701,4356,4574,8932,1738,1474,3212,437,577,1015,1060,1872,2939,15,21,40,7615,8524,16135,229,263,497,374,842,1218,3,17,23,610,1125,1739,8319,8660,16979,43654,44574,88227
