SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1010,132,155,285,72,80,145,111,467,581,129,821,949,621,1682,2300,624,874,1499,1847,731,2578,1455,730,2187,1762,605,2365,1752,367,2121,1211,239,1452,1127,188,1311,1933,182,2115,1168,56,1227,644,25,669,415,103,517,675,21,694,1655,159,1810,282,456,734,17596,7955,25549
1011,47,79,123,28,55,75,60,187,247,78,327,404,239,646,890,273,322,594,664,345,1011,580,368,947,786,355,1142,775,236,1010,615,188,799,656,138,793,1125,193,1318,773,31,804,480,14,496,261,66,329,444,15,458,941,78,1018,169,246,417,9000,3884,12879
1012,55,61,113,43,42,84,40,196,234,46,336,382,308,894,1205,199,394,596,976,295,1270,545,288,838,664,204,867,505,86,588,278,59,338,282,50,332,378,53,431,230,6,237,103,0,107,89,40,129,134,3,140,467,39,506,151,254,405,5490,3307,8794
1013,34,45,82,38,52,88,42,160,207,57,316,369,181,623,805,166,300,468,485,226,710,419,251,673,512,222,735,534,130,666,365,138,496,369,98,468,707,91,796,449,21,471,278,3,282,146,37,188,246,7,251,523,30,553,116,161,272,5661,2917,8575
1014,23,46,72,14,21,40,59,147,204,50,249,300,191,672,858,227,298,529,590,232,823,456,190,651,519,162,673,450,76,527,307,62,365,278,49,325,408,51,457,257,4,262,135,5,142,77,16,96,111,3,113,410,49,462,83,169,254,4642,2496,7143
1015,34,52,88,25,22,51,27,95,120,34,170,200,153,314,468,141,133,279,366,161,519,301,190,490,357,157,510,430,119,548,370,72,442,298,50,349,564,82,643,351,23,372,211,14,227,125,35,155,217,18,233,437,33,474,122,142,259,4571,1866,6436
1016,15,22,43,23,26,44,45,111,150,46,188,239,142,438,581,213,145,352,464,151,610,322,140,463,377,87,467,315,44,360,246,25,270,205,24,223,293,27,319,155,0,159,77,3,80,32,14,47,51,3,53,299,21,325,102,135,240,3420,1599,5015
1017,44,68,106,29,40,70,48,257,306,63,411,474,248,911,1158,322,465,787,690,379,1065,535,381,912,759,336,1092,724,183,905,525,110,630,487,98,587,766,103,863,398,16,414,193,13,203,139,45,181,180,4,189,546,92,642,95,182,276,6785,4085,10869
1018,19,48,63,18,26,52,33,157,193,40,254,292,114,488,598,154,152,310,374,157,533,251,112,361,312,130,438,227,69,296,168,40,206,173,44,221,301,57,353,192,5,193,122,3,126,78,24,104,158,4,160,270,6,283,70,130,200,3063,1920,4985
1019,37,63,102,28,14,46,50,126,168,36,194,230,206,544,752,185,277,462,633,219,854,524,200,722,599,171,772,530,96,629,408,79,485,378,44,423,721,65,787,481,11,487,271,3,274,178,34,209,285,3,289,613,46,665,111,160,266,6277,2355,8632
1020,14,29,48,16,23,32,24,62,80,33,112,141,88,253,343,76,146,227,247,89,342,183,109,292,251,100,354,249,69,317,157,35,193,174,55,230,345,84,430,243,5,246,156,5,158,124,27,153,223,7,232,277,23,298,44,93,132,2913,1331,4244
1021,33,30,62,24,22,49,35,97,131,35,121,154,103,215,319,125,96,224,222,90,308,196,115,308,208,120,324,209,80,293,176,77,252,175,54,232,380,110,491,267,12,275,174,7,181,111,31,139,193,9,200,270,22,289,66,86,150,3003,1393,4395
1022,51,81,134,47,39,87,57,156,217,38,306,343,266,661,924,202,368,567,731,273,1001,580,276,853,748,255,999,663,135,797,436,99,533,422,75,502,742,91,826,475,12,488,279,0,279,159,63,222,342,4,347,777,44,821,128,183,316,7133,3126,10257
1023,724,1125,1847,441,570,1015,802,2763,3565,888,4929,5813,3245,10365,13611,3518,4541,8060,10180,3859,14041,7682,4298,11981,9997,4183,14179,9829,2844,12670,7883,2254,10135,7887,1686,9574,15035,2419,17455,10849,430,11280,6805,215,7021,4151,818,4971,8279,207,8487,11038,1228,12260,1652,2600,4247,120900,51331,172235
1024,64,74,135,47,61,108,90,260,344,111,428,541,306,865,1170,334,403,737,969,321,1292,692,348,1042,868,284,1152,842,198,1036,591,128,721,563,99,665,949,90,1044,604,11,610,297,3,294,174,39,211,337,12,345,891,51,946,164,262,420,8886,3927,12808
1025,62,102,165,57,72,130,64,268,335,64,476,536,283,838,1117,336,371,707,747,356,1103,559,388,946,815,414,1226,797,246,1045,608,208,816,657,161,818,1225,193,1423,828,27,854,517,24,543,313,84,400,625,22,648,883,75,953,156,244,405,9607,4572,14179
1026,22,24,53,12,17,31,18,81,105,38,147,188,95,281,379,95,107,202,239,89,333,189,108,297,216,89,306,222,61,284,186,40,226,194,34,221,298,40,340,206,3,212,118,3,122,65,17,79,112,3,115,306,11,319,61,93,148,2705,1252,3958
1027,83,123,208,40,63,105,61,310,370,79,646,726,369,1384,1749,418,725,1147,1415,534,1947,1002,536,1543,1266,425,1693,1180,268,1445,735,204,937,744,142,891,1312,201,1512,848,31,883,476,14,486,290,92,376,561,16,580,957,98,1049,216,398,618,12048,6207,18260
1028,26,39,62,20,23,42,22,91,116,34,124,155,101,239,343,121,105,225,219,99,314,207,118,321,280,119,403,278,100,370,226,80,303,256,70,325,566,136,698,397,15,406,253,13,264,183,65,244,413,6,422,427,32,459,64,63,122,4077,1519,5596
1029,48,47,94,27,26,57,37,133,168,38,267,306,232,548,778,165,263,429,712,186,899,466,194,663,544,179,721,476,90,566,308,73,383,273,43,318,415,55,475,241,0,241,140,0,140,70,27,94,126,0,127,464,32,494,121,170,291,4911,2324,7236
1030,12519,16964,29481,4964,5377,10345,7838,18238,26078,6431,27915,34341,22680,46476,69157,23308,25527,48835,53564,23929,77498,49718,28522,78237,69018,32165,101178,69795,25126,94917,61113,22972,84085,63217,18630,81849,134470,32403,166878,101139,6308,107441,73968,4062,78030,62326,19060,81387,163964,6763,170724,104441,13596,118038,13033,15121,28152,1097514,389157,1486674
1031,58,93,144,30,54,83,70,260,334,81,410,491,313,917,1234,374,479,859,895,423,1324,759,480,1236,977,429,1407,920,254,1174,691,191,885,721,159,877,1274,197,1474,740,40,773,410,21,423,242,69,312,438,30,466,978,90,1072,195,280,474,10165,4856,15027
1032,48,50,106,49,47,92,81,270,358,73,431,505,300,918,1218,324,377,701,942,306,1247,639,298,940,735,212,942,686,121,804,459,66,528,382,39,426,513,41,550,273,7,282,122,3,125,63,25,93,116,3,121,577,47,619,181,240,421,6578,3503,10084
1033,40,34,70,24,27,51,41,115,157,35,208,247,193,521,715,174,248,419,606,164,774,398,159,555,509,116,628,418,71,490,258,56,306,199,34,240,354,31,381,195,6,199,92,0,99,45,15,59,96,3,97,396,21,412,98,143,244,4182,1973,6154
1034,83,105,182,55,82,137,94,363,453,96,508,607,368,974,1341,404,565,973,958,542,1500,853,625,1473,1096,603,1695,1157,436,1594,925,262,1188,975,243,1215,1817,298,2109,1215,53,1264,745,34,779,426,94,518,738,23,763,1296,139,1441,251,329,576,13555,6269,19823
1035,599,776,1378,374,393,766,528,1759,2287,504,3165,3670,2132,5728,7861,2115,2497,4612,6189,2027,8215,4448,2192,6636,5801,2238,8043,5584,1453,7041,4521,1242,5769,4739,932,5672,9127,1267,10397,6612,193,6807,4283,98,4385,2810,463,3272,5530,80,5609,6990,669,7656,1025,1554,2577,73913,28727,102649
