SUA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1010,28,47,143,166,261,478,620,575,395,2701,4,22,48,57,64,53,38,28,24,338,230,287,572,532,684,829,763,814,616,5335,1766,3470,7253,7680,8889,9927,8044,4602,2031,53658
1011,15,23,41,63,111,293,325,310,195,1364,0,0,3,10,14,24,22,25,7,110,143,193,434,330,353,377,359,310,165,2659,1063,2356,5214,4340,4422,4134,2967,1904,798,27208
1012,4,16,23,31,69,176,320,306,208,1157,5,0,3,3,11,3,6,17,9,56,62,52,126,129,187,253,458,460,292,2025,436,680,1447,1690,2205,3113,3873,2580,1229,17255
1013,8,10,33,49,90,168,286,227,122,997,0,4,13,7,16,25,18,18,3,103,90,184,408,348,291,254,340,305,251,2471,657,1397,2988,2748,2958,2855,2342,1395,667,18014
1014,12,13,44,48,84,146,244,240,216,1048,0,3,4,3,10,8,8,13,5,58,75,109,234,218,207,231,249,259,156,1744,549,967,1997,2078,2256,2445,2137,1436,725,14584
1015,8,21,48,65,88,188,276,322,193,1202,0,9,33,22,34,33,33,50,28,252,88,115,274,230,229,263,240,237,178,1851,568,1188,2825,2307,2337,2116,1497,1152,596,14589
1016,11,15,38,29,93,189,268,189,115,935,6,0,0,5,3,6,6,7,9,44,90,156,376,292,246,295,230,235,197,2118,438,833,1644,1556,1781,2009,1713,929,477,11378
1017,13,21,33,63,85,186,256,310,290,1252,3,3,4,8,13,14,20,16,12,82,126,212,316,240,289,356,289,272,205,2310,801,1947,3331,3306,3704,3825,2753,1703,970,22345
1018,7,6,16,27,45,144,176,160,94,670,0,0,3,3,0,5,12,10,3,37,50,110,292,220,201,184,234,181,74,1550,357,743,1531,1405,1594,1735,1593,961,376,10290
1019,10,11,27,38,83,201,228,231,160,995,0,3,4,4,9,23,20,9,3,68,46,62,125,120,163,227,304,292,283,1625,677,1358,2359,2458,2983,3199,2972,1988,915,18909
1020,0,8,15,19,50,72,105,111,85,461,0,0,3,0,0,5,4,7,4,23,57,57,142,128,163,142,147,98,39,972,333,642,1610,1438,1504,1255,1036,690,304,8807
1021,5,12,30,28,67,109,107,101,44,506,0,0,0,0,3,10,3,7,4,29,36,68,223,169,179,129,111,76,33,1015,339,771,1870,1530,1662,1309,876,439,138,8936
1022,8,9,25,35,47,140,261,206,133,863,3,3,3,7,22,30,19,19,6,109,81,86,140,177,255,304,524,504,373,2444,647,1133,2017,2743,3404,3864,4468,2528,999,21808
1023,175,243,594,696,1369,3155,3932,3653,2388,16199,22,57,109,145,194,190,179,223,121,1237,1096,1610,3450,3038,3560,3761,4090,3919,3057,27590,12970,31673,61122,58050,59720,57071,44628,24596,11405,361232
1024,11,24,63,87,133,319,376,294,163,1484,0,0,7,4,8,25,19,13,3,80,173,317,591,500,457,424,498,403,309,3681,1069,2333,4461,4027,4329,4601,3931,2158,908,27818
1025,21,24,66,85,146,322,378,335,230,1605,0,0,15,22,20,31,26,15,8,141,157,176,376,356,398,350,375,365,149,2708,1138,2232,5245,4912,4735,4369,3449,2131,901,29121
1026,6,4,12,16,34,108,124,114,106,530,0,0,3,0,3,3,3,6,0,23,63,58,105,114,150,147,175,174,83,1077,354,651,1280,1200,1347,1335,1031,727,344,8265
1027,9,10,46,48,126,258,412,446,335,1702,0,0,8,11,13,23,19,12,16,98,125,120,282,247,353,423,687,670,535,3446,980,1887,4272,4831,5660,6000,6458,4159,1962,36212
1028,6,11,25,31,52,108,136,130,98,592,3,0,5,3,9,0,3,3,0,27,54,63,149,135,135,136,120,86,46,929,599,1138,2246,2151,2225,1722,1051,597,292,12031
1029,13,3,19,28,70,168,315,227,105,950,4,0,0,0,3,6,10,24,3,50,51,57,93,103,174,185,299,273,178,1420,431,741,1520,1863,2185,2742,2998,1681,616,14766
1030,757,1818,6012,8593,14751,26314,34038,30095,16559,138932,249,1277,4784,5035,7755,10022,9044,9325,4477,51963,12676,22090,55471,42021,36371,32546,29436,23081,17408,271114,119058,318521,732324,649158,576008,474266,330517,179935,84898,3464682
1031,16,30,76,80,163,295,392,368,278,1699,0,10,11,17,37,23,22,19,9,148,186,236,477,435,411,514,451,403,215,3318,1179,2529,5534,4715,4971,4886,3836,2414,1038,31103
1032,19,17,48,82,119,292,399,403,265,1641,0,0,0,6,7,14,12,21,13,77,87,97,161,180,280,331,402,391,294,2233,706,1339,2425,2495,3205,3591,3361,2169,1048,20340
1033,7,3,19,18,29,136,183,184,83,657,0,0,3,3,5,7,5,10,3,32,42,33,80,86,141,204,252,259,181,1286,310,465,1166,1449,1836,2512,2579,1541,595,12457
1034,18,37,101,117,168,299,414,418,328,1901,3,11,35,43,26,26,32,12,12,201,214,289,449,393,433,454,449,391,201,3279,1863,4404,7559,6556,6464,6184,4460,2716,1304,41504
1035,77,125,298,423,832,2196,3213,3277,1845,12289,19,30,93,99,132,228,362,518,257,1730,764,1076,1994,1826,2160,2323,2624,2496,1572,16837,8745,20436,35238,35928,37457,34924,26991,16518,7055,223294
