SUA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1010,..,243,221,76,133,171,93,45,19,987,..,69,178,193,451,846,992,825,457,4014,105,167,105,69,102,133,110,63,22,881,5827,3358,3466,3795,4411,4686,3694,2206,843,32280,..,151,2428,3831,4373,5051,4387,2234,496,22965,..,581,1365,1013,956,732,370,100,13,5128,..,138,522,903,949,500,186,178,134,3514,11605,..,..,..,..,..,..,..,..,11605,..,2562,..,..,..,..,..,..,..,2562,..,1913,814,336,264,200,37,6,0,3574,..,310,131,70,110,208,180,124,103,1225,..,292,218,86,93,88,29,15,7,819,..,475,480,191,270,362,197,103,30,2110,..,144,440,511,939,1585,1589,1163,610,6982,246,329,259,174,209,249,209,106,44,1815,11855,6896,6659,7118,8167,8977,7180,4015,1425,62290
1011,..,141,129,24,46,58,28,17,10,459,..,79,197,140,216,388,418,381,190,2010,79,108,78,27,43,54,39,44,17,486,3531,2149,2504,2062,2079,2003,1385,917,328,16951,..,128,1864,2220,2199,2146,1544,824,175,11101,..,508,911,495,419,256,107,28,6,2725,..,146,389,498,443,228,81,82,39,1907,7092,..,..,..,..,..,..,..,..,7092,..,1266,..,..,..,..,..,..,..,1266,..,1078,388,144,106,63,12,0,0,1805,..,247,113,48,72,113,78,57,28,761,..,171,125,49,41,25,9,3,0,415,..,283,291,56,97,102,53,32,19,926,..,161,426,302,496,646,638,519,253,3443,165,198,174,81,86,79,67,59,22,937,7253,4196,4677,3907,3956,3652,2596,1596,534,32368
1012,..,41,45,20,43,47,40,22,9,258,..,22,48,50,129,300,462,453,297,1761,28,30,26,15,30,57,52,28,21,285,1248,749,697,823,1076,1537,1772,1205,484,9595,..,18,372,723,954,1575,2153,1285,306,7380,..,141,287,197,237,202,164,70,4,1309,..,54,146,240,257,161,68,78,47,1047,2420,..,..,..,..,..,..,..,..,2420,..,585,..,..,..,..,..,..,..,585,..,423,196,120,111,62,12,0,0,923,..,80,23,12,27,69,55,43,28,338,..,48,47,22,20,16,10,5,0,158,..,71,81,42,86,99,77,49,15,526,..,46,107,143,285,567,786,689,426,3047,63,80,62,58,64,86,97,36,22,569,2488,1552,1319,1556,2036,2836,3424,2261,847,18311
1013,..,38,47,15,35,27,23,16,3,196,..,39,89,88,161,311,338,293,181,1507,40,57,58,19,24,41,32,17,8,296,1895,1167,1347,1229,1383,1357,1078,655,290,10393,..,73,971,1326,1441,1472,1149,579,141,7144,..,244,529,310,265,181,83,23,9,1645,..,62,210,279,298,133,83,56,47,1172,3859,..,..,..,..,..,..,..,..,3859,..,775,..,..,..,..,..,..,..,775,..,799,286,100,100,49,9,0,0,1343,..,107,34,32,32,66,71,35,19,394,..,67,57,21,19,4,4,0,0,178,..,114,129,33,67,62,43,28,7,485,..,83,227,238,381,557,567,426,229,2695,103,116,104,57,53,62,48,26,15,581,3959,2447,2544,2394,2657,2585,2065,1169,453,20273
1014,..,45,24,18,35,32,14,12,3,186,..,27,54,58,126,264,311,323,197,1362,39,75,27,20,29,43,26,26,7,300,1542,956,912,979,1110,1198,1014,719,312,8735,..,53,589,877,1054,1224,1099,620,172,5694,..,202,364,235,199,154,64,24,8,1247,..,68,217,288,257,112,68,50,37,1108,3250,..,..,..,..,..,..,..,..,3250,..,641,..,..,..,..,..,..,..,641,..,515,240,107,89,54,10,0,0,1013,..,107,35,22,30,60,64,39,25,382,..,75,41,25,18,7,3,3,0,174,..,93,80,48,70,66,42,18,4,431,..,54,116,167,274,461,508,446,242,2279,81,124,71,57,63,78,56,42,14,588,3332,1926,1749,1844,2065,2222,1920,1253,494,16806
1015,..,59,109,15,16,11,10,3,3,223,..,24,61,52,85,147,180,235,126,915,26,48,49,15,24,40,26,23,13,267,1800,994,1280,1040,1069,936,716,537,221,8594,..,65,1040,1284,1383,1187,858,513,138,6470,..,191,399,228,136,84,27,20,4,1084,..,45,139,179,185,108,40,40,21,746,3594,..,..,..,..,..,..,..,..,3594,..,636,..,..,..,..,..,..,..,636,..,665,297,98,59,23,7,0,0,1156,..,115,74,16,42,61,41,33,18,406,..,53,59,13,9,10,3,4,4,147,..,154,239,74,56,36,19,3,3,596,..,62,174,153,211,302,253,311,163,1636,55,88,103,44,48,65,42,43,18,501,3647,2077,2523,2094,2125,1875,1288,967,368,16965
1016,..,26,22,15,25,41,22,8,3,154,..,29,35,27,87,163,193,163,89,787,30,41,17,13,19,28,23,4,0,177,1293,752,676,694,814,938,775,392,151,6477,..,15,399,617,696,911,876,393,55,3958,..,133,197,162,165,137,61,13,0,880,..,78,217,214,223,129,78,42,32,1004,2604,..,..,..,..,..,..,..,..,2604,..,516,..,..,..,..,..,..,..,516,..,423,177,103,106,34,8,0,0,852,..,98,26,21,44,66,49,33,22,369,..,59,35,18,26,19,5,0,0,166,..,59,58,31,48,73,51,16,4,345,..,43,94,103,193,343,325,232,114,1444,62,74,73,34,49,50,41,14,7,401,2664,1498,1279,1308,1553,1763,1496,735,230,12537
1017,..,160,96,71,67,93,42,15,3,554,..,44,98,123,230,478,448,363,262,2042,61,82,71,31,33,41,35,21,14,394,2341,1645,1569,1597,1778,1790,1301,841,410,13274,..,94,970,1344,1474,1623,1288,744,187,7731,..,344,583,454,382,260,79,21,3,2130,..,53,290,461,490,224,113,76,66,1764,4698,..,..,..,..,..,..,..,..,4698,..,1099,..,..,..,..,..,..,..,1099,..,779,340,174,160,65,14,0,0,1529,..,145,69,35,65,86,72,44,24,539,..,146,88,55,58,39,11,0,0,399,..,340,258,148,157,179,86,34,7,1205,..,103,224,301,520,854,695,508,326,3529,114,166,161,71,76,88,57,31,18,783,4810,3267,2986,3035,3374,3419,2418,1452,630,25391
1018,..,24,30,14,13,23,13,11,3,123,..,18,45,41,93,194,266,208,92,957,26,21,21,11,18,29,15,11,9,166,952,602,635,636,745,800,715,463,170,5714,..,34,448,576,739,838,733,396,92,3852,..,145,227,177,126,106,54,12,4,838,..,35,130,148,162,70,54,50,32,694,1930,..,..,..,..,..,..,..,..,1930,..,424,..,..,..,..,..,..,..,424,..,418,170,78,62,37,8,0,0,772,..,41,25,11,23,32,26,22,11,198,..,38,14,13,9,6,0,0,3,84,..,46,58,31,28,33,26,18,6,245,..,47,121,124,240,373,459,315,124,1802,45,58,56,38,33,40,34,12,15,330,1982,1290,1241,1192,1418,1547,1396,829,278,11172
1019,..,36,29,17,26,38,31,27,3,205,..,16,36,21,88,220,335,321,190,1221,33,75,45,19,21,39,26,29,14,301,1865,1311,1111,1198,1449,1497,1399,941,356,11139,..,102,957,1346,1691,1801,1745,1044,259,8948,..,182,400,296,302,220,107,42,3,1550,..,56,152,260,256,154,72,53,40,1057,3777,..,..,..,..,..,..,..,..,3777,..,1014,..,..,..,..,..,..,..,1014,..,825,332,136,113,48,13,0,0,1462,..,96,53,21,49,57,79,68,32,463,..,72,48,24,38,17,12,7,0,228,..,86,78,38,58,94,62,45,9,470,..,30,105,133,226,426,483,451,268,2124,73,142,94,42,55,67,65,34,24,589,3853,2611,2217,2302,2783,2896,2632,1755,633,21679
1020,..,36,18,5,14,12,4,3,3,109,..,14,41,33,64,115,139,166,74,655,14,31,21,10,15,11,25,12,6,143,1155,574,717,677,698,572,483,322,125,5320,..,27,595,770,793,652,538,257,47,3690,..,193,373,173,135,90,36,12,0,1015,..,34,92,123,134,48,28,38,12,500,2345,..,..,..,..,..,..,..,..,2345,..,328,..,..,..,..,..,..,..,328,..,302,92,48,36,21,0,0,0,505,..,44,23,12,19,35,22,12,12,173,..,43,28,9,9,5,0,0,0,98,..,91,63,26,35,35,15,11,5,276,..,37,137,111,165,202,223,223,101,1198,47,59,48,29,34,22,28,12,6,287,2396,1158,1460,1305,1363,1099,890,567,185,10413
1021,..,40,16,11,23,30,14,5,3,136,..,31,74,55,79,101,96,109,32,582,29,35,31,11,15,22,13,7,0,167,1266,697,825,688,734,568,390,228,66,5466,..,33,607,726,805,681,458,175,16,3507,..,235,409,179,158,85,19,12,7,1097,..,63,160,160,142,58,26,32,12,657,2574,..,..,..,..,..,..,..,..,2574,..,391,..,..,..,..,..,..,..,391,..,362,105,40,33,19,4,0,0,565,..,58,11,15,26,28,23,14,9,182,..,32,36,20,14,4,3,3,0,113,..,76,60,47,50,42,31,10,4,328,..,58,189,158,237,217,181,138,49,1234,52,76,81,28,37,41,23,10,4,352,2630,1386,1658,1366,1500,1176,773,396,103,10984
1022,..,43,30,20,34,46,40,12,0,229,..,17,38,61,150,298,457,399,212,1634,28,69,32,20,39,63,67,37,14,377,1858,1201,951,1357,1622,1837,2013,1079,385,12297,..,38,652,1382,1745,2118,2598,1294,236,10056,..,186,410,382,333,267,158,43,10,1803,..,28,100,297,318,143,74,76,51,1084,3819,..,..,..,..,..,..,..,..,3819,..,977,..,..,..,..,..,..,..,977,..,783,297,112,110,78,9,0,0,1388,..,91,40,19,31,52,56,48,35,377,..,67,39,31,39,15,10,6,0,204,..,77,83,52,83,95,89,44,3,514,..,40,105,178,346,577,745,569,292,2860,66,117,96,62,79,97,118,56,19,713,3890,2413,1822,2515,3085,3449,3848,2127,645,23803
1023,..,2626,1857,494,646,708,426,166,60,6986,..,649,1695,1514,2495,4842,5492,4917,2969,24578,771,1273,915,419,465,607,454,291,130,5313,40346,27188,29076,28178,28873,27337,21263,12184,5052,219512,..,1048,20791,31195,31825,32124,25705,11731,2468,156891,..,4788,12524,7215,5673,3393,1448,358,53,35458,..,983,3413,5667,6202,3129,1480,1290,843,23010,81774,..,..,..,..,..,..,..,..,81774,..,20015,..,..,..,..,..,..,..,20015,..,15386,6775,2660,2092,1120,193,7,0,28228,..,2416,1239,492,825,1206,1224,834,493,8732,..,1671,1270,499,447,287,142,42,16,4381,..,5363,4599,1294,1500,1533,909,348,103,15657,..,1377,4185,4276,6094,8904,8824,6814,3990,44469,1605,2451,2107,1205,1083,1070,786,475,195,10973,83386,55496,56904,54512,55743,52771,40715,21900,8154,429589
1024,..,74,76,33,49,69,52,12,7,374,..,47,106,98,214,414,491,364,184,1908,83,112,58,41,38,63,50,34,6,468,3195,1936,1951,1834,2044,2200,1800,953,330,16252,..,138,1424,1820,2091,2381,2123,1019,198,11210,..,484,795,461,387,275,124,37,7,2567,..,106,328,477,518,245,119,54,39,1883,6305,..,..,..,..,..,..,..,..,6305,..,1272,..,..,..,..,..,..,..,1272,..,1137,463,192,102,60,9,0,0,1964,..,179,71,40,48,127,97,60,48,657,..,129,93,47,43,32,21,4,0,367,..,139,164,75,119,135,103,30,11,774,..,106,269,283,499,793,784,577,251,3555,145,211,162,101,82,119,86,56,10,976,6454,3905,3771,3489,3889,4161,3470,1842,564,31537
1025,..,144,152,30,53,49,29,8,3,474,..,105,212,147,268,447,496,481,234,2393,80,108,76,40,53,45,58,31,8,497,3733,2134,2554,2282,2288,2066,1628,1042,382,18118,..,137,1978,2578,2440,2360,1810,948,185,12439,..,478,942,547,437,216,117,18,4,2754,..,135,343,498,450,205,99,89,63,1874,7643,..,..,..,..,..,..,..,..,7643,..,1411,..,..,..,..,..,..,..,1411,..,1074,424,152,108,89,15,0,0,1859,..,141,74,40,59,99,69,51,30,566,..,97,69,38,39,22,10,3,3,273,..,308,323,85,109,112,57,23,4,1021,..,182,455,403,571,771,761,666,304,4112,156,201,180,110,110,89,94,48,15,1000,7801,4164,4784,4450,4319,3964,3021,1838,610,34941
1026,..,32,10,8,7,9,10,7,0,74,..,24,36,30,65,130,142,148,74,666,19,39,22,5,8,19,13,12,0,147,1048,650,593,577,613,621,449,325,136,5020,..,31,456,631,720,724,507,289,78,3433,..,145,273,142,95,74,29,9,0,771,..,61,103,125,133,66,30,22,19,548,2100,..,..,..,..,..,..,..,..,2100,..,425,..,..,..,..,..,..,..,425,..,350,119,48,41,28,3,0,0,590,..,56,14,6,10,23,14,18,13,146,..,30,17,7,8,0,0,4,3,71,..,60,30,9,18,23,11,7,0,167,..,54,116,87,156,229,234,208,100,1176,38,60,40,36,27,32,19,17,9,281,2141,1267,1170,1084,1208,1196,858,574,219,9722
