SUA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
1010,..,47,1036,1818,2069,2476,2340,1248,340,11383,..,227,666,502,459,379,225,64,7,2519,..,18,53,130,214,138,41,27,25,659,5885,..,..,..,..,..,..,..,..,5885,..,1270,..,..,..,..,..,..,..,1270,..,1185,535,223,179,112,19,0,0,2250,..,189,82,44,44,76,53,33,20,538,..,138,140,67,60,58,19,8,0,483,..,236,264,115,141,189,105,58,16,1121,..,76,259,314,490,738,599,338,150,2965,137,158,154,104,107,121,96,37,18,936,6027,3538,3193,3323,3758,4294,3485,1814,579,30014,..,102,1398,2014,2301,2578,2043,988,153,11578,..,354,697,503,501,355,143,40,9,2606,..,119,472,781,734,357,142,144,106,2852,5723,..,..,..,..,..,..,..,..,5723,..,1288,..,..,..,..,..,..,..,1288,..,734,284,107,88,87,25,6,0,1324,..,124,48,23,64,133,128,93,81,691,..,157,79,22,34,31,12,3,0,335
1011,..,48,820,1091,1067,1053,817,467,117,5488,..,223,438,245,223,118,58,14,3,1321,..,14,29,69,104,66,19,13,4,325,3632,..,..,..,..,..,..,..,..,3632,..,599,..,..,..,..,..,..,..,599,..,627,261,112,63,27,9,0,0,1096,..,136,71,28,33,37,19,13,8,342,..,87,72,35,29,14,7,0,0,246,..,141,164,36,53,41,28,9,10,472,..,85,234,165,276,259,219,137,59,1430,91,94,92,61,42,33,32,11,10,456,3724,2048,2174,1843,1876,1650,1207,677,208,15415,..,86,1046,1127,1133,1094,722,353,59,5615,..,286,474,248,194,133,44,12,0,1401,..,127,362,421,346,165,61,70,32,1583,3457,..,..,..,..,..,..,..,..,3457,..,669,..,..,..,..,..,..,..,669,..,455,131,38,48,28,6,0,0,701,..,109,43,27,42,74,60,42,18,416,..,81,48,11,7,12,3,0,0,168
1012,..,3,154,330,451,730,1110,710,200,3683,..,51,149,92,115,108,86,45,5,649,..,3,9,43,57,33,20,15,15,190,1200,..,..,..,..,..,..,..,..,1200,..,298,..,..,..,..,..,..,..,298,..,266,135,80,69,34,3,0,0,596,..,49,18,12,16,29,12,11,8,162,..,26,32,9,12,15,6,4,0,106,..,31,36,31,43,54,44,28,4,266,..,17,67,91,153,270,317,239,127,1283,33,51,28,41,40,28,46,15,5,285,1232,801,624,735,958,1297,1653,1053,365,8720,..,12,219,394,506,844,1041,577,103,3697,..,86,141,99,121,100,83,27,0,666,..,49,137,196,199,122,51,67,37,854,1224,..,..,..,..,..,..,..,..,1224,..,286,..,..,..,..,..,..,..,286,..,150,65,36,38,31,5,0,0,324,..,38,10,3,10,36,38,25,23,185,..,20,15,4,5,0,3,0,0,55
1013,..,22,425,633,695,742,612,333,92,3551,..,100,250,163,135,86,49,7,3,799,..,3,21,51,65,38,20,11,12,223,2007,..,..,..,..,..,..,..,..,2007,..,398,..,..,..,..,..,..,..,398,..,485,187,74,64,36,6,0,0,839,..,60,14,22,13,21,27,7,4,175,..,31,39,19,16,8,5,0,0,114,..,77,81,21,34,34,20,17,8,287,..,47,138,146,220,240,221,126,44,1190,57,65,47,37,25,18,23,11,3,289,2064,1289,1203,1165,1274,1220,984,515,167,9875,..,53,547,689,744,725,534,250,46,3592,..,147,283,145,133,93,33,11,0,842,..,63,183,228,231,94,65,44,37,949,1851,..,..,..,..,..,..,..,..,1851,..,375,..,..,..,..,..,..,..,375,..,316,99,24,34,16,4,0,0,501,..,46,17,9,17,40,46,27,13,220,..,33,18,5,0,4,3,0,0,68
1014,..,22,262,411,506,580,585,346,117,2818,..,82,187,120,92,87,35,17,8,622,..,3,16,31,48,34,5,14,8,164,1753,..,..,..,..,..,..,..,..,1753,..,326,..,..,..,..,..,..,..,326,..,315,163,77,59,24,5,0,0,641,..,60,19,11,18,22,20,12,6,172,..,39,27,24,14,8,3,4,0,121,..,49,50,29,41,35,27,8,5,248,..,33,65,109,146,200,194,123,46,914,40,55,47,37,34,31,28,11,3,291,1791,976,835,856,953,1028,907,531,182,8069,..,39,324,460,546,645,517,276,53,2873,..,119,178,116,103,67,29,9,0,628,..,59,201,255,210,84,61,40,30,947,1499,..,..,..,..,..,..,..,..,1499,..,317,..,..,..,..,..,..,..,317,..,199,76,31,36,26,4,0,0,369,..,51,15,11,13,35,45,25,13,204,..,37,9,6,8,0,0,0,0,57
1015,..,18,449,630,688,615,425,306,95,3225,..,81,204,123,72,52,11,13,0,547,..,0,17,15,38,25,11,8,3,111,1821,..,..,..,..,..,..,..,..,1821,..,319,..,..,..,..,..,..,..,319,..,381,200,72,45,18,3,0,0,716,..,73,58,9,21,26,12,12,0,215,..,26,28,8,9,4,0,0,0,81,..,93,132,65,42,21,14,3,0,374,..,37,115,105,125,154,75,78,36,722,23,42,49,27,26,24,15,15,4,236,1847,1085,1243,1049,1059,942,568,433,147,8371,..,50,595,651,696,570,428,212,40,3249,..,113,196,103,64,36,13,3,3,540,..,45,119,166,150,83,25,27,19,630,1771,..,..,..,..,..,..,..,..,1771,..,312,..,..,..,..,..,..,..,312,..,281,100,33,16,9,0,0,0,437,..,43,21,4,18,34,31,26,15,188,..,22,30,0,3,3,0,0,0,66
1016,..,3,167,298,329,425,465,236,39,1960,..,55,101,69,81,71,36,9,0,426,..,6,12,34,56,30,20,10,3,165,1338,..,..,..,..,..,..,..,..,1338,..,250,..,..,..,..,..,..,..,250,..,268,128,73,71,25,7,0,0,574,..,65,16,11,21,24,17,11,12,175,..,21,25,18,19,16,7,0,0,104,..,37,33,18,30,36,31,6,0,185,..,12,60,70,108,177,134,68,30,659,35,32,57,23,26,28,14,5,3,227,1371,751,605,613,743,825,722,344,79,6061,..,14,233,318,363,487,408,154,22,1996,..,84,99,98,82,65,30,3,0,460,..,73,206,181,174,96,54,36,27,838,1268,..,..,..,..,..,..,..,..,1268,..,261,..,..,..,..,..,..,..,261,..,155,46,31,30,12,3,0,0,283,..,41,10,8,20,42,32,23,13,195,..,29,11,3,8,7,0,0,0,64
1017,..,32,405,664,721,796,676,409,130,3840,..,150,287,225,185,144,50,13,3,1044,..,4,31,74,98,72,39,9,6,326,2417,..,..,..,..,..,..,..,..,2417,..,525,..,..,..,..,..,..,..,525,..,446,222,122,105,43,11,0,0,949,..,74,45,21,30,40,23,12,8,249,..,78,45,39,39,30,7,0,0,238,..,175,160,81,87,84,48,10,7,654,..,53,127,174,292,380,251,146,65,1484,52,84,87,38,41,50,19,3,8,386,2467,1624,1423,1433,1601,1633,1115,607,220,12120,..,63,559,687,759,825,612,334,56,3893,..,199,294,234,194,122,34,11,0,1080,..,51,251,387,388,156,73,66,59,1438,2280,..,..,..,..,..,..,..,..,2280,..,574,..,..,..,..,..,..,..,574,..,336,118,50,52,25,6,0,0,578,..,71,22,10,37,50,51,32,15,287,..,68,43,11,21,12,3,0,0,157
1018,..,15,209,258,342,427,386,225,60,1921,..,59,117,78,59,61,31,8,3,410,..,0,10,24,35,20,18,10,9,118,1007,..,..,..,..,..,..,..,..,1007,..,216,..,..,..,..,..,..,..,216,..,273,118,58,47,29,3,0,0,524,..,24,9,9,8,7,14,8,3,85,..,18,10,10,9,3,0,0,0,49,..,22,27,20,16,8,14,3,3,123,..,32,79,79,142,178,199,110,31,847,20,35,32,23,17,20,16,0,7,170,1023,686,606,556,671,747,681,366,113,5458,..,24,237,321,395,412,343,167,35,1940,..,89,104,97,66,46,20,4,0,425,..,40,126,125,128,53,40,40,21,571,930,..,..,..,..,..,..,..,..,930,..,210,..,..,..,..,..,..,..,210,..,146,51,19,21,13,3,0,0,252,..,14,16,3,17,24,12,19,14,110,..,21,3,3,0,3,0,0,3,37
1019,..,27,430,636,809,884,890,592,163,4432,..,67,196,140,153,115,53,33,0,766,..,4,19,42,50,49,23,18,13,215,1941,..,..,..,..,..,..,..,..,1941,..,498,..,..,..,..,..,..,..,498,..,478,216,91,71,25,3,0,0,880,..,56,36,17,25,24,26,13,12,212,..,29,34,18,30,10,6,5,0,138,..,52,48,23,31,50,28,22,4,267,..,12,67,110,137,211,152,128,79,900,38,65,54,22,31,26,36,9,10,288,1982,1304,1100,1097,1333,1397,1231,818,280,10536,..,73,528,705,881,924,850,452,98,4513,..,111,200,156,147,105,46,11,0,786,..,51,134,222,207,113,46,38,33,839,1837,..,..,..,..,..,..,..,..,1837,..,513,..,..,..,..,..,..,..,513,..,344,112,49,41,24,9,0,0,583,..,44,13,4,18,33,53,52,26,244,..,42,15,4,16,8,3,4,0,90
