region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA13800,7089,596,395,80,4,10,44,8218
LGA13850,266,18,21,3,0,3,6,317
LGA13950,12267,615,302,140,4,8,37,13373
LGA14000,22333,1099,458,185,3,14,52,24144
LGA14100,1582,91,33,4,0,0,3,1713
LGA14150,9842,492,218,124,0,12,32,10720
LGA14200,1377,136,113,19,0,0,17,1662
LGA14250,147,11,10,0,0,0,0,168
LGA14300,489,38,45,4,0,0,10,586
LGA14350,2016,182,143,42,7,8,31,2429
LGA14400,2144,171,89,13,0,3,11,2431
LGA14450,7236,349,137,83,0,12,17,7834
LGA14500,16013,645,267,96,0,8,21,17050
LGA14550,751,71,50,12,0,0,16,900
LGA14600,616,30,26,10,0,0,16,698
LGA14650,18949,1769,1100,217,17,45,161,22258
LGA14700,3866,194,69,18,3,0,8,4158
LGA14750,1053,66,62,10,0,3,12,1206
LGA14800,5209,335,97,22,0,7,11,5681
LGA14850,3659,344,251,40,0,8,23,4325
LGA14870,1709,152,129,25,4,3,19,2041
LGA14900,23795,1286,827,367,20,26,98,26419
LGA14920,622,56,44,13,0,4,8,747
LGA14950,307,24,13,0,0,0,5,349
LGA15050,7332,672,486,64,9,12,46,8621
LGA15150,4442,253,92,15,0,4,8,4814
LGA15200,6648,381,144,73,4,4,33,7287
LGA15270,2010,199,144,21,0,4,29,2407
LGA15300,1171,78,81,27,0,3,27,1387
LGA15350,3039,141,47,8,0,0,5,3240
LGA15500,569,39,35,9,0,3,7,662
LGA15550,209,11,17,4,0,0,0,241
LGA15650,1491,130,138,15,0,0,14,1788
LGA15700,1283,115,107,9,4,0,20,1538
LGA15750,1237,80,90,12,0,4,11,1434
LGA15800,527,33,37,5,0,0,6,608
LGA15850,582,37,29,4,0,0,13,665
LGA15900,13303,1181,673,103,7,20,78,15365
LGA15950,4425,312,54,17,0,3,13,4824
LGA16100,495,42,29,3,0,0,3,572
LGA16150,3610,297,222,35,0,12,15,4191
LGA16180,1636,138,93,12,0,3,12,1894
LGA16200,1300,97,86,16,0,4,22,1525
LGA16250,19725,894,431,236,8,18,59,21371
LGA16350,20619,1741,1198,280,25,43,132,24038
LGA16370,7127,512,247,49,6,0,13,7954
LGA16380,5907,608,369,59,0,6,55,7004
LGA16400,5943,600,394,64,11,12,53,7077
LGA16470,4156,365,215,29,3,7,17,4792
LGA16550,12350,659,266,90,0,6,38,13409
LGA16610,1831,170,133,21,0,4,32,2191
LGA16650,11070,587,233,123,4,3,32,12052
LGA16700,12316,544,196,130,10,11,21,13228
LGA16900,6949,684,419,90,7,17,60,8226
LGA16950,7346,687,478,86,5,19,97,8718
LGA17000,2590,200,167,22,0,3,19,3001
LGA17050,669,36,25,4,0,4,0,738
LGA17100,4334,166,63,52,0,5,12,4632
LGA17150,26972,1671,829,152,5,21,59,29709
LGA17200,6865,525,108,44,3,4,29,7578
LGA17310,5045,473,297,50,4,11,49,5929
LGA17350,526,32,31,4,0,0,4,597
LGA17400,488,46,47,4,0,0,6,591
LGA17420,25708,1257,681,243,6,18,53,27966
LGA17450,267,33,12,3,0,0,3,318
LGA17500,1045,101,72,5,3,0,7,1233
LGA17550,6941,717,420,90,10,13,48,8239
LGA17620,1365,100,83,8,0,0,16,1572
LGA17640,685,37,49,4,0,4,4,783
LGA17650,621,42,29,10,0,0,7,709
LGA17700,105,6,7,0,0,0,0,118
LGA17750,5643,463,340,43,3,3,42,6537
LGA17800,354,25,13,4,0,0,3,399
LGA17850,287,8,16,4,0,0,4,319
LGA17900,435,35,26,21,0,8,9,534
LGA17950,254,19,5,4,5,0,3,290
LGA18000,17715,1060,461,125,11,6,22,19400
LGA18020,782,52,42,8,5,3,16,908
LGA18050,5667,327,97,27,0,0,7,6125
LGA18100,322,19,20,3,0,0,3,367
LGA18150,669,41,44,11,3,0,18,786
LGA18200,595,37,52,10,0,0,13,707
LGA18250,8491,392,117,67,0,0,19,9086
LGA18350,4156,326,236,24,0,9,28,4779
LGA18400,5418,398,317,65,8,13,31,6250
LGA18450,20014,1480,911,166,15,25,104,22715
LGA18500,4685,275,96,14,0,0,6,5076
LGA18550,13362,1521,1057,170,20,22,138,16290
LGA18710,1731,123,102,15,0,5,8,1984
LGA18750,1144,89,72,12,0,3,8,1328
LGA19399,113,5,0,5,0,0,0,123
LGA19499,0,0,0,0,0,0,0,0
