SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10025,749,497,829,721,622,559,495,323,335,5125,13129,8127,12901,12576,10965,9676,7756,4571,2140,81835
SED10026,2264,1214,1585,1369,1213,1073,782,516,253,10261,17278,9044,11642,9931,9666,10007,8148,4966,1842,82525
SED10027,1291,756,840,815,761,646,471,399,446,6422,16471,10610,10359,11250,10610,9961,7258,4263,2236,83017
SED10028,634,449,435,524,484,444,340,367,404,4090,16546,10830,9443,12926,11792,10886,8255,4884,2882,88444
SED10029,1872,1187,1206,1192,1102,1007,719,419,269,8977,17739,12936,12585,11645,12037,11768,8272,4466,1946,93405
SED10030,1092,715,758,729,823,826,694,437,213,6280,12880,8199,9080,9907,10178,10678,9324,5868,2423,78537
SED10031,1474,838,888,925,1030,1029,870,538,250,7842,14573,8483,8576,9073,10911,11725,10594,5844,1996,81771
SED10032,2358,1401,2184,1766,1117,889,510,286,103,10609,21246,13540,20354,16733,11078,9519,6544,3633,1416,104062
SED10033,1181,807,762,727,825,723,480,317,163,5987,14964,10147,9674,9116,10978,10086,7510,4153,1388,78025
SED10034,817,519,455,507,605,501,372,272,174,4231,15191,9211,8649,10686,10842,9483,7488,4338,1810,77692
SED10035,815,1398,2592,1383,792,658,440,245,122,8457,13280,16748,35990,20424,11749,8601,5849,3363,1358,117359
SED10036,1607,1042,1003,1001,825,670,466,435,382,7437,19810,12533,11819,12631,11889,9975,6520,3586,1534,90295
SED10037,761,514,397,542,627,452,384,240,149,4063,16075,10096,8260,12238,12600,10406,7798,4590,1550,83609
SED10038,960,912,547,665,671,606,440,345,253,5397,15339,11013,9016,10559,10897,10015,8052,5069,2319,82275
SED10039,1192,797,898,902,799,762,679,392,269,6687,14105,8488,9129,8985,9367,10858,10277,5637,2215,79058
SED10040,904,772,1080,814,655,629,505,419,434,6208,14259,12240,17323,13214,10781,10631,8062,4711,2501,93723
SED10041,699,499,380,514,578,466,335,295,309,4062,16538,10547,7950,12857,12520,9960,7733,5487,3235,86822
SED10042,1204,701,623,656,693,668,614,488,299,5947,13583,8906,8862,8836,9671,10646,10201,6432,2573,79707
SED10043,2199,1340,1545,1324,1025,921,605,368,178,9504,20991,12708,15163,13334,10611,10080,7180,4146,1786,96008
SED10044,755,521,703,774,602,513,440,395,672,5377,15857,9443,13224,14576,12049,9649,7498,4538,2363,89194
SED10045,1546,976,807,975,1075,1234,992,514,348,8465,12812,7891,7229,8519,10129,12301,10767,5047,2052,76751
SED10046,2289,1331,1445,1435,1096,1016,584,297,99,9585,20555,14061,14265,13606,12180,11325,6741,3236,1012,96982
SED10047,3036,1719,2211,2041,1446,951,669,395,184,12653,29505,14782,19451,19785,13372,10644,7992,3960,1060,120554
SED10048,2078,1057,1241,1290,1004,773,457,246,84,8238,25901,13664,16732,18530,13009,11749,8227,3493,1104,112411
SED10049,1626,867,912,897,730,672,418,271,150,6540,19266,11041,12943,12042,10990,9936,8181,4334,1494,90226
SED10050,839,496,737,721,788,616,355,218,112,4876,15450,8757,12140,12692,12759,9690,6353,3803,1558,83208
SED10051,1030,737,1238,1189,1078,834,600,392,173,7268,14820,9919,13012,13151,11980,9937,7659,4978,2118,87573
SED10052,860,542,579,706,697,520,440,339,273,4959,14574,8915,9352,10881,10857,9612,7904,5344,2612,80039
SED10053,1205,805,1087,950,923,960,640,290,126,6978,15908,9193,12156,11480,12213,11212,7731,3825,1253,84972
SED10054,2314,1343,1322,1220,1104,773,487,272,233,9065,21629,13288,13321,13392,11739,10265,6789,2881,1162,94476
SED10055,1295,873,796,770,829,654,369,158,42,5791,19111,12278,11451,12416,11784,10663,6727,2498,711,87629
SED10056,1952,1118,1229,1136,1245,1301,1117,672,299,10055,15885,9333,10279,9432,10555,11797,10242,6005,2392,85919
SED10057,1328,696,623,699,779,939,1010,679,302,7044,11526,6606,6233,6816,8601,11726,13079,7924,3075,75579
SED10058,854,911,977,793,795,751,579,326,212,6206,11617,10070,13432,10377,9899,9934,8185,4280,1877,79670
SED10059,421,925,1678,1053,875,688,459,281,170,6564,7331,11790,22274,13360,10020,7405,4704,2487,954,80313
SED10060,536,430,872,769,630,613,475,396,189,4916,10286,6982,14653,12771,10411,9161,7710,5110,1805,78893
SED10061,2217,1726,1332,1217,1282,1326,998,669,329,11095,14568,10002,9207,8466,9502,10782,9251,5787,1980,79541
SED10062,781,606,636,644,656,569,445,325,305,4976,13501,9727,9694,10482,10594,10233,7822,4680,2377,79109
SED10063,1691,939,896,928,895,889,694,467,276,7672,16955,9257,9663,9573,9684,9896,8607,5219,2104,80956
SED10064,1715,1024,1111,1052,1044,1107,958,536,199,8744,13057,7393,7186,7480,9261,12309,12129,6452,2346,77605
SED10065,1371,929,1674,1425,854,744,502,268,146,7912,20427,12462,22740,20294,12332,10927,7498,3767,1622,112070
SED10066,1533,936,1167,990,858,637,555,451,351,7488,16256,10837,12689,11803,10361,9114,7696,4237,1577,84578
SED10067,828,588,431,569,695,698,533,412,293,5043,13068,8403,6134,8443,10881,10608,8967,5986,2778,75271
SED10068,974,710,530,600,642,800,766,533,308,5858,12182,7980,6740,7875,9623,11604,13034,8476,3233,80749
SED10069,1168,657,580,601,769,779,780,639,335,6315,12506,7898,6855,7634,9372,11307,11681,7066,2101,76424
SED10070,1366,766,855,934,813,647,537,380,281,6584,17753,10637,11674,13453,10721,9779,8241,4582,1766,88607
SED10071,1560,1101,1531,1580,1008,540,340,131,54,7840,30016,15068,17759,24854,15319,9724,6375,2525,683,122335
SED10072,1063,897,1597,1066,938,739,516,452,353,7621,13821,10896,19118,14220,11329,9756,7528,5020,2277,93963
SED10073,795,615,1118,903,614,621,419,282,200,5570,15811,11366,19104,16731,11295,10745,8239,4428,2301,100021
SED10074,1087,679,924,876,676,560,419,301,198,5714,16894,9789,12696,14060,10629,8819,7334,4489,1726,86432
SED10075,1405,924,792,765,817,741,559,448,294,6738,16731,10932,10609,11021,11184,11043,9284,5708,1997,88503
SED10076,1389,789,745,771,808,876,806,541,258,6987,12223,6934,7527,7728,8617,11427,12452,7199,2556,76660
SED10077,862,1180,1630,911,707,646,418,362,320,7040,13947,15775,23188,14091,11129,10305,7186,4317,2294,102224
SED10078,642,601,1142,791,645,620,390,262,137,5226,10872,8747,16444,12827,10790,8901,6338,4016,2108,81026
SED10079,1070,651,581,600,701,693,629,477,222,5608,12509,7902,7356,7951,9331,10389,10113,6415,2152,74124
SED10080,474,974,2543,1519,971,744,540,328,221,8316,6448,9516,28413,17913,10828,8864,6655,3485,1280,93401
SED10081,1920,1107,1054,955,980,899,761,563,290,8534,16424,9237,10170,9300,9424,9954,8798,5515,2042,80856
SED10082,984,573,459,607,630,647,571,422,313,5203,13968,8529,6642,8982,10304,10376,9873,6322,2615,77613
SED10083,1205,757,672,719,714,668,558,383,328,6004,14032,8471,8743,9361,9496,9693,8704,5096,2415,76009
SED10084,1329,743,785,892,949,879,777,587,336,7270,13294,7619,7579,9326,9957,11359,11358,7348,3311,81148
SED10085,1523,1026,969,949,1033,994,748,421,177,7840,15264,8908,9265,9296,10336,10852,8698,4595,1626,78827
SED10086,788,615,1264,897,727,550,422,383,292,5933,12361,7956,15753,12021,10363,8161,6947,4489,1988,80036
SED10087,1528,1144,933,831,853,809,595,419,207,7322,16580,11312,11077,9828,9349,9588,7970,4631,1993,82326
SED10088,822,575,540,635,775,565,389,298,236,4848,15714,10087,9404,11721,12734,9782,6851,4831,2209,83325
SED10089,1121,1323,939,749,672,607,451,379,384,6640,15230,13375,13034,11083,10070,9126,7783,4917,2487,87111
SED10090,740,464,617,696,658,457,401,244,195,4462,15950,9001,11425,14453,12489,9450,7721,4213,2152,86851
SED10091,1214,808,615,744,798,673,581,480,380,6284,16509,9599,9237,9813,10963,10087,9289,5659,2002,83158
SED10092,1156,925,1054,776,823,748,558,373,176,6592,12844,12035,13591,9960,9956,10470,8399,5544,2497,85299
SED10093,1532,948,821,834,849,721,594,530,376,7208,16103,10202,10098,9874,10377,9756,8440,5445,2249,82534
SED19494,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
