SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10011,54,428,3159,11479,8188,2186,460,209,26163,13,121,236,307,38,0,0,7,724,4,28,212,251,18,5,4,7,536,19,156,449,558,57,9,5,18,1256,18,224,247,60,7,4,0,9,583,4,46,107,22,0,0,4,0,189,0,19,14,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,30,51,26,13,3,0,3,128,18,323,420,110,23,8,3,21,927,0,11,25,11,5,0,0,0,47,8,12,7,5,4,0,5,23,71,100,923,4055,12156,8275,2209,467,271,28465
SED10012,20,175,1263,7469,6316,1897,611,296,18045,9,68,101,327,15,5,3,7,531,6,162,667,1404,285,19,0,50,2596,14,231,765,1726,296,25,4,57,3127,5,143,433,185,11,0,7,14,795,9,124,1310,155,3,0,0,44,1644,0,48,266,11,0,0,0,12,343,0,0,0,0,0,0,0,0,0,3,35,158,75,33,27,3,5,345,13,356,2166,426,45,30,11,76,3132,0,0,20,6,0,0,0,0,37,4,8,22,14,6,3,4,7,59,59,769,4239,9642,6671,1963,634,441,24396
SED10013,35,444,926,7651,22898,4396,878,374,37602,6,120,309,284,141,10,3,15,905,4,164,252,441,465,63,3,22,1409,13,285,560,728,606,77,4,41,2308,0,45,147,25,14,0,0,9,239,0,0,15,12,0,0,0,0,25,0,7,17,11,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,38,26,9,38,13,11,0,134,0,88,199,58,54,15,11,7,439,8,45,87,14,4,0,0,7,163,0,11,18,24,49,13,0,6,117,51,870,1792,8471,23602,4498,893,443,40631
SED10014,31,153,1015,10086,7746,1912,510,316,21759,18,33,496,756,76,3,5,39,1426,10,222,598,977,195,26,6,53,2090,23,261,1096,1725,266,32,6,96,3508,33,133,506,49,8,0,0,13,749,0,17,268,146,0,0,0,11,443,4,128,900,218,0,0,0,15,1279,0,28,119,31,0,0,0,0,180,0,33,103,24,18,3,6,3,189,42,341,1897,475,27,3,3,52,2835,0,0,5,0,0,0,0,0,3,0,9,10,7,0,0,0,9,32,97,755,4027,12286,8040,1951,521,462,28142
SED10015,26,139,1913,7569,4200,1444,386,205,15883,7,66,530,373,75,16,4,17,1096,4,134,751,938,573,61,9,37,2505,11,204,1277,1305,651,84,15,56,3603,39,485,3749,419,75,21,10,100,4886,22,256,2579,319,22,0,3,62,3265,22,707,2400,436,29,3,0,53,3644,0,264,510,54,0,0,0,11,844,3,17,54,51,24,14,3,3,170,86,1726,9284,1274,150,38,16,237,12804,3,29,94,41,12,3,0,3,188,0,12,20,18,4,0,0,7,73,127,2107,12589,10207,5017,1567,411,520,32550
SED10016,13,106,435,2788,15619,5855,1171,195,26181,0,9,211,153,30,3,3,13,421,0,14,296,1052,615,91,21,15,2104,0,26,508,1207,643,94,25,25,2527,0,29,224,158,9,0,0,4,426,0,57,454,185,3,0,0,7,704,0,139,859,319,5,0,0,10,1338,0,91,288,84,0,0,0,4,469,4,17,18,9,16,7,4,6,90,3,341,1847,752,32,7,6,35,3024,0,7,0,0,0,0,0,0,5,0,6,4,0,11,8,0,0,34,24,486,2795,4753,16303,5963,1196,254,31777
SED10017,54,361,3037,12382,10208,1584,346,318,28291,0,162,810,605,53,0,0,33,1664,0,87,138,80,11,3,0,4,320,0,250,945,686,62,0,0,37,1986,5,179,173,21,5,0,3,23,413,0,8,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,15,12,0,0,0,70,5,202,210,38,13,0,3,19,499,9,39,22,10,0,0,0,0,82,0,11,26,9,17,0,0,3,61,70,855,4236,13129,10301,1589,350,380,30918
SED10018,11,221,2539,11264,7328,1691,273,229,23563,0,228,1162,580,15,4,0,30,2023,10,88,577,886,65,8,0,22,1656,10,311,1736,1466,81,11,5,52,3674,14,231,373,93,13,0,0,16,736,0,24,60,18,0,0,0,0,112,0,64,136,43,0,0,0,0,244,0,43,129,57,0,0,0,0,227,4,11,14,15,7,0,0,0,46,18,367,723,225,17,0,0,18,1371,0,8,4,0,0,0,0,0,20,6,3,3,8,0,0,0,4,24,47,914,5008,12966,7430,1702,278,300,28647
SED10019,146,560,3398,12098,7143,1325,312,493,25476,22,187,741,404,32,7,6,45,1432,3,48,321,296,39,5,0,9,730,24,232,1060,701,70,14,6,55,2167,6,191,601,196,16,5,4,36,1058,0,11,53,25,4,0,0,3,90,0,5,10,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,20,23,16,3,0,0,4,62,6,226,690,243,25,5,4,44,1239,78,271,182,116,51,13,0,37,751,9,42,21,22,7,4,0,14,126,258,1333,5356,13178,7303,1364,318,644,29755
SED10020,74,436,2075,9697,7866,1682,415,311,22545,3,130,1120,655,58,10,3,58,2037,3,76,451,775,121,18,8,19,1472,4,200,1572,1436,179,26,10,75,3508,20,311,1333,473,32,6,0,60,2228,7,63,260,60,3,0,0,12,387,0,52,133,69,10,0,0,3,265,5,0,66,36,0,0,0,0,115,3,32,26,8,3,7,0,0,77,33,456,1815,647,44,6,3,77,3078,42,174,164,80,19,0,3,34,521,9,21,34,31,11,3,0,12,127,163,1287,5657,11887,8118,1715,434,511,29774
SED10021,18,44,324,1706,2281,900,200,35,5501,10,52,661,1243,536,100,8,17,2628,3,94,552,1440,1009,194,24,32,3359,18,148,1210,2682,1541,294,37,49,5985,67,896,2256,714,112,23,16,72,4156,82,1905,7207,1475,59,13,11,160,10907,98,809,2102,580,15,0,0,43,3655,94,639,1086,379,12,0,0,29,2233,4,12,16,13,21,0,6,0,77,347,4263,12667,3168,217,38,22,302,21033,27,192,249,135,26,0,9,11,648,7,12,11,9,0,0,0,10,44,418,4665,14457,7702,4064,1232,268,401,33207
SED10022,80,473,3214,11722,7844,1562,369,528,25792,10,177,698,222,47,7,3,38,1200,0,7,46,21,10,3,0,3,92,10,189,742,248,53,10,3,37,1285,14,120,281,42,13,0,10,18,499,0,9,17,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,0,0,0,12,14,133,307,39,20,4,10,20,540,22,47,47,45,19,5,3,8,207,0,11,20,22,20,5,8,18,103,132,855,4329,12073,7948,1592,396,616,27933
SED10023,8,103,698,5334,6981,2543,439,106,16206,4,110,215,434,58,14,0,8,839,0,117,488,2008,437,49,8,19,3121,4,226,702,2442,494,63,7,28,3961,15,841,809,268,32,3,0,24,1990,0,455,2610,568,13,0,0,37,3687,34,229,1227,408,7,0,6,22,1933,6,177,640,227,8,0,0,6,1066,0,11,19,9,3,0,0,0,51,51,1722,5302,1474,68,9,4,92,8719,0,10,45,19,8,0,0,0,84,0,4,15,10,5,0,0,5,38,66,2072,6756,9275,7547,2616,449,227,29011
SED10024,19,88,410,4481,9447,4749,985,130,20310,0,20,59,90,4,3,0,4,176,3,99,209,617,135,27,5,11,1108,3,115,266,704,143,25,10,13,1286,14,136,548,344,23,8,0,27,1108,37,113,295,170,4,3,4,3,621,0,395,1825,874,16,0,0,23,3147,3,56,60,23,3,0,0,0,142,4,10,36,6,9,12,4,0,74,55,712,2771,1417,59,24,14,59,5101,0,0,3,3,0,0,0,0,12,0,7,7,6,4,0,0,0,28,75,925,3463,6613,9654,4805,999,204,26732
SED10025,18,76,1160,5021,3965,1429,279,104,12061,0,67,446,393,108,17,5,9,1050,3,75,505,1146,255,16,9,24,2041,3,148,957,1542,363,34,9,36,3084,54,401,1858,732,61,6,0,36,3152,4,179,1901,685,37,0,0,18,2823,10,1236,3230,1628,64,3,0,55,6222,13,957,2388,661,12,0,0,59,4091,0,10,27,18,20,0,0,0,83,77,2779,9404,3729,185,15,8,166,16369,0,77,181,83,10,0,0,3,362,0,7,15,7,5,0,0,0,37,100,3085,11720,10388,4525,1476,301,315,31912
SED10026,60,324,2185,10558,9874,1794,381,402,25583,10,185,1221,506,80,11,0,70,2078,0,7,47,21,9,4,0,0,89,10,186,1270,525,86,12,4,68,2168,19,328,739,85,13,0,6,35,1234,0,12,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,3,0,0,0,20,19,347,751,91,21,0,6,38,1269,14,53,44,23,19,3,0,53,209,3,23,10,15,21,3,4,16,96,116,932,4263,11216,10021,1812,399,577,29332
SED10027,24,157,1605,7554,6336,2107,452,218,18451,4,100,238,755,237,60,5,29,1410,5,220,436,1980,2063,275,11,63,5047,5,312,670,2735,2299,334,13,90,6458,22,334,179,37,8,4,0,20,606,4,76,214,22,0,0,0,7,320,0,35,142,15,0,0,0,4,197,0,0,0,0,0,0,0,0,0,7,30,88,35,21,14,5,6,203,32,472,619,109,28,18,7,40,1334,0,11,64,22,14,3,0,3,118,0,4,15,11,14,3,0,3,46,73,961,2976,10431,8678,2459,472,363,26404
SED10028,11,86,638,4405,9522,3494,666,129,18956,11,120,245,377,31,8,0,9,802,3,104,333,1539,516,86,8,30,2624,14,225,584,1917,546,102,10,31,3423,6,210,345,101,8,6,0,13,676,0,101,995,342,10,0,0,20,1462,11,795,2287,496,6,0,0,38,3627,17,257,511,151,0,0,0,14,957,4,20,49,16,16,12,3,4,123,36,1381,4188,1098,37,18,10,84,6841,0,0,7,4,0,0,0,0,12,4,5,23,5,6,0,0,5,48,67,1696,5438,7418,10115,3606,684,248,29274
SED10029,26,257,1881,7784,4871,1757,458,329,17379,4,86,259,400,55,15,3,23,847,3,133,451,1966,639,137,12,54,3399,14,214,710,2361,691,151,13,75,4242,32,573,803,307,35,5,0,53,1815,11,147,851,103,4,0,0,26,1142,3,154,1325,101,0,0,3,30,1617,18,99,328,102,0,0,0,14,554,0,27,144,81,39,24,0,13,330,60,1001,3452,691,80,33,10,127,5457,0,18,27,17,0,0,0,3,69,3,20,48,17,11,4,0,7,109,103,1509,6120,10876,5667,1949,488,539,27249
SED10030,92,491,3057,8716,6040,1569,341,248,20556,16,144,1291,1813,56,5,3,80,3410,12,172,625,1281,91,11,0,43,2239,23,315,1924,3095,141,19,3,125,5643,63,461,1142,595,30,4,7,64,2371,21,53,455,172,6,0,0,13,715,19,183,1091,268,11,0,0,21,1592,0,61,247,136,0,0,0,3,449,8,21,62,30,10,5,0,5,130,112,771,2989,1202,54,10,10,99,5251,14,136,159,53,8,9,0,16,399,13,35,36,13,11,0,0,25,138,254,1747,8167,13083,6258,1608,362,517,31985
SED10031,98,536,2785,11067,9891,2338,677,367,27760,10,204,647,461,56,9,4,31,1415,0,3,134,64,15,0,0,4,221,10,208,778,529,70,6,6,33,1639,9,136,264,49,5,3,3,20,489,0,29,34,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,7,3,0,0,39,9,174,310,59,12,3,6,22,592,23,72,81,24,16,0,5,13,230,0,11,23,26,14,3,7,17,102,137,1004,3977,11700,9994,2357,694,458,30329
SED10032,44,255,1660,6288,4273,1465,390,329,14695,9,133,559,462,71,11,4,29,1274,0,147,453,1561,857,155,26,85,3285,4,280,1014,2024,926,166,32,112,4560,45,294,1186,168,19,0,4,38,1748,18,272,3917,497,8,0,0,96,4811,16,654,4455,809,21,0,0,120,6070,8,131,315,32,0,0,0,16,502,3,19,71,56,22,12,0,15,198,93,1364,9939,1560,71,15,10,280,13339,0,3,31,24,0,3,0,5,74,6,27,57,18,10,3,0,15,135,147,1932,12706,9916,5281,1644,428,740,32800
SED10033,67,331,1619,8323,8612,2853,1113,233,23145,13,132,588,805,61,7,6,29,1645,0,55,88,346,67,8,4,4,570,13,185,680,1152,130,16,11,34,2209,0,142,242,60,21,3,4,6,478,4,14,68,11,0,0,0,4,100,0,0,17,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,17,28,13,22,0,0,0,82,8,171,360,87,39,0,3,15,683,25,42,28,14,8,0,0,0,126,4,11,25,15,18,7,0,3,88,108,744,2717,9587,8808,2880,1131,278,26258
SED10034,20,150,783,7373,8271,2278,404,117,19400,0,29,246,278,26,0,0,10,582,0,20,407,1414,137,9,0,14,2012,0,46,653,1688,164,13,0,23,2590,3,183,511,245,16,0,3,12,979,0,127,2303,235,3,0,7,35,2699,0,123,1046,134,0,0,0,12,1316,0,34,113,53,0,0,0,0,201,0,14,19,12,3,6,0,0,63,9,484,3987,680,22,10,10,55,5261,5,30,27,19,0,0,0,0,80,3,9,19,11,4,0,0,10,56,37,715,5463,9775,8464,2305,419,218,27389
SED10035,20,116,937,3305,1963,682,217,85,7326,13,162,1083,880,217,47,16,22,2438,29,253,792,1408,530,66,16,23,3116,40,412,1875,2283,751,112,33,45,5552,52,470,1731,440,47,20,16,42,2818,142,1180,3120,726,46,9,5,81,5300,194,4899,8656,1527,59,23,7,156,15525,88,3261,7045,1875,60,5,0,164,12497,8,26,32,23,14,3,0,0,108,485,9830,20583,4600,223,54,23,442,36243,5,46,72,49,10,0,4,0,192,13,32,35,10,8,4,5,16,119,565,10441,23502,10248,2955,851,282,592,49437
