SED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED10011,8738,17478,149,823,902,4177,211,991,4298,16848,5563,22839,421,1796,786,2639,1555,4955,2760,9387,8319,32227,31,131,220,702,83,298,1109,2822,1440,3952,96,288,389,839,1175,2531,1661,3661,3105,7615,198,412,20363,57734
SED10012,5303,11129,304,1861,1046,5227,316,1577,3922,16282,5589,24949,936,4281,873,3219,3114,10873,4923,18372,10514,43322,114,562,409,1604,176,703,1407,4207,2112,7072,308,1100,552,1402,2452,6018,3312,8523,5424,15599,538,1193,21772,71240
SED10013,10392,21108,423,2430,1858,8853,665,3213,11823,46715,14773,61212,1028,4531,1105,3901,3146,10688,5277,19122,20044,80334,107,490,379,1396,257,963,2082,5871,2825,8721,266,920,381,901,1664,3875,2316,5693,5141,14411,342,741,35924,116602
SED10014,6798,13856,315,1947,876,4367,401,1972,4984,19676,6570,27958,525,2333,601,2084,2152,7140,3281,11558,9850,39519,127,617,346,1317,265,1028,1949,5576,2684,8537,197,687,361,835,1833,4225,2385,5747,5069,14283,407,862,22125,68515
SED10015,8234,16899,161,980,1030,4871,195,902,5648,21758,7033,28524,665,2940,1028,3692,2680,9065,4370,15690,11404,44219,60,295,203,710,87,347,1156,3037,1508,4395,198,692,509,1191,2091,4785,2802,6668,4311,11063,610,1343,24558,73516
SED10016,8335,16830,268,1465,2003,9246,309,1425,9138,35967,11716,48100,1219,5323,1836,6697,2949,9901,6008,21929,17724,70026,32,159,255,790,65,223,937,2470,1285,3635,210,669,388,955,1100,2542,1702,4165,2990,7802,212,450,29251,95099
SED10017,8750,17598,185,1052,808,3782,452,2076,5504,21426,6949,28339,445,1879,522,1728,2036,6583,2999,10197,9949,38533,95,449,324,1183,248,924,2101,5843,2773,8394,146,477,277,620,1665,3700,2087,4798,4855,13191,320,669,23880,69989
SED10018,7940,15917,134,722,891,4051,226,1010,4988,19494,6240,25281,467,1934,794,2731,1609,5134,2865,9800,9104,35075,34,149,245,793,137,494,1294,3374,1706,4805,142,459,348,780,1412,3079,1905,4316,3613,9125,299,627,20957,60742
SED10019,9945,19904,129,729,643,3010,302,1462,3380,13536,4450,18742,245,995,408,1325,1537,4788,2185,7103,6635,25842,45,215,222,808,183,676,1571,4464,2026,6156,114,359,238,495,1425,3045,1775,3899,3799,10061,338,710,20714,56519
SED10020,9277,18605,124,716,758,3548,265,1245,4213,16751,5368,22264,281,1193,544,1781,1504,4751,2330,7728,7698,29992,46,206,265,914,170,594,1622,4341,2096,6059,107,348,315,691,1454,3136,1870,4169,3967,10227,271,578,21216,59402
SED10021,9148,18236,53,279,811,3570,67,298,5551,20687,6476,24838,306,1298,968,3407,971,3039,2244,7735,8723,32569,8,52,185,551,17,69,947,2176,1162,2847,93,289,405,883,850,1774,1350,2947,2510,5789,375,778,20760,57378
SED10022,8869,17634,198,1105,728,3341,273,1274,3520,14331,4717,20058,248,1002,435,1346,1305,4048,1992,6399,6702,26456,40,186,221,811,152,583,1268,3645,1688,5225,79,257,218,456,1043,2240,1343,2950,3026,8177,295,617,18896,52881
SED10023,8399,16811,139,759,1033,4728,178,804,5405,21230,6756,27523,780,3377,1010,3628,2101,6933,3894,13938,10648,41453,28,135,176,586,41,141,802,1924,1046,2786,145,451,311,702,1140,2501,1597,3659,2642,6443,207,424,21898,65132
SED10024,7255,14575,93,492,1649,7390,135,589,6469,25419,8340,33894,872,3749,1865,6725,1941,6269,4687,16747,13023,50642,28,102,238,772,42,133,716,1806,1023,2810,113,367,467,1083,864,1911,1442,3356,2469,6165,185,385,22925,71770
SED10025,9730,19535,89,479,885,3984,104,455,5838,21704,6918,26622,509,2196,1042,3706,1750,5779,3303,11677,10217,38300,25,101,163,516,38,125,868,2060,1093,2796,115,377,442,971,1283,2814,1842,4166,2927,6964,406,836,23286,65638
SED10026,8488,16971,172,945,809,3829,287,1313,4959,19670,6228,25763,281,1119,505,1611,1444,4500,2229,7230,8458,32991,39,204,217,815,197,728,1729,4949,2185,6696,82,263,227,470,1192,2611,1503,3339,3694,10037,327,688,20969,60683
SED10027,6325,12905,252,1516,1151,5623,284,1353,5370,21740,7050,30228,813,3601,981,3604,2573,8738,4364,15945,11415,46171,83,395,267,1000,105,455,1034,3064,1487,4915,226,801,341,836,1745,4047,2307,5679,3800,10596,348,768,21883,70452
SED10028,7939,15970,99,542,1595,7156,141,609,6993,26992,8825,35302,883,3750,1885,6761,2534,8293,5302,18804,14120,54107,15,60,193,637,33,117,756,1925,995,2739,157,505,455,1100,981,2136,1597,3740,2592,6478,250,530,24900,77083
SED10029,5410,11244,417,2590,1310,6772,404,2100,4692,19774,6830,31227,871,4061,922,3377,3062,10865,4855,18302,11680,49533,120,632,363,1434,197,780,1371,4107,2054,6950,330,1220,454,1147,2527,6177,3314,8546,5364,15489,563,1241,23017,77509
SED10030,8687,17480,121,669,653,3000,198,938,4353,16671,5331,21285,342,1454,576,1998,1642,5319,2554,8771,7884,30051,55,242,261,889,141,504,1533,4030,1985,5663,129,419,367,781,1696,3678,2190,4887,4168,10544,340,706,21082,58784
SED10031,10013,20056,176,967,819,3805,333,1541,4623,18387,5960,24698,368,1559,657,2182,1749,5577,2778,9314,8735,34015,42,192,190,625,170,594,1138,3170,1532,4583,125,402,267,569,1215,2581,1608,3555,3138,8134,234,491,22116,62698
SED10032,6954,14270,311,1909,1167,5943,301,1516,7588,29822,9365,39190,689,3238,829,3017,2333,8245,3850,14499,13215,53696,85,443,241,948,118,490,1245,3470,1688,5349,213,782,398,946,1874,4466,2488,6191,4182,11541,634,1402,24990,80913
SED10033,7781,15785,215,1258,912,4331,422,2017,4902,19700,6448,27306,706,3083,679,2341,2402,8037,3782,13462,10232,40771,56,239,193,637,116,405,1094,2956,1459,4235,136,446,268,604,1337,2972,1739,4014,3197,8252,212,447,21424,65250
SED10034,7800,15690,171,932,1048,4769,224,1044,5908,23018,7355,29763,739,3182,896,3159,2233,7419,3870,13761,11224,43528,33,132,200,665,85,324,951,2397,1278,3512,152,503,314,679,1190,2626,1655,3811,2931,7323,184,387,22145,66928
SED10035,15643,31404,51,273,618,2744,104,441,6462,23167,7226,26625,312,1327,756,2601,1296,4252,2370,8179,9594,34807,14,63,127,419,61,206,1110,2577,1315,3264,117,364,443,1009,1369,3012,1927,4388,3249,7652,903,1904,29388,75771
SED10036,5985,12207,349,2074,1472,7163,388,1878,6324,25637,8533,36755,918,4080,1050,3814,2803,9625,4769,17522,13297,54274,88,457,248,940,143,550,1217,3618,1694,5564,193,687,352,886,1640,3837,2192,5413,3883,10975,271,570,23441,78027
SED10037,7935,15977,132,733,1365,6205,165,724,6571,25379,8227,33045,793,3381,1423,5011,2240,7297,4451,15686,12683,48732,31,119,194,636,59,201,851,2151,1128,3110,163,508,426,969,1202,2644,1789,4123,2917,7233,265,556,23797,72498
SED10038,7930,15944,153,862,1059,4818,178,836,5514,21709,6915,28224,594,2528,954,3396,1893,6166,3440,12083,10349,40308,40,187,241,765,106,373,1120,2880,1511,4210,156,497,353,793,1406,3095,1915,4392,3432,8599,290,602,22003,65454
SED10039,9946,19922,159,886,815,3789,272,1245,4696,18487,5943,24409,453,1928,628,2145,1921,6156,3004,10228,8947,34633,40,189,205,698,118,411,1227,3315,1591,4610,110,356,259,559,1213,2638,1587,3549,3169,8159,262,538,22326,63258
SED10040,8811,18114,149,895,880,4109,200,941,6037,22818,7276,28769,642,2821,1133,3980,2493,8317,4267,15117,11542,43891,37,176,200,704,101,371,1000,2660,1342,3905,205,705,524,1215,1824,4161,2551,6089,3890,9995,670,1444,24908,73444
SED10041,8153,16333,95,542,1486,6709,109,470,7110,26872,8805,34596,716,3075,1907,6769,1827,5861,4454,15707,13256,50301,21,77,263,840,28,76,897,2201,1199,3200,164,517,545,1235,963,2078,1664,3827,2868,7022,239,498,24515,74163
SED10042,9581,19248,144,804,721,3348,305,1415,4302,16763,5482,22329,459,1925,608,2054,2017,6451,3082,10437,8561,32766,41,216,235,837,182,669,1506,4050,1977,5768,155,468,315,701,1574,3461,2046,4625,4020,10392,298,622,22466,63031
SED10043,5428,11131,390,2463,1381,7305,346,1773,6100,25540,8220,37083,775,3635,844,3070,2576,8956,4203,15657,12428,52742,112,578,279,1139,135,554,1237,3706,1772,5976,244,892,364,895,1865,4404,2469,6192,4239,12163,478,1062,22570,77098
SED10044,9339,18724,93,510,1191,5368,99,422,6811,25642,8192,31948,615,2662,1391,5001,1579,5134,3593,12801,11780,44749,17,72,181,562,30,86,976,2307,1202,3022,134,419,432,953,1019,2207,1581,3586,2789,6604,345,703,24250,70784
SED10045,8736,17446,137,772,656,3089,270,1293,3502,13866,4554,19016,247,1022,499,1641,1463,4656,2208,7320,6760,26337,58,286,280,929,188,698,1574,4208,2103,6122,118,395,355,729,1537,3332,2010,4448,4108,10570,301,625,19910,54981
SED10046,5554,11407,440,2722,1357,6815,405,2069,5722,23358,7923,34961,915,4154,921,3340,2912,10166,4750,17658,12671,52619,131,634,422,1675,228,869,1786,5303,2565,8486,299,1092,458,1101,2204,5294,2968,7490,5532,15977,490,1065,24247,81062
SED10047,8283,16918,351,2183,1391,6761,510,2500,9552,37406,11798,48852,665,2938,746,2581,2416,8160,3825,13683,15625,62536,153,808,422,1641,322,1239,2676,7904,3567,11588,204,704,372,859,2442,5614,3021,7174,6584,18759,554,1208,31044,99424
SED10048,7791,15896,327,2029,1595,7596,445,2203,9239,36380,11612,48205,876,3862,1165,4087,2957,9982,4989,17926,16606,66136,88,434,328,1256,230,903,1763,5044,2409,7629,237,818,378,905,2010,4648,2625,6367,5034,13995,457,994,29889,97017
SED10049,9222,18490,189,1065,1045,4867,426,1974,6230,24112,7898,32019,502,2108,700,2343,2012,6456,3209,10911,11109,42931,72,337,335,1165,186,690,1971,5442,2559,7630,169,520,342,780,1490,3315,2001,4609,4562,12237,350,750,25244,74406
SED10050,8979,17934,102,511,1158,5173,110,486,6447,24580,7811,30754,534,2223,1288,4559,1305,4185,3131,10963,10940,41714,11,59,178,538,28,97,900,2056,1124,2743,124,387,423,914,849,1839,1397,3144,2521,5884,233,471,22672,65994
SED10051,8023,16152,94,542,1017,4560,160,739,5928,22476,7205,28320,584,2509,1096,3907,1976,6495,3659,12909,10869,41230,27,128,204,661,85,280,1119,2793,1435,3862,165,533,435,994,1607,3559,2205,5086,3639,8953,453,958,22977,67293
SED10052,8118,16365,160,882,1054,4836,195,903,5681,22059,7096,28672,658,2848,963,3460,2242,7408,3865,13719,10958,42396,25,105,220,703,76,262,902,2243,1217,3313,151,464,348,785,1303,2856,1802,4111,3023,7422,272,558,22368,66744
SED10053,9152,18235,160,897,964,4372,263,1211,5815,22445,7207,28924,483,2005,773,2608,1779,5664,3033,10282,10243,39200,36,164,189,610,102,329,1250,3208,1575,4314,102,324,267,566,1092,2346,1461,3240,3041,7552,270,558,22702,65541
SED10054,5616,11541,391,2456,1344,6722,503,2507,6135,24974,8365,36654,857,3843,918,3312,2823,9713,4596,16865,12961,53522,120,650,312,1232,202,803,1767,5279,2405,7964,214,754,337,803,1926,4563,2478,6120,4884,14084,426,954,23891,80098
SED10055,6633,13517,345,2031,1401,6738,462,2240,6186,25149,8397,36158,954,4262,978,3601,3153,10791,5088,18659,13489,54819,73,379,273,1008,148,568,1231,3511,1727,5461,174,613,292,691,1376,3300,1851,4602,3582,10065,235,514,23936,78915
SED10056,9942,19858,186,1065,868,4060,304,1411,4669,18705,6027,25236,405,1643,551,1749,1720,5514,2682,8905,8707,34138,45,229,213,767,140,495,1272,3577,1669,5065,106,329,202,425,1137,2473,1447,3233,3118,8293,306,661,22069,62955
SED10057,10645,21278,119,675,548,2585,297,1385,2949,11762,3916,16406,226,926,379,1210,1472,4596,2078,6730,5996,23136,63,267,235,841,204,743,1495,4190,1991,6040,81,250,256,534,1511,3235,1844,4016,3835,10057,287,606,20765,55070
SED10058,9134,18152,60,331,661,3030,108,506,4330,16465,5159,20326,272,1126,715,2396,1128,3545,2124,7077,7280,27401,22,83,189,607,77,269,1192,2865,1477,3820,116,345,378,808,1210,2592,1702,3740,3181,7564,399,830,20001,53940
SED10059,9662,19272,22,106,405,1751,33,142,3410,12247,3856,14254,157,631,522,1735,536,1697,1210,4059,5074,18316,11,44,102,306,24,91,637,1412,774,1849,63,194,311,674,686,1481,1060,2348,1831,4202,506,1050,17070,42835
SED10060,11051,21961,24,132,696,3085,35,143,4596,16711,5349,20070,267,1077,979,3322,867,2679,2112,7073,7461,27145,6,21,172,496,21,67,843,1887,1042,2478,72,210,452,971,733,1542,1253,2724,2292,5198,382,781,21186,55089
SED10061,8899,17767,149,884,758,3480,233,1097,3781,15071,4922,20524,244,971,489,1570,1212,3808,1945,6352,6862,26873,50,221,243,922,155,599,1519,4343,1959,6088,84,298,245,515,1169,2529,1506,3341,3468,9427,325,692,19553,54765
SED10062,7233,14702,138,768,1046,4861,169,787,5235,20434,6592,26853,795,3445,1224,4438,2440,8103,4458,15989,11045,42837,21,121,171,574,62,212,831,2181,1089,3094,186,625,361,861,1423,3252,1971,4744,3059,7837,360,789,21698,66165
SED10063,8622,17184,179,1025,891,4170,280,1338,4919,19809,6266,26345,313,1281,543,1787,1399,4365,2253,7432,8523,33779,61,291,261,963,187,714,1560,4375,2073,6337,95,289,237,519,1164,2512,1497,3323,3568,9664,276,583,20984,61206
SED10064,9698,19467,129,712,599,2871,297,1394,3337,13344,4360,18323,260,1057,383,1273,1508,4747,2149,7078,6506,25402,74,356,278,1006,184,705,1635,4666,2171,6731,117,372,283,619,1540,3368,1946,4360,4114,11088,326,692,20636,56651
SED10065,9867,20003,125,717,1033,4746,202,918,9343,34422,10702,40802,623,2713,1165,4053,2062,6847,3851,13621,14556,54422,31,155,243,791,80,273,1348,3466,1692,4683,195,671,561,1292,1671,3672,2433,5636,4125,10316,689,1475,29241,86216
SED10066,7802,15802,169,965,875,4178,358,1664,5198,20182,6599,26991,499,2178,656,2248,1947,6378,3104,10804,9708,37796,61,278,267,975,169,627,1804,4848,2293,6724,176,571,351,795,1690,3740,2221,5103,4513,11826,397,829,22417,66255
SED10067,8469,16956,122,641,1059,4813,168,729,4941,19388,6290,25570,647,2728,1054,3691,1860,5990,3555,12408,9854,37985,17,80,206,615,55,173,780,1922,1058,2792,138,455,331,742,964,2125,1434,3321,2485,6114,169,345,20973,61398
SED10068,11715,23422,123,676,776,3550,219,963,3784,14872,4903,20062,293,1210,639,2126,1461,4522,2391,7862,7297,27920,55,271,254,845,131,473,1348,3612,1781,5200,108,349,308,649,1356,2885,1769,3882,3558,9084,252,531,22823,60964
SED10069,10490,20976,175,971,709,3307,313,1461,3677,14517,4873,20267,331,1395,561,1867,1717,5417,2611,8672,7485,28943,61,277,237,859,184,653,1330,3709,1814,5500,105,324,277,579,1369,2954,1746,3862,3561,9361,231,484,21770,59759
SED10070,6338,12947,259,1555,1269,6064,278,1347,6440,25494,8249,34461,844,3766,1010,3672,2909,9996,4755,17441,13002,51902,69,352,250,946,105,442,996,2819,1425,4563,213,774,321,781,1726,4145,2260,5702,3686,10262,396,851,23420,75960
SED10071,7915,16181,276,1585,2183,9941,402,1906,12869,49198,15733,62633,998,4331,1674,5985,2698,9137,5375,19457,21107,82090,61,307,278,986,143,538,1377,3694,1856,5514,228,773,392,942,1386,3215,2005,4931,3865,10446,327,703,33214,109416
SED10072,9978,20287,153,908,864,4033,191,911,5705,21383,6919,27231,595,2614,826,2945,2139,7194,3558,12758,10478,39991,30,137,196,687,79,281,1053,2684,1355,3788,159,537,392,902,1704,3866,2259,5309,3608,9094,623,1310,24685,70687
SED10073,10536,21214,83,477,973,4356,114,501,7301,27084,8467,32413,586,2505,1266,4433,2155,7030,4003,13978,12470,46386,22,79,181,568,57,188,1057,2593,1308,3427,136,426,486,1104,1459,3233,2079,4770,3380,8193,612,1277,27000,77073
SED10074,7547,15327,159,914,1117,5152,205,982,6910,26455,8398,33508,602,2563,1032,3720,2129,7061,3767,13351,12163,46860,55,246,208,738,81,300,986,2668,1338,3951,161,539,344,801,1522,3385,2032,4730,3365,8681,390,830,23470,71692
SED10075,9405,18989,210,1134,972,4485,415,1953,5239,20511,6837,28078,558,2399,687,2393,2469,8117,3713,12907,10559,40988,66,325,323,1149,224,848,1714,4658,2328,6972,205,663,362,791,1899,4252,2462,5705,4785,12674,330,682,25075,73333
SED10076,10812,21626,113,637,632,2930,237,1100,3659,14265,4636,18936,237,998,435,1418,1411,4438,2088,6854,6723,25787,47,227,229,833,154,550,1336,3676,1765,5279,84,261,254,544,1415,3065,1753,3868,3522,9144,261,565,21321,57126
SED10077,9780,20047,101,558,998,4592,131,611,6083,22782,7310,28545,688,3019,1253,4419,2280,7634,4218,15068,11531,43619,27,123,205,702,47,169,889,2301,1167,3294,159,529,579,1348,1557,3516,2300,5396,3464,8690,875,1931,25649,74278
SED10078,8738,17623,66,367,725,3216,84,364,4754,17470,5622,21414,372,1618,831,2876,1446,4747,2645,9241,8267,30655,16,87,167,526,56,206,957,2211,1197,3038,126,425,430,964,1381,3046,1940,4447,3138,7478,487,1026,20630,56783
SED10079,9217,18496,158,859,683,3116,300,1334,3876,15127,5015,20431,424,1791,551,1866,1770,5671,2740,9328,7754,29764,61,290,220,763,177,617,1508,4076,1969,5742,141,443,310,671,1518,3313,1968,4428,3939,10172,274,569,21186,58998
SED10080,13106,26198,8,34,235,1004,20,92,3064,10738,3326,11867,109,436,443,1432,510,1584,1063,3453,4388,15320,4,23,103,318,26,72,706,1572,838,1990,57,178,371,785,640,1358,1073,2323,1913,4316,575,1224,19986,47057
SED10081,8807,17568,150,817,786,3666,283,1314,4625,18399,5845,24188,290,1206,538,1712,1442,4496,2277,7412,8116,31605,48,239,256,934,144,560,1851,5276,2300,7014,98,292,255,564,1240,2661,1589,3519,3889,10533,370,771,21187,60479
SED10082,9018,18072,180,975,1030,4724,222,1015,4819,19083,6247,25798,577,2418,914,3126,1826,5839,3317,11383,9566,37178,51,230,257,833,71,254,1028,2678,1405,3996,146,456,313,713,1171,2558,1638,3728,3046,7727,159,339,21792,63319
SED10083,7885,15905,150,840,811,3743,260,1192,4481,17647,5704,23423,425,1835,591,2009,1781,5777,2800,9614,8508,33036,57,284,276,901,150,562,1483,3987,1966,5734,155,502,352,780,1672,3655,2174,4939,4145,10669,270,563,20805,60176
SED10084,9904,19792,113,603,723,3287,250,1096,4403,17230,5489,22215,350,1460,596,2016,1572,5032,2518,8506,8005,30721,51,229,253,870,133,481,1287,3406,1723,4984,131,402,332,730,1581,3399,2043,4526,3765,9512,296,621,21970,60641
SED10085,9051,18039,174,952,854,3957,328,1549,4620,18444,5981,24912,377,1542,542,1753,1726,5432,2649,8724,8628,33633,42,216,212,773,153,564,1374,3784,1782,5334,88,271,196,429,1136,2440,1424,3137,3205,8480,238,515,21121,60660
SED10086,9118,18131,66,381,972,4426,64,286,4903,18489,6015,23575,381,1622,1092,3832,932,2942,2404,8400,8420,31977,9,46,198,608,16,58,896,2056,1121,2771,99,300,396,880,739,1570,1239,2748,2360,5519,302,611,20205,56237
SED10087,8442,16782,216,1274,879,4144,327,1538,4990,19933,6413,26898,357,1476,596,1948,1456,4555,2407,7980,8823,34869,45,191,243,893,155,585,1608,4416,2056,6090,126,397,253,533,1185,2548,1569,3487,3620,9572,296,622,21184,61848
SED10088,7681,15540,137,745,1214,5455,189,876,6340,24630,7880,31700,769,3322,1281,4564,1949,6452,4001,14336,11877,46039,31,142,181,564,66,238,896,2200,1174,3139,165,526,374,865,1206,2647,1744,4039,2916,7178,279,590,22758,69344
SED10089,8304,16674,150,858,899,4210,238,1090,5268,20223,6557,26388,443,1848,742,2562,1721,5474,2902,9890,9463,36277,48,218,269,961,172,648,1607,4131,2097,5959,127,407,386,861,1572,3435,2087,4699,4187,10654,421,886,22374,64494
SED10090,8765,17566,50,270,1176,5191,76,321,6998,26261,8296,32049,434,1799,1480,5173,1386,4439,3302,11418,11594,43469,13,40,198,622,23,73,1048,2423,1284,3162,113,372,582,1351,978,2103,1672,3825,2955,6986,398,840,23714,68860
SED10091,9313,18722,248,1399,992,4729,437,2061,5498,22072,7179,30268,549,2391,683,2349,2193,7248,3426,11988,10608,42255,55,289,197,700,127,447,1076,2959,1451,4394,116,361,236,527,1216,2744,1573,3636,3030,8035,206,432,23153,69441
SED10092,9132,18374,135,784,729,3434,220,1024,4164,16159,5246,21401,468,2011,587,2058,1922,6314,2983,10384,8221,31789,55,272,227,802,143,524,1369,3652,1792,5240,149,465,358,798,1707,3750,2217,5009,4014,10254,421,889,21789,61305
SED10093,7956,16052,196,1112,851,4014,394,1879,4595,18153,6043,25161,431,1844,601,2011,1863,6074,2899,9934,8940,35089,74,357,308,1130,243,908,1936,5447,2568,7842,206,663,343,780,1842,4120,2397,5565,4964,13405,337,696,22195,65248
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
