SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED10035,..,14871,14871,16056,3900,19954,6459,1236,7698,4425,392,4816,1308,111,1424,615,61,676,28867,20568,49437
SED10036,..,4103,4103,6370,334,6699,4911,49,4963,5954,19,5971,2999,13,3017,2038,4,2038,22273,4522,26789
SED10037,..,5406,5406,8292,447,8732,5373,101,5472,6074,40,6114,2203,18,2220,1012,5,1017,22953,6006,28964
SED10038,..,7358,7358,8984,574,9555,4527,234,4760,5252,160,5416,2085,46,2127,718,44,759,21571,8405,29973
SED10039,..,6574,6574,10563,500,11066,4122,78,4205,4265,34,4298,1879,5,1885,868,5,871,21701,7195,28896
SED10040,..,6794,6794,8400,947,9352,6175,395,6566,5450,219,5664,2268,88,2360,1364,47,1414,23658,8495,32154
SED10041,..,5780,5780,8783,384,9164,5685,65,5754,6342,35,6375,2248,13,2255,777,7,778,23836,6276,30112
SED10042,..,7583,7583,10528,618,11141,4510,89,4601,4151,28,4182,1729,14,1741,871,0,875,21794,8334,30129
SED10043,..,6131,6131,6003,686,6692,4644,279,4924,4672,161,4831,3062,72,3134,2843,62,2904,21236,7380,28616
SED10044,..,9189,9189,10266,897,11163,5379,156,5540,5504,35,5538,2022,19,2038,628,10,636,23806,10295,34104
SED10045,..,9150,9150,9934,1006,10942,3833,162,3993,3254,38,3290,1499,13,1509,860,7,871,19377,10378,29756
SED10046,..,6335,6335,6445,584,7027,5179,86,5263,5516,29,5541,3052,8,3059,2573,5,2576,22764,7043,29809
SED10047,..,7458,7458,9310,852,10167,7148,120,7273,7185,33,7218,3349,16,3361,2490,7,2496,29478,8497,37977
SED10048,..,5764,5764,8357,560,8917,6847,84,6932,7489,29,7522,3344,14,3361,2309,4,2319,28355,6452,34808
SED10049,..,7256,7256,10215,652,10870,5476,107,5578,5444,30,5470,2369,16,2379,1084,6,1088,24585,8069,32648
SED10050,..,7408,7408,9633,1086,10718,4628,341,4967,5463,71,5539,1976,26,2010,574,13,586,22277,8946,31225
SED10051,..,8561,8561,9081,1054,10132,5236,276,5509,5488,76,5567,1859,33,1896,708,13,726,22372,10027,32397
SED10052,..,6645,6645,8812,508,9319,4729,79,4806,5277,19,5297,2117,17,2135,774,6,777,21712,7270,28982
SED10053,..,8208,8208,9737,631,10364,4723,124,4852,4797,70,4868,1970,11,1981,847,24,867,22076,9064,31143
SED10054,..,4307,4307,6123,487,6610,5158,80,5236,5631,33,5664,3072,11,3089,2458,6,2463,22451,4928,27373
SED10055,..,3145,3145,6623,293,6921,4951,33,4982,6072,13,6091,3166,4,3170,1905,3,1906,22719,3495,26213
SED10056,..,8656,8656,10651,559,11214,4027,118,4139,3846,31,3875,2037,16,2047,1011,19,1032,21566,9401,30972
SED10057,..,9705,9705,11758,791,12546,3511,73,3584,2928,17,2947,1329,18,1345,742,8,758,20269,10609,30876
SED10058,..,11094,11094,10366,1574,11941,4084,679,4760,3627,210,3835,1281,51,1330,383,21,407,19748,13622,33375
SED10059,..,13477,13477,10251,2408,12656,3329,1311,4640,2528,621,3152,648,154,804,169,40,215,16929,18010,34938
SED10060,..,13185,13185,12248,1176,13424,4213,317,4535,3312,41,3355,972,11,985,257,9,264,21003,14744,35742
SED10061,..,8985,8985,9949,738,10679,3596,128,3724,3208,62,3265,1583,10,1595,857,7,863,19190,9927,29118
SED10062,..,5817,5817,7513,431,7943,4787,116,4906,5189,56,5243,2197,16,2212,1086,10,1096,20771,6445,27217
SED10063,..,8652,8652,9714,612,10330,4002,126,4117,3818,41,3855,2105,16,2117,980,4,988,20610,9455,30070
SED10064,..,8718,8718,10654,860,11515,3804,76,3877,3083,16,3108,1524,0,1529,947,5,949,20010,9683,29694
SED10065,..,9773,9773,10456,1562,12019,7799,523,8326,6475,219,6695,2291,71,2366,1185,36,1216,28207,12180,40386
SED10066,..,8745,8745,9125,784,9911,5014,103,5116,4617,26,4645,1988,18,2003,1012,9,1019,21758,9676,31438
SED10067,..,6167,6167,8687,387,9072,3982,82,4066,4790,27,4819,2064,21,2087,774,4,779,20297,6679,26976
SED10068,..,9695,9695,12715,775,13485,3907,137,4040,3504,39,3543,1493,15,1507,711,8,718,22324,10664,32990
SED10069,..,7697,7697,11310,614,11925,3820,66,3893,3501,22,3521,1633,6,1642,883,0,882,21148,8414,29562
SED10070,..,4726,4726,6664,371,7033,5295,97,5391,5846,57,5900,2682,43,2721,1776,30,1808,22260,5319,27582
SED10071,..,3939,3939,7676,483,8159,8004,161,8161,10329,61,10390,3654,26,3687,1971,12,1982,31637,4682,36320
SED10072,..,9083,9083,10338,1482,11823,5606,439,6048,4759,180,4944,1958,50,2009,1109,40,1143,23771,11285,35055
SED10073,..,10031,10031,11185,1304,12481,6411,330,6744,5627,146,5773,1920,48,1966,950,48,998,26091,11896,37988
SED10074,..,6165,6165,8066,637,8701,5458,207,5663,5798,91,5892,2188,47,2239,1114,27,1135,22622,7163,29787
SED10075,..,7310,7310,10600,576,11176,5206,85,5295,5273,40,5310,2227,0,2228,1043,0,1043,24351,8013,32360
SED10076,..,8881,8881,11776,717,12499,3759,87,3846,3229,31,3261,1410,10,1419,685,4,686,20857,9738,30594
SED10077,..,8053,8053,9447,1775,11224,6353,832,7188,5513,477,5993,2163,210,2369,1201,114,1313,24689,11460,36143
SED10078,..,10168,10168,9673,1555,11228,4717,505,5224,3977,228,4200,1189,59,1250,574,46,616,20125,12559,32688
SED10079,..,7952,7952,10209,620,10824,4018,48,4067,4007,13,4019,1665,0,1669,689,0,690,20587,8639,29225
SED10080,..,19275,19275,13213,2547,15763,3457,1016,4470,2221,545,2762,625,196,820,267,92,362,19788,23667,43451
SED10081,..,8635,8635,9908,709,10616,4170,112,4282,3858,43,3905,1851,24,1875,919,11,931,20715,9539,30249
SED10082,..,6806,6806,9517,469,9983,4073,102,4174,4695,42,4741,1992,7,2005,854,5,858,21134,7429,28567
SED10083,..,7681,7681,8973,652,9632,4338,93,4433,4248,31,4281,1767,9,1770,867,10,871,20194,8470,28659
SED10084,..,9103,9103,10836,928,11759,4084,159,4241,4025,33,4059,1673,14,1683,760,8,766,21378,10237,31615
SED10085,..,7631,7631,9745,594,10336,3966,75,4041,3935,17,3944,2007,7,2006,931,5,939,20583,8326,28908
SED10086,..,9561,9561,9967,1898,11865,4078,554,4634,3915,122,4030,1561,32,1594,454,8,460,19972,12176,32150
SED10087,..,8484,8484,9626,751,10379,4218,198,4412,3964,70,4031,1988,24,2023,1012,11,1020,20816,9542,30350
SED10088,..,6420,6420,7952,622,8580,4704,133,4841,6018,66,6089,2278,21,2298,970,12,984,21927,7285,29211
SED10089,..,8475,8475,9552,1041,10588,4996,499,5487,4668,186,4852,1842,92,1935,824,46,871,21881,10331,32217
SED10090,..,8401,8401,9726,890,10612,5363,257,5615,5776,100,5877,1789,24,1813,575,18,586,23220,9683,32909
SED10091,..,6027,6027,9399,411,9814,4194,55,4251,4775,17,4793,2446,12,2457,1370,0,1369,22179,6529,28707
SED10092,..,10679,10679,10385,1404,11796,4480,565,5049,3958,171,4130,1573,60,1637,848,26,871,21252,12904,34152
SED10093,..,7425,7425,9009,761,9775,4658,109,4772,4499,35,4536,2104,12,2122,1142,5,1142,21412,8355,29764
SED19494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
