SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10080,303,870,1174,67,168,231,60,340,404,63,677,737,143,1042,1182,166,1023,1187,343,993,1342,405,1370,1779,606,1773,2385,787,1664,2447,664,1622,2283,762,1610,2367,1946,3729,5677,1578,422,1996,1610,1390,3000,1222,290,1513,7989,3654,11642,919,685,1611,157,347,500,19788,23667,43451
SED10081,225,267,493,97,115,210,98,353,454,122,683,799,428,1760,2191,440,1045,1487,1521,704,2225,1260,900,2155,1550,868,2417,1759,577,2336,1205,429,1637,1369,349,1723,2800,503,3302,1935,79,2010,1481,108,1595,829,22,855,1906,181,2086,1344,114,1461,337,471,807,20715,9539,30249
SED10082,204,270,479,74,98,174,64,190,255,73,408,479,266,1320,1579,281,1109,1389,1169,608,1779,1011,640,1649,1279,579,1860,1488,418,1907,977,306,1286,1126,284,1408,2332,397,2725,1973,55,2031,1842,127,1970,1287,24,1310,4258,222,4485,1202,70,1273,217,299,512,21134,7429,28567
SED10083,193,285,478,74,103,179,81,287,366,99,633,736,308,1753,2058,387,1049,1440,1294,634,1930,1168,742,1909,1414,704,2113,1612,492,2103,1198,364,1565,1257,291,1554,2715,409,3126,2142,49,2191,1660,87,1749,1025,15,1037,2225,125,2348,1140,78,1213,193,369,560,20194,8470,28659
SED10084,211,343,556,109,130,242,92,323,416,101,673,772,392,1967,2356,416,1624,2044,1749,823,2570,1485,919,2401,1727,835,2561,1981,513,2500,1269,403,1673,1277,278,1555,2621,400,3025,1882,64,1940,1465,97,1561,842,24,866,1994,147,2148,1429,169,1592,335,509,842,21378,10237,31615
SED10085,251,291,544,105,91,195,120,281,404,116,599,715,420,1531,1952,459,873,1329,1388,518,1909,1090,676,1761,1323,771,2102,1571,473,2048,1078,399,1487,1167,321,1491,2494,606,3096,1855,48,1899,1622,154,1776,1044,17,1057,2533,213,2741,1634,84,1724,298,382,684,20583,8326,28908
SED10086,227,403,630,45,102,156,58,207,265,47,297,348,135,599,730,131,545,677,328,465,791,320,644,969,523,739,1252,603,777,1381,532,777,1307,666,799,1461,1582,1736,3314,1259,256,1508,1433,761,2194,1136,227,1365,9474,2159,11630,1222,425,1644,253,269,519,19972,12176,32150
SED10087,154,229,384,78,102,184,95,301,393,108,596,699,391,1561,1948,443,936,1380,1168,718,1886,1064,935,1994,1392,928,2323,1687,677,2361,1184,553,1735,1430,426,1854,2856,613,3468,2123,113,2239,1675,121,1795,998,31,1029,2154,178,2328,1514,134,1643,305,391,695,20816,9542,30350
SED10088,153,255,410,65,110,176,65,188,254,60,396,456,191,948,1135,202,658,862,636,479,1111,583,590,1176,817,618,1436,1085,502,1581,890,480,1374,1010,384,1396,2365,672,3035,2007,105,2108,1881,201,2085,1485,49,1532,7177,318,7493,1086,96,1186,174,230,409,21927,7285,29211
SED10089,188,317,512,64,121,188,68,306,375,92,662,751,289,1869,2156,396,1028,1422,1315,640,1958,1239,888,2129,1366,886,2250,1571,687,2260,1286,557,1848,1283,468,1752,3014,683,3704,2338,193,2525,1910,167,2085,1272,63,1332,2710,193,2898,1274,302,1573,193,310,500,21881,10331,32217
SED10090,353,376,730,108,126,236,106,214,318,87,357,438,227,709,936,242,582,828,501,505,1003,533,628,1162,737,796,1536,958,693,1656,765,687,1453,896,626,1522,2112,1392,3500,1595,141,1732,1695,448,2145,1271,97,1365,9773,971,10747,1107,181,1286,162,146,313,23220,9683,32909
SED10091,221,249,467,92,99,186,66,183,251,86,375,458,303,1119,1425,262,663,934,1072,476,1551,956,594,1548,1229,640,1870,1539,431,1973,1079,351,1435,1272,282,1553,2805,422,3229,2324,40,2360,2082,99,2179,1277,13,1291,3882,183,4063,1364,56,1420,265,246,513,22179,6529,28707
SED10092,259,405,666,79,171,251,108,490,595,156,962,1117,435,2176,2611,495,1261,1759,1468,814,2286,1322,934,2263,1450,1040,2490,1679,828,2506,1195,662,1850,1278,574,1851,2623,967,3590,2061,201,2259,1655,224,1878,1070,84,1160,2633,324,2955,1027,395,1420,254,389,643,21252,12904,34152
SED10093,217,308,524,72,96,164,68,245,309,109,625,730,383,1772,2158,484,987,1471,1518,606,2126,1323,766,2085,1512,730,2244,1745,481,2232,1308,390,1701,1411,278,1684,2931,302,3231,2193,59,2250,1591,83,1673,954,30,983,1991,98,2091,1299,94,1391,300,406,703,21412,8355,29764
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
