SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10036,19810,12533,11819,12631,11889,9975,6520,3586,1534,90295
SED10037,16075,10096,8260,12238,12600,10406,7798,4590,1550,83609
SED10038,15339,11013,9016,10559,10897,10015,8052,5069,2319,82275
SED10039,14105,8488,9129,8985,9367,10858,10277,5637,2215,79058
SED10040,14259,12240,17323,13214,10781,10631,8062,4711,2501,93723
SED10041,16538,10547,7950,12857,12520,9960,7733,5487,3235,86822
SED10042,13583,8906,8862,8836,9671,10646,10201,6432,2573,79707
SED10043,20991,12708,15163,13334,10611,10080,7180,4146,1786,96008
SED10044,15857,9443,13224,14576,12049,9649,7498,4538,2363,89194
SED10045,12812,7891,7229,8519,10129,12301,10767,5047,2052,76751
SED10046,20555,14061,14265,13606,12180,11325,6741,3236,1012,96982
SED10047,29505,14782,19451,19785,13372,10644,7992,3960,1060,120554
SED10048,25901,13664,16732,18530,13009,11749,8227,3493,1104,112411
SED10049,19266,11041,12943,12042,10990,9936,8181,4334,1494,90226
SED10050,15450,8757,12140,12692,12759,9690,6353,3803,1558,83208
SED10051,14820,9919,13012,13151,11980,9937,7659,4978,2118,87573
SED10052,14574,8915,9352,10881,10857,9612,7904,5344,2612,80039
SED10053,15908,9193,12156,11480,12213,11212,7731,3825,1253,84972
SED10054,21629,13288,13321,13392,11739,10265,6789,2881,1162,94476
SED10055,19111,12278,11451,12416,11784,10663,6727,2498,711,87629
SED10056,15885,9333,10279,9432,10555,11797,10242,6005,2392,85919
SED10057,11526,6606,6233,6816,8601,11726,13079,7924,3075,75579
SED10058,11617,10070,13432,10377,9899,9934,8185,4280,1877,79670
SED10059,7331,11790,22274,13360,10020,7405,4704,2487,954,80313
SED10060,10286,6982,14653,12771,10411,9161,7710,5110,1805,78893
SED10061,14568,10002,9207,8466,9502,10782,9251,5787,1980,79541
SED10062,13501,9727,9694,10482,10594,10233,7822,4680,2377,79109
SED10063,16955,9257,9663,9573,9684,9896,8607,5219,2104,80956
SED10064,13057,7393,7186,7480,9261,12309,12129,6452,2346,77605
SED10065,20427,12462,22740,20294,12332,10927,7498,3767,1622,112070
SED10066,16256,10837,12689,11803,10361,9114,7696,4237,1577,84578
SED10067,13068,8403,6134,8443,10881,10608,8967,5986,2778,75271
SED10068,12182,7980,6740,7875,9623,11604,13034,8476,3233,80749
SED10069,12506,7898,6855,7634,9372,11307,11681,7066,2101,76424
SED10070,17753,10637,11674,13453,10721,9779,8241,4582,1766,88607
SED10071,30016,15068,17759,24854,15319,9724,6375,2525,683,122335
SED10072,13821,10896,19118,14220,11329,9756,7528,5020,2277,93963
SED10073,15811,11366,19104,16731,11295,10745,8239,4428,2301,100021
SED10074,16894,9789,12696,14060,10629,8819,7334,4489,1726,86432
SED10075,16731,10932,10609,11021,11184,11043,9284,5708,1997,88503
SED10076,12223,6934,7527,7728,8617,11427,12452,7199,2556,76660
SED10077,13947,15775,23188,14091,11129,10305,7186,4317,2294,102224
SED10078,10872,8747,16444,12827,10790,8901,6338,4016,2108,81026
SED10079,12509,7902,7356,7951,9331,10389,10113,6415,2152,74124
SED10080,6448,9516,28413,17913,10828,8864,6655,3485,1280,93401
SED10081,16424,9237,10170,9300,9424,9954,8798,5515,2042,80856
SED10082,13968,8529,6642,8982,10304,10376,9873,6322,2615,77613
SED10083,14032,8471,8743,9361,9496,9693,8704,5096,2415,76009
SED10084,13294,7619,7579,9326,9957,11359,11358,7348,3311,81148
SED10085,15264,8908,9265,9296,10336,10852,8698,4595,1626,78827
SED10086,12361,7956,15753,12021,10363,8161,6947,4489,1988,80036
SED10087,16580,11312,11077,9828,9349,9588,7970,4631,1993,82326
SED10088,15714,10087,9404,11721,12734,9782,6851,4831,2209,83325
SED10089,15230,13375,13034,11083,10070,9126,7783,4917,2487,87111
SED10090,15950,9001,11425,14453,12489,9450,7721,4213,2152,86851
SED10091,16509,9599,9237,9813,10963,10087,9289,5659,2002,83158
SED10092,12844,12035,13591,9960,9956,10470,8399,5544,2497,85299
SED10093,16103,10202,10098,9874,10377,9756,8440,5445,2249,82534
SED19494,1260,1357,2187,1859,1678,1648,1055,277,49,11371
SED19797,0,0,0,0,0,0,0,0,0,0
