SED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10038,73,167,253,268,268,233,46,10,0,1300,51,124,259,285,240,167,41,9,0,1180,2428,3777,7035,8644,8727,5962,1377,145,11,38097
SED10039,86,141,298,235,281,211,62,7,0,1330,87,106,274,227,266,195,58,18,5,1241,2450,3019,7085,7122,7238,6444,1745,229,16,35364
SED10040,30,129,256,279,246,226,49,8,0,1233,39,266,687,522,376,302,73,9,5,2281,1165,4981,12454,9490,7450,5735,1378,107,6,42772
SED10041,40,98,184,205,219,153,70,11,0,979,44,111,304,460,441,246,85,25,7,1716,1772,3350,6444,10465,10065,6641,2240,438,44,41465
SED10042,113,164,316,290,346,208,70,10,0,1515,66,129,299,268,255,216,54,10,3,1311,2241,3207,6873,6930,7489,6169,1541,176,8,34626
SED10043,45,119,242,255,259,187,55,3,0,1168,49,202,603,473,384,278,76,5,0,2069,1169,3268,7981,6858,5371,3973,905,82,3,29610
SED10044,45,116,318,304,291,230,71,11,0,1381,43,118,467,528,364,243,86,30,6,1882,1555,3468,11184,12073,9851,6506,2261,371,30,47291
SED10045,77,95,266,240,283,231,72,10,0,1275,117,111,218,270,292,293,96,47,9,1443,2114,2269,5044,6052,7118,6983,2379,378,55,32402
SED10046,34,99,264,247,239,166,25,0,0,1075,82,247,486,500,442,345,58,3,5,2173,1654,3881,7964,7378,6651,4801,887,45,5,33267
SED10047,81,162,451,411,280,182,47,5,0,1624,139,295,709,715,554,336,77,11,4,2834,2418,4678,13311,14243,8899,5662,1313,96,6,50628
SED10048,44,129,303,309,240,249,67,0,0,1347,108,278,668,753,462,328,66,12,0,2682,1876,4226,11524,13157,8899,6637,1430,94,9,47850
SED10049,134,236,520,381,306,214,53,3,0,1845,89,202,425,367,289,206,53,16,0,1649,2975,4157,10327,9699,8616,6049,1314,133,19,43280
SED10050,60,99,338,241,233,201,42,5,0,1219,67,141,612,553,476,256,72,17,0,2200,1869,3131,10356,10684,10548,6702,1924,287,32,45524
SED10051,39,110,346,350,296,217,70,8,0,1433,36,165,505,473,388,210,85,22,4,1887,1501,3496,9712,10233,9132,6100,1728,203,10,42121
SED10052,73,119,308,312,296,236,64,18,0,1428,46,122,357,384,317,229,87,22,11,1571,1918,3274,7747,9020,8772,6270,1867,264,24,39157
SED10053,96,175,355,294,295,220,83,17,0,1536,95,157,391,343,327,239,76,24,8,1661,2508,3720,9966,9678,10122,7406,2073,343,33,45857
SED10054,50,118,259,247,225,181,42,4,0,1126,107,257,621,536,466,318,75,12,0,2391,1862,3931,8394,8907,7661,5628,1125,59,0,37574
SED10055,85,166,343,332,347,271,60,8,0,1622,105,181,453,479,451,326,95,13,4,2103,2698,4247,8709,9512,9030,6857,1515,132,9,42703
SED10056,112,140,285,266,255,214,86,9,0,1365,149,196,412,331,316,319,137,50,14,1913,2545,3010,7639,7274,8008,7739,2741,515,56,39535
SED10057,49,78,182,218,247,197,72,4,0,1035,79,87,165,207,240,216,94,32,14,1132,1893,1877,4297,4805,5978,5968,1852,278,30,26980
SED10058,65,156,324,237,221,182,54,8,0,1250,37,152,353,269,257,181,55,17,3,1334,1953,5015,11178,8464,7611,5838,1487,189,13,41746
SED10059,33,156,475,298,238,131,47,3,0,1379,48,236,789,461,256,147,29,7,3,1980,1081,5387,17671,10778,7477,4332,1080,125,7,47940
SED10060,24,88,253,214,184,139,51,18,0,965,12,123,546,487,324,230,102,37,7,1871,869,2990,12692,10704,8228,6031,2634,655,49,44858
SED10061,89,120,280,203,230,194,73,15,0,1210,93,107,232,220,214,227,94,64,12,1260,2101,2804,6189,5950,6584,6347,2382,576,79,33007
SED10062,51,103,225,268,286,256,55,15,0,1254,29,143,342,364,352,244,89,8,4,1580,1474,3452,7415,8119,8064,6267,1666,213,15,36677
SED10063,118,164,351,283,273,226,74,9,0,1508,115,123,278,223,239,192,95,23,13,1302,2436,3093,7618,7590,7569,6391,2164,410,62,37327
SED10064,66,87,220,205,221,196,72,10,0,1080,78,87,189,218,278,264,83,41,9,1249,1837,1938,4580,5040,6297,6475,2041,357,41,28600
SED10065,36,127,362,352,306,246,48,3,0,1488,51,237,911,764,392,319,58,15,0,2746,1286,4787,16361,14737,8425,5805,1448,150,7,53013
SED10066,87,167,387,291,242,184,63,5,0,1423,69,200,441,397,356,234,69,15,4,1784,2112,4201,9428,9006,7706,5648,1427,151,12,39674
SED10067,94,116,231,261,301,250,104,23,0,1372,76,101,250,382,409,350,122,48,10,1751,2106,2917,5062,7050,9051,7427,2692,483,32,36819
SED10068,65,125,212,258,275,252,68,3,0,1256,72,97,165,169,224,195,65,33,12,1033,2449,2540,5147,6251,7468,6559,1812,241,26,32484
SED10069,81,121,261,239,281,264,72,4,3,1338,80,113,233,225,314,224,76,27,13,1301,2213,2566,5063,5838,7049,6305,1627,230,23,30912
SED10070,44,87,239,240,239,187,53,4,0,1094,60,205,503,538,396,255,71,11,0,2031,1441,3187,7638,9053,6832,5031,1330,83,12,34610
SED10071,73,182,399,485,371,209,49,6,0,1764,87,235,722,975,537,290,65,10,0,2927,2580,5132,13452,20175,12252,6127,1295,90,4,61102
SED10072,37,99,401,309,283,221,56,16,0,1416,53,231,776,530,371,248,80,15,0,2308,1220,4121,13726,10453,8071,5571,1510,175,13,44863
SED10073,28,122,331,335,292,234,60,13,0,1421,28,184,788,650,353,297,91,6,0,2392,1383,4406,14600,12930,8413,6254,1761,178,13,49942
SED10074,44,87,248,271,257,215,49,9,0,1186,43,174,532,556,326,197,61,17,4,1906,1591,3381,9187,10862,7969,5339,1461,129,14,39924
SED10075,96,178,358,319,314,200,49,0,0,1528,80,151,335,287,290,237,63,21,3,1485,2646,3752,8215,8732,8509,6111,1225,108,6,39301
SED10076,53,86,254,231,203,197,57,9,0,1083,69,83,202,206,228,194,70,13,8,1081,1832,2181,5562,5735,6183,5745,1542,192,14,28984
SED10077,17,131,358,262,237,211,57,14,0,1286,37,401,1055,586,378,278,65,13,0,2814,1216,6843,16430,10252,7785,5952,1650,235,29,50390
SED10078,28,99,375,312,284,192,46,4,0,1338,26,159,600,438,298,175,72,19,0,1771,1056,3654,13175,10381,8312,5495,1362,126,15,43566
SED10079,75,134,267,265,284,199,65,8,0,1298,66,121,213,239,265,185,65,17,4,1174,2107,2828,5617,6224,7135,5836,1246,138,12,31136
SED10080,14,94,426,335,211,157,52,9,0,1298,25,243,1137,648,299,215,78,24,0,2666,577,4622,20926,13620,7891,5416,2199,402,36,55695
SED10081,117,152,340,297,255,235,85,13,3,1493,119,128,287,234,250,197,83,44,11,1350,2548,2927,7699,7253,7183,6308,2228,376,34,36558
SED10082,65,109,200,265,292,243,76,4,0,1257,69,100,218,287,334,195,78,19,4,1311,2549,2845,5257,7383,8460,6623,1878,239,21,35250
SED10083,59,139,284,298,294,221,56,4,0,1355,59,120,258,280,277,236,67,20,9,1318,2155,2892,6650,7352,7168,5833,1477,153,17,33688
SED10084,69,116,250,304,269,205,74,13,0,1297,106,114,316,349,301,239,108,31,9,1576,2329,2583,5749,7221,7540,6678,1933,215,32,34278
SED10085,115,176,375,242,277,205,59,9,0,1457,112,158,254,243,297,227,95,43,6,1435,2460,2981,6960,7138,7797,6435,2040,428,52,36276
SED10086,33,75,351,233,189,141,66,17,0,1100,41,147,809,572,457,273,129,59,14,2506,969,2766,12856,9618,7912,5418,2720,720,86,43053
SED10087,102,208,376,310,275,242,87,13,3,1617,88,192,341,321,274,222,84,37,5,1569,2995,4207,8652,7857,7338,6347,1976,319,45,39727
SED10088,75,171,363,341,356,240,55,15,0,1622,76,162,378,522,493,299,61,18,4,2019,2309,3770,7808,9908,10651,6891,1830,262,19,43441
SED10089,75,207,418,341,285,198,41,10,0,1585,85,204,388,282,266,179,48,11,4,1476,2882,5276,10145,8906,7826,5494,1235,133,9,41902
SED10090,45,90,262,296,254,174,66,9,0,1189,36,118,434,499,389,263,80,27,6,1845,1305,3115,9379,11785,9856,6143,2227,344,34,44189
SED10091,133,164,347,347,383,240,61,9,6,1679,119,154,304,329,412,303,111,26,3,1764,2653,3388,7381,7951,8822,6652,2218,348,21,39430
SED10092,83,203,365,264,256,208,53,6,0,1440,57,203,404,287,281,216,45,9,10,1507,1870,5048,10128,7135,6852,5441,1199,115,14,37816
SED10093,86,145,356,273,305,198,51,6,0,1420,85,144,332,323,303,219,51,23,9,1496,2482,3375,7327,7342,7480,5466,1256,142,12,34873
SED19494,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
