SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED10020,8,12,0,0,0,17,25,32,72,1103,1004,152,2256,82,71,156,2411,1498,59,3967
SED10021,0,6,0,0,0,6,7,7,29,1006,507,118,1632,37,33,74,1710,781,23,2510
SED10022,0,6,0,5,5,15,37,30,82,741,723,75,1542,81,78,157,1699,1266,58,3026
SED10023,9,9,0,0,0,7,6,7,25,953,585,173,1714,27,35,66,1776,846,18,2642
SED10024,3,10,0,0,0,10,5,5,27,885,483,127,1494,41,38,79,1568,880,16,2469
SED10025,3,9,0,0,0,9,13,14,36,1055,489,117,1665,58,33,88,1752,1155,25,2927
SED10026,10,24,0,0,0,29,33,35,91,1178,806,162,2144,66,64,137,2278,1346,65,3694
SED10027,5,11,0,0,0,11,27,19,64,876,542,269,1685,57,46,98,1784,1972,43,3800
SED10028,0,3,0,0,0,3,9,13,38,859,485,122,1470,47,34,78,1549,1017,26,2592
SED10029,5,10,0,0,0,10,37,53,105,733,573,303,1603,85,105,186,1791,3479,99,5364
SED10030,3,13,0,0,0,13,25,15,57,1146,877,257,2278,68,60,128,2408,1720,45,4168
SED10031,9,21,0,0,0,21,17,11,52,997,751,131,1887,39,40,80,1965,1145,35,3138
SED10032,4,12,0,0,0,6,23,39,69,819,477,219,1520,80,73,153,1672,2440,65,4182
SED10033,3,7,0,0,0,7,14,20,45,1017,669,214,1894,51,44,98,1993,1157,40,3197
SED10034,3,9,0,0,0,9,6,12,27,1098,699,188,1976,26,40,65,2044,875,19,2931
SED10035,8,12,0,0,0,12,13,18,35,1069,558,155,1785,60,54,109,1897,1314,36,3249
SED10036,9,14,0,0,0,14,32,35,76,1007,558,257,1819,77,62,135,1958,1869,63,3883
SED10037,0,5,0,0,0,5,5,8,15,1031,635,164,1826,33,43,77,1903,1001,14,2917
SED10038,0,6,0,0,0,6,21,11,38,989,709,209,1911,60,42,100,2007,1385,34,3432
SED10039,5,18,0,0,0,18,10,18,50,894,809,189,1891,41,49,91,1978,1166,26,3169
SED10040,6,10,0,0,0,10,10,29,52,899,649,259,1805,75,71,148,1954,1886,46,3890
SED10041,0,0,0,0,0,0,7,10,22,998,559,105,1664,55,37,94,1760,1089,18,2868
SED10042,13,17,0,0,0,19,21,25,68,1057,955,184,2196,71,67,137,2334,1643,46,4020
SED10043,5,10,0,0,0,8,30,46,90,565,542,270,1370,73,80,157,1524,2640,82,4239
SED10044,3,10,0,0,0,10,7,10,26,1086,511,145,1739,45,51,100,1838,922,24,2789
SED10045,9,14,0,0,0,14,23,44,79,1007,1018,155,2177,66,101,167,2341,1699,66,4108
SED10046,5,13,0,0,0,10,41,54,107,983,681,330,1995,111,115,229,2226,3206,97,5532
SED10047,14,28,0,3,3,31,43,51,122,1598,996,435,3030,139,101,238,3269,3223,90,6584
SED10048,8,28,4,0,4,32,36,41,109,1250,811,364,2423,97,81,172,2600,2375,66,5034
SED10049,13,18,0,0,0,18,33,22,61,1398,1085,206,2688,89,91,183,2868,1654,44,4562
SED10050,0,3,0,0,0,3,4,15,25,1009,559,110,1683,43,29,71,1753,751,22,2521
SED10051,6,10,0,0,0,10,20,18,46,1142,665,204,2012,55,39,91,2101,1495,40,3639
SED10052,4,7,0,0,0,10,15,15,31,1026,647,190,1868,36,34,74,1946,1050,23,3023
SED10053,6,13,0,0,0,13,12,13,46,1324,552,128,2002,44,45,87,2094,913,32,3041
SED10054,9,15,0,0,0,18,38,53,113,1101,681,348,2140,110,77,191,2327,2465,92,4884
SED10055,3,6,0,0,0,6,11,24,43,1194,664,259,2121,60,27,85,2206,1334,38,3582
SED10056,0,9,0,0,0,9,37,44,89,942,728,120,1797,51,59,112,1905,1145,65,3118
SED10057,5,9,0,0,0,11,43,43,99,744,937,163,1853,77,73,150,2006,1752,70,3835
SED10058,3,4,0,0,0,4,13,9,26,1065,747,124,1934,48,39,89,2020,1131,30,3181
SED10059,0,4,0,0,0,4,4,5,17,696,293,63,1059,26,29,53,1108,704,14,1831
SED10060,0,8,0,0,0,8,8,9,24,1034,406,91,1531,51,29,83,1609,661,19,2292
SED10061,3,15,0,0,0,15,43,39,98,836,737,122,1693,104,78,176,1866,1535,66,3468
SED10062,0,8,0,0,0,8,13,12,36,874,544,223,1634,42,36,79,1718,1312,33,3059
SED10063,3,12,0,0,0,14,22,38,68,1152,771,127,2044,66,71,137,2185,1327,63,3568
SED10064,3,17,0,0,0,16,34,52,105,818,981,157,1961,97,76,174,2136,1885,94,4114
SED10065,0,4,0,0,0,4,19,30,64,1194,685,242,2121,81,62,146,2260,1807,55,4125
SED10066,16,17,0,0,0,20,17,40,76,1378,795,305,2482,81,73,156,2637,1815,66,4513
SED10067,0,7,0,0,0,7,13,19,34,905,652,144,1699,27,23,50,1747,719,26,2485
SED10068,3,7,0,0,0,7,23,22,53,956,899,115,1974,49,70,122,2093,1411,56,3558
SED10069,7,12,0,0,0,12,24,21,60,885,871,177,1933,73,61,133,2066,1440,53,3561
SED10070,0,9,0,0,0,11,22,39,70,803,486,217,1502,53,42,101,1602,2029,54,3686
SED10071,9,10,0,0,0,10,17,26,60,1494,669,284,2447,63,57,116,2567,1250,39,3865
SED10072,8,9,0,0,0,8,16,22,50,979,595,209,1779,69,52,125,1902,1665,43,3608
SED10073,4,8,0,0,0,8,11,14,32,1037,582,177,1789,56,61,112,1902,1451,31,3380
SED10074,0,10,0,0,0,9,21,17,47,1018,519,217,1755,49,37,91,1847,1482,37,3365
SED10075,9,17,0,0,0,18,32,22,75,1205,1079,302,2593,61,73,133,2724,2002,58,4785
SED10076,7,12,0,0,0,15,22,26,68,785,881,142,1813,68,65,131,1943,1529,49,3522
SED10077,0,10,0,0,0,10,9,21,40,851,579,219,1647,60,65,128,1779,1644,44,3464
SED10078,0,4,0,0,0,13,12,22,45,1000,542,152,1697,53,42,100,1797,1313,27,3138
SED10079,4,11,0,0,0,11,31,20,61,1039,943,214,2198,59,75,138,2334,1559,41,3939
SED10080,0,4,0,0,0,4,9,9,23,656,340,95,1096,39,38,70,1167,733,18,1913
SED10081,4,11,0,0,0,15,33,43,98,1097,873,150,2114,92,109,201,2313,1507,72,3889
SED10082,3,7,0,0,0,8,13,9,34,930,761,198,1893,35,37,72,1964,1056,18,3046
SED10083,3,10,0,0,0,10,19,20,54,1093,936,272,2304,58,54,107,2412,1687,45,4145
SED10084,8,17,0,0,0,21,32,30,79,924,1000,183,2103,50,62,110,2212,1495,57,3765
SED10085,11,23,0,0,0,25,35,23,89,909,706,146,1757,67,74,137,1900,1259,45,3205
SED10086,3,6,0,0,0,6,12,12,31,832,523,113,1469,40,23,66,1530,810,18,2360
SED10087,3,12,0,0,0,14,32,36,76,1122,831,123,2075,71,70,144,2216,1341,63,3620
SED10088,0,10,0,0,0,10,12,7,33,1090,631,179,1896,36,33,71,1962,939,13,2916
SED10089,6,10,0,0,0,13,19,25,54,1298,1016,147,2462,81,74,152,2616,1518,46,4187
SED10090,3,4,0,0,0,4,5,5,19,1096,499,125,1722,58,47,105,1824,1117,16,2955
SED10091,3,12,0,0,0,12,19,13,39,939,704,170,1815,41,36,77,1896,1106,28,3030
SED10092,0,8,0,0,0,6,27,28,66,953,742,208,1903,68,50,117,2022,1936,59,4014
SED10093,13,17,4,0,4,20,30,49,96,1235,1011,346,2587,104,76,185,2770,2119,75,4964
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
