SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED10011,34967,37305,72271,1831,1770,3604,4578,4386,8969,2245,1999,4243,1667,1439,3107,3285,3414,6700,4256,4653,8908,4834,5233,10062,4826,5516,10340,4651,5153,9808,2178,2704,4876,610,1034,1644,33902,36221,70122,1064,1082,2147,947,1020,1970,11,10,25,14,15,21,970,1046,2017,27725,29290,57008,6034,6713,12751,31614,33361,64968,2129,2614,4737,32188,34250,66435,602,604,1211,4365,4187,8548,1791,1639,3427,650,657,1302,1066,2064,3134,16570,18974,35541,1933,1810,3741,6657,6820,13482,1504,1530,3032,676,624,1309,68,74,146,33299,35495,68790,1593,1747,3339
SED10012,41549,42874,84426,2148,2057,4202,5506,4907,10412,3023,2884,5905,3155,3043,6201,5655,5445,11101,4616,5410,10023,5257,5943,11201,5815,5866,11673,3980,4292,8272,1730,1963,3696,671,1071,1741,40533,41846,82385,1015,1026,2042,273,316,591,5,10,17,7,14,28,295,336,631,17089,15603,32694,22233,25181,47412,9784,8699,18486,29054,31444,60493,33912,34681,68591,526,472,997,4967,4494,9461,2326,2433,4765,1347,1435,2787,1201,1770,2972,17651,18041,35692,2031,1711,3740,5150,4814,9965,1817,1975,3793,2669,3597,6271,2228,3356,5589,39279,40527,79812,1984,2060,4051
SED10013,64679,66578,131265,6232,5806,12042,10548,10083,20630,4201,4098,8301,3841,3919,7765,9979,11198,21176,10141,10344,20491,7868,7907,15774,5524,6016,11547,3902,4280,8184,1868,2054,3922,573,870,1443,63405,65434,128843,1278,1142,2419,1960,2057,4011,24,32,60,23,29,49,2003,2121,4122,47468,48795,96259,15153,15702,30856,47309,48151,95460,14808,15915,30723,58113,59726,117845,1783,1674,3454,9984,9573,19564,3221,3303,6523,1212,1489,2704,1525,2806,4331,24692,29107,53794,3487,3141,6627,12806,11477,24286,2897,2816,5712,1579,1575,3149,381,469,854,62242,64159,126401,2135,2294,4430
SED10014,41085,42794,83881,2965,2956,5916,6107,5696,11804,2750,2645,5396,2931,2798,5727,5865,6359,12224,5751,5889,11637,4662,4925,9591,4422,4881,9305,3557,4097,7647,1729,1935,3668,341,621,962,40032,41712,81743,1057,1079,2139,1992,2289,4281,44,36,79,38,34,68,2069,2357,4435,26880,27663,54542,11648,12506,24155,27412,28156,55566,10886,11712,22592,34896,36183,71083,766,738,1505,5504,5173,10684,1871,1961,3826,821,938,1761,1060,1861,2919,15301,16868,32167,2447,2321,4763,8011,8127,16130,2341,2535,4876,1304,1432,2741,285,401,687,38512,40020,78537,2542,2737,5272
SED10015,47136,46931,94065,2686,2448,5132,5161,4704,9870,2508,2266,4773,3358,3044,6401,7808,7262,15074,6868,6789,13657,6318,6563,12879,5429,5599,11028,3614,4138,7751,2373,2774,5144,1009,1342,2355,46035,45799,91831,1102,1135,2230,321,362,681,9,13,23,8,18,33,343,392,735,22444,21708,44151,22068,22731,44802,17098,15999,33092,26971,27882,54853,35253,36210,71464,745,710,1464,4800,4380,9186,2095,1971,4065,1593,1537,3140,2185,2722,4910,24671,25155,49831,1755,1543,3301,5013,4720,9727,1606,1435,3035,2286,2790,5078,1034,1293,2328,44230,43995,88222,2582,2586,5173
SED10016,51175,52724,103905,3254,3134,6389,8540,7981,16518,3848,3696,7546,3298,3024,6324,5147,5693,10839,8156,8932,17090,7288,7669,14958,5252,5489,10741,3845,4233,8082,1979,2139,4120,567,731,1305,50346,51914,102259,832,815,1644,346,342,686,10,7,11,8,3,10,361,351,709,30058,30231,60289,20087,21403,41492,31150,31062,62212,18624,20339,38968,44089,44745,88837,1096,1097,2193,8242,7743,15990,3376,3323,6703,1622,1661,3286,1485,2328,3815,28180,29842,58024,1985,1862,3843,5745,6161,11908,1501,1531,3029,683,838,1526,141,229,366,49772,51473,101243,1127,1118,2244
SED10017,43812,43938,87750,3042,2900,5948,6157,5891,12046,2678,2566,5244,2648,2600,5248,6280,6260,12545,5709,5658,11366,5395,5370,10759,5009,5156,10164,4324,4398,8727,1998,2154,4151,560,999,1561,42153,42495,84654,1659,1445,3097,4025,3788,7812,79,74,154,117,93,215,4223,3958,8179,38309,38433,76744,3494,3570,7067,38645,40077,78727,1675,1909,3584,39180,40740,79921,935,908,1840,5783,5562,11347,1730,1754,3480,526,747,1274,875,1885,2757,10924,13536,24460,2885,2791,5680,12160,11533,23689,3420,3603,7017,1646,1561,3210,137,110,249,39929,41602,81530,3619,2208,5826
SED10018,36967,39025,75991,2268,2058,4325,5231,4913,10147,2372,2144,4512,2233,2078,4311,4439,4675,9115,4763,5159,9923,4844,5043,9887,4305,4673,8975,3483,3994,7483,2214,2883,5096,816,1402,2215,35451,37803,73250,1515,1222,2736,1641,1684,3322,32,30,62,32,21,47,1699,1737,3438,31661,33190,64849,4050,4531,8579,33428,35092,68523,2213,2570,4785,34329,36297,70633,836,702,1535,5027,4695,9726,1812,1671,3485,862,899,1763,1120,1707,2824,14832,16702,31525,2171,1861,4035,7965,8441,16406,2127,2503,4631,972,1096,2070,100,84,182,35046,37102,72153,1380,1589,2964
SED10019,38691,38996,77685,1892,1870,3764,4744,4463,9209,2183,1908,4092,1849,1731,3580,3751,3751,7499,3823,3913,7735,4558,4773,9332,5793,5944,11733,5887,5765,11651,3219,3352,6572,993,1529,2524,36783,37487,74268,1902,1510,3416,3057,2901,5955,56,66,121,97,82,173,3204,3045,6246,32651,32699,65353,2746,3143,5889,33891,34872,68764,877,1180,2049,34062,35184,69243,557,549,1103,4239,4017,8256,1320,1255,2580,270,387,655,582,1368,1948,9568,11639,21201,2460,2347,4799,10741,10921,21668,3267,3044,6309,2005,1554,3562,101,94,197,34182,35520,69700,4990,4036,9026
SED10020,38010,40746,78759,2038,2021,4060,5029,4877,9907,2267,2240,4505,1841,1760,3601,4267,4520,8788,4404,4865,9273,4687,5136,9821,4999,5581,10579,4923,5252,10183,2640,3089,5726,919,1402,2320,36266,39192,75458,1742,1555,3297,2087,2265,4354,54,41,95,57,54,111,2196,2363,4558,29991,31789,61784,5698,6560,12260,32240,34550,66787,3439,3792,7229,33344,35678,69016,636,640,1280,4672,4521,9194,1533,1595,3133,450,589,1031,1034,1853,2887,13010,15358,28367,2504,2498,5002,8953,9306,18255,2454,2596,5048,1489,1345,2833,232,290,525,35158,37840,72991,3200,3400,6607
SED10021,39337,43308,82648,2306,2182,4489,4316,4146,8465,1712,1700,3413,1943,2326,4268,8267,9816,18084,6551,6998,13545,5199,5612,10811,3897,4142,8041,2708,3162,5876,1675,2022,3698,762,1201,1959,37608,41363,78970,1732,1947,3680,272,272,547,7,6,11,9,21,31,291,306,590,22736,24171,46908,14634,17115,31749,30032,32102,62126,7091,8808,15896,30705,33594,64297,704,709,1408,4117,3964,8083,1494,1518,3014,1034,1201,2230,1894,2980,4878,25297,29060,54357,1338,1215,2555,2553,2821,5372,762,750,1510,459,543,998,108,137,243,35887,39638,75522,2951,3175,6128
SED10022,36314,36124,72435,2074,1917,3991,4657,4498,9157,2159,1991,4150,1765,1603,3367,3713,3553,7264,3744,3719,7467,4283,4378,8658,5173,5092,10269,4981,4943,9931,2878,3048,5925,887,1383,2266,34496,34539,69037,1818,1581,3400,2545,2347,4896,33,30,63,50,36,88,2632,2414,5044,30841,30864,61708,2446,2410,4855,31427,32279,63705,1373,1307,2681,31911,32679,64589,567,586,1152,4245,4043,8288,1340,1373,2717,259,397,656,456,1136,1592,8545,11084,19633,2127,2285,4415,10223,9386,19607,3094,2782,5883,1962,1487,3449,108,107,220,32083,32885,64963,4451,3130,7583
SED10023,38544,39843,78388,2320,2113,4433,5073,4621,9692,2538,2323,4865,2231,2291,4522,4434,4682,9116,4800,5160,9963,5415,5625,11042,4963,5181,10139,3862,4190,8055,2097,2377,4469,820,1278,2102,37328,38773,76104,1217,1066,2283,532,480,1006,16,7,26,17,9,20,567,495,1056,31409,31819,63232,5950,6887,12836,33865,34397,68263,3397,4126,7517,35619,36596,72215,781,757,1541,4870,4469,9343,2187,2029,4213,929,1017,1948,948,1484,2434,18910,20647,39550,2031,1637,3664,6969,7232,14200,1400,1647,3048,597,631,1234,90,79,172,36823,38250,75076,1157,1240,2406
SED10024,39384,41685,81071,1899,1743,3652,6639,6128,12769,3089,2850,5942,2371,2093,4465,2585,2781,5368,4669,5704,10375,6039,6640,12680,4798,4960,9756,3629,4118,7746,2658,3170,5827,997,1485,2489,38433,40706,79136,951,979,1928,120,109,227,3,4,8,0,0,0,119,112,236,23383,23574,46948,15211,17167,32375,27328,27477,54806,11157,13133,24297,34268,35460,69726,775,731,1503,6472,5983,12456,2845,2695,5541,1414,1330,2746,975,1693,2661,24226,25877,50107,1430,1485,2909,2740,3565,6305,1011,1106,2121,473,560,1034,89,170,268,38096,40214,78314,844,1112,1957
SED10025,39098,42735,81835,2385,2080,4469,4339,4327,8659,1908,1937,3840,2149,2135,4287,6135,6765,12901,6152,6418,12576,5115,5855,10965,4467,5207,9676,3570,4188,7756,2077,2497,4571,801,1344,2140,38175,41746,79919,924,994,1919,212,200,412,16,11,30,3,6,12,232,219,455,23123,24206,47326,14517,16935,31451,23442,24105,47544,14084,16838,30923,32291,34837,67129,757,669,1427,4138,4146,8282,1701,1771,3475,1089,1141,2233,1549,2296,3841,23390,25756,49154,1401,1287,2689,3799,4588,8387,999,1146,2144,997,1322,2315,282,427,705,37332,40706,78035,1827,2072,3894
SED10026,40985,41535,82525,2858,2773,5635,6019,5626,11644,2494,2222,4721,2179,2146,4323,5768,5872,11642,4923,5004,9931,4740,4926,9666,4940,5069,10007,4024,4122,8148,2310,2658,4966,719,1122,1842,38677,39919,78597,2307,1619,3932,5820,5698,11519,43,48,88,108,119,223,5966,5864,11831,33665,34338,68002,3605,3622,7229,34167,35489,69659,2475,2528,5005,34738,36118,70853,818,801,1625,5327,5054,10383,1511,1509,3018,379,509,886,818,1708,2528,11645,14923,26567,2264,2296,4560,9970,8998,18966,2567,2286,4853,1646,1389,3035,132,98,223,36127,37583,73711,4810,4125,8942
SED10027,40860,42156,83017,2730,2457,5190,5766,5514,11282,2882,2552,5435,2665,2514,5174,5008,5350,10359,5407,5841,11250,5145,5468,10610,4891,5073,9961,3513,3743,7258,1950,2314,4263,905,1326,2236,39991,41292,81279,871,868,1736,437,490,927,18,13,28,6,4,7,460,499,963,25215,25525,50744,13747,14742,28486,20929,20917,41845,17808,19070,36877,35363,36553,71916,824,742,1562,5365,5149,10517,2315,2198,4519,1107,1221,2325,1127,1625,2757,18344,20047,38390,1887,1559,3444,6600,6375,12979,1649,1742,3396,1401,1622,3024,539,717,1250,38781,39912,78694,1798,1936,3734
SED10028,42836,45608,88444,2001,1904,3904,6462,6180,12644,2876,2720,5607,2708,2511,5222,4616,4828,9443,6078,6845,12926,5687,6102,11792,5211,5668,10886,3975,4281,8255,2136,2752,4884,1067,1810,2882,42010,44759,86770,826,846,1667,149,99,243,4,7,11,3,7,14,158,110,272,20562,20917,41474,21343,23693,45039,19788,20085,39875,21761,24002,45767,34053,35630,69682,754,702,1465,6288,5967,12259,2690,2547,5236,1630,1557,3185,1612,2350,3962,27209,28606,55809,1380,1452,2832,2817,3764,6585,1046,1215,2262,459,640,1102,200,298,497,41355,43673,85026,1092,1650,2737
SED10029,46236,47166,93405,2745,2614,5363,6288,6091,12374,3389,3070,6456,3311,3171,6478,6370,6221,12585,5598,6048,11645,5837,6198,12037,5845,5924,11768,3958,4308,8272,2143,2327,4466,750,1203,1946,45320,46273,91590,917,897,1814,295,318,612,19,7,25,3,6,14,317,334,653,17666,16605,34270,25547,27569,53117,10463,9299,19759,32156,34062,66216,34329,35124,69453,612,583,1192,5652,5429,11086,2556,2538,5098,1325,1461,2782,1593,2353,3953,18235,18518,36755,2207,1896,4105,5293,4872,10171,2288,2405,4694,3423,3865,7286,2645,3748,6394,43163,44003,87169,2826,2852,5677
SED10030,38109,40427,78537,2182,1994,4178,4539,4162,8701,2070,1954,4024,2084,2087,4175,4503,4582,9080,4770,5133,9907,5040,5136,10178,5075,5605,10678,4274,5044,9324,2694,3172,5868,870,1553,2423,36925,39290,76218,1189,1135,2320,1482,1606,3083,19,12,36,25,24,49,1527,1639,3166,28511,29839,58350,7499,8342,15843,32071,33783,65852,3912,4480,8394,33303,35384,68687,691,636,1326,4239,3885,8126,1472,1455,2924,624,742,1363,1067,1900,2965,15117,16921,32040,2219,2136,4354,8433,9062,17497,2254,2554,4805,1117,1162,2272,150,132,280,35746,37868,73610,2444,2763,5200
SED10031,40699,41070,81771,2256,2113,4364,5296,4914,10206,2425,2258,4684,2011,1786,3795,4275,4305,8576,4347,4720,9073,5385,5526,10911,5873,5850,11725,5148,5447,10594,2870,2977,5844,815,1182,1996,38955,39510,78465,1741,1562,3306,1483,1419,2902,37,34,71,12,19,33,1540,1476,3011,33040,33468,66506,4831,4954,9780,35473,36360,71838,2112,2170,4284,36061,36989,73051,658,650,1311,4902,4549,9450,1711,1692,3399,473,595,1069,891,1700,2599,14425,17019,31446,2257,2257,4522,9357,8712,18069,2507,2269,4780,1466,1170,2643,131,103,233,36787,37930,74718,4467,3451,7915
SED10032,53334,50732,104062,4046,3750,7801,6896,6544,13448,2850,2650,5501,4378,3660,8039,10507,9846,20354,8939,7798,16733,5579,5500,11078,4651,4862,9519,3205,3337,6544,1724,1913,3633,553,866,1416,52446,49910,102354,884,822,1705,315,357,670,18,10,26,8,5,12,338,376,710,20653,20449,41101,28295,26556,54855,14836,14026,28867,33672,32381,66056,35520,35664,71181,951,873,1829,6100,5811,11911,2197,2189,4390,2115,1825,3944,2493,3098,5594,25803,24976,50774,1825,1612,3441,5612,5186,10800,1638,1534,3172,2107,2101,4209,1395,1536,2936,49151,46980,96132,4027,3568,7595
SED10033,39002,39019,78025,2390,2238,4628,5388,4945,10337,2731,2506,5232,2574,2340,4913,4873,4798,9674,4457,4659,9116,5332,5642,10978,5057,5029,10086,3688,3825,7510,1973,2185,4153,540,846,1388,37830,38103,75933,1173,915,2094,1684,1634,3315,35,19,53,27,20,43,1741,1671,3411,32032,31831,63862,5266,5583,10854,34307,34201,68511,2955,3170,6124,35487,35551,71035,742,695,1438,5088,4676,9765,1993,1904,3902,731,872,1605,716,1575,2291,12656,15632,28295,2315,2195,4505,10680,9018,19691,2506,2207,4721,1252,1018,2271,132,127,256,36897,37060,73959,1928,1920,3845
