SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED10028,50,118,96,69,119,82,43,573,17,14,17,13,24,12,9,104,0,0,0,0,0,5,0,11,114,260,279,193,334,233,139,1559,7,13,13,3,11,3,0,54,8,7,3,5,8,6,0,34,16,21,13,13,15,8,5,88,131,280,295,201,352,241,147,1645,66,151,117,81,123,86,54,669,7,10,4,0,0,0,0,16,195,440,411,284,478,327,197,2328
SED10029,73,136,120,95,141,79,35,691,35,54,31,30,47,36,27,262,7,13,13,3,9,9,4,60,181,360,276,241,365,218,120,1758,11,24,16,17,12,11,8,102,17,40,21,19,20,10,7,126,31,64,35,35,34,15,15,229,212,418,307,275,401,239,135,1989,556,732,446,332,428,249,144,2888,15,15,10,8,8,4,0,59,788,1162,770,614,834,497,286,4941
SED10030,138,291,202,108,151,38,26,955,54,61,48,34,36,13,0,244,4,16,5,0,7,0,0,35,291,584,488,322,445,132,64,2325,8,20,11,11,13,8,0,73,13,17,9,5,11,0,0,60,23,35,26,13,20,5,4,129,315,618,509,340,463,145,64,2457,339,386,199,135,131,29,20,1237,5,8,7,4,8,0,0,32,665,1017,708,473,593,173,94,3728
SED10031,131,276,183,124,116,24,15,867,31,29,21,15,11,0,0,103,16,11,12,5,5,0,0,54,257,525,397,285,380,98,43,1991,6,17,6,4,8,0,0,38,14,17,13,12,3,0,0,61,20,35,13,14,15,0,0,96,277,559,418,300,397,98,38,2086,266,291,176,96,78,16,3,930,4,3,8,0,0,3,0,23,545,852,597,402,476,121,50,3042
SED10032,73,137,79,71,79,56,28,517,27,29,31,16,36,25,11,170,9,7,9,9,7,7,0,51,195,349,223,201,279,185,97,1535,13,13,20,15,18,8,3,93,23,22,14,14,15,4,3,94,38,32,27,25,34,15,11,182,229,377,256,228,317,196,108,1719,505,543,303,218,280,147,100,2101,12,5,7,5,3,0,0,36,751,933,570,448,596,348,208,3852
SED10033,103,182,130,88,124,34,22,680,40,50,28,28,16,11,13,179,10,7,4,0,5,0,0,24,211,432,311,258,334,111,60,1727,0,12,3,4,7,4,0,46,12,27,5,7,9,0,0,56,14,41,16,10,15,8,0,102,225,471,326,269,344,122,60,1828,284,299,147,103,115,30,22,999,11,11,6,9,4,0,0,41,519,784,479,379,462,149,81,2857
SED10034,72,189,136,99,129,51,37,719,35,45,36,23,20,16,8,177,7,5,4,6,0,0,0,16,168,444,351,272,360,161,101,1862,8,9,7,7,3,3,0,32,7,8,11,3,8,0,0,39,12,15,21,7,13,3,0,70,182,459,368,279,370,170,101,1937,95,157,104,59,75,32,16,536,0,0,0,3,0,0,0,7,281,620,477,346,445,201,110,2475
SED10035,77,119,99,60,91,39,40,532,39,21,13,12,15,8,0,112,6,6,4,7,4,5,0,38,241,376,247,169,284,154,111,1578,7,11,16,5,3,3,4,54,11,14,3,0,11,5,10,48,18,23,17,11,13,10,9,103,263,398,269,180,297,171,116,1681,162,141,89,57,88,86,47,665,3,4,5,0,5,3,0,23,423,539,358,241,380,253,165,2358
SED10036,84,154,94,92,110,51,40,624,44,50,38,27,32,24,10,219,14,15,10,9,12,0,0,67,230,399,297,256,352,190,117,1843,19,21,9,11,14,11,8,87,8,31,17,14,11,14,3,97,24,55,31,29,22,19,10,190,253,455,324,279,381,208,131,2032,445,512,301,195,213,107,52,1830,13,19,12,7,5,5,0,64,711,992,634,488,596,313,189,3924
SED10037,73,167,143,92,118,76,44,712,17,26,21,17,23,7,12,125,3,0,7,4,0,3,3,19,158,400,359,243,374,211,130,1877,0,3,8,5,10,0,3,37,0,9,0,7,5,0,8,34,0,13,12,12,12,6,7,69,155,415,373,257,388,215,137,1942,72,112,70,62,97,43,33,484,0,3,0,0,0,0,0,4,230,531,443,317,483,265,168,2439
SED10038,83,224,131,120,132,63,25,778,28,57,33,28,34,8,8,199,9,0,6,6,5,0,0,28,171,442,353,316,365,172,92,1913,5,17,11,10,12,0,0,58,0,15,12,6,8,8,0,52,5,37,22,21,21,5,0,111,177,475,375,333,388,179,92,2019,199,240,157,108,126,50,23,894,3,6,3,0,0,0,0,17,380,719,534,447,515,233,111,2928
SED10039,151,309,194,117,152,40,16,975,45,55,26,22,16,9,7,184,11,7,3,6,8,0,4,30,288,545,409,278,338,91,49,2005,7,13,9,8,7,4,0,52,16,18,11,9,10,0,0,62,21,28,22,16,19,3,0,114,310,581,433,297,355,92,49,2121,275,262,148,112,99,21,8,926,5,3,5,0,0,0,0,19,591,847,585,409,452,113,58,3059
SED10040,70,146,91,94,119,88,62,666,26,29,19,14,40,30,26,185,11,10,4,3,4,0,4,31,190,351,241,195,322,221,152,1677,3,8,6,12,16,6,11,65,11,18,8,10,16,10,12,69,18,27,12,21,29,13,15,136,202,385,254,218,348,232,168,1808,196,270,181,123,172,123,79,1132,9,11,13,4,3,0,0,42,408,662,445,345,523,356,241,2988
SED10041,55,105,100,93,130,89,52,622,6,19,13,18,13,13,4,83,0,5,4,3,3,3,0,26,125,329,284,252,370,253,146,1764,0,12,5,3,18,11,11,63,3,10,6,11,4,9,3,46,4,26,7,12,25,16,9,104,129,352,292,263,395,272,159,1866,77,142,137,110,160,92,61,777,0,4,5,0,0,0,0,16,212,499,436,377,556,366,216,2657
SED10042,166,312,225,146,167,44,17,1074,32,37,26,23,23,4,0,157,7,24,12,7,3,0,0,49,294,600,460,315,398,131,53,2253,24,30,12,11,10,9,0,82,25,29,22,14,14,0,0,102,43,57,35,22,23,3,0,190,341,659,496,340,421,130,53,2441,399,348,227,156,129,33,23,1305,3,10,6,3,4,0,0,25,741,1015,727,494,551,164,74,3771
SED10043,79,172,127,71,118,64,57,681,44,45,37,26,34,28,28,236,12,12,6,7,5,0,0,43,210,357,265,183,272,156,130,1563,12,14,17,9,11,7,3,79,20,31,21,7,19,10,7,118,29,43,36,24,33,19,12,198,235,395,297,210,302,176,142,1758,565,627,390,272,324,193,103,2480,17,24,13,9,4,6,3,78,811,1052,706,488,631,373,252,4315
SED10044,54,114,88,52,95,49,30,492,23,23,16,7,20,9,11,110,5,9,3,0,0,0,3,21,160,378,282,225,317,202,116,1677,4,12,9,7,7,11,0,43,8,21,15,4,7,3,4,62,12,33,21,10,16,14,0,103,170,406,304,229,331,209,124,1777,83,114,70,53,84,54,42,499,4,8,0,3,4,0,0,17,255,524,379,288,413,269,160,2291
SED10045,171,315,251,178,221,33,14,1179,36,39,23,23,14,5,0,138,3,14,10,9,8,0,0,47,285,537,467,380,474,86,32,2263,14,10,13,11,14,7,0,71,25,51,35,24,12,4,0,150,37,61,53,32,26,4,0,214,321,602,522,411,500,92,30,2477,384,415,246,180,153,26,14,1416,16,21,16,10,3,0,0,63,719,1035,781,606,656,117,41,3957
SED10046,116,192,143,122,127,75,39,812,41,57,51,34,64,28,21,296,9,12,9,16,13,3,6,72,273,465,375,324,401,197,136,2171,11,36,20,14,23,15,5,127,27,42,35,30,31,7,0,186,37,84,56,43,53,24,6,310,313,543,433,372,452,223,152,2484,791,900,555,330,418,205,123,3330,18,27,16,10,9,3,3,79,1116,1476,1005,713,877,433,272,5890
SED10047,252,364,219,153,166,54,25,1241,98,131,62,47,54,18,10,422,15,29,26,9,6,4,4,94,588,922,605,431,520,185,93,3343,33,52,30,21,20,0,5,156,27,63,42,19,13,0,0,157,57,115,67,38,32,3,8,318,648,1031,674,471,549,191,102,3663,1206,1137,593,361,363,93,36,3789,20,15,19,11,3,4,0,82,1875,2189,1287,846,917,281,137,7529
SED10048,165,262,177,109,164,47,30,952,61,87,54,33,37,17,20,306,22,26,15,13,14,7,4,87,359,630,444,305,459,181,128,2505,26,28,20,13,10,6,3,112,33,33,13,15,9,4,0,114,61,66,32,27,25,14,7,225,421,698,474,333,482,192,131,2732,675,656,369,268,248,92,43,2354,18,19,11,7,3,0,0,59,1118,1374,857,606,737,283,174,5141
SED10049,242,426,254,175,214,33,22,1348,51,52,36,15,27,4,3,187,26,26,18,4,0,0,0,72,465,848,577,396,536,136,65,3014,17,29,11,17,13,5,0,84,38,47,33,14,23,0,0,161,50,75,50,33,32,5,0,244,515,923,623,431,574,143,63,3266,501,544,285,197,145,29,13,1725,5,8,4,4,0,0,0,25,1018,1474,914,629,718,173,77,5010
SED10050,54,135,86,75,129,58,38,572,25,10,13,8,16,13,4,94,0,0,0,3,4,0,0,13,151,319,272,240,363,173,104,1629,7,11,3,7,9,5,3,35,5,4,0,0,7,0,5,23,10,15,0,6,16,4,4,63,168,339,278,244,377,179,113,1689,65,92,57,44,70,28,22,384,0,0,4,0,0,0,0,12,230,432,337,293,450,211,134,2085
SED10051,87,147,121,94,129,64,25,664,31,34,25,16,22,11,11,154,5,10,9,3,6,0,3,35,204,406,362,260,378,195,93,1897,8,17,5,5,10,9,0,59,8,4,8,3,6,4,4,38,18,23,15,8,16,12,8,93,221,425,375,274,396,205,100,1990,155,217,125,95,117,56,49,825,4,7,10,0,0,0,0,21,384,647,505,370,515,264,149,2834
SED10052,60,166,118,103,121,72,29,676,39,42,35,17,31,12,7,187,0,6,4,3,0,0,0,19,163,387,315,273,380,211,81,1821,0,12,6,10,5,5,0,32,7,10,3,3,5,3,0,33,5,21,12,8,7,11,0,70,173,409,329,287,389,218,84,1891,120,139,91,57,76,30,22,535,5,7,5,6,0,0,0,19,298,555,424,346,465,250,106,2441
SED10053,102,203,133,97,91,18,10,655,32,28,21,20,6,4,3,107,9,0,16,4,7,0,0,49,256,538,425,302,370,94,54,2042,9,12,9,8,8,0,3,47,7,19,9,10,10,0,0,54,18,26,21,17,15,0,0,99,272,567,446,320,392,94,58,2146,238,209,103,70,64,8,0,697,4,0,4,4,0,0,0,19,514,780,555,392,454,109,57,2859
SED10054,129,219,154,116,131,55,34,841,62,74,51,33,46,20,12,292,9,22,10,7,16,3,4,70,332,560,414,317,371,183,103,2291,32,34,25,10,24,5,12,143,41,42,32,17,22,3,0,154,67,75,53,30,46,12,12,297,399,635,471,351,423,196,117,2584,735,762,472,273,267,89,64,2662,23,31,10,10,0,3,3,77,1154,1430,950,635,685,290,181,5328
SED10055,146,223,161,106,123,46,19,832,45,53,43,27,29,17,11,221,12,8,8,7,10,0,0,39,342,544,398,312,412,178,73,2264,10,18,10,20,14,9,0,80,10,5,3,7,0,3,0,37,18,31,16,22,12,7,0,115,361,572,415,332,429,184,78,2378,336,361,196,145,160,69,35,1297,13,6,3,7,7,3,0,30,706,940,613,483,588,255,115,3696
SED10056,170,286,197,134,158,20,12,972,24,29,13,10,13,0,0,93,14,33,8,8,9,0,0,75,298,553,411,313,384,74,21,2055,7,18,19,8,4,0,0,63,25,32,19,14,8,0,0,95,31,53,36,17,16,0,0,157,331,606,445,336,399,73,21,2210,365,306,185,102,89,16,3,1056,21,18,8,3,9,0,0,56,715,934,634,442,494,87,20,3321
