SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED10051,28,92,208,263,97,511,59,232,10,1501,172,745,475,684,450,493,148,261,70,3496,1187,3293,1381,949,1099,586,422,620,179,9712,2292,3505,1024,677,1220,549,335,434,191,10233,2026,2682,775,716,1417,547,377,426,167,9132,1002,1531,613,576,1159,350,381,411,83,6100,195,473,153,172,353,108,114,127,39,1728,20,64,16,16,30,19,4,20,13,203,4,4,0,0,0,0,0,0,0,10,6931,12384,4642,4042,5836,3156,1844,2526,756,42121
SED10052,24,99,283,335,111,651,55,321,26,1918,205,649,611,583,421,423,134,189,60,3274,1132,2571,1135,769,980,535,204,271,150,7747,2059,2835,997,602,1333,493,261,282,152,9020,1910,2249,931,676,1575,571,342,384,143,8772,1142,1474,671,500,1247,491,317,365,71,6270,288,490,167,125,377,137,133,126,27,1867,44,78,21,15,49,17,3,26,12,264,3,0,0,0,7,0,0,0,9,24,6807,10449,4816,3596,6092,3322,1452,1968,642,39157
SED10053,42,49,392,521,155,756,81,460,53,2508,204,395,774,724,510,436,210,392,68,3720,1269,2336,1677,1132,1387,607,521,820,230,9966,2059,2426,1239,904,1469,411,413,545,223,9678,2452,2245,1072,879,1738,441,482,594,223,10122,1558,1443,782,626,1276,397,557,622,144,7406,521,399,187,152,282,138,170,176,52,2073,150,45,21,10,31,19,20,26,12,343,20,8,0,0,0,0,0,0,4,33,8282,9346,6151,4952,6844,3195,2453,3640,1010,45857
SED10054,35,53,198,198,90,632,177,423,51,1862,168,511,482,562,483,577,570,482,93,3931,640,1900,992,979,1128,535,1226,749,236,8394,954,1926,880,917,1465,498,1331,731,205,8907,697,1115,848,819,1335,391,1349,970,137,7661,388,630,659,614,1006,301,1100,838,95,5628,80,132,132,125,189,68,210,167,30,1125,4,13,7,6,11,3,7,3,4,59,0,0,0,0,0,0,0,0,0,0,2968,6276,4200,4221,5711,3004,5967,4362,857,37574
SED10055,44,67,449,368,163,861,129,558,49,2698,227,631,826,639,661,540,295,363,80,4247,936,2210,1332,827,1366,570,773,525,168,8709,1567,2014,1174,808,1711,592,920,535,194,9512,1599,1436,1073,766,1835,558,977,632,151,9030,1061,953,842,563,1426,449,815,634,115,6857,215,232,198,98,310,104,189,148,21,1515,34,31,14,3,20,10,7,6,4,132,3,0,0,0,0,0,0,0,0,9,5684,7569,5905,4070,7489,3689,4116,3396,774,42703
SED10056,89,30,464,376,97,746,89,587,67,2545,209,259,652,490,234,335,183,574,69,3010,1013,1278,1256,830,718,422,515,1435,172,7639,1364,1197,999,733,799,357,500,1159,169,7274,1801,1121,823,761,1055,469,638,1195,150,8008,1755,919,772,713,1041,468,773,1155,141,7739,859,281,250,179,319,165,309,321,70,2741,228,34,23,13,58,21,37,50,46,515,35,4,0,0,4,3,0,0,9,56,7353,5116,5236,4104,4320,2989,3041,6472,900,39535
SED10057,26,20,271,301,64,691,43,435,46,1893,87,155,403,416,130,275,86,292,25,1877,361,923,736,735,367,357,209,529,72,4297,603,976,703,761,524,392,237,500,100,4805,779,1037,821,975,751,480,373,666,96,5978,771,1087,700,836,792,519,438,717,99,5968,342,387,201,179,229,142,136,180,51,1852,90,55,20,7,29,16,14,27,21,278,11,0,0,0,3,0,0,3,7,30,3069,4659,3861,4209,2890,2880,1537,3348,529,26980
SED10058,28,54,204,463,81,575,61,466,18,1953,251,880,651,1508,493,631,136,400,59,5015,1117,4389,1489,1491,1084,587,333,533,156,11178,1477,3322,917,682,944,330,312,338,122,8464,1360,2579,705,690,1002,376,343,437,127,7611,891,1784,545,565,868,360,332,420,63,5838,255,539,101,107,198,84,72,104,21,1487,32,68,12,10,21,11,9,12,11,189,0,3,0,0,0,0,0,0,3,13,5421,13622,4629,5521,4687,2966,1606,2716,591,41746
SED10059,15,157,70,301,97,292,14,128,13,1081,300,1739,377,1020,794,681,113,278,90,5387,2461,8950,1327,1260,1702,843,314,529,289,17671,2583,4966,699,504,1010,420,134,293,177,10778,1867,3184,460,360,859,337,133,183,102,7477,848,1852,262,256,557,199,119,181,54,4332,149,454,81,50,172,45,41,74,14,1080,16,57,3,3,9,7,0,14,3,125,0,0,0,0,4,0,0,0,3,7,8235,21352,3280,3757,5195,2823,873,1676,741,47940
SED10060,14,96,44,225,84,254,31,118,6,869,200,1108,184,503,457,344,39,103,56,2990,2133,6647,765,659,1294,702,91,213,186,12692,2967,4870,489,380,1112,497,67,139,179,10704,2595,3399,291,328,941,351,62,100,172,8228,1703,2512,190,222,803,324,67,106,113,6031,586,1185,69,97,385,169,34,67,44,2634,158,281,12,15,85,51,6,19,30,655,18,19,0,0,3,0,0,0,13,49,10376,20113,2044,2423,5158,2686,408,869,795,44858
