SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10011,10969,366,158,6,10,11510,10770,170,86,4,6,11040,2707,329,325,21,9,3384,76,83,47,0,0,207,126,127,106,4,0,372,942,67,75,5,5,1094,57,9,17,3,4,82,22,4,7,0,0,33,3928,620,573,35,23,5173,264,83,82,0,9,443,222,18,30,0,19,293,26163,1256,927,47,71,28465
SED10012,6879,534,530,3,4,7956,5736,671,492,0,9,6913,2692,649,1423,15,28,4803,699,744,114,0,0,1557,158,181,61,0,0,401,946,152,249,3,10,1363,312,52,83,0,9,458,35,8,22,0,0,66,4849,1792,1950,27,46,8656,259,55,60,3,0,381,327,71,87,0,4,495,18045,3127,3132,37,59,24396
SED10013,7976,322,88,115,17,8519,20131,680,89,3,48,20949,7109,784,143,10,20,8069,266,71,41,0,0,377,48,85,0,0,0,136,1052,101,24,7,7,1187,196,14,5,15,4,232,39,7,0,0,0,50,8710,1067,213,31,33,10059,403,207,31,0,13,651,389,36,15,11,9,448,37602,2308,439,163,117,40631
SED10014,5645,566,283,0,3,6495,8926,630,543,0,0,10106,4209,715,1404,3,9,6338,1483,899,142,0,0,2529,89,161,104,0,0,355,805,98,115,0,5,1016,93,18,16,0,0,130,18,14,6,0,0,44,6698,1904,1781,3,17,10404,197,311,166,0,0,676,286,95,69,0,7,461,21759,3508,2835,3,32,28142
SED10015,7357,864,1460,23,3,9713,5249,1109,3056,31,8,9448,1968,863,6378,96,22,9319,138,263,404,0,0,805,52,130,161,0,5,349,574,182,753,20,10,1539,101,39,162,4,4,314,10,15,36,3,0,65,2846,1486,7895,127,46,12395,225,69,173,0,4,472,213,66,225,5,7,522,15883,3603,12804,188,73,32550
SED10016,7587,537,686,0,5,8821,13959,902,659,0,16,15535,3546,703,1388,7,9,5648,15,46,9,0,0,71,4,13,30,0,6,46,528,87,125,0,4,749,116,22,11,0,0,144,11,5,3,0,0,20,4221,874,1570,7,16,6680,205,179,91,0,0,472,211,33,29,0,0,269,26181,2527,3024,5,34,31777
SED10017,9004,326,45,36,22,9440,12370,218,35,8,16,12646,4414,927,194,15,11,5554,442,188,53,0,0,685,94,78,42,0,0,218,1132,91,29,8,0,1256,135,17,13,4,4,177,27,14,5,0,0,46,6249,1316,330,29,15,7934,353,78,59,4,4,500,314,44,29,0,3,396,28291,1986,499,82,61,30918
SED10018,9134,1112,250,0,0,10495,9405,631,210,0,0,10248,2605,1028,527,6,3,4171,894,422,142,0,0,1460,61,50,73,0,0,182,899,212,101,0,4,1220,131,32,11,0,0,178,25,6,9,0,0,38,4612,1752,861,15,10,7253,185,135,35,0,5,361,224,50,14,0,4,291,23563,3674,1371,20,24,28647
SED10019,11794,547,224,415,50,13035,7969,228,68,81,14,8360,2565,765,589,32,12,3961,360,83,53,0,0,493,121,149,40,0,0,311,1548,206,157,34,16,1964,205,37,24,136,9,410,41,25,8,3,0,73,4833,1260,873,208,37,7219,377,67,28,23,11,513,493,62,40,25,12,639,25476,2167,1239,751,126,29755
SED10020,9254,884,615,305,45,11107,7890,568,323,29,12,8819,2726,1111,1358,15,20,5236,366,217,196,3,0,780,201,133,126,0,0,460,1265,270,274,29,14,1850,181,43,25,90,15,350,35,17,14,0,3,70,4781,1792,1986,139,53,8752,311,177,69,13,5,580,314,82,79,30,11,515,22545,3508,3078,521,127,29774
SED10021,2652,2134,3473,113,4,8378,2029,2302,3391,65,8,7789,482,1091,10774,371,16,12734,4,22,812,0,0,839,0,11,173,0,4,192,164,231,1595,75,7,2073,44,79,101,13,3,229,5,4,44,0,0,56,698,1436,13509,454,29,16125,74,58,372,16,4,520,42,57,293,5,6,403,5501,5985,21033,648,44,33207
SED10022,11922,271,50,77,30,12353,7475,101,18,34,16,7646,2341,515,288,33,0,3182,538,42,67,0,0,641,113,65,16,0,3,201,1597,123,31,17,11,1776,365,42,29,24,7,463,39,10,8,0,0,62,4990,795,439,69,28,6323,835,73,8,14,15,947,569,47,19,10,24,665,25792,1285,540,207,103,27933
SED10023,7149,1724,2072,11,9,10967,7274,1195,1947,13,15,10434,1031,656,3709,42,11,5445,60,105,224,0,0,386,14,13,57,0,0,83,366,104,501,11,3,991,32,92,21,6,0,145,7,0,9,0,0,17,1510,969,4517,57,11,7063,133,44,112,0,0,287,139,37,77,0,5,252,16206,3961,8719,84,38,29011
SED10024,9042,584,1555,0,5,11192,8791,294,1163,3,4,10256,1690,149,1795,3,14,3651,6,51,0,0,0,62,15,18,16,0,0,46,403,39,227,7,3,677,35,14,47,0,0,99,6,0,9,0,0,21,2160,270,2095,5,20,4554,175,120,228,0,0,515,139,13,61,0,4,221,20310,1286,5101,12,28,26732
SED10025,5890,929,3391,36,5,10248,4222,1033,3995,69,5,9321,1283,702,7177,197,21,9374,65,173,371,0,0,606,15,26,146,0,0,190,294,118,777,39,7,1232,33,31,105,5,0,176,6,0,26,0,0,30,1702,1047,8597,245,26,11618,123,49,219,5,0,395,122,31,170,7,0,329,12061,3084,16369,362,37,31912
SED10026,9079,390,79,65,23,9640,9617,173,32,14,20,9862,3663,975,686,34,20,5373,579,137,184,0,0,896,161,94,61,0,0,322,1428,102,61,15,9,1614,211,31,54,19,13,329,40,13,14,0,0,75,6075,1355,1067,71,38,8605,409,186,52,3,4,660,394,64,40,54,14,569,25583,2168,1269,209,96,29332
SED10027,7185,1457,130,17,6,8794,6632,2673,156,16,13,9486,2531,1346,335,67,21,4307,725,459,348,0,0,1527,50,94,105,0,0,254,683,238,70,9,5,1009,112,36,25,6,0,175,32,6,5,0,0,45,4131,2181,885,84,25,7313,254,67,125,4,0,454,246,72,38,3,3,360,18451,6458,1334,118,46,26404
SED10028,8248,994,818,0,5,10068,7766,1108,1448,6,14,10327,1942,773,3421,3,14,6151,20,69,37,0,0,128,31,69,157,0,4,261,465,104,376,0,3,938,67,17,65,0,4,144,15,10,22,0,0,49,2536,1048,4073,3,21,7681,255,233,414,0,0,906,155,48,90,0,5,300,18956,3423,6841,12,48,29274
SED10029,6134,586,590,5,6,7328,5066,1163,762,8,13,7019,3440,1167,2414,29,58,7110,523,723,653,0,3,1907,73,165,331,0,0,569,1066,211,351,10,8,1649,361,73,124,6,10,579,65,30,39,0,0,128,5530,2365,3903,45,86,11930,275,53,71,0,3,400,373,75,126,0,0,580,17379,4242,5457,69,109,27249
SED10030,7304,2006,887,51,26,10267,7526,963,843,28,11,9377,3846,1562,2440,239,45,8136,221,431,387,0,3,1048,96,111,161,5,0,374,934,238,279,44,13,1515,90,22,24,4,3,148,26,10,23,4,0,64,5215,2380,3324,303,66,11285,257,156,111,5,3,527,251,143,92,12,24,529,20556,5643,5251,399,138,31985
SED10031,11526,390,58,108,28,12113,10216,189,45,18,23,10489,2776,577,273,34,10,3673,543,104,53,0,0,706,154,120,64,0,0,341,1343,94,54,16,7,1515,209,21,11,26,7,275,25,9,7,0,0,41,5050,921,463,79,30,6539,583,107,15,14,7,723,383,39,14,8,17,464,27760,1639,592,230,102,30329
SED10032,5225,767,925,6,6,6928,4544,1554,2854,19,16,8977,2798,1250,6938,27,68,11093,374,467,1046,0,4,1888,56,70,401,0,0,533,829,216,561,8,15,1626,252,54,135,4,13,463,38,6,58,0,0,106,4350,2066,9147,45,101,15709,255,79,152,4,3,493,323,97,261,3,14,691,14695,4560,13339,74,135,32800
SED10033,8084,414,166,48,28,8739,10178,501,87,10,11,10791,2728,825,298,15,12,3878,349,175,9,0,0,537,150,97,14,0,3,264,815,99,50,8,14,982,190,28,3,35,5,254,17,3,0,0,0,22,4253,1229,370,60,35,5944,374,38,53,5,10,481,254,26,13,4,6,305,23145,2209,683,126,88,26258
SED10034,8000,778,961,8,3,9756,9323,979,1611,4,5,11924,1187,494,1943,26,12,3667,80,81,152,0,0,313,44,49,59,0,0,157,424,106,223,12,4,770,39,4,11,25,9,92,5,4,6,0,0,15,1787,740,2405,61,29,5017,139,67,224,3,0,437,152,27,59,0,10,256,19400,2590,5261,80,56,27389
SED10035,3257,1207,3228,18,5,7716,2407,1903,7708,23,12,12054,1070,1593,19988,119,51,22818,35,341,1463,0,3,1836,28,37,333,4,3,402,297,333,2080,24,20,2758,35,28,524,3,10,595,8,5,66,0,0,76,1472,2328,24449,146,89,28486,88,60,436,3,0,600,106,51,415,0,16,583,7326,5552,36243,192,119,49437
SED10036,6682,516,96,0,7,7302,9588,1294,306,0,3,11196,3150,1143,598,6,11,4901,451,398,131,0,0,986,59,88,75,0,5,221,609,100,80,0,3,795,461,66,21,0,0,547,23,7,12,0,0,41,4757,1804,910,10,17,7498,174,149,90,0,0,415,286,65,29,0,0,381,21491,3822,1433,17,26,26789
SED10037,8449,439,781,39,7,9720,9354,630,1724,9,5,11731,1970,420,2630,13,10,5046,59,87,146,0,0,286,46,69,125,0,0,241,638,77,314,4,5,1042,76,12,34,21,0,143,16,0,11,0,0,34,2806,659,3262,47,20,6786,202,180,115,0,0,501,149,24,54,0,5,226,20953,1928,5938,101,38,28964
SED10038,9221,1223,617,35,5,11097,8443,1080,589,18,4,10139,1896,1326,1181,64,17,4478,710,869,303,0,3,1885,50,140,64,0,5,261,730,246,203,12,12,1207,35,25,14,5,9,85,11,14,9,0,0,31,3435,2612,1782,84,45,7951,171,125,137,5,4,441,213,83,50,0,4,350,21482,5115,3172,146,65,29973
SED10039,10217,1020,300,201,61,11800,9404,700,108,18,3,10227,2318,943,303,17,11,3597,286,180,24,0,0,493,153,119,30,0,0,300,980,151,71,12,4,1216,165,10,10,34,18,231,13,16,4,3,0,34,3918,1424,438,59,31,5865,317,173,141,3,10,641,250,52,29,19,8,351,24100,3369,1011,301,117,28896
SED10040,6198,1029,2195,20,0,9458,4312,1181,3600,25,7,9120,1776,783,7113,154,29,9848,122,181,261,0,0,565,49,71,80,3,0,208,550,132,875,26,7,1594,96,48,115,5,4,272,13,3,36,0,0,58,2609,1218,8481,192,38,12539,199,75,274,5,4,548,205,62,210,8,4,491,13524,3566,14761,241,60,32154
SED10041,7613,539,2389,13,0,10561,7705,374,2958,47,0,11082,1437,250,4405,52,5,6152,18,37,122,0,0,182,9,25,118,0,0,158,349,47,485,4,0,891,35,7,67,4,0,116,0,4,23,0,0,32,1852,367,5232,59,10,7526,250,34,415,0,9,705,108,10,119,3,0,240,17528,1331,11115,124,19,30112
SED10042,10155,757,175,143,12,11247,10232,325,58,14,7,10637,3438,573,252,11,10,4273,522,216,105,0,0,853,73,77,87,0,0,241,1111,112,61,14,10,1297,146,55,11,44,15,272,28,3,7,0,0,38,5319,1034,518,64,38,6974,387,389,57,9,7,845,306,68,29,14,3,425,26402,2578,838,247,67,30129
SED10043,5342,842,1004,18,7,7202,4537,1486,1641,18,7,7690,2001,836,4782,80,22,7714,435,763,1303,0,6,2506,75,199,294,3,0,570,772,194,436,18,12,1431,200,46,105,3,0,356,20,14,38,0,0,73,3501,2053,6964,103,46,12662,228,86,119,7,3,437,294,90,230,5,3,619,13900,4549,9955,147,60,28616
SED10044,6723,960,2253,3,3,9938,5850,893,4172,4,3,10927,1366,704,7640,17,15,9740,37,125,467,0,0,630,38,58,354,0,0,449,415,107,819,7,4,1354,33,10,94,0,3,141,6,0,34,0,0,42,1910,1007,9402,22,24,12355,170,47,381,0,9,602,111,17,140,3,9,280,14767,2921,16335,42,45,34104
SED10045,11348,364,285,189,55,12239,8445,237,108,22,10,8823,2297,698,609,24,12,3642,367,184,86,0,0,634,133,149,55,3,5,342,1906,171,190,41,13,2328,171,23,27,115,0,333,38,20,10,6,0,71,4917,1245,970,187,32,7350,590,95,73,24,12,798,449,42,48,17,6,555,25745,1974,1485,437,114,29756
SED10046,4937,296,799,4,6,6035,7234,678,1418,0,3,9341,2821,635,4928,13,28,8417,1276,467,1115,0,10,2868,115,89,311,0,4,522,725,98,334,3,13,1176,246,22,110,0,3,384,37,3,40,0,0,81,5228,1319,6843,12,59,13453,200,31,104,5,4,338,354,45,232,0,4,637,17953,2371,9390,18,76,29809
SED10047,6761,486,122,9,13,7395,13619,1547,364,3,11,15551,6983,1519,867,14,22,9401,1691,390,432,0,3,2523,125,116,136,0,0,374,1117,120,91,10,9,1345,198,27,13,0,9,239,51,8,17,0,0,83,10163,2185,1550,25,36,13966,291,136,26,0,0,450,505,77,47,0,0,621,31328,4429,2110,48,69,37977
SED10048,6612,803,176,0,10,7599,13484,1910,291,0,31,15713,4891,1731,423,6,17,7068,1109,852,75,0,0,2041,78,44,10,0,0,138,752,215,63,0,4,1035,196,34,17,0,0,242,41,19,0,0,0,59,7069,2889,593,6,22,10582,257,55,144,0,3,458,341,90,20,0,8,459,27756,5743,1222,11,68,34808
SED10049,8384,567,53,116,9,9133,12325,366,41,8,7,12750,4739,1254,417,28,5,6447,769,233,86,0,3,1094,245,150,66,0,3,465,1017,155,41,7,9,1229,386,32,4,40,0,462,30,13,0,0,0,45,7180,1838,621,80,17,9734,349,305,9,5,4,672,266,58,20,9,5,356,28499,3138,752,214,52,32648
SED10050,5443,1010,3190,18,10,9674,5531,882,3391,22,3,9831,1077,611,6833,55,16,8597,59,82,209,0,0,351,13,38,73,0,0,126,394,172,1237,27,10,1834,30,26,61,0,0,116,21,11,28,0,0,56,1587,936,8440,82,28,11077,120,44,217,4,0,378,97,26,131,8,6,259,12780,2897,15372,129,45,31225
SED10051,5274,1712,1952,26,5,8970,3905,2230,3001,16,3,9158,1122,1169,6337,97,23,8747,168,844,1633,0,10,2654,53,75,232,0,0,357,330,198,640,21,4,1182,38,70,166,3,0,277,14,8,46,0,0,67,1717,2359,9050,116,34,13274,144,78,292,4,0,519,141,88,245,0,4,472,11179,6466,14537,164,53,32397
SED10052,7347,1560,1241,44,11,10200,7299,1664,1965,12,3,10940,1335,885,2591,43,18,4868,97,458,291,0,0,845,26,100,109,0,0,237,352,138,283,19,0,792,45,45,22,8,0,125,14,4,18,4,0,41,1872,1631,3311,68,20,6905,133,69,408,0,3,615,141,80,79,4,4,317,16798,5005,7006,134,40,28982
SED10053,8602,637,368,41,26,9678,10744,1195,583,18,12,12546,1838,1082,1589,18,9,4527,446,140,56,0,0,642,75,106,40,0,0,225,1116,300,363,11,10,1794,568,74,107,13,24,788,20,13,8,0,0,45,4066,1708,2166,50,46,8028,384,58,37,10,18,503,279,46,53,6,6,391,24069,3638,3213,120,105,31143
SED10054,5160,319,111,3,4,5599,9435,1212,285,4,7,10945,4154,1088,989,18,12,6258,1345,579,123,0,0,2048,98,95,58,0,0,254,961,127,97,0,7,1197,168,27,15,0,0,217,48,9,9,0,0,59,6768,1930,1298,16,19,10029,205,66,38,0,4,313,349,72,58,0,0,480,21916,3603,1793,24,33,27373
SED10055,7410,131,51,24,9,7632,12267,400,69,3,14,12760,3471,387,148,0,11,4023,81,34,0,0,0,115,24,10,7,0,0,41,760,60,33,0,3,856,202,9,6,0,0,218,23,0,0,0,0,24,4562,500,191,3,17,5274,222,15,7,0,4,254,288,11,0,0,5,303,24751,1052,319,34,54,26213
SED10056,11473,343,161,128,67,12181,8682,120,75,22,31,8931,2548,684,797,41,8,4074,494,66,52,0,0,612,153,84,46,0,5,285,1756,164,158,20,19,2111,600,51,68,56,24,799,55,16,19,0,0,79,5593,1064,1138,116,59,7970,937,88,29,18,28,1096,609,66,50,40,37,801,27296,1682,1456,322,212,30972
SED10057,12183,1288,607,284,18,14377,7003,311,179,18,12,7524,2755,748,1023,39,13,4583,274,144,152,0,0,567,167,142,154,0,0,468,1129,178,158,19,5,1492,125,45,31,40,4,244,26,24,13,0,0,64,4480,1277,1528,108,30,7420,449,96,186,12,12,755,532,82,79,77,31,799,24641,3058,2581,496,104,30876
SED10058,7203,1475,1188,33,15,9905,7104,1168,1103,11,6,9395,3344,2077,3335,104,36,8901,77,594,990,3,9,1668,54,153,151,6,0,359,1104,410,530,18,11,2071,123,44,56,10,4,237,20,10,22,0,0,49,4717,3284,5080,145,57,13287,187,112,98,0,0,407,192,78,92,6,8,373,19403,6118,7563,193,95,33375
SED10059,951,3080,1488,48,3,5564,970,4037,2802,33,10,7850,555,4041,9815,350,71,14826,19,287,2308,3,7,2627,13,72,466,15,11,580,140,937,1138,102,25,2338,14,67,142,19,12,249,3,12,50,0,0,71,745,5412,13919,492,126,20693,30,147,207,14,8,408,19,122,250,18,14,418,2714,12790,18661,598,164,34938
SED10060,3092,1690,5455,22,9,10270,1979,1082,4384,16,9,7465,526,822,12946,63,36,14391,4,18,305,0,6,334,3,13,187,0,4,209,147,196,1656,18,7,2021,16,7,88,0,5,118,4,0,39,0,0,46,700,1063,15225,81,54,17122,70,58,455,5,3,588,31,33,215,9,16,297,5869,3924,25735,126,93,35742
SED10061,10719,282,32,82,43,11160,7552,149,15,28,10,7756,3325,1260,392,26,8,5004,545,107,76,0,3,738,282,122,102,0,6,521,1478,113,48,13,19,1669,394,49,6,36,18,501,47,27,4,0,0,79,6075,1681,637,80,52,8520,902,74,11,11,20,1007,512,89,23,36,9,670,25754,2275,719,235,138,29118
SED10062,7714,1359,988,9,6,10070,6372,1338,1513,7,3,9237,1527,740,2863,62,7,5199,162,282,326,0,0,773,29,57,108,0,0,191,402,119,334,29,3,886,60,58,21,5,3,144,11,4,16,0,0,39,2195,1261,3662,95,18,7234,194,79,89,6,0,368,161,71,80,0,6,308,16637,4109,6330,120,31,27217
SED10063,9888,348,116,132,24,10505,9556,168,54,69,16,9865,3607,835,518,35,8,4999,760,207,122,0,0,1092,125,106,61,4,7,296,1468,126,65,21,12,1688,247,26,20,28,19,330,45,12,13,0,0,66,6251,1315,783,85,42,8479,493,98,68,13,10,689,405,55,42,13,14,530,26600,1967,1068,315,112,30070
SED10064,12755,330,271,207,57,13631,7696,165,88,25,14,7980,2616,472,607,38,7,3742,352,53,49,0,0,460,393,120,67,0,7,584,1547,79,105,19,14,1761,203,13,16,68,10,309,43,6,6,0,0,63,5150,745,856,126,39,6925,424,61,10,31,13,533,507,47,29,30,14,628,26532,1347,1265,423,128,29694
SED10065,4513,1071,1498,17,0,7105,4551,2342,3936,30,7,10865,2134,1966,11582,100,40,15826,812,648,1013,0,11,2482,50,105,355,0,4,511,553,303,1029,18,9,1921,163,183,154,3,5,508,16,12,63,0,0,90,3739,3219,14197,120,64,21337,167,86,249,7,3,518,175,101,279,4,9,565,13141,6815,20158,181,95,40386
SED10066,6911,793,356,75,3,8140,8841,977,893,0,4,10718,4054,1626,2727,16,13,8438,565,637,308,0,3,1517,66,204,218,0,0,491,748,182,181,0,0,1113,81,11,19,10,0,115,22,12,11,0,0,48,5533,2679,3463,22,20,11729,248,109,91,0,0,453,238,81,80,0,3,400,21764,4633,4894,108,39,31438
SED10067,7857,1202,1889,66,16,11030,7274,649,1400,31,14,9364,1344,305,1852,62,19,3575,8,31,12,0,0,53,3,85,74,0,0,163,726,128,453,6,17,1327,53,34,43,20,4,153,18,12,12,0,0,42,2144,591,2444,89,38,5313,198,415,374,4,4,998,142,60,70,3,9,281,17616,2921,6173,190,80,26976
