SA2_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
121021577,0,0,0,0,0,0,0,0,4,144,104,30,282,11,17,26,309,196,3,505
121021578,0,0,0,0,0,0,0,0,0,121,75,23,216,5,7,14,228,168,3,402
121021579,0,0,0,0,0,0,0,0,4,145,85,19,249,9,9,21,262,174,0,440
121031407,0,0,0,0,0,0,3,0,3,273,176,40,488,17,13,35,521,361,0,879
121031408,0,0,0,0,0,0,3,0,5,297,151,36,484,18,8,25,508,257,0,764
121031409,0,0,0,0,0,0,0,7,7,179,97,23,296,10,9,16,316,190,9,511
121031410,0,3,0,0,0,3,0,0,7,240,107,34,381,9,10,24,411,244,3,657
121031411,0,0,0,0,0,0,0,5,6,210,114,10,342,12,3,15,360,212,7,576
121031412,0,0,0,0,0,0,0,7,4,178,107,21,311,6,5,10,320,201,8,528
121041413,0,0,0,0,0,0,0,4,3,318,128,30,469,12,8,25,498,136,4,632
121041414,0,0,0,0,0,0,0,0,5,251,89,20,363,12,9,19,375,147,4,526
121041416,0,0,0,0,0,0,0,0,5,225,89,23,334,12,12,18,352,136,3,495
121041417,0,0,0,0,0,0,0,3,3,164,62,14,240,5,4,10,247,98,5,349
121041688,0,0,0,0,0,0,4,0,4,171,69,18,258,9,11,15,275,131,0,413
121041689,0,4,0,0,0,4,0,3,3,202,88,12,293,11,5,19,311,134,5,451
122011418,0,0,0,0,0,0,0,9,3,251,119,25,404,14,9,21,420,193,5,622
122011419,0,0,0,0,0,0,0,5,5,240,124,16,381,6,3,11,391,167,8,568
122021420,0,0,0,0,0,0,0,0,0,127,93,33,249,9,5,14,263,136,0,399
122021421,0,0,0,0,0,0,0,0,0,86,87,17,184,4,4,4,190,96,0,286
122021422,0,6,0,0,0,6,6,0,9,158,122,26,302,5,9,11,314,121,3,434
122021690,0,0,0,0,0,0,4,0,5,177,132,36,342,7,0,11,353,144,0,501
122021691,0,0,0,0,0,0,0,5,6,185,113,14,316,3,0,0,319,115,7,443
122031424,0,0,0,0,0,0,0,4,4,190,110,26,331,6,3,7,341,214,4,561
122031425,0,0,0,0,0,0,3,0,6,94,58,9,166,0,5,5,167,81,0,249
122031427,0,0,0,0,0,0,0,0,3,153,93,17,259,9,0,12,268,154,0,424
122031429,3,5,0,0,0,5,0,0,8,290,167,37,489,5,7,16,500,201,8,701
122031430,0,0,0,0,0,0,4,5,9,196,120,38,349,11,5,20,368,181,4,553
122031432,0,0,0,0,0,0,0,0,0,27,31,4,55,0,0,4,55,24,0,85
122031692,4,4,0,0,0,4,0,0,4,101,56,17,175,5,0,4,179,82,0,260
122031693,0,0,0,0,0,0,0,0,0,175,108,33,324,5,8,20,338,137,3,475
122031694,0,0,0,0,0,0,0,3,3,125,73,20,219,0,0,3,227,97,3,330
122031695,0,3,0,0,0,3,5,3,11,302,181,54,542,8,14,26,561,210,3,779
122031696,3,0,0,0,0,0,0,5,8,201,96,33,323,4,8,13,337,149,4,496
122031697,0,0,0,0,0,0,4,5,9,182,101,26,308,4,0,7,312,102,5,424
