SA2_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
102011040,2903,5835,28,178,174,831,67,317,1312,5049,1589,6373,99,409,135,459,439,1423,670,2297,2263,8671,14,64,87,299,60,218,532,1395,691,1978,39,135,118,256,569,1243,723,1642,1414,3616,112,238,6696,18362
102011041,1174,2341,27,147,173,795,28,136,714,2887,939,3970,94,389,141,490,267,879,500,1753,1445,5730,6,28,42,138,10,27,137,358,197,546,14,54,33,82,116,258,171,389,360,937,19,44,2997,9050
102011042,1599,3226,15,82,99,419,34,165,713,2677,855,3341,56,239,91,318,299,972,442,1529,1297,4869,6,27,43,158,29,108,308,851,384,1149,19,49,77,163,378,809,469,1021,855,2172,82,168,3831,10427
102011043,1145,2316,17,107,114,522,40,181,670,2660,837,3470,53,229,91,313,246,786,389,1326,1232,4792,10,58,51,165,29,102,208,618,301,943,23,76,56,117,250,547,326,741,629,1682,48,96,3043,8889
102021044,2273,4580,38,226,212,979,68,311,1432,5709,1759,7221,136,573,145,491,523,1681,811,2751,2566,9972,19,92,90,288,50,193,474,1300,633,1872,44,151,98,229,534,1167,683,1547,1318,3414,77,171,6230,18138
102021045,988,1981,36,192,106,514,73,340,654,2574,871,3619,54,228,55,173,263,849,362,1254,1234,4875,15,72,48,182,51,170,385,1120,501,1550,30,113,53,111,278,627,355,852,858,2394,58,123,3137,9372
102021046,1137,2298,22,118,70,324,53,224,476,1852,609,2514,41,165,52,186,177,575,274,927,887,3443,9,30,27,90,25,83,232,625,287,826,21,73,32,75,246,535,303,682,586,1504,31,71,2645,7320
102021047,1730,3500,36,224,156,728,61,281,1071,4181,1330,5416,105,439,152,515,426,1408,684,2360,2017,7772,6,39,57,196,26,77,293,800,378,1109,27,85,64,137,319,703,410,924,791,2039,46,93,4573,13403
102021048,2218,4501,63,352,172,845,115,546,956,3738,1316,5473,92,374,115,378,475,1553,678,2305,1993,7775,20,90,91,329,69,266,592,1622,768,2310,64,203,100,222,628,1378,791,1808,1556,4115,115,235,5882,16628
102021049,394,812,16,113,52,237,21,99,186,747,274,1191,38,151,48,158,117,387,199,703,474,1886,3,9,8,39,4,22,32,84,48,156,4,18,9,9,39,81,48,105,91,260,4,4,967,2962
102021050,1574,3151,20,108,94,415,55,240,464,1788,625,2544,50,198,61,200,226,728,332,1133,960,3677,14,56,28,90,31,104,218,583,281,830,12,34,42,86,230,504,282,622,562,1457,34,78,3137,8353
102021051,530,1063,3,41,70,321,35,164,306,1192,415,1722,41,197,48,164,133,453,226,808,644,2534,0,5,18,58,7,16,70,170,94,245,13,33,19,37,90,200,116,273,210,520,21,40,1403,4151
102021052,859,1736,15,95,59,266,21,101,356,1377,454,1841,36,155,39,143,167,537,244,833,698,2671,9,38,20,62,16,54,133,361,172,520,4,27,17,37,130,282,155,345,333,860,28,55,1913,5322
102021053,1848,3718,19,104,122,560,32,132,653,2502,828,3306,57,247,77,263,287,926,422,1438,1250,4739,8,35,48,134,39,151,370,935,456,1255,36,101,86,174,404,870,515,1149,978,2406,77,160,4154,11026
102021054,1126,2259,14,85,58,280,31,142,465,1802,574,2315,36,141,58,189,190,607,287,937,853,3250,4,20,26,106,25,107,214,566,277,800,18,56,39,95,214,468,276,624,553,1425,45,100,2588,7028
102021055,477,962,12,65,59,291,26,125,325,1281,426,1755,25,110,54,197,143,444,223,756,651,2509,7,32,12,43,10,41,101,286,130,408,22,62,32,75,129,284,187,422,313,828,19,41,1460,4352
102021056,1617,3251,41,256,324,1521,105,508,1467,5854,1941,8143,133,568,186,638,439,1456,756,2656,2698,10800,24,117,88,314,69,257,420,1248,602,1928,43,144,90,196,307,712,441,1051,1038,2978,50,104,5402,17129
102021057,877,1761,15,83,66,314,39,190,410,1591,527,2178,43,193,53,172,201,640,295,1009,822,3185,11,42,36,129,32,112,273,752,348,1037,20,69,38,92,245,558,307,722,653,1754,46,93,2391,6796
103011059,1213,2433,38,209,158,779,55,265,769,3050,1024,4305,80,339,103,336,243,773,430,1449,1453,5751,17,59,64,232,32,136,275,789,386,1217,20,67,48,94,183,387,256,553,635,1771,33,78,3341,10039
103011060,871,1723,20,113,89,423,30,133,397,1582,529,2254,41,174,82,260,161,475,284,916,812,3166,5,13,13,39,3,25,59,151,76,223,6,24,10,21,91,197,106,239,188,466,17,37,1885,5388
103011061,611,1216,7,42,32,159,23,91,209,854,274,1145,12,57,18,53,95,297,124,407,400,1555,0,13,13,39,7,27,86,234,108,306,3,5,13,26,90,178,100,208,211,517,9,16,1226,3301
103011612,1039,2063,5,22,46,199,23,109,406,1527,475,1859,12,64,34,128,106,331,162,527,636,2384,6,37,28,85,13,55,233,594,283,772,18,53,43,96,184,390,245,536,532,1308,62,129,2264,5894
103011613,1504,3002,43,219,171,793,54,237,928,3661,1190,4908,72,310,136,452,269,851,476,1610,1665,6512,8,49,68,233,36,120,308,854,421,1248,26,79,65,147,224,469,316,695,737,1947,52,107,3957,11569
103021062,668,1330,10,48,52,226,11,56,387,1565,466,1898,15,66,37,121,93,314,153,492,618,2397,4,18,11,47,10,35,110,345,138,452,0,10,20,42,87,191,106,235,245,682,33,69,1562,4471
103021063,1092,2175,33,192,94,417,43,186,387,1535,546,2334,22,92,61,192,171,542,260,827,803,3160,3,26,29,98,30,117,233,673,294,917,5,21,30,62,144,307,180,385,474,1302,48,97,2421,6737
103021064,769,1524,12,77,57,247,26,103,255,1022,344,1445,23,87,39,113,119,358,173,561,523,2001,3,9,13,46,11,40,70,194,94,286,8,19,12,30,97,194,112,243,207,528,29,50,1529,4113
103021065,1190,2361,23,139,91,439,29,146,518,2127,668,2847,36,135,50,173,159,489,240,796,910,3646,5,19,31,104,22,89,192,558,250,767,11,32,36,78,162,336,205,448,458,1214,37,75,2593,7295
103021066,507,1011,7,34,38,184,7,47,151,618,211,883,3,19,35,112,60,178,102,303,308,1191,0,10,10,26,8,18,37,119,54,176,4,26,8,7,59,131,76,169,127,342,27,49,973,2594
103021067,1161,2315,17,108,128,610,43,216,595,2367,783,3295,35,162,56,173,198,609,290,947,1073,4240,12,75,45,141,26,122,254,727,333,1060,7,18,38,75,167,373,210,464,546,1528,36,74,2816,8164
103021068,360,718,7,40,37,156,11,62,155,642,210,902,10,39,26,68,63,188,92,293,301,1197,5,14,18,65,8,32,57,172,81,281,0,4,5,15,61,123,69,142,148,425,10,13,816,2355
103021069,668,1325,10,43,55,232,21,107,327,1311,410,1689,14,67,37,102,90,266,140,434,549,2124,8,23,7,39,9,38,82,229,101,326,9,11,20,37,75,157,98,210,200,537,12,35,1437,4020
103031070,1322,2638,24,140,93,434,39,187,524,2073,679,2840,40,173,68,212,231,748,337,1126,1020,3966,9,53,36,139,37,118,260,739,345,1054,24,65,34,77,291,616,347,753,693,1812,57,114,3089,8530
103031071,1064,2127,23,120,83,365,40,179,404,1637,555,2306,36,145,63,202,219,699,320,1049,873,3351,3,26,22,85,17,58,120,336,162,506,10,22,25,64,144,318,177,406,343,915,30,56,2300,6450
103031072,1346,2702,28,169,117,558,45,202,852,3353,1043,4280,35,132,71,215,211,668,311,1020,1357,5303,5,17,34,113,39,131,265,727,340,991,9,33,28,58,189,410,224,498,566,1488,46,96,3319,9576
103031073,462,925,0,20,16,81,7,38,127,508,155,645,18,67,19,52,63,200,93,316,248,967,0,5,9,33,4,25,54,150,71,214,0,13,10,23,70,143,83,178,153,389,5,16,876,2293
103031074,1365,2715,27,158,127,574,48,231,638,2576,839,3537,36,157,80,274,231,698,347,1128,1190,4665,0,16,20,85,20,70,152,421,193,597,6,27,26,57,139,286,170,371,368,967,32,76,2950,8418
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,862,1715,21,99,85,412,26,132,454,1844,583,2481,33,124,59,185,170,517,254,829,839,3311,8,22,21,75,19,52,127,352,174,508,8,26,25,57,102,224,139,301,308,812,35,75,2052,5917
103041077,1883,3747,29,170,140,658,61,272,976,3903,1202,5003,50,222,102,328,298,924,451,1475,1656,6476,14,79,70,254,49,179,456,1218,587,1721,18,64,61,137,320,701,405,901,991,2625,99,203,4628,13055
103041078,2234,4463,56,329,304,1416,89,430,1750,6977,2196,9151,95,398,166,550,369,1183,633,2123,2830,11272,17,88,80,291,60,231,427,1199,576,1811,44,122,69,143,276,611,386,880,963,2686,69,149,6102,18573
103041079,1458,2907,33,188,168,798,33,166,768,3170,1005,4319,73,281,135,448,260,817,464,1544,1473,5862,0,12,22,68,13,47,134,358,174,491,10,25,26,53,126,270,166,347,335,838,20,37,3280,9648
104011080,2063,4150,35,183,149,697,68,339,900,3569,1153,4788,47,201,72,254,296,943,427,1402,1579,6184,20,90,75,259,66,248,569,1607,734,2193,40,136,71,146,385,827,500,1105,1226,3306,104,214,4973,13850
104011081,2249,4521,33,198,146,680,81,379,680,2697,930,3955,62,256,109,346,403,1239,569,1841,1503,5795,4,9,31,132,23,92,244,705,310,940,20,60,46,99,263,565,327,727,633,1665,62,136,4443,12117
104011082,2810,5600,22,108,140,623,50,233,725,2906,936,3869,39,165,100,310,329,1011,468,1480,1410,5354,4,38,45,168,28,102,270,740,354,1046,15,46,44,96,316,654,377,803,727,1847,70,152,5015,12954
104021083,670,1327,7,35,70,312,30,134,326,1313,432,1792,16,66,48,160,108,328,174,551,603,2343,6,27,43,129,14,37,145,363,203,557,16,46,34,72,79,173,128,293,330,850,23,41,1628,4562
104021084,1972,3945,36,196,160,755,59,277,858,3401,1112,4634,63,262,95,315,327,1034,483,1616,1587,6250,15,60,64,236,56,219,428,1140,560,1656,38,134,82,170,404,881,522,1180,1080,2840,66,149,4711,13184
104021085,1191,2394,24,142,83,410,30,133,502,2000,638,2678,31,144,52,179,171,526,257,851,894,3530,9,29,45,152,16,57,234,612,301,848,14,52,55,120,208,449,276,622,579,1474,47,101,2710,7500
104021086,494,978,11,56,55,242,16,90,233,945,318,1333,26,88,33,95,105,342,157,527,474,1858,0,3,4,24,8,16,49,138,66,184,0,8,7,12,57,132,65,151,137,337,8,18,1114,3192
104021087,471,937,4,18,21,94,9,45,143,570,183,725,12,38,12,40,44,145,70,224,249,947,0,14,12,36,4,9,44,120,61,182,4,9,3,10,62,133,69,149,132,327,4,17,859,2230
104021088,1405,2817,12,78,135,604,40,157,707,2828,892,3666,28,128,112,354,166,506,310,988,1200,4652,6,27,26,82,12,41,174,454,222,605,10,32,42,94,119,253,172,383,393,981,24,44,3024,8494
104021089,2340,4695,21,133,215,997,73,349,1052,4173,1358,5644,86,364,153,493,446,1417,684,2275,2048,7917,12,51,75,249,49,179,450,1209,589,1690,25,83,86,201,394,833,504,1116,1093,2808,75,147,5551,15566
104021090,697,1395,6,33,31,152,14,53,212,826,263,1069,15,58,26,89,96,303,131,446,399,1515,6,15,14,62,5,30,95,245,125,354,7,14,21,38,108,224,133,284,254,631,12,26,1364,3566
104021091,1807,3635,16,109,115,522,50,237,836,3321,1016,4191,46,192,99,337,280,899,421,1431,1445,5615,7,32,47,168,21,78,273,753,347,1037,13,35,43,95,257,548,316,684,661,1718,51,111,3960,11084
105011092,274,552,13,52,19,111,20,74,178,691,231,932,3,18,17,44,36,97,49,153,277,1092,4,27,12,39,7,38,93,262,117,366,0,3,7,16,59,152,70,169,180,532,27,56,765,2231
105011093,390,758,7,40,35,179,17,80,215,845,286,1143,11,32,16,49,64,215,94,291,378,1433,0,19,3,20,6,41,71,199,90,281,0,4,9,15,58,119,66,139,152,420,20,48,941,2657
105011094,368,734,3,23,27,144,12,61,176,724,225,951,10,42,21,78,56,169,87,287,311,1235,5,19,8,48,18,68,106,329,140,460,0,5,6,12,72,172,85,184,221,647,15,34,912,2654
105011095,512,1011,10,41,60,257,16,79,234,944,317,1320,17,74,24,62,87,262,127,396,445,1717,0,0,8,23,11,38,81,257,99,314,3,14,13,20,65,135,82,177,187,489,30,57,1161,3277
105011096,492,982,3,30,39,152,12,54,194,765,247,999,7,29,26,65,53,149,79,242,323,1242,3,26,21,77,14,50,105,317,144,470,0,5,9,16,85,190,98,209,234,682,20,43,1079,2954
105021097,1935,3832,21,112,124,576,56,258,735,2837,940,3780,52,216,73,230,353,1102,475,1541,1417,5321,13,62,43,158,51,209,479,1326,591,1754,29,85,67,141,379,825,471,1051,1063,2799,89,189,4505,12142
105021098,222,443,0,0,15,51,9,42,92,382,113,466,0,4,11,20,37,100,43,126,160,593,4,11,0,13,11,41,53,171,70,235,5,13,4,0,44,100,49,115,115,349,8,30,502,1415
105031099,922,1842,8,62,72,328,23,99,331,1370,435,1861,28,123,43,138,125,395,206,654,637,2513,8,48,23,88,10,45,120,349,166,530,10,26,29,59,112,248,154,333,321,862,36,68,1913,5286
105031100,1046,2093,17,84,101,491,33,154,629,2513,780,3245,39,167,53,173,216,676,306,1015,1087,4256,3,20,22,79,34,122,274,767,331,982,17,48,20,44,167,385,208,477,537,1458,47,102,2719,7916
105031101,1927,3852,38,184,191,892,51,229,1280,4967,1560,6276,69,277,111,342,284,889,463,1513,2017,7785,16,66,61,219,39,137,434,1231,549,1645,18,66,80,164,268,578,368,804,917,2454,80,161,4943,14248
105031102,969,1941,23,112,94,434,37,182,665,2611,815,3337,31,120,61,185,152,496,245,801,1066,4139,11,34,26,106,29,107,273,797,332,1046,8,45,24,59,169,374,209,469,542,1519,50,97,2616,7700
105031103,689,1373,15,78,83,399,39,160,368,1508,505,2148,33,114,56,171,151,474,233,757,741,2909,0,9,7,31,14,54,69,178,94,279,4,8,15,21,58,126,70,154,165,433,6,10,1608,4729
105031104,526,1052,6,34,39,173,14,56,213,857,271,1118,15,59,24,78,60,192,102,327,379,1443,3,15,12,46,8,39,102,305,130,395,8,28,8,19,65,145,82,196,211,591,20,35,1132,3122
105031105,661,1311,16,97,52,244,26,119,330,1352,427,1816,23,92,41,130,113,344,177,568,601,2385,5,17,28,103,19,80,107,342,160,534,9,27,25,47,98,210,132,278,286,820,29,62,1578,4571
105031106,843,1697,14,81,74,350,25,110,331,1374,442,1921,22,106,58,175,126,392,208,676,650,2595,4,45,28,119,16,51,198,578,250,790,6,33,22,46,152,324,178,401,428,1189,43,92,1969,5570
106011107,1438,2868,32,161,135,643,56,276,973,3833,1200,4910,78,321,104,357,296,908,480,1584,1676,6494,12,49,38,135,28,89,244,675,322,950,24,70,32,59,140,315,190,444,513,1397,29,69,3653,10828
106011108,2122,4283,34,194,179,838,78,373,1080,4207,1373,5615,97,395,113,367,476,1558,680,2323,2060,7938,34,167,114,404,74,287,697,1975,920,2838,45,136,78,179,557,1219,675,1529,1596,4368,96,198,5871,16783
106011109,1080,2167,21,124,86,386,72,336,535,2119,716,2974,49,216,72,238,247,811,365,1261,1081,4235,8,45,25,102,26,85,156,448,212,674,12,44,23,51,151,341,185,435,395,1109,27,50,2589,7569
106011110,1267,2519,20,112,89,425,39,185,592,2371,743,3093,42,178,52,171,281,881,375,1243,1119,4329,4,13,27,93,20,71,123,321,177,502,17,47,16,30,137,289,170,369,349,869,28,61,2759,7781
106011111,1995,4039,54,317,156,748,120,571,1255,4870,1595,6509,89,385,79,260,520,1666,691,2308,2284,8813,24,108,76,289,68,258,584,1654,757,2303,33,103,82,178,458,1021,571,1303,1319,3607,90,185,5697,16648
106011112,1627,3235,44,229,196,898,72,333,1114,4414,1422,5880,86,365,96,328,395,1255,577,1943,1995,7820,13,90,33,121,35,153,355,964,446,1326,25,66,53,106,254,556,328,731,768,2056,57,128,4457,13247
106011113,603,1208,8,66,70,340,24,104,352,1387,455,1900,25,98,62,205,162,517,249,825,704,2722,0,12,3,24,4,10,63,179,76,221,0,3,11,27,55,122,69,149,149,372,16,32,1470,4330
106021114,827,1646,18,84,81,380,42,209,669,2570,807,3245,34,150,53,169,148,482,236,803,1045,4049,4,15,21,90,11,46,208,537,249,694,20,54,36,79,132,306,186,440,433,1130,50,102,2348,6931
