SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
119031664,0,20,45,22,17,16,10,3,0,127,3,59,145,64,53,29,4,0,0,361,84,955,2413,1201,627,424,114,4,0,5820
119031665,8,20,22,33,35,34,3,3,0,158,5,33,89,91,58,51,15,0,0,338,168,573,1253,1063,1007,865,197,21,3,5143
119031666,13,21,47,49,57,44,8,0,0,245,4,28,69,72,63,37,13,6,0,294,296,640,1503,1791,1586,1134,298,28,5,7286
119031667,4,16,38,36,19,24,4,0,0,140,5,12,58,59,35,28,9,0,0,201,115,465,1315,1021,789,672,162,9,4,4546
119041377,0,18,29,44,53,47,15,4,0,206,11,26,47,53,70,30,4,5,0,248,246,509,1152,1268,1378,944,233,24,3,5759
119041378,4,18,44,39,30,19,12,0,0,172,4,37,92,84,47,25,8,0,0,290,125,585,2176,1690,1021,682,152,12,0,6440
119041379,6,23,52,47,51,40,14,0,0,233,9,34,91,97,55,48,17,3,0,355,249,773,1919,1692,1520,1186,291,28,0,7661
119041380,4,12,54,56,58,48,16,0,0,256,10,19,80,76,73,49,19,3,0,318,189,428,1284,1450,1464,1037,315,49,4,6218
119041381,0,22,75,71,65,44,8,0,0,287,10,74,187,119,66,57,19,4,0,530,226,1167,3231,2335,1480,1007,252,25,0,9726
119041382,9,15,65,58,49,51,13,4,0,264,12,19,81,81,76,56,27,6,0,354,280,491,1421,1656,1794,1358,425,58,3,7486
119041668,4,20,73,39,41,30,7,0,0,216,12,45,129,87,54,34,13,0,0,372,213,672,2576,1834,1199,806,192,7,0,7499
119041669,7,15,21,38,36,24,3,0,0,146,9,7,45,50,32,32,14,0,0,195,172,399,834,966,885,690,176,10,3,4138
119041670,5,22,56,45,39,36,11,0,0,209,4,43,99,76,68,57,13,0,0,364,198,751,1980,1722,1358,1040,233,6,0,7288
119041671,0,12,75,36,13,7,0,0,0,144,0,48,231,84,29,15,0,0,0,399,46,708,3508,1472,428,218,45,3,0,6439
120011383,12,23,76,72,83,83,27,0,0,375,8,27,99,115,95,82,40,6,0,473,397,837,2221,2498,2605,2055,709,95,9,11429
120011385,12,18,44,55,71,49,17,0,0,266,5,20,88,94,89,45,19,8,5,386,309,664,1984,2195,2320,1590,553,77,14,9714
120011386,5,13,67,83,88,73,34,0,0,360,8,30,94,129,108,62,24,4,0,466,335,607,2105,2765,2446,1699,592,79,5,10634
120011672,3,11,37,31,42,36,8,0,0,181,8,16,75,72,52,28,10,0,0,258,241,628,1522,1540,1378,904,216,26,0,6454
120011673,0,11,60,39,15,11,5,0,0,138,0,30,200,116,31,22,3,0,0,410,57,541,3234,1831,497,336,85,13,0,6593
120021387,6,16,37,39,42,39,18,4,0,196,0,11,60,81,79,33,22,6,0,295,184,413,1523,2070,2085,1423,592,109,3,8395
120021389,4,8,49,52,42,45,18,0,0,226,0,11,47,75,76,35,25,3,0,276,176,383,1590,2105,1877,1130,370,42,0,7668
120021674,0,8,40,42,30,20,12,0,0,152,7,16,54,49,37,33,5,0,0,195,142,396,1322,1345,1190,714,243,26,3,5385
120021675,16,18,67,67,57,29,18,0,0,268,4,25,83,82,81,37,13,0,0,323,264,698,2262,2726,2222,1184,375,27,4,9770
120031392,6,9,44,49,47,35,7,0,0,201,5,28,83,70,45,38,13,0,0,274,169,484,1532,1450,1192,904,200,8,0,5959
120031393,0,24,61,60,62,54,19,4,0,283,12,22,81,79,80,54,15,3,0,346,307,666,1595,1734,1854,1292,367,35,6,7857
120031394,6,25,83,85,75,42,8,0,0,332,5,25,108,96,59,36,9,4,0,336,222,704,3086,2624,1988,1276,263,25,4,10177
120031395,5,13,48,40,44,30,11,0,0,195,4,20,66,80,55,38,11,0,0,278,248,610,1760,1577,1642,1145,328,35,3,7345
120031396,5,22,94,58,33,30,7,0,0,251,3,84,328,187,70,46,10,4,0,729,150,1296,4836,2732,1056,744,179,23,0,11016
120031576,0,10,20,20,14,18,0,0,0,73,0,9,28,19,13,13,3,0,0,84,42,159,398,418,354,276,79,9,0,1738
120031676,0,17,56,41,34,21,3,0,0,175,4,32,119,52,39,14,13,3,0,274,103,692,2141,1426,967,679,209,16,0,6234
120031677,0,13,45,38,22,32,5,0,0,158,0,26,108,53,40,30,9,0,0,273,128,586,1972,1381,966,787,208,18,3,6056
120031678,0,17,50,29,20,18,8,0,0,149,3,92,232,75,64,45,10,0,0,524,120,1316,3071,1314,846,632,147,22,0,7474
120031679,4,15,35,17,30,28,8,3,0,138,7,28,61,59,50,30,12,0,0,243,161,524,1169,1047,1114,871,209,27,4,5122
120031680,7,18,53,31,17,17,3,6,0,153,11,135,235,90,44,48,0,4,0,567,170,1972,3333,1330,891,793,247,58,11,8797
120031681,0,14,14,22,23,25,3,0,0,108,4,18,40,46,32,29,10,5,0,175,147,478,936,771,931,853,310,49,6,4484
121011399,10,33,84,82,60,44,12,0,0,328,8,25,137,146,81,59,20,5,0,476,290,817,3026,3270,2305,1300,455,67,3,11531
121011401,3,9,61,40,29,17,0,0,0,162,0,23,93,86,38,34,6,0,0,284,100,402,2421,2211,1189,730,222,26,3,7302
121011682,0,9,37,21,12,21,15,0,0,113,5,6,43,69,32,21,15,0,0,189,109,357,1205,1537,944,512,192,21,4,4881
121011683,12,18,10,27,38,31,9,4,0,144,9,15,25,48,78,51,16,10,0,258,305,502,538,1202,1791,1287,509,102,9,6243
121011684,7,10,61,88,52,35,16,0,0,265,3,34,130,143,88,41,13,5,0,451,217,730,2450,2720,1689,955,317,42,12,9131
121011685,9,17,30,27,48,31,8,0,0,170,3,13,58,58,52,41,13,4,0,238,271,543,1238,1356,1637,1210,491,91,3,6839
121011686,7,24,59,75,46,43,17,5,0,267,11,27,84,115,63,43,7,3,0,362,249,537,2036,2519,1720,1098,371,70,3,8602
121011687,9,13,25,48,41,26,11,3,0,177,10,17,34,64,69,39,11,0,0,243,254,428,896,1712,1691,1000,319,36,8,6338
121021403,18,38,81,78,89,70,14,0,0,398,15,24,76,123,95,74,9,8,4,423,531,908,1986,2975,2760,1924,469,40,5,11586
121021404,16,17,21,48,52,53,16,0,0,225,5,14,31,58,49,40,10,0,0,218,380,484,688,1374,1721,1184,302,35,0,6162
121021406,11,31,36,46,76,48,13,6,0,266,9,24,52,87,105,56,17,5,0,361,462,816,1225,2322,2595,1600,417,79,10,9514
121021577,0,16,39,48,44,24,3,0,0,172,3,25,88,75,60,35,18,3,0,302,116,571,1905,1753,1104,731,188,22,0,6390
121021578,9,22,30,40,45,22,14,0,0,182,9,14,33,72,33,29,7,5,0,195,205,386,760,1443,1263,811,230,24,0,5124
121021579,0,13,29,35,29,9,3,0,0,125,5,18,64,90,40,27,9,0,0,255,131,310,1265,2055,1018,543,193,32,0,5543
121031407,6,34,50,42,57,35,20,0,3,250,9,30,87,122,134,60,21,6,0,473,420,1002,1797,2308,2580,1774,587,110,11,10599
121031408,18,27,36,54,62,59,15,0,0,268,19,28,72,129,124,60,30,5,0,462,528,995,1773,2785,2957,1948,675,135,10,11808
121031409,7,19,35,31,42,32,17,0,0,182,14,20,43,90,96,57,21,6,0,353,401,739,1026,1964,2171,1573,516,98,6,8496
