POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2647,..,273,273,359,13,375,71,0,71,88,0,88,47,0,47,18,0,18,581,294,875
POA2648,..,298,298,350,25,370,107,5,112,73,0,73,32,0,32,17,0,17,583,326,911
POA2649,..,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11
POA2650,..,5574,5574,6661,615,7280,2935,189,3122,2767,72,2841,1458,14,1473,622,5,627,14444,6471,20918
POA2651,..,141,141,218,18,243,113,3,119,120,0,120,53,0,53,24,0,24,538,165,704
POA2652,..,365,365,556,49,604,238,0,239,217,0,217,108,0,108,60,0,60,1184,418,1594
POA2653,..,265,265,357,16,375,106,0,109,84,0,84,52,0,52,29,0,29,631,287,915
POA2655,..,118,118,164,9,168,57,0,56,75,0,75,31,0,31,15,0,15,341,128,469
POA2656,..,165,165,174,6,180,56,0,56,58,0,58,25,0,25,20,0,20,320,173,495
POA2658,..,180,180,183,4,190,53,0,54,38,0,38,47,0,47,31,0,31,355,190,545
POA2659,..,82,82,115,4,122,40,0,40,44,0,44,22,0,22,11,0,11,232,87,318
POA2660,..,159,159,201,15,215,62,3,69,79,0,79,40,0,40,23,0,23,406,179,584
POA2661,..,5,5,12,0,12,9,0,9,15,0,15,4,0,4,3,0,3,47,5,51
POA2663,..,440,440,487,36,517,211,3,216,194,3,195,95,0,100,59,4,63,1045,485,1532
POA2665,..,226,226,277,16,297,94,0,96,88,0,88,54,0,54,33,0,33,553,243,802
POA2666,..,646,646,784,43,819,265,0,265,219,0,219,138,0,138,84,0,84,1482,690,2180
POA2668,..,45,45,57,0,57,20,0,20,23,0,23,13,0,13,5,0,5,118,47,161
POA2669,..,189,189,227,10,232,68,0,68,54,0,54,47,0,47,24,0,24,422,200,620
POA2671,..,474,474,548,16,562,172,0,176,132,0,134,104,0,104,55,0,55,1014,490,1507
POA2672,..,152,152,182,8,189,65,0,64,60,0,60,47,0,47,21,0,21,375,159,535
POA2675,..,157,157,199,16,214,77,3,78,67,0,71,29,0,29,14,0,14,384,177,557
POA2678,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
