POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA2122,0,27,0,27,..,334,12,343,0,343,..,97,11,104,0,104,..,153,5,154,0,156,..,34,6,43,0,40,..,17,4,19,0,19,..,76,9,87,0,87,..,443,67,506,14,523,..,7132,1753,8886,71,8958,..,28,14,41,482,521,5559,7161,1764,8927,559,15037,5612,..,..,..,..,5612,..,15,3,14,0,14,..,115,15,133,0,133,..,0,0,0,0,0,..,1558,514,2066,6,2073,..,2826,1018,3843,17,3859,..,135,42,177,0,177,..,4514,1569,6085,28,6113,..,24,0,26,0,26,..,19,0,21,0,21,..,40,0,44,0,44,..,42,0,42,0,43,..,45,5,50,0,50,..,67,5,71,0,71,..,120,3,124,0,126,..,27,0,27,0,27,..,84,0,83,0,83,..,29,3,32,0,32,..,76,3,78,0,79,..,411,12,423,4,429,..,176,37,216,0,216,..,92,21,115,0,115,..,638,443,1077
POA2123,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA2125,0,3,0,3,..,65,0,65,0,65,..,38,0,40,0,40,..,91,0,90,0,91,..,3,0,3,0,3,..,4,0,4,0,4,..,27,3,31,0,31,..,130,24,151,3,157,..,2397,324,2723,13,2734,..,20,3,24,160,186,5161,2424,327,2744,179,8080,5152,..,..,..,..,5152,..,33,0,33,0,33,..,122,5,124,0,124,..,0,0,0,0,0,..,517,93,615,3,615,..,526,177,709,4,711,..,35,13,40,0,40,..,1075,289,1362,6,1367,..,10,0,10,0,10,..,9,0,9,0,9,..,20,0,22,0,22,..,23,0,23,0,23,..,31,4,40,0,40,..,35,0,38,0,43,..,166,13,180,0,180,..,38,0,40,0,36,..,91,0,98,0,96,..,23,0,23,0,24,..,43,0,43,0,43,..,397,16,409,3,412,..,68,10,79,3,80,..,15,0,15,0,15,..,122,55,176
POA2126,0,3,0,3,..,138,5,140,3,143,..,74,0,74,0,74,..,182,4,187,0,189,..,5,0,5,0,7,..,15,0,15,0,15,..,29,3,31,0,31,..,265,27,293,5,301,..,3454,359,3810,25,3836,..,29,4,28,186,216,5155,3477,357,3842,219,9210,5255,..,..,..,..,5255,..,96,0,96,0,96,..,96,7,108,3,112,..,0,0,0,0,0,..,532,103,632,6,640,..,643,202,843,0,845,..,73,13,83,0,83,..,1247,314,1563,6,1568,..,19,0,19,0,19,..,10,0,10,0,10,..,27,0,27,0,27,..,23,0,23,0,23,..,47,8,56,0,56,..,33,4,31,0,31,..,261,6,267,3,271,..,60,4,64,0,64,..,209,7,221,0,217,..,60,8,68,0,68,..,129,4,131,0,131,..,753,30,780,0,781,..,67,7,73,0,73,..,23,0,21,0,21,..,203,67,275
POA2127,0,7,0,7,..,165,9,170,0,176,..,92,5,100,0,100,..,42,0,42,0,42,..,17,6,23,0,23,..,57,3,57,0,57,..,27,0,35,0,35,..,184,37,224,11,232,..,3033,599,3625,24,3655,..,13,3,12,691,705,2779,3043,602,3641,717,7138,2656,..,..,..,..,2656,..,6,0,6,0,6,..,113,7,124,0,124,..,0,0,0,0,0,..,362,89,454,4,455,..,829,262,1092,0,1093,..,41,9,49,0,49,..,1233,361,1591,4,1595,..,7,0,7,0,7,..,11,0,11,0,11,..,24,0,28,0,28,..,11,0,18,0,17,..,37,0,37,0,37,..,27,3,29,0,29,..,94,4,101,0,101,..,21,0,21,0,21,..,35,0,35,0,35,..,53,6,63,0,63,..,51,5,56,0,56,..,280,15,299,0,299,..,75,7,83,0,81,..,27,6,37,0,37,..,583,297,875
POA2128,0,0,0,0,..,28,0,26,0,26,..,12,0,12,0,12,..,4,0,4,0,4,..,3,0,3,0,3,..,9,3,14,0,14,..,10,0,10,0,10,..,91,44,137,0,137,..,572,176,752,3,751,..,3,3,4,1606,1612,393,575,175,754,1611,2758,353,..,..,..,..,353,..,3,0,3,0,3,..,81,9,91,0,91,..,0,0,0,0,0,..,27,9,29,0,29,..,37,22,52,0,52,..,3,0,3,0,3,..,59,28,87,0,87,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,3,0,3,..,11,0,11,0,11,..,11,0,17,0,17,..,3,0,3,0,3,..,3,0,3,0,3,..,15,7,23,0,23,..,5,0,5,0,5,..,52,4,58,0,58,..,10,0,11,0,11,..,8,0,8,0,8,..,131,79,210
POA2129,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA2130,0,6,0,6,..,58,0,58,0,58,..,45,7,53,0,53,..,5,0,8,0,8,..,13,12,24,0,24,..,13,3,23,0,23,..,24,5,27,0,27,..,106,19,126,7,125,..,847,139,981,12,993,..,4,0,8,242,244,2313,850,143,988,252,3553,2360,..,..,..,..,2360,..,3,0,3,0,3,..,32,5,38,0,38,..,0,0,0,0,0,..,48,22,74,0,74,..,162,58,221,0,222,..,6,5,13,0,13,..,214,85,308,0,304,..,12,0,15,0,15,..,7,0,7,0,7,..,12,0,12,0,12,..,19,0,19,0,19,..,54,13,66,0,66,..,8,3,15,0,15,..,14,0,19,0,19,..,0,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,76,8,82,0,83,..,111,12,125,0,122,..,63,12,76,0,76,..,20,4,24,0,24,..,14,42,56
POA2131,0,16,0,16,..,286,12,291,5,297,..,175,32,198,0,202,..,65,3,67,0,67,..,103,61,165,0,165,..,42,3,41,0,41,..,102,14,116,0,117,..,409,65,474,11,490,..,5151,1066,6219,55,6272,..,30,3,33,707,743,4756,5180,1076,6248,769,11773,4664,..,..,..,..,4664,..,3,0,3,0,3,..,119,25,152,0,154,..,5,0,5,0,5,..,415,274,692,4,699,..,1285,580,1863,4,1868,..,71,45,115,0,115,..,1770,904,2672,12,2678,..,33,7,36,0,36,..,6,0,9,0,9,..,42,11,51,0,48,..,37,0,39,0,39,..,147,70,213,6,217,..,91,4,95,0,95,..,179,17,193,0,196,..,21,4,32,0,32,..,12,0,12,0,12,..,14,3,14,0,16,..,773,54,824,8,833,..,1081,81,1164,8,1176,..,219,83,305,0,305,..,58,7,69,0,72,..,99,59,154
POA2132,0,3,0,3,..,52,0,51,0,51,..,45,5,50,0,53,..,8,0,8,0,8,..,15,3,19,0,19,..,14,0,18,0,18,..,67,8,76,0,76,..,104,21,126,3,127,..,1799,433,2234,22,2251,..,15,0,11,227,240,2570,1811,437,2247,242,5063,2711,..,..,..,..,2711,..,0,0,0,0,0,..,182,41,222,3,221,..,0,0,0,0,0,..,247,100,348,3,351,..,458,178,637,5,644,..,24,13,33,0,33,..,730,289,1018,6,1027,..,43,10,61,0,61,..,0,0,0,0,0,..,22,0,24,0,26,..,7,0,7,0,7,..,128,45,173,3,178,..,8,0,8,0,8,..,24,0,24,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,68,3,67,0,69,..,104,3,106,3,111,..,237,85,321,0,327,..,16,0,16,0,16,..,100,42,140
POA2133,0,3,0,3,..,63,3,66,0,66,..,85,8,89,0,95,..,18,0,17,0,17,..,6,5,15,0,15,..,26,3,28,0,28,..,53,15,64,0,68,..,182,34,220,0,219,..,1985,404,2384,15,2405,..,5,0,10,185,196,2617,1991,406,2394,201,5217,2750,..,..,..,..,2750,..,0,0,0,0,0,..,312,57,372,11,379,..,0,0,0,0,0,..,183,84,267,0,267,..,234,127,362,4,360,..,18,16,27,0,27,..,431,227,656,4,660,..,33,4,35,0,35,..,4,0,4,0,4,..,24,0,26,0,26,..,7,0,7,0,7,..,177,30,208,0,211,..,11,3,12,0,18,..,49,3,52,0,52,..,9,0,13,0,13,..,3,0,3,0,3,..,8,0,11,0,11,..,35,0,35,0,35,..,116,10,124,0,128,..,411,84,489,7,492,..,13,3,19,0,19,..,79,48,130
POA2134,0,6,0,6,..,123,6,125,4,131,..,51,11,61,0,64,..,58,0,58,0,64,..,33,28,59,0,59,..,12,0,8,0,8,..,93,25,119,0,119,..,211,24,240,8,242,..,4207,1288,5494,43,5537,..,6,8,19,394,410,1727,4215,1304,5514,435,7676,1505,..,..,..,..,1505,..,3,0,3,0,3,..,97,21,119,3,123,..,0,0,0,0,0,..,676,342,1023,8,1027,..,2137,863,3004,15,3020,..,127,48,168,0,176,..,2941,1253,4194,24,4216,..,50,10,58,0,58,..,0,0,0,0,0,..,13,0,20,0,20,..,11,0,11,0,11,..,100,32,129,0,129,..,16,3,18,0,18,..,100,3,105,0,105,..,13,3,13,0,13,..,8,0,8,0,8,..,24,0,24,0,24,..,226,11,240,4,243,..,383,22,399,4,404,..,136,54,190,3,189,..,25,3,34,3,38,..,205,114,325
POA2135,0,10,0,10,..,143,11,157,0,155,..,75,14,86,4,88,..,494,23,519,0,521,..,22,13,35,0,35,..,25,4,22,0,22,..,262,35,289,4,294,..,664,69,729,9,738,..,6714,1332,8044,72,8117,..,31,15,43,697,732,3799,6742,1347,8086,768,12650,3628,..,..,..,..,3628,..,3,0,3,0,3,..,481,44,529,0,529,..,0,0,0,0,0,..,827,245,1071,8,1080,..,1160,358,1515,6,1527,..,58,30,90,0,90,..,2047,632,2678,17,2697,..,63,4,68,0,68,..,3,0,3,0,3,..,25,0,25,0,27,..,13,0,13,0,13,..,185,39,228,0,228,..,70,0,73,0,73,..,336,13,355,0,352,..,38,5,40,0,40,..,19,0,19,0,20,..,45,0,44,0,44,..,572,47,622,3,620,..,1085,73,1156,3,1159,..,210,54,265,0,264,..,37,9,49,0,44,..,769,542,1315
POA2136,0,0,0,0,..,45,3,46,0,46,..,43,5,47,3,50,..,96,3,99,0,99,..,12,4,15,0,15,..,7,0,5,0,5,..,35,8,46,0,46,..,141,21,166,0,168,..,1592,314,1898,15,1921,..,3,0,3,157,166,1502,1598,314,1909,176,3587,1451,..,..,..,..,1451,..,0,0,0,0,0,..,202,27,226,0,226,..,0,0,0,0,0,..,202,67,272,0,269,..,224,100,321,0,325,..,12,4,19,0,19,..,435,174,613,3,610,..,26,3,28,0,28,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,3,0,3,..,116,30,148,0,148,..,5,0,5,0,5,..,53,7,56,0,56,..,7,0,7,0,7,..,11,0,12,0,12,..,11,0,13,0,13,..,24,3,30,0,30,..,118,13,125,0,125,..,186,41,229,10,238,..,6,3,6,0,6,..,106,56,167
POA2137,0,10,0,10,..,89,4,92,0,92,..,101,16,119,0,119,..,67,0,70,0,70,..,15,4,19,0,19,..,58,7,66,0,66,..,64,6,73,0,73,..,278,51,328,11,338,..,4190,747,4937,41,4975,..,26,5,37,599,632,7207,4215,750,4971,640,12817,7374,..,..,..,..,7374,..,11,0,12,0,12,..,276,21,297,0,302,..,0,0,0,0,0,..,452,135,589,3,591,..,837,306,1140,3,1144,..,46,23,74,0,74,..,1335,470,1802,8,1815,..,52,9,57,0,58,..,6,0,6,0,6,..,40,3,46,0,46,..,33,0,33,0,33,..,296,54,346,0,351,..,12,0,12,0,12,..,114,0,112,0,112,..,13,0,11,0,11,..,20,0,20,0,20,..,14,4,17,0,17,..,92,3,94,0,94,..,262,12,269,0,267,..,931,163,1095,5,1101,..,30,10,38,0,38,..,328,158,486
POA2138,0,10,0,10,..,148,4,153,3,150,..,89,9,99,0,101,..,64,0,64,0,64,..,12,4,18,0,18,..,27,3,35,0,35,..,58,4,65,0,65,..,206,36,248,8,256,..,4879,1033,5913,45,5963,..,14,3,15,467,485,3364,4887,1039,5933,511,9807,3118,..,..,..,..,3118,..,6,0,6,0,6,..,158,71,230,10,237,..,0,0,0,0,0,..,597,136,734,4,738,..,2036,601,2633,19,2653,..,89,23,107,0,106,..,2713,755,3475,26,3493,..,17,11,33,0,33,..,7,0,7,0,7,..,24,4,22,0,22,..,19,0,19,0,19,..,102,17,118,0,121,..,31,0,31,0,31,..,228,6,235,3,241,..,17,0,24,0,24,..,13,0,13,0,10,..,23,0,23,0,23,..,74,3,78,0,78,..,390,13,401,3,406,..,233,34,272,3,277,..,36,3,37,0,43,..,595,352,946
POA2139,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,5,5,25,8,0,6,5,37,4,..,..,..,..,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
POA2140,0,7,0,7,..,163,16,174,5,176,..,43,3,48,0,48,..,636,77,710,6,724,..,39,12,46,0,49,..,22,3,21,0,26,..,79,15,92,0,93,..,697,67,767,18,782,..,4730,1058,5788,59,5843,..,17,11,27,825,848,1833,4743,1063,5810,886,8526,1447,..,..,..,..,1447,..,0,0,0,0,0,..,69,4,72,0,72,..,0,0,0,0,0,..,394,205,598,4,602,..,775,429,1208,15,1218,..,29,21,51,0,51,..,1193,659,1849,20,1867,..,15,0,11,0,11,..,3,0,3,0,3,..,18,0,18,0,18,..,4,0,4,0,4,..,30,5,32,0,35,..,39,0,40,0,40,..,299,25,323,0,323,..,62,10,72,0,73,..,8,0,8,0,8,..,88,8,93,0,92,..,441,31,470,3,473,..,940,71,1012,6,1016,..,38,8,42,0,45,..,22,11,30,0,30,..,412,285,698
POA2141,0,17,0,17,..,353,17,366,0,369,..,85,12,99,4,98,..,433,48,478,0,478,..,27,10,44,3,47,..,318,58,371,3,377,..,433,122,554,3,559,..,780,250,1034,26,1057,..,7802,3109,10911,103,11018,..,45,18,59,673,736,3061,7846,3132,10970,782,14815,2555,..,..,..,..,2555,..,3,0,3,0,3,..,555,129,687,7,692,..,0,0,0,0,0,..,1106,706,1813,5,1815,..,991,799,1793,10,1798,..,97,78,176,4,182,..,2193,1581,3783,18,3794,..,154,38,195,0,194,..,3,0,3,0,3,..,14,0,14,0,14,..,9,0,9,0,9,..,53,28,82,0,82,..,62,6,72,0,72,..,121,9,131,0,131,..,74,11,91,0,91,..,13,0,15,0,15,..,112,20,128,3,135,..,347,33,379,4,385,..,724,85,810,5,819,..,62,11,71,0,73,..,30,4,28,0,28,..,1015,833,1845
POA2142,0,21,0,21,..,307,6,314,0,319,..,90,15,101,0,101,..,110,13,127,0,127,..,14,3,13,0,13,..,222,65,293,5,293,..,169,61,225,3,226,..,1001,247,1249,26,1276,..,7546,1721,9266,89,9356,..,51,21,70,1061,1131,3246,7593,1744,9334,1152,13732,2827,..,..,..,..,2827,..,3,0,3,0,3,..,1935,464,2398,22,2425,..,0,0,0,0,0,..,302,244,546,0,548,..,423,356,776,8,782,..,22,19,37,0,37,..,744,618,1358,12,1366,..,21,7,21,0,21,..,0,0,0,0,0,..,13,3,12,0,12,..,7,0,7,0,7,..,31,17,45,0,45,..,107,7,117,0,120,..,393,36,426,8,431,..,239,33,270,0,274,..,25,0,26,0,31,..,202,26,225,0,225,..,858,121,976,7,990,..,1822,228,2048,17,2064,..,43,8,60,0,57,..,20,0,19,0,19,..,70,49,122
POA2143,0,5,0,5,..,58,3,61,0,58,..,39,3,41,0,41,..,41,9,52,0,51,..,5,0,4,0,4,..,44,10,51,0,51,..,397,120,514,0,520,..,240,43,281,6,285,..,2280,661,2938,17,2954,..,11,4,16,207,220,1257,2290,661,2950,223,4429,1196,..,..,..,..,1196,..,0,0,0,0,0,..,485,106,591,8,596,..,0,0,0,0,0,..,239,144,385,3,384,..,182,151,335,0,335,..,23,20,46,0,46,..,451,312,757,3,765,..,25,6,36,0,36,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,8,0,8,..,36,7,50,0,48,..,29,0,29,0,30,..,48,3,51,0,51,..,29,3,34,0,34,..,6,0,6,0,6,..,66,10,72,0,78,..,17,4,22,0,23,..,194,20,219,4,220,..,29,4,29,0,32,..,3,0,3,0,3,..,79,64,135
POA2144,8,19,0,19,..,232,16,246,3,253,..,55,18,72,0,70,..,449,106,555,15,568,..,27,15,44,0,44,..,1227,352,1577,20,1598,..,144,56,200,0,203,..,2080,1051,3136,64,3197,..,12142,4484,16626,191,16821,..,58,34,91,1059,1144,2599,12201,4519,16715,1248,20570,2223,..,..,..,..,2223,..,0,0,0,0,0,..,1757,583,2340,25,2357,..,0,0,0,0,0,..,668,650,1317,6,1321,..,969,1195,2165,11,2177,..,69,61,127,0,127,..,1699,1907,3608,17,3630,..,29,9,35,0,35,..,0,0,0,0,0,..,8,0,11,0,11,..,9,0,9,0,9,..,54,25,82,0,83,..,123,22,146,0,146,..,233,20,253,3,260,..,104,14,123,0,119,..,14,0,16,0,16,..,757,137,894,14,902,..,1172,100,1273,3,1279,..,2406,294,2696,23,2724,..,84,20,108,0,108,..,11,0,12,0,12,..,101,103,202
POA2145,0,33,0,33,..,608,22,630,3,629,..,305,42,342,3,346,..,2686,366,3051,25,3079,..,42,13,56,0,56,..,282,58,343,4,348,..,134,32,167,0,169,..,2840,406,3249,68,3314,..,19039,2503,21543,207,21753,..,88,31,125,2027,2152,15719,19123,2539,21664,2240,39622,15875,..,..,..,..,15875,..,11,0,11,0,11,..,2277,322,2597,23,2623,..,0,0,0,0,0,..,567,280,847,4,856,..,782,428,1213,6,1218,..,52,16,73,0,73,..,1403,730,2135,9,2141,..,238,45,281,0,281,..,17,0,17,0,17,..,96,3,101,0,97,..,63,3,65,0,61,..,372,91,463,3,471,..,308,30,333,0,340,..,1790,129,1923,7,1928,..,625,93,713,6,719,..,196,12,207,0,207,..,191,22,211,5,216,..,2179,295,2473,14,2488,..,5284,573,5856,36,5898,..,395,58,459,5,463,..,30,4,31,0,31,..,191,108,303
POA2146,0,5,0,5,..,173,10,178,0,176,..,58,4,56,0,56,..,691,142,831,15,850,..,7,3,9,0,11,..,49,4,57,0,58,..,26,7,28,0,32,..,457,69,528,5,530,..,3411,530,3940,43,3985,..,40,12,52,340,393,4371,3454,537,3990,379,8741,4377,..,..,..,..,4377,..,5,0,5,0,5,..,203,37,244,4,246,..,0,0,0,0,0,..,149,79,226,0,226,..,167,87,251,0,258,..,20,4,20,0,20,..,325,174,503,0,503,..,16,3,17,0,16,..,8,0,8,0,8,..,15,0,16,0,16,..,10,0,10,0,12,..,46,6,55,0,55,..,55,0,58,0,58,..,296,23,312,0,314,..,111,20,128,4,136,..,43,0,40,0,47,..,38,6,45,0,45,..,442,65,509,3,510,..,986,109,1094,10,1107,..,47,6,52,0,52,..,12,0,11,0,11,..,61,42,108
