POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2632,224,442,3,10,15,76,3,15,113,446,137,550,3,16,14,50,29,92,52,159,182,705,0,0,3,8,0,0,19,65,27,81,3,4,3,3,34,67,37,77,56,153,8,11,474,1314
POA2633,48,92,0,0,3,12,0,0,17,58,20,69,3,10,0,6,11,28,15,40,26,111,0,5,0,0,0,0,6,14,4,16,0,0,3,6,7,9,5,14,12,31,0,3,96,234
POA2640,3715,7298,59,333,380,1766,93,400,2232,8695,2763,11191,182,726,322,1039,547,1685,1051,3450,3819,14638,17,76,125,422,51,174,658,1762,855,2444,37,109,153,329,432,915,625,1349,1479,3796,112,235,9120,25963
POA2641,1579,3126,21,99,128,641,42,196,767,2953,962,3892,65,268,98,327,250,797,418,1393,1375,5283,16,68,45,162,32,93,379,1040,464,1371,27,74,56,122,244,525,327,721,792,2083,50,107,3800,10609
POA2642,544,1067,10,57,55,269,12,71,310,1331,392,1729,30,136,45,149,107,340,192,622,576,2343,0,6,17,72,13,39,53,158,83,266,3,4,6,17,54,112,66,134,146,402,10,21,1282,3830
POA2643,365,718,3,18,30,140,5,22,144,592,187,777,8,46,12,47,58,165,83,265,267,1038,0,0,9,22,4,20,34,101,48,140,4,9,10,27,26,61,48,93,96,239,12,19,732,2013
POA2644,303,601,6,25,39,177,9,32,129,502,177,734,10,42,12,40,38,117,65,199,236,937,0,0,0,13,7,14,35,106,42,133,5,13,8,22,25,47,34,83,84,212,9,11,630,1758
POA2645,43,87,0,0,0,13,0,5,15,81,23,96,0,5,4,3,9,16,8,24,31,118,0,0,0,6,0,6,3,13,6,20,0,0,0,0,7,22,12,22,14,43,4,3,93,250
POA2646,889,1761,12,67,63,292,18,95,333,1355,431,1809,28,125,54,157,116,338,197,617,628,2432,7,12,19,68,3,23,109,305,144,409,15,40,15,28,79,158,110,230,251,640,26,48,1795,4882
POA2647,333,661,4,14,19,84,5,33,100,407,131,545,8,44,4,21,32,101,48,161,179,705,0,5,3,6,0,7,30,90,37,103,0,5,9,16,25,56,38,74,74,178,0,0,585,1555
POA2648,316,610,3,13,18,92,6,16,104,393,129,509,9,26,14,37,41,122,60,184,184,690,0,0,5,19,3,11,38,99,44,132,0,4,5,9,36,80,44,95,88,223,3,6,596,1525
POA2649,5,11,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
POA2650,5690,11195,117,668,692,3271,197,927,3446,13767,4456,18623,237,983,460,1452,959,2997,1662,5429,6122,24054,34,159,208,772,113,422,1115,3100,1470,4460,91,263,209,448,811,1721,1106,2435,2580,6900,234,496,14622,42647
POA2651,176,342,0,15,23,95,12,46,170,668,203,832,14,54,12,39,23,68,49,154,250,985,0,3,9,39,0,5,56,156,71,207,0,4,6,16,29,64,45,91,107,300,10,20,541,1643
POA2652,519,1017,10,37,47,211,19,73,270,1104,341,1432,19,69,39,115,108,321,162,503,502,1940,0,8,11,41,10,21,68,188,89,262,10,24,3,10,65,154,82,190,172,451,11,27,1202,3433
POA2653,333,649,3,22,22,86,6,27,120,487,152,633,3,20,15,59,43,123,66,202,217,832,0,0,11,38,0,4,39,104,53,153,0,8,4,10,24,52,35,74,84,222,10,13,639,1723
POA2655,140,276,3,9,16,69,8,36,86,366,107,483,10,34,7,16,31,87,41,144,154,624,0,0,0,11,0,4,15,35,18,49,0,3,3,6,21,50,32,64,43,113,3,7,343,1020
POA2656,155,308,5,16,18,79,4,13,71,277,88,392,4,10,7,26,15,57,33,96,123,486,0,3,0,0,0,0,21,64,21,69,0,4,7,13,12,34,23,49,48,117,3,9,330,911
POA2658,167,325,7,26,15,77,14,56,76,346,108,500,3,22,14,37,14,55,34,110,144,612,0,0,4,9,4,14,23,67,28,89,0,0,3,0,21,42,27,45,55,136,3,5,365,1080
POA2659,104,202,0,8,13,49,3,18,54,228,74,300,3,11,8,18,10,36,19,72,95,374,0,0,6,17,0,0,12,32,13,48,0,10,6,18,9,25,17,46,31,89,0,0,227,668
POA2660,181,353,8,39,18,106,7,22,86,368,121,540,7,29,9,26,25,69,40,119,160,661,3,12,6,14,3,10,33,96,44,130,0,3,3,6,21,39,25,50,69,182,3,5,413,1206
POA2661,16,28,0,0,0,3,0,0,31,111,27,111,0,0,0,0,0,0,0,0,27,111,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,44,141
POA2663,414,831,9,33,36,166,19,94,217,930,285,1225,11,51,24,81,92,296,132,430,414,1657,3,18,10,36,15,50,86,271,113,371,5,16,19,43,76,152,96,208,216,583,18,33,1064,3102
POA2665,260,509,3,22,31,120,6,21,127,553,166,717,12,39,18,51,41,123,71,217,233,931,0,0,8,29,0,3,29,77,34,108,3,8,3,10,20,43,26,56,59,158,5,14,567,1618
POA2666,693,1376,14,83,70,345,14,62,292,1238,391,1729,22,79,37,116,122,384,181,578,573,2309,3,23,17,63,11,30,87,247,119,366,4,22,17,41,81,176,112,234,233,603,9,25,1513,4309
POA2668,53,103,0,7,3,21,0,10,24,110,33,142,7,20,3,13,8,19,14,46,43,187,0,0,3,8,0,0,12,37,14,44,0,3,0,3,11,17,13,24,27,64,0,4,122,356
POA2669,195,389,4,13,22,91,3,13,87,394,112,512,11,29,13,23,23,75,45,132,163,643,0,3,6,14,3,10,20,60,29,89,3,4,3,3,29,60,35,70,63,157,6,10,422,1194
POA2671,478,955,8,50,39,184,11,46,221,931,282,1214,15,48,23,69,62,182,96,298,373,1514,0,0,7,34,0,12,78,217,89,251,4,17,15,31,48,100,67,145,154,400,11,25,1023,2898
POA2672,151,302,0,7,16,83,3,18,84,361,113,477,5,32,6,14,21,59,34,108,145,580,0,6,4,17,7,15,37,102,45,136,5,15,4,9,30,63,34,90,82,225,12,23,379,1129
POA2675,175,340,0,6,17,61,10,33,93,375,119,478,7,10,10,27,21,67,37,107,159,583,0,3,3,11,0,0,22,46,25,60,0,0,3,11,22,47,28,52,51,117,4,10,388,1051
POA2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2680,2181,4335,67,389,281,1286,105,465,1489,6037,1940,8176,114,476,162,495,538,1775,810,2739,2746,10918,10,60,52,203,51,186,366,1057,477,1517,27,81,54,118,321,703,401,900,879,2418,93,206,5903,17873
POA2681,175,342,7,18,23,90,7,47,110,449,145,608,8,39,14,36,50,149,71,222,211,832,0,3,0,6,0,3,29,74,32,91,0,8,3,10,17,35,28,55,57,142,8,13,450,1322
POA2700,514,1008,9,47,40,199,16,74,241,985,309,1299,18,72,34,104,86,268,142,448,450,1738,0,9,15,53,14,54,99,281,130,388,3,12,16,36,73,153,89,198,225,590,13,32,1197,3371
POA2701,264,520,12,64,36,182,9,37,125,511,178,789,13,44,19,57,45,141,77,249,258,1039,0,6,7,22,3,4,46,154,60,189,6,15,4,9,13,34,26,59,77,247,9,23,611,1832
POA2702,92,184,0,6,20,86,3,12,43,172,66,279,0,6,3,7,10,46,19,57,79,337,3,8,0,0,0,0,13,37,13,48,0,0,0,0,7,20,9,19,21,73,4,8,200,603
POA2703,63,119,0,0,4,27,0,9,34,129,42,162,3,13,3,6,13,44,22,62,59,230,4,18,3,8,0,0,16,42,21,70,0,0,3,4,14,27,13,31,33,95,0,0,156,450
POA2705,1047,2093,25,137,105,512,40,202,559,2250,730,3105,50,211,75,232,211,679,334,1113,1065,4220,3,22,33,112,17,69,182,520,234,730,5,24,28,58,138,290,170,370,410,1103,37,83,2559,7502
POA2706,117,234,0,8,11,53,9,43,57,210,76,315,7,28,5,11,23,85,35,128,119,440,0,0,0,9,0,4,35,101,36,117,0,0,3,6,27,52,24,56,64,171,14,29,310,874
POA2707,128,258,3,14,22,79,4,19,78,319,104,431,3,11,15,39,29,83,44,137,146,568,0,0,4,12,3,20,16,53,24,84,3,4,5,12,6,15,14,39,39,120,5,6,324,955
POA2710,1229,2424,12,74,86,419,37,180,512,2038,651,2719,39,150,66,203,149,452,251,803,901,3525,3,21,25,91,13,49,166,451,213,614,15,47,44,88,143,303,202,443,416,1060,42,80,2590,7083
POA2711,378,732,12,47,34,147,9,30,162,653,217,880,15,45,22,59,66,206,98,311,313,1191,3,6,9,35,7,13,60,145,73,201,6,15,3,5,52,109,64,135,136,336,8,16,838,2273
POA2712,153,305,0,4,13,76,3,17,55,216,70,313,6,29,8,35,29,95,45,153,118,467,0,7,4,9,3,6,20,51,26,67,0,0,7,12,5,10,10,26,32,92,0,7,311,868
POA2713,337,660,5,33,25,128,15,64,132,551,176,779,5,31,15,41,43,121,60,193,232,968,0,3,7,31,3,14,40,116,56,157,0,6,10,26,35,73,50,106,108,266,7,8,683,1900
POA2714,422,823,3,18,21,92,8,19,129,523,155,658,8,26,19,55,34,105,57,187,215,838,0,4,5,28,3,12,47,115,56,163,0,3,4,7,29,63,35,75,91,235,6,16,726,1913
POA2715,173,338,8,36,11,65,5,19,81,335,105,454,10,30,8,20,29,75,38,128,141,577,0,0,3,17,3,4,24,76,33,96,0,0,3,9,32,59,34,64,65,161,7,11,387,1089
POA2716,137,262,3,18,10,56,5,11,44,182,66,273,0,8,17,36,23,68,43,114,105,389,0,3,3,3,0,3,18,38,18,57,0,4,3,4,13,25,13,37,37,87,0,3,279,749
POA2717,142,282,3,30,11,45,7,29,43,181,63,289,6,33,8,25,28,78,44,137,102,426,0,4,4,25,0,14,33,108,45,149,3,8,3,5,30,67,34,80,79,235,12,17,337,963
POA2720,919,1823,12,73,80,353,26,126,444,1781,569,2329,31,117,58,174,151,464,239,757,801,3087,7,35,20,85,14,50,140,376,177,543,9,37,27,44,127,264,159,343,344,885,31,65,2099,5870
POA2721,30,61,0,0,5,20,0,3,11,51,17,72,0,3,0,0,9,22,7,23,25,93,0,0,0,0,0,0,0,11,0,11,0,0,0,3,0,6,3,10,8,20,0,0,57,170
POA2722,372,726,15,63,35,170,18,87,161,662,226,978,11,44,22,61,56,182,90,284,319,1268,0,9,15,47,3,18,62,166,77,240,3,17,10,19,50,97,63,134,139,372,16,38,848,2400
POA2725,47,94,0,0,0,0,0,0,25,102,25,102,0,0,5,13,7,18,8,31,34,133,0,0,0,5,0,0,3,13,7,13,0,3,0,5,8,20,12,24,16,39,0,3,101,275
POA2726,26,56,0,0,0,8,0,3,12,53,15,61,0,0,0,3,4,17,6,22,23,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,4,59,151
POA2727,34,73,0,0,9,31,0,11,22,108,38,150,0,3,0,3,6,13,7,21,46,168,0,3,0,3,0,3,0,10,7,16,0,0,0,0,0,3,0,3,6,18,0,0,84,264
POA2729,203,400,4,27,24,105,3,6,113,462,148,608,5,17,17,62,24,89,49,168,194,775,0,0,7,30,0,0,21,62,30,87,0,3,3,8,19,38,21,51,52,135,7,10,458,1322
POA2730,197,380,0,5,15,58,3,22,58,224,76,302,4,15,7,19,17,62,31,91,100,397,0,0,3,9,4,14,19,46,26,76,3,12,3,7,29,55,35,78,61,146,3,10,368,934
POA2731,864,1704,11,55,78,345,13,62,382,1516,482,1981,29,116,45,140,93,286,168,540,651,2519,3,14,19,59,3,4,79,215,105,292,7,17,14,38,65,141,92,194,191,490,16,30,1724,4740
POA2732,266,531,4,12,17,80,6,31,69,278,95,404,7,16,13,33,29,80,45,132,134,530,0,0,6,14,4,11,23,54,27,76,0,0,0,7,9,27,12,25,41,107,3,7,451,1180
POA2733,77,145,0,0,3,8,0,8,28,105,31,124,0,0,3,7,14,35,13,42,43,165,0,0,0,3,0,0,13,33,16,37,0,0,0,3,4,7,4,10,19,46,0,3,143,364
